Easterns 2019 (Men) ,College - Men ,30,3,2019
Little River,SC,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Easterns-2019-Men-/schedule/Men/CollegeMen/
Carleton College-CUT,8
19,Kevin Harrow
20,Phillip Sellers
21,Trevor Lynch
22,John Bradley
23,Judah Jodrey
24,Michael Lee
25,Avery Acierno
26,Troy Miller
29,Paul James
30,Robert McAllister
38,Jeffrey Perkins
51,Matthew Klassa
57,Alexander Lerner
81,Rhys Gretsch
85,Bryan Anuel
88,Hunter Shumaker
b,r,e,a,k
Auburn,10
0,Anthony Fitzpatrick
0,Ashton  Scott
0,Blaise Linehan
0,Brad Wylam
0,Brandon Beers
0,Chandler Foster
0,David Perry
0,Harrison Lott
0,Jacob Crane
0,John Shields
0,Jordan Christie
0,Kevin Towers
0,Marcus Evans
0,Mark Shannon
0,Matthew Staber
0,Matthew Green
0,Patrick McMahon
0,Peyton Whiteside
0,Russell Turner
0,William Thompson
0,William Bianca
3,Michael Kvicala
4,Riley Graham
5,Eric Sjostrom
12,Jackson Crouch
16,Jacob Cich
22,Rocco Magnella
22,Luke Smith
23,Landon Baker
26,Hamilton  Wasnick
32,Connor Matheney
35,Blake Stratton
37,Michael Strobel
42,Carson Race
55,Sam Smith
b,r,e,a,k
Maryland,18
0,Aaron Zheng
0,Adam Weiss
0,Adam Ehrenberg
0,Ari Cacopardo
0,Brandon Yao
0,Drew Herring
0,Jeremy Hess
0,Jeremy Knopf
0,Jimmy Alderisio
0,Grant Simons
0,Jack Hermann
0,Justin Argauer
0,Mason Banner
0,Matthew Rohrbaugh
0,Matthew Joy
0,Michael He
0,Paul Lafleur
0,Ryan Low
0,Theodore Kerr
2,Luke Pascale
2,Jacob  Sheedy
8,Joel Maiman
9,Colin McLaughlin
13,Stephen Lafleur
15,William Xu
16,John Walden
24,Eric Greenlee
24,Ethan Tsirulik
32,Austin Chau
45,Rudra Menon
72,Sam Klueter
84,Daniel Friedman-Brown
b,r,e,a,k
Northeastern,15
0,Aidan Travers
0,Brendan King
0,Colton Sy
0,Ethan Pusch
0,Jeremy McDavid
0,John Vaughn
0,Jorden Van Emmerik
0,Justin Tran
0,Mark Kharakh
0,Michael Busa
0,Ryan Chirichella
0,Sean Wallace
1,Zach Wolfe
1,Noah Kurland
2,Jacob Kaplan
6,Andrew Pollis
14,Ben Field
17,Peter Treyz
23,Thomas Griffin
25,Ilya Yudkovich
27,Simon Carapella
45,Matthew Cook
59,George Abuhamad
64,Benjamin Centracchio
69,Derrick Salvatore
81,Winston Ge
b,r,e,a,k
Pittsburgh,3
0,Aiden Landis
0,Brian Ward
0,Myles Cooper
0,Will Helenski
7,Christopher Ng
11,Leo Warren
12,Kevin Tsui
13,Andrew Lehmberg
17,Matthew Hanna
21,Dillon Garrett
21,Noah Robinson
24,Will Hoffenkamp
29,Hafeez Shams
33,Max Thompson
34,Henry Ing
35,Dan Goldstein
37,Noah Weintraub
41,Harry McNamara
42,Ben Morgenstern
49,Dan Nichols
79,Michael Ing
84,Alex Spenceley
b,r,e,a,k
Tufts,11
0,Aaron Epstein
0,Arthur Abbate
0,Benjamin Cole
0,Brian Barrows
0,Bryce Walsh
0,Caleb Seamon
0,Charles Caron
0,Conrad Walsh
0,Daniel Bronshvayg
0,Eric Chen
0,Henry Caron
0,Jerry  Wang
0,Jac Carreiro
0,Russell Ruffolo
0,Samuel Saron
11,Anthony Goss
13,Oliver Newland
15,Hakeem Adeyemi
22,John Westwig
29,David Leibert
33,Troy Prebenda
38,Nikhil Bhatia-Lin
52,Benjamin Kass-Mullet
b,r,e,a,k
Northwestern,19
01,Benjamin Girard
02,Theodore Bisdikian
03,Joe Harari
04,Jasper Ng
05,Raul Rosenfeld
07,Keith Bohrer
11,Jeffrey Holm
12,Kyle Rutledge
13,Adolphus Adams
15,Kenneth Allen
16,Nathan Graber-Lipperman
17,Andrew Patel
18,Rey Tang
19,Jevons Liu
20,Jordan Parry
21,Luke Mansour
22,Robert Fraser
23,Eric Hochberger
24,Zaddeen Benaissa
32,Kenneth Xuan
33,Micah Thompkins
44,Isaiah Mendoza
52,Ben Richards
88,John Surprenant
96,George Irving
99,Joshua Venegas
b,r,e,a,k
William & Mary,14
0,Bryce Whitney
0,Carl Lasker
0,David Hill
0,Aidan O'Connell
0,David Bishop
0,Ethan Dewald
0,Gabe Westergren
0,Gavin Grossman
0,Greg Garnhart
0,Gus Norrbom
0,Harrison Littel
0,Jack Helms
0,John Buchholz
0,Jonathan Collins
0,Ryan Cooper
0,Scott Kilmer
0,Taylor Gilman
0,Joshua Zinger
0,Kyle  Vanhoy
1,Aaron Groves
4,Lucas Reichert
5,Ethan Ruh
20,Tomas Sommer
21,August Wagner
53,Jonny Malks
74,David Jensen
b,r,e,a,k
North Carolina-Wilmington,6
0,Alex Bleuzen
0,Jack Liebling
0,James Lockamy
0,Keane Squeri 
0,Michael Richards
0,Zachary Clark
3,Colin White
4,Quinn Garner
6,Owen Maskelony
9,Frederick Hennighausen
10,Caleb Avery
10,Joseph Stipp
10,William Stewart
15,Jup Patel
21,Cole Feltman
24,Christopher Nelson
27,Dasan Bender
33,Jesse Thornton
48,Santiago Velosa
52,Connor Russell
55,Kameron Williamson
69,Jacobb Murphy
69,Patrick Grossheim
88,Lukas Becker
93,Matthew Ellis
96,Ethan Ylizarde
b,r,e,a,k
Oregon,5
0,Theodore Sither
3,David Barram
9,Colby Chuck
11,Hai Luong
12,Cylas Schooley
14,Michael Fielden
15,Raven Miller-Berg
19,Steven Pearlman
22,Lukas Ambrose
23,Xander Cuizon Tice
24,Leandro Marx
27,Kuochuan Ponzio
31,Robert Richardson
34,Max Spiegel
36,Kai Fuji
42,Will Lohre
43,Henry Jackman
57,Gunter Przystawik
59,Noah Coolman
77,Kit Asterin
88,Duncan Fitzgerald
b,r,e,a,k
Massachusetts,4
02,Reuben Philip
05,Jacob Radack
06,August Williams
09,Dillon Monti
10,Elijah Mishkind
12,Gabriel Franklin
14,Gregory Oreste
15,Tannor Johnson
18,Jared Madore
18,Alex Sylvester
19,Spencer Pitkin
24,Benjamin Tan
27,Phillip Joyce
31,Eddie Scott
32,Jack Staples
33,Jared Scheinberg
38,Matt Caswell
42,Liam Gallinagh
47,Ethan Smith
72,Joseph Sadok
80,Chris Bartoli
81,Noah Gioiosa
89,Eugene L'Heureux
96,Alexander Donadio
99,Spiro  Lustphillips
b,r,e,a,k
Minnesota,12
0,Joe Bosshardt
1,Reuben Gardos Reid
2,David Zheng
3,Malakai Stern
4,Cash Barber
5,Nicholas Hammer
6,George Muller
7,Zach Trosvig
8,Cole Wallin
9,Tom Duret
10,Christian Rondestvedt
11,Sam Kaminsky
12,Patrick Norman
12,Wystan Duhn
13,Cole Jurek
14,Jackson Cade
15,Daniel Meiland
19,Oscar Leinbach
20,Matt Sweeney
21,Trevor Graham
21,Joshua Pratt
23,Wills  Weimer
24,John Chirayil
27,Sam Jordan-Wood
32,Joseph Pickens
42,Ben Cohen
59,Tyler Wear
86,John Helgeson
88,Jonah Jossart
b,r,e,a,k
California-Santa Barbara,20
00,Nathan Steinert
02,Stefan Crigler
03,Isaac Hsu
06,Alex Chin
07,Jordan Cortes
10,Lorenzo Yabut
13,Jivan Khakee
15,Brice Redmond
17,Robert Odum
21,Jason Zeidman
22,Duncan Brin
23,Patrick Godfrey
23,Stephen Smoots
26,Brendan Champlin
27,Ryan Barry
32,Kieran Bates
37,Kyle Johnson
43,Xavier Prochaska
44,Trevor Arbab
55,Christian Go
64,Varun Iyer
77,Tristen Moran
88,Adam Thompson
99,Max de Visser
b,r,e,a,k
Virginia,13
0,Bart Turney
1,Scott Moss
2,John Bagli
3,Jacob Hartzler
4,Bryce Foster
5,Quinn Hermann
7,Kevin Sutyla
8,James Godwin
10,Alexander Rudin
11,Ryan French
12,Corey Sostre
13,Josh Barnard
14,Daniel Carrier
15,Taylor Shuford
16,Victor Shen
18,Jacob Dillard
19,Alexander Prince
19,Christopher Zaino
22,Sawyer Linde
23,Alexandre Fall
27,Joe Spaeth
29,Nick Robinson
30,Robby Keough
30,Danny Krug
31,Alex Turney
32,John Scoville
33,Tanner Dellett-Wion
34,Trent Ballard
42,Christopher Letai
44,Jack Pipatti
70,Lincoln Hirn
74,Derek Schauss
78,Isaac Roberts
80,Brody McDevitt
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Carolina,Georgia,13,7,"03/30/2019, 09:00",Pool A,Final
Carleton College-CUT,Harvard,13,8,"03/30/2019, 09:00",Pool A,Final
Harvard,Virginia Tech,9,13,"03/30/2019, 11:00",Pool A,Final
Carleton College-CUT,Georgia,13,5,"03/30/2019, 11:00",Pool A,Final
North Carolina,Virginia Tech,13,11,"03/30/2019, 13:00",Pool A,Final
Georgia,Harvard,13,10,"03/30/2019, 13:00",Pool A,Final
North Carolina,Harvard,13,9,"03/30/2019, 15:00",Pool A,Final
Carleton College-CUT,Virginia Tech,13,7,"03/30/2019, 15:00",Pool A,Final
North Carolina,Carleton College-CUT,11,13,"03/30/2019, 17:00",Pool A,Final
Georgia,Virginia Tech,12,10,"03/30/2019, 17:00",Pool A,Final
pool,Pool B
Brown,Maryland,13,9,"03/30/2019, 09:00",Pool B,Final
Auburn,Northeastern,13,14,"03/30/2019, 09:00",Pool B,Final
Brown,Auburn,13,11,"03/30/2019, 11:00",Pool B,Final
North Carolina State,Northeastern,13,8,"03/30/2019, 11:00",Pool B,Final
Northeastern,Maryland,10,12,"03/30/2019, 13:00",Pool B,Final
North Carolina State,Auburn,13,8,"03/30/2019, 13:00",Pool B,Final
Brown,Northeastern,13,9,"03/30/2019, 15:00",Pool B,Final
North Carolina State,Maryland,13,8,"03/30/2019, 15:00",Pool B,Final
Brown,North Carolina State,13,10,"03/30/2019, 17:00",Pool B,Final
Auburn,Maryland,13,11,"03/30/2019, 17:00",Pool B,Final
pool,Pool C
Pittsburgh,Northwestern,13,7,"03/30/2019, 09:00",Pool C,Final
Tufts,William & Mary,13,9,"03/30/2019, 09:00",Pool C,Final
Pittsburgh,Tufts,13,9,"03/30/2019, 11:00",Pool C,Final
North Carolina-Wilmington,William & Mary,8,11,"03/30/2019, 11:00",Pool C,Final
William & Mary,Northwestern,12,10,"03/30/2019, 13:00",Pool C,Final
North Carolina-Wilmington,Tufts,11,13,"03/30/2019, 13:00",Pool C,Final
Pittsburgh,North Carolina-Wilmington,13,4,"03/30/2019, 15:00",Pool C,Final
Tufts,Northwestern,12,13,"03/30/2019, 15:00",Pool C,Final
Pittsburgh,William & Mary,13,9,"03/30/2019, 17:00",Pool C,Final
North Carolina-Wilmington,Northwestern,11,13,"03/30/2019, 17:00",Pool C,Final
pool,Pool D
Massachusetts,California-Santa Barbara,13,11,"03/30/2019, 09:00",Pool D,Final
Minnesota,Virginia,13,9,"03/30/2019, 09:00",Pool D,Final
Virginia,California-Santa Barbara,10,13,"03/30/2019, 11:00",Pool D,Final
Oregon,Minnesota,13,5,"03/30/2019, 11:00",Pool D,Final
Massachusetts,Minnesota,13,11,"03/30/2019, 13:00",Pool D,Final
Oregon,Virginia,13,8,"03/30/2019, 13:00",Pool D,Final
Massachusetts,Virginia,13,6,"03/30/2019, 15:00",Pool D,Final
Oregon,California-Santa Barbara,13,8,"03/30/2019, 15:00",Pool D,Final
Massachusetts,Oregon,13,15,"03/30/2019, 17:00",Pool D,Final
Minnesota,California-Santa Barbara,13,7,"03/30/2019, 17:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Carleton College-CUT,North Carolina State,13,8,"03/31/2019, 09:00",Quarterfinals,Final
Tufts,Oregon,12,15,"03/31/2019, 09:00",Quarterfinals,Final
Pittsburgh,Massachusetts,13,12,"03/31/2019, 09:00",Quarterfinals,Final
North Carolina,Brown,10,15,"03/31/2019, 09:00",Quarterfinals,Final
Carleton College-CUT,Oregon,15,12,"03/31/2019, 11:00",Semifinals,Final
Pittsburgh,Brown,11,12,"03/31/2019, 11:00",Semifinals,Final
Carleton College-CUT,Brown,12,15,"03/31/2019, 13:00",Finals,Final
bracket,3rd Place Game
Oregon,Pittsburgh,14,13,"03/31/2019, 13:00",3rd Place,Final
bracket,5th Place Bracket
North Carolina State,Tufts,12,10,"03/31/2019, 11:00",5th Place Semis,Final
Massachusetts,North Carolina,12,15,"03/31/2019, 11:00",5th Place Semis,Final
North Carolina State,North Carolina,0,0,"03/31/2019, 13:00",5th Place,Cancelled
bracket,7th Place Game
Massachusetts,Tufts,11,9,"03/31/2019, 13:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Georgia,Maryland,14,13,"03/31/2019, 09:00",9th Place Qtrs,Final
William & Mary,Minnesota,8,15,"03/31/2019, 09:00",9th Place Qtrs,Final
Northwestern,California-Santa Barbara,7,15,"03/31/2019, 09:00",9th Place Qtrs,Final
Virginia Tech,Auburn,12,13,"03/31/2019, 09:00",9th Place Qtrs,Final
Georgia,Minnesota,9,12,"03/31/2019, 11:00",9th Place Semis,Final
California-Santa Barbara,Auburn,13,12,"03/31/2019, 11:00",9th Place Semis,Final
Minnesota,California-Santa Barbara,15,7,"03/31/2019, 13:00",9th Place,Final
bracket,11th Place
Auburn,Georgia,5,15,"03/31/2019, 13:00",11th Place,Final
bracket,13th Place Bracket
Maryland,William & Mary,10,12,"03/31/2019, 11:00",13th Place Semis,Final
Northwestern,Virginia Tech,11,12,"03/31/2019, 11:00",13th Place Semis,Final
William & Mary,Virginia Tech,11,6,"03/31/2019, 13:00",13th Place ,Final
bracket,15th Place Game
Northwestern,Maryland,13,10,"03/31/2019, 13:00",15th Place,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Harvard,North Carolina-Wilmington,12,9,"03/31/2019, 09:00",Pool E,Final
Northeastern,Virginia,12,11,"03/31/2019, 09:00",Pool E,Final
Harvard,Virginia,10,12,"03/31/2019, 11:00",Pool E,Final
Northeastern,North Carolina-Wilmington,14,8,"03/31/2019, 11:00",Pool E,Final
Harvard,Northeastern,10,11,"03/31/2019, 13:00",Pool E,Final
North Carolina-Wilmington,Virginia,12,10,"03/31/2019, 13:00",Pool E,Final
b,r,e,a,k
