Santa Barbara Invite 2019,College - Men ,26,1,2019
https://play.usaultimate.org/events/Santa-Barbara-Invite-2019/schedule/Men/CollegeMen/
Southern California,8
14,Tyler Rudee
15,Nikolaus Elsaesser
16,Ian Watts
20,Devan Hollar
21,Jeremy King
23,Ryan Messersmith
24,Nicholas Farren
27,Liam Scobey-Polacheck
28,Zachary Heffron
29,Travis Vickers
33,Casey Bates
40,Jackson Tseng
42,Matt Kordonsky
43,Kevin Shea
44,Jonathan Bowers
55,Matthew Kamimura
76,Jack Carlson
80,Thomas Baldwin
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday
pool,Pool A 
Washington,Arizona,13,8,"01/26/2019, 08:00",Pool A 
California,Michigan State,13,4,"01/26/2019, 08:00",Pool A 
Washington,California,13,6,"01/26/2019, 09:45",Pool A 
Southern California,Michigan State,13,8,"01/26/2019, 09:45",Pool A 
Michigan State,Arizona,5,13,"01/26/2019, 11:30",Pool A 
Southern California,California,13,11,"01/26/2019, 11:30",Pool A 
Washington,Michigan State,13,5,"01/26/2019, 13:15",Pool A 
Washington,Southern California,12,13,"01/26/2019, 15:00",Pool A 
California,Arizona,13,6,"01/26/2019, 15:00",Pool A 
Southern California,Arizona,10,11,"01/26/2019, 17:00",Pool A 
pool,Pool B 
Cal Poly-SLO,California-Santa Cruz,13,6,"01/26/2019, 08:00",Pool B 
Texas-Dallas,Western Washington University,13,10,"01/26/2019, 08:00",Pool B 
Cal Poly-SLO,Texas-Dallas,13,6,"01/26/2019, 09:45",Pool B 
Dartmouth,Western Washington University,8,12,"01/26/2019, 09:45",Pool B 
Western Washington University,California-Santa Cruz,13,11,"01/26/2019, 11:30",Pool B 
Cal Poly-SLO,Western Washington University,13,3,"01/26/2019, 13:15",Pool B 
Dartmouth,California-Santa Cruz,13,7,"01/26/2019, 13:15",Pool B 
Cal Poly-SLO,Dartmouth,13,8,"01/26/2019, 15:00",Pool B 
Texas-Dallas,California-Santa Cruz,13,9,"01/26/2019, 15:00",Pool B 
Dartmouth,Texas-Dallas,6,13,"01/26/2019, 17:00",Pool B 
pool,Pool C 
Stanford,California-San Diego,12,9,"01/26/2019, 08:00",Pool C 
Victoria,California-Santa Barbara,13,11,"01/26/2019, 08:00",Pool C 
Connecticut,California-Santa Barbara,7,13,"01/26/2019, 09:45",Pool C 
California-Santa Barbara,California-San Diego,13,8,"01/26/2019, 11:30",Pool C 
Connecticut,Victoria,11,12,"01/26/2019, 11:30",Pool C 
Stanford,Victoria,8,13,"01/26/2019, 13:15",Pool C 
Connecticut,California-San Diego,5,13,"01/26/2019, 13:15",Pool C 
Stanford,Connecticut,12,9,"01/26/2019, 15:00",Pool C 
Victoria,California-San Diego,13,8,"01/26/2019, 15:00",Pool C 
Stanford,California-Santa Barbara,11,13,"01/26/2019, 17:00",Pool C 
pool,Pool D
Brigham Young,British Columbia,13,10,"01/26/2019, 08:00",Pool D
Brigham Young,UCLA,13,9,"01/26/2019, 09:45",Pool D
Colorado State University,Santa Clara,13,5,"01/26/2019, 09:45",Pool D
Santa Clara,British Columbia,6,13,"01/26/2019, 11:30",Pool D
Colorado State University,UCLA,13,6,"01/26/2019, 11:30",Pool D
Brigham Young,Santa Clara,13,2,"01/26/2019, 13:15",Pool D
Colorado State University,British Columbia,10,13,"01/26/2019, 13:15",Pool D
UCLA,Santa Clara,13,11,"01/26/2019, 15:00",Pool D
Brigham Young,Colorado State University,13,7,"01/26/2019, 15:00",Pool D
UCLA,British Columbia,12,13,"01/26/2019, 17:00",Pool D
b,r,e,a,k
brackets,Sunday
bracket,Championship
British Columbia,Cal Poly-SLO,9,13,"01/27/2019, 13:15",FINALS
Southern California,British Columbia,7,13,"01/27/2019, 11:30",Semis
Cal Poly-SLO,Victoria,13,7,"01/27/2019, 11:30",Semis
Southern California,Stanford,13,8,"01/27/2019, 09:45",Quarters
Cal Poly-SLO,Washington,13,11,"01/27/2019, 09:45",Quarters
Victoria,California,11,9,"01/27/2019, 09:45",Quarters
British Columbia,California-Santa Barbara,13,9,"01/27/2019, 09:45",Quarters
Texas-Dallas,Stanford,11,13,"01/27/2019, 08:00",Prequaters
Washington,UCLA,13,8,"01/27/2019, 08:00",Prequaters
Colorado State University,California,13,14,"01/27/2019, 08:00",Prequaters
California-Santa Barbara,Western Washington University,14,13,"01/27/2019, 08:00",Prequaters
bracket,9th
Colorado State University,Texas-Dallas,10,9,"01/27/2019, 11:30",9th
Colorado State University,UCLA,12,10,"01/27/2019, 09:45",Prequarters Defeat
Western Washington University,Texas-Dallas,10,11,"01/27/2019, 09:45",Prequarters Defeat
bracket,11th
Western Washington University,UCLA,5,13,"01/27/2019, 11:30",11th
bracket,7th
California-Santa Barbara,Stanford,0,0,"01/27/2019, 13:15",7th
bracket,3rd
Southern California,Victoria,11,13,"01/27/2019, 13:15",3rd
bracket,Consolation - Reseeded 4s
Dartmouth,California-San Diego,13,10,"01/27/2019, 09:45",13th
Arizona,Dartmouth,7,13,"01/27/2019, 08:00",Reseeded 4s
California-San Diego,Santa Clara,14,13,"01/27/2019, 08:00",Reseeded 4s
bracket,15th
Santa Clara,Arizona,11,13,"01/27/2019, 11:30",15th
b,r,e,a,k
brackets,Friday Night
bracket,BYU v UCSB
Brigham Young,California-Santa Barbara,13,10,"01/25/2019, 18:00",BYU v UCSB
bracket,BYU v Cal Poly SLO
Brigham Young,Cal Poly-SLO,13,9,"01/25/2019, 19:30",BYU v Cal Poly SLO
b,r,e,a,k
pools,Pool Z
pool,Pool E
California-Santa Cruz,Connecticut,13,12,"01/27/2019, 08:00",Pool E
Michigan State,California-Santa Cruz,11,13,"01/27/2019, 11:30",Pool E
Michigan State,Connecticut,11,13,"01/27/2019, 13:15",Pool E
b,r,e,a,k
brackets,5th
bracket,5th
California,Washington,12,10,"01/27/2019, 13:15",5th
California,California-Santa Barbara,12,8,"01/27/2019, 11:30",Round Name
Stanford,Washington,11,12,"01/27/2019, 11:30",Round Name
b,r,e,a,k
