TCT Select Flight Invite - East 2019,Club - Mixed ,27,7,2019
Columbus,OH,2019-07-27,2019-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2019/schedule/Mixed/Club-Mixed
Chalice,12
Chalice,Columbus Cocktails,11,13,"07/28/2019, 12:40",Finals,Final
Chalice,Steamboat,13,12,"07/28/2019, 10:50",Semifinals,Final
Columbus Cocktails,Alloy,13,12,"07/28/2019, 10:50",Semifinals,Final
Chalice,Woodwork,13,10,"07/28/2019, 09:00",Quarters,Final
Bucket,Columbus Cocktails,8,13,"07/28/2019, 09:00",Quarters,Final
Wild Card,Alloy,12,13,"07/28/2019, 09:00",Quarters,Final
Hybrid,Steamboat,12,13,"07/28/2019, 09:00",Quarters,Final
Woodwork,8 Bit Heroes,14,13,"07/27/2019, 16:20",Pre-Quarters,Final
The Chad Larson Experience,Columbus Cocktails,10,13,"07/27/2019, 16:20",Pre-Quarters,Final
Storm,Alloy,11,12,"07/27/2019, 16:20",Pre-Quarters,Final
Steamboat,JLP,12,6,"07/27/2019, 16:20",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Steamboat,Alloy,6,11,"07/28/2019, 12:40",3rd Place,Final
bracket,5th Place
Wild Card,Bucket,12,11,"07/28/2019, 12:40",5th Place,Final
Woodwork,Wild Card,6,13,"07/28/2019, 10:50",5th Place Semifinals,Final
Hybrid,Bucket,11,12,"07/28/2019, 10:50",5th Place Semifinals,Final
bracket,7th Place
Woodwork,Hybrid,12,9,"07/28/2019, 12:40",7th Place,Final
bracket,9th Place
Storm,The Chad Larson Experience,11,10,"07/28/2019, 10:50",9th Place,Final
8 Bit Heroes,Storm,10,13,"07/28/2019, 09:00",9th Place Semifinals,Final
JLP,The Chad Larson Experience,10,13,"07/28/2019, 09:00",9th Place Semifinals,Final
bracket,11th Place
8 Bit Heroes,JLP,13,10,"07/28/2019, 10:50",11th Place,Final
b,r,e,a,k
pools,13th-16th Place Round Robin
pool,Pool E
Bird,Northern Comfort,8,9,"07/27/2019, 16:20",Pool E,Final
Tequila Mockingbird,American Barbecue,7,13,"07/27/2019, 16:20",Pool E,Final
Bird,American Barbecue,9,13,"07/28/2019, 12:40",Pool E,Final
Tequila Mockingbird,Northern Comfort,9,11,"07/28/2019, 12:40",Pool E,Final
Bird,Tequila Mockingbird,8,10,"07/28/2019, 14:30",Pool E,Final
Northern Comfort,American Barbecue,9,11,"07/28/2019, 14:30",Pool E,Final
b,r,e,a,k
