Northeast Club Men's Regional Championship 2019,Club - Men ,21,9,2019
https://play.usaultimate.org/events/Northeast-Club-Mens-Regional-Championship-2019/schedule/Men/Club-Men/
PoNY,1
14,Kai DeLorenzo
17,Andrew Zaccardi
17,Ben Goossen
33,Conor Eckert
33,Nick Jewell
50,Harrison Greene
51,Jared Kannel
64,Benjamin Centracchio
b,r,e,a,k
Shade,6
0,Bennett Taren
0,Chris Nelson
0,David Willis
0,Dean Acheson
0,Dustin Becker
0,Eric Tagliaferre
0,Eric Moore
0,William Perry
1,Taylor Rasco
2,Ryan Saffa
3,Brandon Shaw
3,Calvin Vannoy
6,Alexander Heath
10,Jonathan Lao
13,Jay Sehgal
13,Nicholas Eng
15,Alexander Isik
16,Brett Kaiser
16,Patrick So
21,Mitchell Sayasene
23,Michael Agarenzo
31,Aron Szanto
36,Ethan Holmgren
40,Jordan Hupp
61,Matthew Weintraub
68,Chris Kelly
99,Stefan Dicker
b,r,e,a,k
Overcast,16
0,Anthony Miuccio
0,Arron Danehy
0,Bryan Bausinger
0,Colin O'Keefe
0,Conor Lenahan
0,Garrett Rightler
0,Iain Tracton
0,Jonathan Bain
0,Matt Carter
0,Paul DeGennaro
0,Scott Scheers
0,Lee Martel
2,Jonathan Willman
6,Dylan Hannaford 
12,Xavier Schafer
13,David Hojnowski
23,Jack Rossetti
31,Kobe Oley
36,Andrew Gallagher
47,Martin Sak
55,Jason Hughes
73,Mark Hansen
b,r,e,a,k
Sprout,4
0,Ben Faust
01,Alex Sylvester
02,John Irvine
03,Ben Sadok
04,Trevor Conners
05,Wyatt Kellman
07,William Neff
09,Dillon Monti
10,Rustin Ingold-Smith
12,Gabriel Franklin
14,Miles Montgomery-Butler
17,Reuben Philip
18,Brett Gramann
19,Spencer Pitkin
21,Connor Ryan
21,Jeff Graham
22,Cole Davis-Brand
24,Cameron Wariner
26,William Thornton
27,Amos Adams
31,Eddie Scott
33,Russell Wallack
42,Liam Gallinagh
47,Caleb Seamon
80,Chris Bartoli
88,Lukas Becker
96,Jared Scheinberg
b,r,e,a,k
Red Circus,10
0,Brent Wallace
0,Breton McPhee
0,Brett Chiasson
0,Casper Macaulay
0,Cooper Toogood
0,Grant MacDonald
0,Greer Hunt
0,Greg Webb
0,Greg Dennis
0,Evan Mercer
0,Felix Zhou
0,James McKenna
0,Kyle Chapman
0,Stephen Creaser
5,David Archibald
11,John Snow
12,Tyler Smith
16,Martin James
17,John Brown
19,Sam Cameron
54,Luke Pitts
56,Dennis Trainor
80,Hannes Becker
83,Garrett Jung
89,Stephen Snow
91,Andrew Johnston
b,r,e,a,k
Blueprint,5
0,Benjamin West
0,Carter Wang
0,Carter Thallon
0,Chris Walsh
0,Daniel Thornton
0,Eliot Bemis
0,Evan Ma
0,Gabe Stump
0,Geoffrey Zheng
0,Jeffrey Voss
0,Jesse Gan
0,Jonathan Kwan
0,Josh Imhoff
0,Alon Brown
0,Max Cohen
0,Owen Marschall
0,Samuel Feder
0,Samuel Pollack
0,Tom Sum
0,Ruozhou Ye
1,Sam Alston
3,Peter Nauffts
9,Victor Kao
10,Andrew Edelman
14,Ian McInerney
15,Juleon Robinson
71,Denis Maguire
b,r,e,a,k
Somerville BAG,15
0,Aaron Epstein
0,Alex Caulfield
0,Arthur Abbate
0,Benjamin Kass-Mullet
0,Bryce Walsh
0,Charles Caron
0,Daniel Bronshvayg
0,Gene Buonaccorsi
0,Henry Caron
0,Lucas Lytel
0,Nicholas Adolph
0,Robert Shapiro
0,Russell Ruffolo
0,Ryan Cornelius
0,Samuel Saron
6,William Simon
10,Kevin Walton
13,Oliver Newland
25,Benjamin Wittenberg
72,Dylan Frank
73,Benjamin Kukura
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
PoNY,Deathsquad,13,3,"09/21/2019, 10:35",Pool A
Lantern,Genny The Boys (GTB),13,4,"09/21/2019, 10:35",Pool A
PoNY,Genny The Boys (GTB),13,4,"09/21/2019, 12:10",Pool A
Lantern,Deathsquad,11,10,"09/21/2019, 12:10",Pool A
PoNY,Lantern,13,5,"09/21/2019, 13:45",Pool A
Deathsquad,Genny The Boys (GTB),13,4,"09/21/2019, 13:45",Pool A
pool,Pool B
GOAT,Magma Bears,13,8,"09/21/2019, 09:00",Pool B
Phoenix,Log Jam,13,6,"09/21/2019, 09:00",Pool B
GOAT,Log Jam,13,3,"09/21/2019, 10:35",Pool B
Phoenix,Magma Bears,13,10,"09/21/2019, 10:35",Pool B
GOAT,Phoenix,11,10,"09/21/2019, 13:45",Pool B
Magma Bears,Log Jam,12,7,"09/21/2019, 13:45",Pool B
pool,Pool C
DiG,Big Wrench,13,6,"09/21/2019, 09:00",Pool C
Shade,Overcast,13,6,"09/21/2019, 09:00",Pool C
DiG,Overcast,13,5,"09/21/2019, 12:10",Pool C
Shade,Big Wrench,12,13,"09/21/2019, 12:10",Pool C
DiG,Shade,13,6,"09/21/2019, 13:45",Pool C
Big Wrench,Overcast,13,9,"09/21/2019, 13:45",Pool C
pool,Pool D
Sprout,Red Circus,13,8,"09/21/2019, 09:00",Pool D
Blueprint,Somerville BAG,13,8,"09/21/2019, 09:00",Pool D
Sprout,Somerville BAG,13,6,"09/21/2019, 10:35",Pool D
Blueprint,Red Circus,10,12,"09/21/2019, 10:35",Pool D
Sprout,Blueprint,13,7,"09/21/2019, 13:45",Pool D
Red Circus,Somerville BAG,13,8,"09/21/2019, 13:45",Pool D
b,r,e,a,k
clusters,Round 4 Crossovers
cluster,Crossovers
PoNY,DiG,15,10,"09/21/2019, 15:20",
GOAT,Sprout,13,12,"09/21/2019, 15:20",
Red Circus,Magma Bears,15,10,"09/21/2019, 15:20",
Big Wrench,Deathsquad,11,13,"09/21/2019, 15:20",
Phoenix,Blueprint,15,7,"09/21/2019, 15:20",
Lantern,Shade,6,15,"09/21/2019, 15:20",
b,r,e,a,k
brackets,Brackets
bracket,1st/2nd Place
PoNY,DiG,10,15,"09/22/2019, 13:00",1st/2nd Place
PoNY,Sprout,16,14,"09/22/2019, 11:00",1st Semifinals
DiG,GOAT,15,11,"09/22/2019, 11:00",1st Semifinals
PoNY,Phoenix,15,7,"09/22/2019, 09:00",1st Quarters
Deathsquad,Sprout,11,15,"09/22/2019, 09:00",1st Quarters
DiG,Red Circus,15,7,"09/22/2019, 09:00",1st Quarters
Shade,GOAT,9,15,"09/22/2019, 09:00",1st Quarters
bracket,3rd/4th Place
GOAT,Sprout,14,10,"09/22/2019, 15:00",3rd/4th Place
Phoenix,GOAT,6,15,"09/22/2019, 13:00",3rd Semifinals
Red Circus,Sprout,6,15,"09/22/2019, 13:00",3rd Semifinals
Phoenix,Deathsquad,15,9,"09/22/2019, 11:00",3rd Quarters
Red Circus,Shade,11,10,"09/22/2019, 11:00",3rd Quarters
bracket,7th/8th Place
Deathsquad,Shade,12,15,"09/22/2019, 13:00",7th/8th Place
bracket,5th/6th Place
Phoenix,Red Circus,0,1,"09/22/2019, 15:00",5th/6th Place
bracket,9th/10th Place
Lantern,Blueprint,12,15,"09/22/2019, 15:00",9th/10th Place
Magma Bears,Lantern,10,13,"09/22/2019, 11:00",9th Semifinals
Blueprint,Big Wrench,14,8,"09/22/2019, 13:00",9th Semifinals
Magma Bears,Genny The Boys (GTB),12,10,"09/22/2019, 09:00",9th Quarters
Log Jam,Lantern,8,13,"09/22/2019, 09:00",9th Quarters
Blueprint,Overcast,15,8,"09/22/2019, 11:00",9th Quarters
Somerville BAG,Big Wrench,7,15,"09/22/2019, 11:00",9th Quarters
bracket,11th/12th Place
Magma Bears,Big Wrench,0,1,"09/22/2019, 15:00",11th/12th Place
bracket,13th/14th Place
Log Jam,Somerville BAG,0,1,"09/22/2019, 15:00",13th/14th Place
Genny The Boys (GTB),Log Jam,0,1,"09/22/2019, 13:00",13th Semifinals
Overcast,Somerville BAG,13,14,"09/22/2019, 13:00",13th Semifinals
bracket,15th/16th Place
Genny The Boys (GTB),Overcast,0,1,"09/22/2019, 15:00",15th/16th Place
b,r,e,a,k
