USA Ultimate National Championships,Club - Mixed ,24,10,2019
San Diego,CA,2019-10-24,2019-10-27
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2019/schedule/Mixed/Club-Mixed
BFG,8
Slow White,5
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/SlowWhiteUltimate/,https://twitter.com/SlowWhite_
coaches,Marshall Goff
06,Piper Curtis
09,Eric Shaw
10,Ryan Turner
15,Caitlin Fitzgerald
19,Olivia Hampton
21,Patrick Barron
24,Andy Schachter
50,Shaun Doherty
51,Tannor Johnson
52,Alexander Trahey
53,Brett Tan
54,David Friedman
55,Ryan Cardinal
56,Amy Stoddard
57,Arielle Nelson
59,Renata Pepi
60,Caitlin Go
61,Caroline Collis
62,Leanne Go
63,Tess Johnson
64,Ivan Tran
65,Eli Motycka
66,Emilia Scheemaker
67,Walker Hatchett
68,Marcel Oliart
69,Orion Cable
b,r,e,a,k
Wild Card,4
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
coaches,Michael MacKenzie
02,Reba Havis
03,Ian Engler
04,Hannah Crowley
05,Andrew Pillsbury
06,Jac Carreiro
07,Maxwell Rick
08,Connor Fortin
09,John Rahill
11,Lloyd Olson
12,Andrea Brown
15,Claire Dunn
17,Tamar Austin
21,Eva Petzinger
22,Kayla Huddell
23,Jodi Robert
27,Sarah Judd
30,Kyle Johnson
31,Sarah Hansen
33,Margo Urheim
34,Gustav Haflin
35,Cody McInnis
37,Matthew Heath
46,Luke Webb
73,Katharine Sullivan
84,Alex Kapinos
87,Nate August
88,Hailey Alm
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,Public Enemy,15,14,"10/24/2019, 09:00",Pool A,Final
BFG,Columbus Cocktails,15,13,"10/24/2019, 09:00",Pool A,Final
Drag'n Thrust,Columbus Cocktails,15,8,"10/24/2019, 11:15",Pool A,Final
BFG,Public Enemy,15,9,"10/24/2019, 11:15",Pool A,Final
Drag'n Thrust,BFG,10,15,"10/24/2019, 13:30",Pool A,Final
Public Enemy,Columbus Cocktails,14,15,"10/24/2019, 13:30",Pool A,Final
pool,Pool B
Seattle Mixtape,Toro,14,8,"10/24/2019, 11:15",Pool B,Final
Space Heater,Polar Bears,13,12,"10/24/2019, 11:15",Pool B,Final
Seattle Mixtape,Polar Bears,14,9,"10/24/2019, 13:30",Pool B,Final
Space Heater,Toro,15,10,"10/24/2019, 13:30",Pool B,Final
Seattle Mixtape,Space Heater,15,12,"10/24/2019, 15:45",Pool B,Final
Toro,Polar Bears,12,13,"10/24/2019, 15:45",Pool B,Final
pool,Pool C
AMP,Snake Country,12,14,"10/24/2019, 09:00",Pool C,Final
Mischief,MOONDOG,12,10,"10/24/2019, 09:00",Pool C,Final
AMP,MOONDOG,13,10,"10/24/2019, 13:30",Pool C,Final
Mischief,Snake Country,14,10,"10/24/2019, 13:30",Pool C,Final
AMP,Mischief,12,14,"10/24/2019, 15:45",Pool C,Final
Snake Country,MOONDOG,15,5,"10/24/2019, 15:45",Pool C,Final
pool,Pool D
Wild Card,shame.,13,15,"10/24/2019, 09:00",Pool D,Final
