Oak Creek Challenge 2019,College - Men ,23,2,2019
https://play.usaultimate.org/events/Oak-Creek-Challenge-2019/schedule/Men/CollegeMen/
Liberty,9
0,Ben Durkee
0,Christian Chapis
0,Damon Luk
0,David Widdowson
0,Deven Amann-Rao
0,Kevin Latwis
0,Noah Katz
0,Samuel Paleologopoulos
0,Evan Comisac
0,Sean Cranney
0,Thomas McManus
0,Tino Magazzolo
20,Sean McCoy
26,Vincent Rienzi
35,Valentin Post
36,Ethan Holmgren
40,Evan Williams
61,Timothy Predmore
69,John Lund
b,r,e,a,k
Salisbury,19
0,alex sperling
0,Anthony Rich
0,Benjamin Johnson
0,Dennis  Seyfried
0,Jack Chavez
0,Nicholas Miller
0,Samuel Mastracci
0,Timothy Lee
4,Gilbert (Will) Stange
12,Nick Feehley
16,Andrew Haney
23,Christopher Gladden
99,Kyle Bishop
b,r,e,a,k
Navy,14
0,Benjamin McLellan
0,Christian Schwien
0,Connor Caniglia
0,Dean Cole
0,Isaac Thompson
0,Jamison Julian
0,John Baldwin
0,Richard Brophy
0,Samuel Little
1,Justin Miller
2,Caleb Vargo
3,Thomas Larrea
08,Jay Wallen
11,Jacob Lunn
12,Roscoe Gillum
13,Andre Hichue
19,Anthony Armad
54,Andrew Beck
85,Tyler Reasner
b,r,e,a,k
RIT,4
0,Ryan Kelly
9,John Ackerman
17,Iain Tracton
18,Caleb Ng
21,Andrew Pasek
23,Caleb Guillaume
24,Jacob Watts-St. Germain
25,Max Avratin
32,Dalton Burroughs
41,Maxwell Sample
45,Michael Duncan
70,Cal Miller
95,Peter Carter
b,r,e,a,k
West Chester,12
0,Alex Troncelliti
0,Calvin Green
0,Chris Popeck
0,Dan Ruban
0,Edward Eckert
0,Frank Dalton III
0,Jonathan Romero
0,Joshua Diaz
0,Pierce Mahon
0,Ryan Fowler
0,Ryan Carr
0,Ryan Gardiner
0,Samuel Larson
0,Seth Asher
0,Victor Yin
3,Austin Lillis
12,Andrew  Poulos
15,Evan Revta
17,Sean Laughlin
23,Shadow Deyo
24,Dustin Henken
38,Christopher Bukacz
41,Charles Villano
45,Nicholas DiGiorgio
53,Carter Grimm
59,Peter  Gerdt
b,r,e,a,k
Virginia Commonwealth,5
00,Griffin Schutte
00,Keegan Manning
03,Mitchell Parry
04,Samuel Seaton
05,Robert Blake Packard
07,Hunter Kobrinetz
08,Enrique Matias
12,Brendan White
13,Austin Smith
15,Jonathan Diaz
15,Jonathan Deza
16,Christian McCord-Snook
18,William McGovern
20,Brian Dagliano
21,Sohail Syed
23,Blake Carlson
25,Dustin Hanson
27,Jonathan Coppage
29,Jackson Rebraca
33,Nick Evans
43,Jay Kaul
47,Bryan Frumkin
50,Rohan Ray
51,Christopher Estes
54,Matthew Burbach
69,Markus Wolf
77,Garrett Every
82,Curtis Farmer
88,Austin Swift
99,Keith Powell
b,r,e,a,k
Christopher Newport,20
0,Justin Mabry
0,Noah Crawford
0,Paul Kearney
0,William Nicoud
2,Joshua Nelson
3,Daniel Bauer
4,Josh Beck
6,Nicholas Varcadipane
7,Sean Walsh
8,Charles Zambito
9,Luis Rivera
13,Adam Krim
17,Sam Shear
24,Alex Posey
26,Samuel Swenson-Reinhold
36,Sean Luffy
42,Marshall Hoar
48,Shane Kearney
52,Charles Baird
54,Michael Buontempo
68,Justin Kane
70,Joseph Picone
76,Jake Boles
84,Liam Porter
b,r,e,a,k
East Carolina,13
0,Matthew  Elvington
1,Devin Fletcher
2,Andrew Bowers
3,Ethan Mills
4,Thomas Schiltz
8,George Hicks
9,Thomas Follett
13,Christopher Byrd
14,Zachary Baldwin
20,Alexander Hondros
22,Ryan McCabe
23,Taylor Crotts
26,Jay Harrill
27,Jacob Klug
30,Hunter Gibbs
31,Andrew Vande Berg
42,Thomas Bowen
43,Alexander Lesko
69,Luke Fogarty
87,Noah Munn
96,Ryland Stacy
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Rutgers,Wake Forest,13,0,"02/23/2019, 09:00",Pool A
Liberty,American,13,2,"02/23/2019, 09:00",Pool A
Rutgers,Liberty,9,10,"02/23/2019, 10:50",Pool A
North Carolina (B),American,10,3,"02/23/2019, 10:50",Pool A
American,Wake Forest,5,11,"02/23/2019, 12:40",Pool A
North Carolina (B),Liberty,10,11,"02/23/2019, 12:40",Pool A
Rutgers,American,13,2,"02/23/2019, 14:30",Pool A
North Carolina (B),Wake Forest,13,0,"02/23/2019, 14:30",Pool A
Rutgers,North Carolina (B),12,8,"02/23/2019, 16:20",Pool A
Liberty,Wake Forest,13,1,"02/23/2019, 16:20",Pool A
pool,Pool B
Princeton,Towson,11,4,"02/23/2019, 09:00",Pool B
Shippensburg,Maryland-Baltimore County,10,9,"02/23/2019, 09:00",Pool B
Princeton,Shippensburg,11,6,"02/23/2019, 10:50",Pool B
Drexel University,Maryland-Baltimore County,13,6,"02/23/2019, 10:50",Pool B
Maryland-Baltimore County,Towson,10,6,"02/23/2019, 12:40",Pool B
Drexel University,Shippensburg,13,6,"02/23/2019, 12:40",Pool B
Princeton,Maryland-Baltimore County,13,2,"02/23/2019, 14:30",Pool B
Drexel University,Towson,11,5,"02/23/2019, 14:30",Pool B
Princeton,Drexel University,10,9,"02/23/2019, 16:20",Pool B
Shippensburg,Towson,11,2,"02/23/2019, 16:20",Pool B
pool,Pool C
Brandeis,Salisbury,13,4,"02/23/2019, 09:00",Pool C
Cedarville,Navy,12,10,"02/23/2019, 09:00",Pool C
Brandeis,Cedarville,13,6,"02/23/2019, 10:50",Pool C
Lehigh,Navy,13,6,"02/23/2019, 10:50",Pool C
Navy,Salisbury,8,13,"02/23/2019, 12:40",Pool C
Lehigh,Cedarville,8,13,"02/23/2019, 12:40",Pool C
Brandeis,Navy,13,5,"02/23/2019, 14:30",Pool C
Lehigh,Salisbury,13,3,"02/23/2019, 14:30",Pool C
Brandeis,Lehigh,10,3,"02/23/2019, 16:20",Pool C
Cedarville,Salisbury,13,1,"02/23/2019, 16:20",Pool C
pool,Pool D
RIT,Christopher Newport,13,8,"02/23/2019, 09:00",Pool D
West Chester,East Carolina,9,7,"02/23/2019, 09:00",Pool D
RIT,West Chester,11,10,"02/23/2019, 10:50",Pool D
Virginia Commonwealth,East Carolina,8,7,"02/23/2019, 10:50",Pool D
East Carolina,Christopher Newport,8,11,"02/23/2019, 12:40",Pool D
Virginia Commonwealth,West Chester,9,10,"02/23/2019, 12:40",Pool D
RIT,East Carolina,13,9,"02/23/2019, 14:30",Pool D
Virginia Commonwealth,Christopher Newport,8,4,"02/23/2019, 14:30",Pool D
RIT,Virginia Commonwealth,12,6,"02/23/2019, 16:20",Pool D
West Chester,Christopher Newport,11,3,"02/23/2019, 16:20",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Liberty,Brandeis,9,8,"02/24/2019, 14:30",Finals
Liberty,RIT,11,10,"02/24/2019, 12:30",Semis
Brandeis,Princeton,11,9,"02/24/2019, 12:30",Semis
Liberty,Drexel University,15,10,"02/24/2019, 08:30",Quarters
RIT,Cedarville,12,8,"02/24/2019, 08:30",Quarters
Brandeis,West Chester,12,8,"02/24/2019, 08:30",Quarters
Princeton,Rutgers,10,9,"02/24/2019, 08:30",Quarters
bracket,3rd place
RIT,Princeton,7,9,"02/24/2019, 14:30",Finals
bracket,5th place
Cedarville,Rutgers,11,15,"02/24/2019, 12:30",Finals
Drexel University,Cedarville,12,13,"02/24/2019, 10:30",Semis
West Chester,Rutgers,6,13,"02/24/2019, 10:30",Semis
bracket,7th place
Drexel University,West Chester,11,6,"02/24/2019, 12:30",Finals
b,r,e,a,k
brackets,Consolation
bracket,9th place
North Carolina (B),Lehigh,9,15,"02/24/2019, 12:30",Finals
North Carolina (B),Virginia Commonwealth,10,9,"02/24/2019, 10:30",Semis
Lehigh,Shippensburg,15,6,"02/24/2019, 10:30",Semis
North Carolina (B),Maryland-Baltimore County,15,9,"02/24/2019, 08:30",Quarters
Virginia Commonwealth,Salisbury,15,5,"02/24/2019, 08:30",Quarters
Lehigh,Christopher Newport,15,11,"02/24/2019, 08:30",Quarters
Shippensburg,Wake Forest,15,7,"02/24/2019, 08:30",Quarters
bracket,11th place
Virginia Commonwealth,Shippensburg,12,14,"02/24/2019, 12:30",Finals
bracket,13th place game 1
Maryland-Baltimore County,Salisbury,15,10,"02/24/2019, 10:30",Finals
bracket,13th place game 2
Christopher Newport,Wake Forest,15,7,"02/24/2019, 10:30",Finals
bracket,17th place
East Carolina,Navy,12,9,"02/24/2019, 12:30",Finals
American,East Carolina,8,14,"02/24/2019, 10:30",Semis
Towson,Navy,3,15,"02/24/2019, 10:30",Semis
bracket,19th place
American,Towson,7,11,"02/24/2019, 12:30",Finals
b,r,e,a,k
