Texas 2 Finger - Men's and Women's,Club - Men ,29,6,2019
The Colony,TX,2019-06-29,2019-06-30
https://play.usaultimate.org/events/Texas-2-Finger---Mens-and-Womens/schedule/Men/Club-Men/
H.I.P,1
13,Joseph Fortunato
16,Tyler Jennings
18,Collin Dabbieri
23,Everest Shapiro
24,Kong Hui Lim
25,Daniel Pfaff
36,Christopher Leonard
69,Jonathan Grill
96,Austin Gould
99,Bailey Vaughn
b,r,e,a,k
Alamode,17
teamInfo,,"San Antonio, Texas",,,
0,Antonio Sagar
0,Blake Fall
0,Joseph Newman
1,Skye Knight
3,Harrison Greaves
5,Daniel 'Chach' Smith-Salgado
5,Nolan Campbell
9,Eric Menard
12,Belisario Garza
14,Joseph Morales
16,Steven Glatt
19,Darren Churn
26,Dylan Chbeir
30,Tyler Zinck
44,Junaid Ramzan
69,Cameron Brown
92,Benjamin Andrade
b,r,e,a,k
Nitro,2
teamInfo,,"Dallas, Texas",,,
1,Wesley Miaw
2,Emmanuel Bilolo
3,Tyler Criss
4,Ryan Kyle
4,Julius Hubby
5,Darius Tse
6,Preston Howell
7,Andrue Guerrero
9,Bryan Hoffman
10,Jason Hustad
11,Andrew Maloney
12,Phillip Young
13,Christopher Fogel
17,Darren Phillips
19,Victor Mao
21,Alexander Brouwer
22,Scott Zachary
23,Kevin Bowman
25,George Lampron
27,Jeffrey Adams
32,Joseph Welkener
33,Michael Wilson
43,Peter Rangel
48,Jimmy Pignetti
81,Colin Doescher
89,Jack Wooldridge
99,Tanner Roberts
b,r,e,a,k
Texas United,10
teamInfo,,"Dallas, Texas",,,
coaches,Darius Tse
0,Blake Henke
0,Daniel Welkener
0,Jackson Cole
0,Jake Worthington
0,Luke Allen
0,Peter Ngo
0,Ryan Poe
0,Zach Egge
0,Zachary Slayton
9,Jackson Potts
17,Sean Hall
22,Colton Green
23,Ryan Whisenhunt
33,Aaron Barcio
34,Timothy Mosher
b,r,e,a,k
Gaucho,7
teamInfo,,"Austin, Texas",,https://www.facebook.com/GauchoUltimate/,https://twitter.com/Gaucho_Ultimate
0,Clayton Selby
0,Daniel Trotter
0,Jacob Sames
0,Jason Jenkins
0,Jose Tamez Durandeau
0,Hayden Stone
0,Michael Clark
0,Saaketh Palchuru
0,Travis Wright
0,Troy Abbott
1,Jack Ostrand
1,Kolbe Bauer
2,Erik Atwell
3,Michael Paniagua
10,Garrett Wilson
34,Trevor Elam
36,Steven Naji
43,Joseph Wylie
49,Michael Wode
98,Samuel Tagle
b,r,e,a,k
Louisiana Second Line,18
teamInfo,,"Baton Rouge, Louisiana",https://secondlineultimate.weebly.com,,
coaches,Kyle Breen
0,Collin Casseri
3,James Lindquist
4,Jonah Hagstad
5,Michael Bianca
6,Tyler Rogers-Himel
07,Evan Bourgeois
10,Marty McGreal
11,Charles Gordon
13,Adam Budd
15,Ben Watts
21,Zach  Welsh
22,Luke Anseman
23,Gabriel Hardy
25,Nicholas Major
29,Josh Hollier
47,Samuel Wagner
78,Michael Gonzalez
b,r,e,a,k
Messengers,15
teamInfo,,"Austin, Texas",http://riversideultimate.org,,
coaches,Sean Douglass
0,Andrew Hall
0,Ben Walter
0,Christopher Manning
0,Ethan Troxell
0,Harrison Tanner
0,Harry Lauhon
0,Jackson Arnecke
0,Jairo Munoz
0,Julian Tolentino
0,Michael Nguyen
0,Raymond Schroeder
0,Tyler Hustad
4,Samuel Morrall
10,Francis  Lasta
23,Nik Srinivas
66,John Hardin
77,Sheamus Flanagan
b,r,e,a,k
Clutch,3
teamInfo,,"Houston, Texas",,,
0,Alex Jang
0,Doug Richardson
0,Dylan Zeringue
0,Grant Odenwald
0,Richard Young
0,Robert Benson
0,Shane Heath
3,Abhijit  Brahme 
3,Avery Zaleski
6,Ames Fegert
11,Michael Drewry
12,Ismail Kassim
14,Mutahir Ahmad
17,Parker Evans
18,William Steindorf
20,Zachary Cotter
20,Matt Freeburgh
22,Tanner Robinson
23,James Zuraw
25,Sharief Moghazy
26,Mark Baldauf
30,Robert Reid
31,Brandon Lin
32,Andrew Amerson
33,Travis Vermaelen
47,Johnny Frohlichstein
69,Mitchell Lutz
b,r,e,a,k
Riverside,6
teamInfo,,"Austin, Texas",http://riversideultimate.org,,https://twitter.com/riversideulti
0,Bryan Barrientos
0,Caleb  Trotter 
0,Calvin Coulbury
0,Charles Cross
0,Cole Smith
0,David Maser
0,David Casente
0,Dylan Lee
0,Eric Brodbeck
0,Adam Croissant
0,Garrett Gonzales
0,Kevin Roux
0,Maxwell Marion
0,Robert Hausmann
8,Asa Brown
14,Ben Arnecke
16,Brock Davis
18,Jordan Mclemore-Moon
21,Rick Artus
23,Will Goodwin
31,Paul Lowe
32,Louis Fausak
44,Ethan Banner
47,Johnathan Roniger
77,James Berry
86,Jordan Richter
99,Jack Hornbuckle
b,r,e,a,k
Foxtrot,14
teamInfo,,"Austin, Texas",,,
0,Alexander Hirsch
0,Anthony Bauer
0,Austin McDaniel
0,Brandon Wilson
0,Brian Ontiveros-Kersch
0,Chris Lindsey
0,Chris Mihalyi
0,Eric Sun
0,Eric Blackburn
0,Graham Hazlewood
0,Gregory Dono
0,Hayden Pfaff
0,Jake Berzoff-Cohen
0,Johnny Chang
0,Joseph Dal Santo
0,Tanner Widis
0,Tom Ferguson
0,Tat Whitley
0,Wesley Bailey
1,Emilio  Weber
17,Bryan Kirchmeier
35,Jack Combs
80,Christopher Griego
87,Daniel McKenna
b,r,e,a,k
DUPlex,11
teamInfo,,"Dallas, Texas",,,
0,Javier Oliver
69,Joshua Pritchett
69,Justin Sullins
69,Karl Borik
69,Leith McMillan
69,Marty Dekker
69,Micah Rehfuss
69,Michael Berman
69,Ross Neuman
69,Rowdy Howell
69,Steven Borik
69,Travis Bieda
69,William Case
69,Arthur Corbitt
69,Cameron Young
69,Corey Gendron
69,David Lowell
69,Eric Miles
69,Dillon Cox
b,r,e,a,k
Texas Toast,19
teamInfo,,"Austin, Texas",,,
0,Declan Jackson
0,Dmitry Pokinboroda
0,Dylan Jirovec
0,Jason Trevino
0,Josh Kreth
0,Kaushik Jampala
0,Logan Johnson
0,Michael Yost
0,Nathan Reed
0,Nelson Barnes
0,Rishi Assar
7,Samuel Garza
27,Cash  Robinson
35,Patrick Connor
42,Luke Stipanovic
73,Ben Porter
81,Marty Carrillo
b,r,e,a,k
Gamble,4
teamInfo,,"Austin, Texas",,,
01,Alexander Thompson
02,Grayson Gummelt
04,Trenton Hebert
06,Gage Edblom
07,Bryce Foster
08,Dylan Swoboda
09,Zac Chandonnet
11,Brandon Martin
20,Christopher Ault
21,Connor DeLuna
22,Hudson Martin
24,Shaun Seidenberger
26,Sebastien Lauzy
30,Ethan Swan
33,Glenn Lenberger
41,Brian Street
45,Samuel Heslep
69,Ryan Smith
77,Reece Rose
87,David Hammer
b,r,e,a,k
Harvey Cats,12
teamInfo,,"Houston, Texas",,,
01,Andrew Robbins
02,Robert Barrett
03,Jared Lang
04,Patrick Andrews
05,Philip Nelson
06,Nick Carranza
07,Tripp Moss
08,Kevin Schmidt
09,Joseph Williams
10,Bryce Lippitz
14,Ryan Rundle
16,Nick Thomas
20,William Dawkins
21,James Huizinga
24,Ben Gibbons
25,Ibrahim El-sayed
27,Hunter Paddock
31,Alex Bui
39,Marco Manalang
64,Evan Sattem
69,Ricky Stanfield
88,Neal Parisawan
b,r,e,a,k
Papa Bear,5
teamInfo,,"Houston, Texas",,,
0,Alasdair Gourlay
0,Andres Chesnut
0,Austin Belknap
0,Chris Tillman
0,Hayden Rich
0,Max Lukoschek
0,Ryan Stomp
0,Steven Kelly
0,Woodley Simon
0,Nathan Poese
1,Rafael Cruz-Garcia
2,Christian Hagan
12,Andrew Hipskind
12,Joshua Narabal
20,Jake Tomczyszyn
21,Austin Highsmith
25,Daniel Oliphint
26,Alejandro Paredes
27,James Strasburg
34,Caleb Ellison
44,Josh Khoury
44,Zach Raab
91,Michael Crosson
99,Mason Henkes
b,r,e,a,k
Surrilic Audovice,20
teamInfo,,"Richardson, Texas",,https://www.facebook.com/surrillic/,@surrillic
04,Michael Stombaugh
05,Nick Miller
06,Sean Monahan
10,Jeremy Bensley
11,Curt Riffel
13,Seth Luxenberg
14,Leon De Oliveira
15,Delvin Kelly
16,Mark Fitch
17,Reid Pannell
18,Ernesto Gutierrez
19,Dakota Merritt
20,Samuel Sleeper
22,Namoo Han
23,Kendric Harris
26,David Murphy
b,r,e,a,k
Glycerine,13
teamInfo,,"Dallas, Texas",,,
00,Ben Street
00,Benny Rubanov
00,Ethan Benenson
00,Jonathan Hill
00,Kyle Turner
00,Kyle Bauer
00,Matthew Sutton
00,Timothy Champion
04,Jordyn Armstrong
06,James Paterson
07,Sam Johnson
08,Mason Kelley
11,Eian Brent
12,Andrew Dorf
21,Alex Wang
22,Nicholas Cortes
32,Alexander Bacon
42,Gabriel Valdes
48,Christian Parker
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
E.V.I.L.,Alamode,13,9,"06/29/2019, 08:00",Pool A,Final
Supercell,Dreadnought,8,13,"06/29/2019, 08:00",Pool A,Final
H.I.P,Dreadnought,12,9,"06/29/2019, 09:40",Pool A,Final
Supercell,E.V.I.L.,9,11,"06/29/2019, 09:40",Pool A,Final
H.I.P,Alamode,13,2,"06/29/2019, 11:20",Pool A,Final
Dreadnought,E.V.I.L.,10,7,"06/29/2019, 11:20",Pool A,Final
H.I.P,E.V.I.L.,13,3,"06/29/2019, 13:00",Pool A,Final
Supercell,Alamode,13,9,"06/29/2019, 13:00",Pool A,Final
H.I.P,Supercell,13,4,"06/29/2019, 14:40",Pool A,Final
Dreadnought,Alamode,13,5,"06/29/2019, 14:40",Pool A,Final
pool,Pool B
Messengers,Louisiana Second Line,6,13,"06/29/2019, 08:00",Pool B,Final
Gaucho,Texas United,10,12,"06/29/2019, 08:00",Pool B,Final
Nitro,Texas United,13,6,"06/29/2019, 09:40",Pool B,Final
Gaucho,Messengers,13,5,"06/29/2019, 09:40",Pool B,Final
Nitro,Louisiana Second Line,13,7,"06/29/2019, 11:20",Pool B,Final
Texas United,Messengers,13,6,"06/29/2019, 11:20",Pool B,Final
Nitro,Messengers,13,0,"06/29/2019, 13:00",Pool B,Final
Gaucho,Louisiana Second Line,13,5,"06/29/2019, 13:00",Pool B,Final
Nitro,Gaucho,11,9,"06/29/2019, 14:40",Pool B,Final
Texas United,Louisiana Second Line,10,7,"06/29/2019, 14:40",Pool B,Final
pool,Pool C
Foxtrot,Texas Toast,13,3,"06/29/2019, 08:00",Pool C,Final
Riverside,DUPlex,13,8,"06/29/2019, 08:00",Pool C,Final
Clutch,DUPlex,13,0,"06/29/2019, 09:40",Pool C,Final
Riverside,Foxtrot,11,9,"06/29/2019, 09:40",Pool C,Final
Clutch,Texas Toast,12,1,"06/29/2019, 11:20",Pool C,Final
DUPlex,Foxtrot,8,12,"06/29/2019, 11:20",Pool C,Final
Clutch,Foxtrot,13,4,"06/29/2019, 13:00",Pool C,Final
Riverside,Texas Toast,13,5,"06/29/2019, 13:00",Pool C,Final
Clutch,Riverside,13,2,"06/29/2019, 14:40",Pool C,Final
DUPlex,Texas Toast,13,8,"06/29/2019, 14:40",Pool C,Final
pool,Pool D
Glycerine,Surrilic Audovice,10,11,"06/29/2019, 08:00",Pool D,Final
Papa Bear,Harvey Cats,8,13,"06/29/2019, 08:00",Pool D,Final
Gamble,Harvey Cats,10,9,"06/29/2019, 09:40",Pool D,Final
Papa Bear,Glycerine,13,11,"06/29/2019, 09:40",Pool D,Final
Gamble,Surrilic Audovice,13,1,"06/29/2019, 11:20",Pool D,Final
Harvey Cats,Glycerine,10,8,"06/29/2019, 11:20",Pool D,Final
Gamble,Glycerine,13,6,"06/29/2019, 13:00",Pool D,Final
Papa Bear,Surrilic Audovice,13,4,"06/29/2019, 13:00",Pool D,Final
Gamble,Papa Bear,13,10,"06/29/2019, 14:40",Pool D,Final
Harvey Cats,Surrilic Audovice,13,3,"06/29/2019, 14:40",Pool D,Final
b,r,e,a,k
pools,Round Robin
pool,Pool E
Alamode,Texas Toast,11,10,"06/30/2019, 09:00",Pool E,Final
Messengers,Glycerine,5,13,"06/30/2019, 09:00",Pool E,Final
Alamode,Glycerine,7,15,"06/30/2019, 11:00",Pool E,Final
Messengers,Texas Toast,11,13,"06/30/2019, 11:00",Pool E,Final
Alamode,Messengers,13,11,"06/30/2019, 13:00",Pool E,Final
Texas Toast,Glycerine,6,15,"06/30/2019, 13:00",Pool E,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
H.I.P,Nitro,11,13,"06/30/2019, 13:00",Finals,Final
H.I.P,Riverside,15,9,"06/30/2019, 11:00",Semis,Final
Clutch,Nitro,11,13,"06/30/2019, 11:00",Semis,Final
H.I.P,Texas United,15,8,"06/30/2019, 09:00",Quarters,Final
Riverside,Gamble,15,11,"06/30/2019, 09:00",Quarters,Final
Clutch,Harvey Cats,15,9,"06/30/2019, 09:00",Quarters,Final
Dreadnought,Nitro,7,15,"06/30/2019, 09:00",Quarters,Final
bracket,3rd Place
Riverside,Clutch,8,15,"06/30/2019, 13:00",3rd Place Game,Final
bracket,5th Place
Texas United,Dreadnought,1,0,"06/30/2019, 13:00",5th Place Game,Final
Texas United,Gamble,15,9,"06/30/2019, 11:00",Semis,Final
Harvey Cats,Dreadnought,10,14,"06/30/2019, 11:00",Semis,Final
bracket,7th Place
Gamble,Harvey Cats,9,11,"06/30/2019, 13:00",7th Place Game,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place Bracket
Papa Bear,Gaucho,9,15,"06/30/2019, 13:00",9th Place Game,Final
E.V.I.L.,Papa Bear,6,15,"06/30/2019, 11:00",Semis,Final
Foxtrot,Gaucho,10,15,"06/30/2019, 11:00",Semis,Final
E.V.I.L.,Louisiana Second Line,15,11,"06/30/2019, 09:00",Quarters,Final
DUPlex,Papa Bear,12,15,"06/30/2019, 09:00",Quarters,Final
Foxtrot,Surrilic Audovice,15,10,"06/30/2019, 09:00",Quarters,Final
Supercell,Gaucho,5,15,"06/30/2019, 09:00",Quarters,Final
bracket,11th Place
E.V.I.L.,Foxtrot,8,15,"06/30/2019, 13:00",11th Place Game,Final
bracket,13th Place
DUPlex,Supercell,9,12,"06/30/2019, 13:00",13th Place Game,Final
Louisiana Second Line,DUPlex,12,15,"06/30/2019, 11:00",Semis,Final
Surrilic Audovice,Supercell,11,14,"06/30/2019, 11:00",Semis,Final
bracket,15th Place
Louisiana Second Line,Surrilic Audovice,13,7,"06/30/2019, 13:00",15th Place Game,Final
b,r,e,a,k
