College Southerns XVIII,College - Men ,23,3,2019
Statesboro,GA,2019-03-23,2019-03-24
https://play.usaultimate.org/events/College-Southerns-XVIII/schedule/Men/CollegeMen/
South Carolina,1
07,Quomel Imani
08,Mazden Mastromauro
09,Bernard Suwirjo
10,David Knapp
11,Gene He
13,Ethan Li
14,John Geller
15,James Kasic
17,Brennen Mahon
19,Kiran Potula
24,Eric Hytönen
25,William Suryajaya
37,Wesley Bowen
38,Kellen  Nani
41,Lucas Lin
43,Andrew Ma
47,Blake Gabel
50,Gaoweiang Dong
51,Yixuan  Zhou
64,Chris Luke
73,James McGuinness
78,Krishna Gomatam
86,Alan  Chen
b,r,e,a,k
Appalachian State,5
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Andrew Gedgoudas
0,Caleb Groegler
0,Caleb Owen
0,Jacob Louie
0,Joseph Cugliari
0,Matthew Roebke
0,Michael Parker
0,Raj Patel
0,Trey Jansen
0,Tyler Morse
0,Bella Way
0,Zachary  Lewis
2,Hunter Loftin
6,Harrison Karlok
7,Sam Cheatham
12,Aidan Todd
20,Alec McCleary
21,Caleb Louie
26,Matthew McDaniel
33,Zachary Angerson
35,Myles Grady
38,Logan Murrow
44,Christopher Ferguson
69,Zachary Johnson
83,Daniel Johnson
94,Rob Pollock
b,r,e,a,k
Georgia Southern,12
teamInfo,Eagles,"Statesboro, GA, Georgia",https://gasouthernultimate.wixsite.com/mens,,https://twitter.com/GASo_Ultimate
0,Brendan Gubitoso
0,Christopher Clark
0,Devin Hamill
0,Griffin Garris
0,Ian Watson
0,Kendall Spencer
0,Kevin Miller
0,Mclean Dowell
0,Michael Harris
0,Ryan Weber
0,Wesley Richey
0,Will Hentz
0,Justin Maher
4,Hamilton Mebius
7,Jack Collins
10,Christopher Castro
17,Jonathan Spencer
20,James Rink
23,Chris Camp
24,Elliott Park
26,Justin LaPradd
29,Austin Tippett
32,Cody Lewis
b,r,e,a,k
Georgia College,13
teamInfo,Disconnected,"Milledgeville, Georgia",http://www.gcultimate.org/,https://www.facebook.com/GeorgiaCollegeDisconnected,https://twitter.com/gc_ultimate
0,Clayton Patterson
0,Douglas Keim
0,Gavin Shelton
0,Ian Thompson
0,Jack Mraz
0,Jacques Perivier
0,Luke Walsh
0,Alec Powers
0,Alexander Mejia-Bazinet
0,Caleb Masters
0,Christian George
3,Wade Hodges
11,Theodore Shipley
18,Ashley Clark
26,Parker Rhinehart
31,Alex Stewart
33,Christopher Craft
72,Rylan Gordon
b,r,e,a,k
Carleton Hot Karls,20
teamInfo,Hot Karls,"Northfield, Minnesota",,,https://twitter.com/KarlsAreOK
0,Ben Hafner
0,Ben Mellin
0,Calvin Reinhardt-Ertman
0,Chait Sayani
0,Colby King
0,Isak Poulsen
0,Jacob Flignor
0,Joey Silknitter
0,Lawrence Lin
0,Michael Carlsen
0,Tom  Patterson
0,Walter Boero
0,Xiong Zhitong
2,Tim Adler
3,Fin Ouweleen
5,Spencer Moore
6,David Gallagher
7,Will Thompson
12,Samuel Nozaki
14,Eli Inkelas
15,Tim Mikulski
16,Anders Brodnax
17,Sam Stevenson
18,Ishmael Maxwell
21,Andrew Griffin
22,Gavin Young
25,Finnian Tierney
33,Silas Monahan
34,Louis Stein
42,Caleb Rosen
66,Iain McCay
69,Ezra  Ward-Packard
96,David Krakaur
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
South Carolina,Georgia (B),13,2,"03/23/2019, 09:00",Pool A,Final
South Florida,Charleston,13,7,"03/23/2019, 09:00",Pool A,Final
South Carolina,South Florida,13,6,"03/23/2019, 10:45",Pool A,Final
North Carolina-Asheville,Charleston,13,7,"03/23/2019, 10:45",Pool A,Final
Charleston,Georgia (B),7,13,"03/23/2019, 12:30",Pool A,Final
North Carolina-Asheville,South Florida,9,12,"03/23/2019, 12:30",Pool A,Final
South Carolina,Charleston,13,4,"03/23/2019, 14:15",Pool A,Final
North Carolina-Asheville,Georgia (B),13,6,"03/23/2019, 14:15",Pool A,Final
South Carolina,North Carolina-Asheville,13,5,"03/23/2019, 16:00",Pool A,Final
South Florida,Georgia (B),13,5,"03/23/2019, 16:00",Pool A,Final
pool,Pool B
Emory,Florida Atlantic,13,6,"03/23/2019, 09:00",Pool B,Final
Luther,North Florida,12,7,"03/23/2019, 09:00",Pool B,Final
Emory,Luther,10,12,"03/23/2019, 10:45",Pool B,Final
Chicago,North Florida,13,9,"03/23/2019, 10:45",Pool B,Final
North Florida,Florida Atlantic,10,13,"03/23/2019, 12:30",Pool B,Final
Chicago,Luther,10,12,"03/23/2019, 12:30",Pool B,Final
Emory,North Florida,13,3,"03/23/2019, 14:15",Pool B,Final
Chicago,Florida Atlantic,13,11,"03/23/2019, 14:15",Pool B,Final
Emory,Chicago,13,8,"03/23/2019, 16:00",Pool B,Final
Luther,Florida Atlantic,13,5,"03/23/2019, 16:00",Pool B,Final
pool,Pool C
Middlebury,Florida (B),13,3,"03/23/2019, 09:00",Pool C,Final
Wisconsin-Eau Claire,Florida Tech,7,13,"03/23/2019, 09:00",Pool C,Final
Middlebury,Wisconsin-Eau Claire,13,5,"03/23/2019, 10:45",Pool C,Final
Carleton College-GoP,Florida Tech,13,4,"03/23/2019, 10:45",Pool C,Final
Florida Tech,Florida (B),11,9,"03/23/2019, 12:30",Pool C,Final
Carleton College-GoP,Wisconsin-Eau Claire,13,8,"03/23/2019, 12:30",Pool C,Final
Middlebury,Florida Tech,13,5,"03/23/2019, 14:15",Pool C,Final
Carleton College-GoP,Florida (B),13,6,"03/23/2019, 14:15",Pool C,Final
Middlebury,Carleton College-GoP,13,8,"03/23/2019, 16:00",Pool C,Final
Wisconsin-Eau Claire,Florida (B),11,10,"03/23/2019, 16:00",Pool C,Final
pool,Pool D
California-San Diego,Carleton Hot Karls,13,5,"03/23/2019, 09:00",Pool D,Final
Georgia Southern,Georgia College,9,8,"03/23/2019, 09:00",Pool D,Final
California-San Diego,Georgia Southern,13,7,"03/23/2019, 10:45",Pool D,Final
Appalachian State,Georgia College,12,6,"03/23/2019, 10:45",Pool D,Final
Georgia College,Carleton Hot Karls,13,7,"03/23/2019, 12:30",Pool D,Final
Appalachian State,Georgia Southern,13,10,"03/23/2019, 12:30",Pool D,Final
California-San Diego,Georgia College,13,6,"03/23/2019, 14:15",Pool D,Final
Appalachian State,Carleton Hot Karls,13,4,"03/23/2019, 14:15",Pool D,Final
California-San Diego,Appalachian State,13,9,"03/23/2019, 16:00",Pool D,Final
Georgia Southern,Carleton Hot Karls,13,6,"03/23/2019, 16:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
South Carolina,Middlebury,15,11,"03/24/2019, 15:00",Finals,Final
South Carolina,Carleton College-GoP,15,7,"03/24/2019, 13:00",Semifinal,Final
South Florida,Middlebury,5,15,"03/24/2019, 13:00",Semifinal,Final
South Carolina,Emory,15,8,"03/24/2019, 11:00",Quarterfinal,Final
California-San Diego,Carleton College-GoP,12,13,"03/24/2019, 11:00",Quarterfinal,Final
Luther,South Florida,9,10,"03/24/2019, 11:00",Quarterfinal,Final
Middlebury,Appalachian State,15,8,"03/24/2019, 11:00",Quarterfinal,Final
bracket,3rd Place
Carleton College-GoP,South Florida,1,0,"03/24/2019, 15:00",Final,Final
bracket,5th Place
California-San Diego,Appalachian State,14,13,"03/24/2019, 15:00",Final,Final
Emory,California-San Diego,10,12,"03/24/2019, 13:00",Semifinal,Final
Luther,Appalachian State,13,14,"03/24/2019, 13:00",Semifinal,Final
bracket,7th Place
Emory,Luther,4,13,"03/24/2019, 15:00",Final,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place
North Carolina-Asheville,Chicago,11,13,"03/24/2019, 13:00",Final,Final
North Carolina-Asheville,Georgia Southern,12,10,"03/24/2019, 11:00",Semifinals,Final
Georgia College,Chicago,9,15,"03/24/2019, 11:00",Semifinals,Final
North Carolina-Asheville,Florida Atlantic,14,10,"03/24/2019, 09:00",Quarterfinals,Final
Georgia Southern,Wisconsin-Eau Claire,15,9,"03/24/2019, 09:00",Quarterfinals,Final
Florida Tech,Georgia College,8,15,"03/24/2019, 09:00",Quarterfinals,Final
Chicago,Georgia (B),15,7,"03/24/2019, 09:00",Quarterfinals,Final
bracket,11th Place
Georgia Southern,Georgia College,12,15,"03/24/2019, 13:00",Final,Final
bracket,13th Place
Wisconsin-Eau Claire,Florida Tech,13,15,"03/24/2019, 13:00",Final,Final
Florida Atlantic,Wisconsin-Eau Claire,12,14,"03/24/2019, 11:00",Semifinals,Final
Florida Tech,Georgia (B),12,11,"03/24/2019, 11:00",Semifinals,Final
bracket,15th Place
Florida Atlantic,Georgia (B),9,15,"03/24/2019, 13:00",Final,Final
b,r,e,a,k
pools,Pool Play Bracket
pool,Pool E
Charleston,Florida (B),15,8,"03/24/2019, 09:00",Pool E,Final
North Florida,Carleton Hot Karls,11,9,"03/24/2019, 09:00",Pool E,Final
Florida (B),Carleton Hot Karls,9,6,"03/24/2019, 11:00",Pool E,Final
Charleston,Carleton Hot Karls,15,9,"03/24/2019, 13:00",Pool E,Final
North Florida,Florida (B),13,15,"03/24/2019, 13:00",Pool E,Final
Charleston,North Florida,15,13,"03/24/2019, 15:00",Pool E,Final
b,r,e,a,k
