Chesapeake Open 2019,Club - Mixed ,10,8,2019
https://play.usaultimate.org/events/Chesapeake-Open-2019/schedule/Mixed/Club-Mixed
Steamboat,5
Fleet,Heavy Flow,12,8,"08/11/2019, 10:30",13th Place Quarters
Rat City,Crucible,11,9,"08/11/2019, 10:30",13th Place Quarters
bracket,9th Place Bracket
Metro North,Grand Army,12,11,"08/11/2019, 12:30",9th Place Game
Metro North,HVAC,12,11,"08/11/2019, 10:30",9th Place Semis
Grand Army,Chaotic Good,12,8,"08/11/2019, 10:30",9th Place Semis
bracket,5th Place Bracket
League of Shadows,Storm,10,11,"08/11/2019, 14:30",5th Place Game
8 Bit Heroes,League of Shadows,7,13,"08/11/2019, 12:30",5th Place Semis
Sparkle Ponies,Storm,9,14,"08/11/2019, 12:30",5th Place Semis
bracket,17th Place Bracket
Legion,Crucible,15,14,"08/11/2019, 14:30",17th Place Game
District Cocktails,Legion,9,14,"08/11/2019, 12:30",17th Place Semis
Heavy Flow,Crucible,6,15,"08/11/2019, 12:30",17th Place Semis
b,r,e,a,k
