TCT Pro-Elite Challenge (Colorado Cup) 2019,Club - Mixed ,13,7,2019
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-2019/schedule/Mixed/Club-Mixed
Seattle Mixtape,1
30,Megan Schoellhamer
32,Vivian Chu
35,Lucas Dallmann
37,Molly Hallweaver
40,Mac Taylor
57,Ian Meyer
66,Raj Maitra
84,Shane Earley
89,Alexandra Stambaugh
98,Sonny Zaccaro
99,Tim Gilligan
b,r,e,a,k
Columbus Cocktails,11
0,Ben Sever
0,Eliot Alexander
0,Elizabeth Diamond
0,Emily Barrett
0,Caitlin Duffner
0,Cara Sieber
0,Jeffrey Brauning
0,Jordan O'Neill
0,Lexie Thomas
0,Lloyd Furuta
0,Michael Kromer
0,Neil Taylor
0,Stacy Lu
2,Sion Agami Contreras
2,Funing Zhang
2,Alex Flamm
4,Zachary Braun
4,David Valentine-Elam
9,Ryan Kindell
11,Jackie Matonis
14,Emily Steedman
17,Benjamin Reith
18,Axel Agami Contreras
22,Mallory Griffith
43,Chloe Lim
47,Phil Cherosky
88,Madeleine Pletzke
b,r,e,a,k
Birdfruit,14
00,Marianna Heckendorn
02,Roy Fang
03,Gabriel Ryan
05,Christian Brink
07,Stephen Burkot
09,Haley Lescinsky
10,Jeff Gayle
11,Laura Manson
12,Matthew Niemer
14,Peter Geertz-Larson
17,Chris Saxby
18,Ellen Kalenscher
21,Lily Moline
22,Lacy Clark
23,Kyle Ord
27,Tom Crawford
31,Natalie Jamerson
40,Ky Lewis IV
41,Clay Dewey-Valentine
42,Laura Pape
44,Margo Heffron
47,Walker Bohannan
51,Kate Crawford
53,Emma Piorier
67,Kelley Hall
86,Denise Blohowiak
b,r,e,a,k
XIST,7
0,Kevin Ludwig
01,Robert Smith
03,Gary Dixon
07,Ryan Drost
10,Tricia Smit
11,Angel Li
12,Joe Babbino
13,Brian Kibler
14,Robert Rickert
15,Matthew Baum
18,Caitlyn Hauswirth
21,Molly McCauley
22,Alexander Hem
23,Luke Ding
25,Amelia Murphy
27,Noriaki To
28,Rachel Attix
32,Lauren Piontek
33,Brian Varis
34,Alina Li
42,Tim Kominos
44,Ruthie Tabatchnick
48,Adam Stern
50,Madison Cannon
52,Sarah Kay Dela Cruz
80,Hannah Garfield
85,Jacqueline Lee
b,r,e,a,k
Drag'n Thrust,3
02,Brett Sullivan
03,Patrick Niles
04,Erica Baken
06,Logan Weiss
07,Blake Trantina
08,Greta Regan
09,Emily Regan
10,Erin McCann
12,Marty Adams
13,Jacob Lien
14,Austin Lien
16,Brian Schoenrock
17,James Hron
18,Ellie Sjordal 
18,Sam Berglund
19,Tavis Leighton
20,Neal Hanke
22,Kathryn Ritzmann
24,Holly Denecour
26,Rebecca Ludford
30,Leo Sovell-Fernandez
31,Maggie Peck
33,Jaime Glader
43,Bryan Vohnoutka
44,Sarah Meckstroth
49,Caleb Denecour
59,Claire Thallon
b,r,e,a,k
Mischief,6
1,Alexi Zalk
2,Corinne Hanson
5,Matthew Crawford
6,James Hansell
7,Devon Williams
8,Emilia (Mia) Bladin
9,Ben Feng
11,Cody Kirkland
18,Caitlin Rugg
19,Lily Steponaitis
19,Sean Childers
20,Zoe Luke
23,Jordan Jeffery
24,Cory Fauver
25,Audrey Wei
27,Connie Chan
33,Scott Gatto
36,Jenny Wang
47,Gina Schumacher
48,Julia Salvacion
72,Devin Drewry
77,Emily Prader
80,Kevin Smith
85,Evan Brydon
96,Patricia Anderson
b,r,e,a,k
No Touching!,10
0,Brent Novey
0,Brian Larson
0,Meredith Bray
0,Patrick Cashman
1,Jeffrey Trosvig
3,Sara Gnolek
02,Jolien Munsterhuis
03,Brenna Sund
04,Tony Michaelson
13,Paul Norgaard
14,Benjamin Nelson
15,Elisabeth Biehl
16,Lindsay Trosvig
17,Kristina Golling
29,Sam Pepe
31,Anna Shanedling
32,Rachel Elbing
33,Graham Brayshaw
34,James Kittlesen
38,Arthi Padmanabhan
41,Jenni Konigsburg
64,Michael Lin
78,Jeremy Keiser
88,Patrick Jensen
96,Brian Edgerton
b,r,e,a,k
Lochsa,15
0,Vespera Aragon
1,Jeffrey Brandle
3,Amy Norris
5,Trenton Pearsall
6,Oliver Atkinson
8,Levi Archuleta
9,Rich Brown
11,Brittany Ward
13,James Dahl
14,Sawyer Beddoes
19,Jenna Dahl
20,Camron Newton
21,Kelsey Breen
22,Ryan Van Hook
23,Susan Truong
24,Sarah Staller
27,Shannon Montaño
28,Daniel White
36,Kevin Farrell
38,Cori Bigham
47,Juliana Williams
56,Matt Stegemann
58,Paige Kercher
60,Bradley Houser
66,Emily-Anne Hylton
88,Lucas Henken
b,r,e,a,k
shame.,5
0,Kevin Herrera
2,Hugh Carey
3,Kelcie Glick
6,Ashley Daly Morgan
7,Kevin Coulter
10,Doug Stenclik
14,Jade McLaughlin
16,Nicholas Lance
20,C Ryan Morgan
21,Joseph Anderson
22,Elizabeth Murphy
24,Zackary Fleming
25,Nicholas Snuszka
26,Owen Westbrook
26,Chloe Greene
27,Chris Gauen
31,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
51,Spencer Tibbs
52,Marilyn Reich
69,Adrienne Altobelli
85,Vinny Fiacco
88,Kasey Anderson
97,Sarah Pesch
b,r,e,a,k
Slow White,9
0,Kyle Weatherhogg
0,Sophie Taylor
9,Eric Shaw
10,Ryan Turner
11,Anthony Goss
15,Caitlin Fitzgerald
19,Olivia Hampton
21,Patrick Barron
24,Andy Schachter
25,Alexander Trahey
27,Lauren Baecher
50,Shaun Doherty
53,Brett Tan
54,David Friedman
55,Ryan Cardinal
56,Amy Stoddard
60,Caitlin Go
61,Caroline Collis
63,Tess Johnson
65,Eli Motycka
66,Emilia Scheemaker
67,Walker Hatchett
68,Marcel Oliart
69,Orion Cable
b,r,e,a,k
BFG,4
0,Cidney Weng
2,Kimberly Schlesinger
3,Mario O'Brien
5,Reid Koss
7,Kerry Chang
9,Kaia Roast
10,Julia Bladin
11,Austin Barden
12,Marc Anthony Munoz
13,Nariah-Belle Sims
16,Judith Yeo
17,Thomas Li
19,Jonas Golden
20,Alexa Kirkland
21,Benjamin McGinn
24,Lucas Davies
26,Andi Coleman
27,Jeffrey Pape
28,Leah Bar-On Simmons
29,Jimmy Hooper
30,Sarah Benditt
33,AnnaMaria Pape
88,Lili Gu
89,Jay Boychuk
99,Kyle Terriere
b,r,e,a,k
NOISE,16
0,Ben Parrell
0,Ethan Parrish
0,Karen Hill
0,Kevin Cannaday
0,Kyle Weigand
1,Jackie Welsch
2,Ashley Welsh
7,Vanessa Cannaday
10,Tom Annen
10,Caitlin Murphy
12,Kaitlynne Roling
13,Becky LeDonne
18,Mike Kobyra
19,Haley Hudson
22,Rami Paust
26,Simon Kuran
27,Michael Swain
29,Jack Nelson
31,Marianna Malin
32,Daniel Garlock
33,Katy Stanton
55,Kelsen Alexander
95,Glenn Poole
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Seattle Mixtape,Polar Bears,11,7,"07/13/2019, 10:00",Pool A
Jughandle,Love Tractor,3,13,"07/13/2019, 10:00",Pool A
Seattle Mixtape,Love Tractor,13,11,"07/13/2019, 12:00",Pool A
Jughandle,Polar Bears,8,12,"07/13/2019, 12:00",Pool A
Seattle Mixtape,Jughandle,12,9,"07/13/2019, 14:00",Pool A
Polar Bears,Love Tractor,10,13,"07/13/2019, 14:00",Pool A
pool,Pool B
Blackbird,Columbus Cocktails,13,9,"07/13/2019, 08:00",Pool B
XIST,Birdfruit,9,12,"07/13/2019, 08:00",Pool B
Blackbird,Birdfruit,13,9,"07/13/2019, 10:00",Pool B
XIST,Columbus Cocktails,9,13,"07/13/2019, 10:00",Pool B
Blackbird,XIST,13,6,"07/13/2019, 14:00",Pool B
Columbus Cocktails,Birdfruit,12,11,"07/13/2019, 14:00",Pool B
pool,Pool C
Drag'n Thrust,No Touching!,13,5,"07/13/2019, 08:00",Pool C
Mischief,Lochsa,12,6,"07/13/2019, 08:00",Pool C
Drag'n Thrust,Lochsa,9,10,"07/13/2019, 10:00",Pool C
Mischief,No Touching!,14,13,"07/13/2019, 10:00",Pool C
No Touching!,Lochsa,13,11,"07/13/2019, 12:00",Pool C
Drag'n Thrust,Mischief,13,11,"07/13/2019, 12:00",Pool C
pool,Pool D
BFG,Slow White,12,10,"07/13/2019, 08:00",Pool D
shame.,NOISE,13,7,"07/13/2019, 08:00",Pool D
BFG,NOISE,13,10,"07/13/2019, 12:00",Pool D
shame.,Slow White,11,13,"07/13/2019, 12:00",Pool D
BFG,shame.,9,13,"07/13/2019, 14:00",Pool D
Slow White,NOISE,13,7,"07/13/2019, 14:00",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Seattle Mixtape,Love Tractor,13,9,"07/14/2019, 12:30",1st Place Finals
Seattle Mixtape,shame.,13,9,"07/14/2019, 10:45",1st Place Semis
Slow White,Love Tractor,10,12,"07/14/2019, 10:45",1st Place Semis
Seattle Mixtape,Columbus Cocktails,13,7,"07/14/2019, 09:00",1st Place Quarters
shame.,Mischief,13,12,"07/14/2019, 09:00",1st Place Quarters
Drag'n Thrust,Slow White,9,13,"07/14/2019, 09:00",1st Place Quarters
Blackbird,Love Tractor,12,13,"07/14/2019, 09:00",1st Place Quarters
Columbus Cocktails,No Touching!,13,12,"07/14/2019, 07:40",1st Place Prequarters
Mischief,Birdfruit,10,7,"07/14/2019, 07:40",1st Place Prequarters
Polar Bears,Slow White,9,10,"07/14/2019, 07:40",1st Place Prequarters
BFG,Love Tractor,10,13,"07/14/2019, 07:40",1st Place Prequarters
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
shame.,Slow White,10,13,"07/14/2019, 12:30",3rd Place
bracket,5th Place Bracket
Mischief,Drag'n Thrust,10,12,"07/14/2019, 12:30",5th Place Finals
Columbus Cocktails,Mischief,11,12,"07/14/2019, 10:45",5th Place Semis
Drag'n Thrust,Blackbird,10,9,"07/14/2019, 10:45",5th Place Semis
bracket,7th Place
Columbus Cocktails,Blackbird,13,12,"07/14/2019, 12:30",7th Place
b,r,e,a,k
clusters,Saturday Crossover Games
cluster,4 Seeds Crossover Games
Jughandle,NOISE,10,13,"07/14/2019, 07:40",
XIST,Lochsa,9,12,"07/14/2019, 07:40",
b,r,e,a,k
pools,9th Place Consolation Games
pool,Pool E
Birdfruit,Polar Bears,6,10,"07/14/2019, 09:00",Pool E
Lochsa,NOISE,10,8,"07/14/2019, 09:00",Pool E
Birdfruit,NOISE,10,11,"07/14/2019, 12:30",Pool E
Lochsa,Polar Bears,12,9,"07/14/2019, 12:30",Pool E
pool,Pool F
No Touching!,BFG,9,10,"07/14/2019, 10:45",Pool F
Jughandle,XIST,9,10,"07/14/2019, 10:45",Pool F
No Touching!,XIST,11,10,"07/14/2019, 14:15",Pool F
BFG,Jughandle,13,6,"07/14/2019, 14:15",Pool F
b,r,e,a,k
