Tea Cup 2019,College - Men ,30,3,2019
New Haven,CT,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Tea-Cup-2019/schedule/Men/CollegeMen/
Yale,1
Northeastern (B),Boston College (B),7,5,"03/30/2019, 10:30",Pool C,Final
Connecticut (B),Yale (B),13,2,"03/30/2019, 10:30",Pool C,Final
Yale (B),Wentworth,0,13,"03/30/2019, 12:00",Pool C,Final
Connecticut (B),Boston College (B),4,10,"03/30/2019, 12:00",Pool C,Final
Northeastern (B),Yale (B),13,0,"03/30/2019, 13:30",Pool C,Final
Connecticut (B),Wentworth,11,7,"03/30/2019, 13:30",Pool C,Final
Northeastern (B),Connecticut (B),12,7,"03/30/2019, 15:00",Pool C,Final
Boston College (B),Wentworth,13,8,"03/30/2019, 15:00",Pool C,Final
pool,Pool D
University of Massachusetts Amherst (B),Rutgers (B),13,3,"03/30/2019, 09:00",Pool D,Final
Amherst College (B),SUNY Oneonta (B),3,12,"03/30/2019, 09:00",Pool D,Final
University of Massachusetts Amherst (B),Amherst College (B),13,0,"03/30/2019, 10:30",Pool D,Final
Southern Connecticut State,SUNY Oneonta (B),13,1,"03/30/2019, 10:30",Pool D,Final
SUNY Oneonta (B),Rutgers (B),1,13,"03/30/2019, 12:00",Pool D,Final
Southern Connecticut State,Amherst College (B),13,1,"03/30/2019, 12:00",Pool D,Final
University of Massachusetts Amherst (B),SUNY Oneonta (B),13,0,"03/30/2019, 13:30",Pool D,Final
Southern Connecticut State,Rutgers (B),12,2,"03/30/2019, 13:30",Pool D,Final
University of Massachusetts Amherst (B),Southern Connecticut State,13,6,"03/30/2019, 15:00",Pool D,Final
Amherst College (B),Rutgers (B),3,13,"03/30/2019, 15:00",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossover
cluster,Saturday Crossover
Yale,Boston College,10,6,"03/30/2019, 15:00",,Final
Tufts (B),Worcester Polytech,7,6,"03/30/2019, 15:00",,Final
Amherst College,Columbia,11,6,"03/30/2019, 15:00",,Final
SUNY-Oneonta,Hartford,7,10,"03/30/2019, 15:00",,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship
Yale,Boston College,8,11,"03/31/2019, 14:00",Championship,Final
Yale,Amherst College,13,8,"03/31/2019, 23:30",Semifinals,Final
Tufts (B),Boston College,9,10,"03/31/2019, 23:30",Semifinals,Final
Yale,University of Massachusetts Amherst (B),11,9,"03/31/2019, 10:00",Quarterfinals,Final
Worcester Polytech,Amherst College,4,11,"03/31/2019, 10:00",Quarterfinals,Final
Tufts (B),Columbia,9,6,"03/31/2019, 10:00",Quarterfinals,Final
Boston College,Northeastern (B),12,5,"03/31/2019, 10:00",Quarterfinals,Final
bracket,3rd Place
Amherst College,Tufts (B),5,9,"03/31/2019, 14:00",3rd Place,Final
bracket,5th Place
University of Massachusetts Amherst (B),Columbia,13,5,"03/31/2019, 14:00",5th Place,Final
Worcester Polytech,University of Massachusetts Amherst (B),9,11,"03/31/2019, 11:30", ,Final
Columbia,Northeastern (B),10,6,"03/31/2019, 11:30", ,Final
bracket,7th Place
Northeastern (B),Worcester Polytech,11,8,"03/31/2019, 14:00",7th Place,Final
bracket,9th Place
Hartford,SUNY-Oneonta,0,0,"03/31/2019, 14:00",9th Place,Cancelled
Hartford,Connecticut (B),13,7,"03/31/2019, 23:30",Lower Round 2,Final
Boston College (B),SUNY-Oneonta,8,11,"03/31/2019, 23:30",Lower Round 2,Final
Hartford,Yale (B),13,2,"03/31/2019, 10:00",Lower Round 1,Final
Southern Connecticut State,Connecticut (B),12,13,"03/31/2019, 10:00",Lower Round 1,Final
Boston College (B),Rutgers (B),13,6,"03/31/2019, 10:00",Lower Round 1,Final
SUNY-Oneonta,Amherst College (B),13,0,"03/31/2019, 10:00",Lower Round 1,Final
SUNY Oneonta (B),Yale (B),4,9,"03/31/2019, 08:30",Round Name,Final
Wentworth,Amherst College (B),0,1,"03/31/2019, 08:30",Round Name,Final
bracket,11th Place
Boston College (B),Connecticut (B),7,0,"03/31/2019, 14:00",11th Place,Final
bracket,13th Place
Southern Connecticut State,Rutgers (B),10,11,"03/31/2019, 14:00",13th Place,Final
Southern Connecticut State,Yale (B),12,5,"03/31/2019, 23:30",Round Name,Final
Rutgers (B),Amherst College (B),13,3,"03/31/2019, 23:30",Round Name,Final
bracket,15th Place
Amherst College (B),Yale (B),5,7,"03/31/2019, 14:00",15th Place,Final
bracket,17th Place
Wentworth,SUNY Oneonta (B),0,1,"03/31/2019, 11:00",17th Place,Cancelled
b,r,e,a,k
