Texas Men's Club Sectional Championship 2019,Club - Men ,7,9,2019
Round Rock,TX,2019-09-07,2019-09-08
https://play.usaultimate.org/events/Texas-Mens-Club-Sectional-Championship-2019/schedule/Men/Club-Men/
Nitro,1
Clutch,2
0,Alex Jang
0,Doug Richardson
0,Grant Odenwald
0,Richard Young
0,Robert Benson
0,Shane Heath
3,Avery Zaleski
3,Abhijit  Brahme 
5,Tyler Chiu
6,Ames Fegert
11,Michael Drewry
12,Ismail Kassim
14,Mutahir Ahmad
17,Parker Evans
20,Matt Freeburgh
20,Zachary Cotter
22,Tanner Robinson
23,James Zuraw
25,Sharief Moghazy
26,Mark Baldauf
28,Christopher Perrotti
30,Robert Reid
31,Brandon Lin
32,Andrew Amerson
33,Travis Vermaelen
47,Johnny Frohlichstein
69,Mitchell Lutz
b,r,e,a,k
Gamble,7
3,Jarett Tyler
4,Trenton Hebert
6,Gage Edblom
7,Grayson Gummelt
8,Dylan Swoboda
9,Zac Chandonnet
11,Brandon Martin
14,Christopher Ault
16,Nicolas Lanas
18,Zach Hensel
21,Connor DeLuna
22,Hudson Martin
23,Charlie Clark
24,Shaun Seidenberger
26,Sebastien Lauzy
27,Matthew Wilson
30,Ethan Swan
33,Glenn Lenberger
35,Matt Chambers
41,Brian Street
45,Samuel Heslep
69,Ryan Smith
77,Reece Rose
80,Connor Cole
87,David Hammer
b,r,e,a,k
Foxtrot,10
0,Alexander Hirsch
0,Anthony Bauer
0,Austin McDaniel
0,Brandon Wilson
0,Chris Lindsey
0,Chris Mihalyi
0,Eric Blackburn
0,Graham Hazlewood
0,Gregory Dono
0,Harvey Fulton
0,Hayden Pfaff
0,Jake Berzoff-Cohen
0,Johnny Chang
0,Joseph Dal Santo
0,Tanner Widis
0,Tom Ferguson
0,Tat Whitley
0,Wesley Bailey
17,Bryan Kirchmeier
35,Jack Combs
80,Christopher Griego
87,Daniel McKenna
b,r,e,a,k
Messengers,15
0,Chris Cosgrove
0,Christopher Manning
0,David MATTEN
0,Eric Sun
0,Harry Lauhon
0,Jairo Munoz
0,Justin Gneiting
0,Lambert Tio
0,Matthew Bianchi
0,Michael Nguyen
0,Nathan Marsales
0,Adam Croissant
0,Ben Walter
0,Raymond Schroeder
0,Steven Trenfield
0,Zulkuf Azizoglu
4,Samuel Morrall
9,Jeffrey Zhao
10,Francis  Lasta
17,Charles Mehrotra
23,Nik Srinivas
66,John Hardin
77,Sheamus Flanagan
b,r,e,a,k
H.I.P,3
0,Brendan Adams
0,Cameron Albin
0,Carlos Vargas
0,Casey LeMay
0,Cody Holloway
0,Daniel Winter
0,Kolby Janzen
0,Matthew Bierschenk
0,Patrick Marco
0,Reese Bowman
0,Robert Kern
2,Matthew Bennett
7,Jordan Taylor
9,Peter Clarke
11,Dillon Larberg
12,Connor Ughetta
14,Reid Bacon
16,Chris Brooks
18,Austin Walker
18,Kevin Land
21,Mitchell Bennett
23,Thomas Slack
26,Richard Bovio
27,Brandon Dial
30,Mick Walter
32,John Cecil
b,r,e,a,k
Harvey Cats,6
3,Geoffrey Avila
01,Andrew Robbins
02,Robert Barrett
03,Jared Lang
04,Patrick Andrews
05,Philip Nelson
06,Nick Carranza
07,Tripp Moss
08,Kevin Schmidt
09,Joseph Williams
10,Bryce Lippitz
12,Austin Kososki
14,Ryan Rundle
16,Nick Thomas
17,Grant Hardy
20,William Dawkins
21,James Huizinga
24,Ben Gibbons
25,Ibrahim El-sayed
27,Hunter Paddock
31,Alex Bui
39,Marco Manalang
64,Evan Sattem
69,Ricky Stanfield
88,Neal Parisawan
b,r,e,a,k
Flash Flood,11
0,Benjamin Rogers
0,Brian Honea
0,Daniel Welkener
0,Jackson Cole
0,Jake Worthington
0,Kyle Tupper
0,Logan Johnson
0,Logan Harless
0,Neel Reddy
0,Peter Ngo
0,Ryan Poe
0,Zach Egge
0,Zachary Slayton
5,Christian Cortes
9,Jackson Potts
12,Eric Chen
22,Colton Green
23,Ryan Whisenhunt
69,Caleb Dixon
b,r,e,a,k
Alamode,14
0,Antonio Sagar
0,Antonio Reyes
0,Benjamin Hanson
0,Blake Fall
0,Joseph Newman
0,Luis Javier Espinoza
0,Oscar Escalante
0,Sam Whitworth
1,Skye Knight
2,Jheremi Villarreal
3,Harrison Greaves
5,Nolan Campbell
5,Daniel 'Chach' Smith-Salgado
9,Eric Menard
12,Belisario Garza
13,Christian Lundy-Hawkins
14,Joseph Morales
16,Steven Glatt
19,Darren Churn
26,Dylan Chbeir
30,Tyler Zinck
44,Junaid Ramzan
69,Cameron Brown
92,Benjamin Andrade
b,r,e,a,k
Riverside,5
0,Bryan Barrientos
0,Calvin Coulbury
0,Charles Cross
0,David Maser
0,Dylan Lee
0,Eric Brodbeck
0,Garrett Gonzales
0,Joe Emery
0,Kevin Roux
0,Maxwell Marion
0,Robert Hausmann
5,Nathan Chen
8,Noah Sheets
8,Asa Brown
13,Timothy (Bonesaw!) Kepner
14,Ben Arnecke
16,Brock Davis
21,Rick Artus
23,Will Goodwin
31,Paul Lowe
32,Louis Fausak
44,Ethan Banner
47,Johnathan Roniger
77,James Berry
77,Kaylen Alexis
86,Jordan Richter
99,Jack Hornbuckle
b,r,e,a,k
Gaucho,4
0,Clayton Selby
0,Daniel Trotter
0,Derek Fan
0,Hayden Stone
0,Jacob Sames
0,Jason Jenkins
0,Jose Tamez Durandeau
0,Michael Clark
0,Saaketh Palchuru
0,Travis Wright
0,Troy Abbott
1,Kolbe Bauer
1,Jack Ostrand
2,Erik Atwell
3,Elan McMinn
3,Michael Paniagua
10,Garrett Wilson
34,Trevor Elam
36,Steven Naji
43,Joseph Wylie
49,Michael Wode
69,Stephen Crowe
98,Samuel Tagle
b,r,e,a,k
DUPlex,12
0,Javier Oliver
69,Joshua Pritchett
69,Justin Sullins
69,Karl Borik
69,Leith McMillan
69,Marty Dekker
69,Micah Rehfuss
69,Michael Berman
69,Ross Neuman
69,Rowdy Howell
69,Steven Borik
69,Travis Bieda
69,William Case
69,Arthur Corbitt
69,Cameron Young
69,Charles McNeil
69,Corey Gendron
69,David Lowell
69,Eric Miles
69,Garrett Fish
69,Dillon Cox
b,r,e,a,k
E.V.I.L.,13
0,Garrett Odom
3,Austin Uhl
4,Jonathan Conway
5,Colton McDorman
6,Paul Sumner
7,Austin Ferrari
8,Ryan McAndrew
9,Ethan Storm
10,Jared Fox
14,Omar (Leonel) Arellano
15,Frederick Christen
16,Andy Evans
19,William Brinkmeyer
21,Logan Dillman
22,Justin England
23,Austin Bronson
25,Stewart Williamson
27,Daniel Hooks
31,Sean Torres
40,Carson Turner
48,Jonathan Cosmann
57,Kyle Stinson
87,Joshua Rainey
98,Luiz Astorga
99,Greg Loftis
b,r,e,a,k
s,t,a,g,e,s
pools,POOL PLAY
pool,Pool A
Nitro,Glycerine,13,4,"09/07/2019, 09:00",Pool A,Final
Papa Bear,Rock Steady,11,8,"09/07/2019, 09:00",Pool A,Final
Nitro,Rock Steady,13,7,"09/07/2019, 11:00",Pool A,Final
Papa Bear,Glycerine,13,8,"09/07/2019, 11:00",Pool A,Final
Nitro,Papa Bear,13,10,"09/07/2019, 13:00",Pool A,Final
Glycerine,Rock Steady,13,7,"09/07/2019, 13:00",Pool A,Final
pool,Pool B
Clutch,Foxtrot,13,8,"09/07/2019, 09:00",Pool B,Final
Gamble,Messengers,13,4,"09/07/2019, 09:00",Pool B,Final
Clutch,Messengers,13,4,"09/07/2019, 11:00",Pool B,Final
Gamble,Foxtrot,13,5,"09/07/2019, 11:00",Pool B,Final
Clutch,Gamble,13,8,"09/07/2019, 13:00",Pool B,Final
Foxtrot,Messengers,11,4,"09/07/2019, 13:00",Pool B,Final
pool,Pool C
H.I.P,Flash Flood,13,10,"09/07/2019, 09:00",Pool C,Final
Harvey Cats,Alamode,13,5,"09/07/2019, 09:00",Pool C,Final
H.I.P,Alamode,13,2,"09/07/2019, 11:00",Pool C,Final
Harvey Cats,Flash Flood,13,7,"09/07/2019, 11:00",Pool C,Final
H.I.P,Harvey Cats,13,4,"09/07/2019, 13:00",Pool C,Final
Flash Flood,Alamode,13,5,"09/07/2019, 13:00",Pool C,Final
pool,Pool D
Gaucho,DUPlex,13,9,"09/07/2019, 09:00",Pool D,Final
Riverside,E.V.I.L.,13,4,"09/07/2019, 09:00",Pool D,Final
Gaucho,E.V.I.L.,13,6,"09/07/2019, 11:00",Pool D,Final
Riverside,DUPlex,13,6,"09/07/2019, 11:00",Pool D,Final
Gaucho,Riverside,9,13,"09/07/2019, 13:00",Pool D,Final
DUPlex,E.V.I.L.,13,11,"09/07/2019, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Bracket
Nitro,H.I.P,11,13,"09/08/2019, 13:00",Finals,Final
Nitro,Riverside,13,6,"09/07/2019, 15:15",Semis,Final
H.I.P,Clutch,13,7,"09/07/2019, 15:15",Semis,Final
bracket,2nd/3rd Bracket
Nitro,Gamble,4,13,"09/08/2019, 15:00",Finals,Final
Gamble,Gaucho,13,11,"09/08/2019, 13:00",2nd Place Semis,Final
Riverside,Gamble,11,13,"09/08/2019, 09:00",2nd Place Quarters,Final
Gaucho,Clutch,12,10,"09/08/2019, 09:00",2nd Place Quarters,Final
Harvey Cats,Gamble,9,12,"09/07/2019, 15:15",Crossover 2,Final
Papa Bear,Gaucho,9,13,"09/07/2019, 15:15",Crossover 2,Final
bracket,4th/5th Bracket
Gaucho,Clutch,8,13,"09/08/2019, 15:00",Finals,Final
Clutch,Riverside,12,4,"09/08/2019, 13:00",4th Place Semis,Final
Clutch,Harvey Cats,13,7,"09/08/2019, 11:00",4th Place Quarters,Final
Foxtrot,Riverside,9,13,"09/08/2019, 11:00",4th Place Quarters,Final
Harvey Cats,Glycerine,13,5,"09/08/2019, 09:00",Round Name,Final
Foxtrot,Papa Bear,13,9,"09/08/2019, 09:00",Round Name,Final
Glycerine,DUPlex,11,9,"09/07/2019, 15:15",Crossover 3,Final
Flash Flood,Foxtrot,11,12,"09/07/2019, 15:15",Crossover 3,Final
bracket,6th/7th Bracket
Riverside,Harvey Cats,13,8,"09/08/2019, 15:00",Finals,Final
Harvey Cats,Foxtrot,13,8,"09/08/2019, 13:00",6th Semis,Final
bracket,8th Bracket
Foxtrot,Papa Bear,9,13,"09/08/2019, 15:00",Finals,Final
Papa Bear,Glycerine,13,8,"09/08/2019, 13:00",8th Semis,Final
Papa Bear,DUPlex,14,12,"09/08/2019, 11:00",8th Quarters,Final
Flash Flood,Glycerine,8,12,"09/08/2019, 11:00",8th Quarters,Final
DUPlex,Alamode,13,6,"09/08/2019, 09:00",Round Name,Final
Rock Steady,Flash Flood,14,15,"09/08/2019, 09:00",Round Name,Final
Alamode,Messengers,11,10,"09/07/2019, 15:15",Crossover 4,Final
Rock Steady,E.V.I.L.,13,11,"09/07/2019, 15:15",Crossover 4,Final
bracket,13th
Alamode,Rock Steady,0,1,"09/08/2019, 11:00",Finals,Final
bracket,15th
Messengers,E.V.I.L.,10,13,"09/08/2019, 09:00",Finals,Final
b,r,e,a,k
