2019 U.S. Open Club Championship,Youth Club U-20 - Boys ,3,8,2019
https://play.usaultimate.org/events/2019-US-Open-Club-Championship/schedule/Boys/youth-club-u-20-boys/
Triforce,3
22,Kyle Lavrisa
23,Joe Cercello
24,Aaron Leshuk-Morita
25,Justin Peters
27,Paul Mcallester
52,Trevor Scott
66,Anthony Gutowsky
73,Gavin Babbitt
80,Maxwell Olesen
88,Christian Holzl
b,r,e,a,k
Charlotte Flight,12
00,Damian Delgado
02,Suhas Madiraju
06,Jacob Warmath
07,Alex Ballentine
08,Ryan Manuel
17,Henry Greene
19,Quinn Scott
21,Vatsal Varma
22,Adam Peterson
23,Miles Phillippi
24,Chris Rogich
27,Jayden Feagans
29,Mahith Edula
32,Christian Belus
33,Walker Terrell
42,Zac Kuelz
46,Ayush Padhi
62,William Terrell
85,Brooks Heath
88,Alexander Reese
b,r,e,a,k
Texas Toast,15
01,Dylan Jirovec
02,Jason Trevino
03,Kaushik Jampala
04,Luke Broderick
07,Samuel Garza
09,Logan Johnson
11,Josh Kreth
19,Rishi Assar
23,Michael Yost
26,Creighton Tisdale
27,Cash  Robinson
28,Nelson Barnes
35,Patrick Connor
41,Nathan Reed
42,Luke Stipanovic
50,Dmitry Pokinboroda
73,Ben Porter
77,Paul Kim
81,Marty Carrillo
87,Declan Jackson
b,r,e,a,k
Rising Tide U20B,17
00,Justin Strout
01,Nick Muth
02,Jack Gustafson
03,Benjamin Payson
05,Calvin Stoughton
06,Cole Moore
08,Eric Barber
11,Aidan Hayes
12,Adriel Barham
13,Evan Stracqualursi
15,Ben Horrisberger
22,John Sands
24,Ethan McKee
30,William Jordan
32,Adam Ray
44,Carter Lawless
b,r,e,a,k
STL Storm,19
00,Christian Piccioni
02,David Slama
03,Stephen Rashford
04,Alexander Bernier
05,Patrick LaVallee
07,Lincoln Grench
08,Patrick Driscoll
09,Ryan  Strand
10,Jacob Geisen
11,Reece Rode
12,Leif Schuster
14,Nick Shaughnessy
18,Matthew Capps
19,Pierce Kinney
20,Evan Driscoll
21,Matthew Schueler
22,Drew Steinhubl
24,Rory Shaw
28,John Krewet
33,Kevin Scannell
35,Benjamin Reimler
44,Calvin Ciorba
69,Liam Mulligan
77,Evan Jenkins
88,Milo Reed-Elliott
b,r,e,a,k
smOAK,23
00,Tyler Lum
01,Siegmund Lipansky
06,Axel Hartzog
08,Reeves Silver
09,Jarin Moonrising
12,Bailey Prochaska
20,Ryan Nguyen
21,Liam Kilbridge
23,Noah Chen
29,Jackson Allen
41,Marko Stojanovic
42,Brian Zheng
44,Luca Tolaio
45,Nathan Delos Reyes
46,Sterling Crowley
55,Emmett Stevens
69,Skyelar Connelly
88,Quinton Yap
95,Benjamin Roberts
98,Reuben Gronquist-Charland
b,r,e,a,k
Albany Anarchy,22
03,Isaac Miller
06,Zack Stahl
07,Seth Daughton
11,Ishaan Jerabek
16,Christian Mariscal-Dreby
17,Ethan Gravel
18,Connor Bohn
21,Aidan  Basal
22,Asa Mohammed
22,Ian Daughton
25,Jack Kirby
27,Noah Greenblatt
32,Levi Waite
52,Noah Capello
69,Dekin Blackwood
83,Ryan Ragaini
b,r,e,a,k
VUYCC Youth Club 2019,20
0,Ari Carp
0,Asa Thomson
0,Caleb Boyer
0,Eric Treyz
0,Evan Leaf
0,Jonas  Camera 
0,Joseph Leutz
0,Kaleb Zuckerman
0,Leif Corp
0,Mason Alschuler
0,Matan Fields
0,Nico Christakos
0,Patrick Como
0,Zachary Watson-Stevens
1,Andrew Zhu
4,Samuel Laur
7,Timothy Demling
7,Aidan DeLorenzo
11,Owen Young
18,Sam Green
27,Aidan Condon
b,r,e,a,k
Nashvillians,18
00,Brennan Allen
05,Jack Ezell
06,Andrew Coward
07,Nate Niles
08,John Ransburgh
11,Colin Flowers
13,Nilai Sheth
16,Nathan Hansen
18,Benjamin Harris
19,Elliott Rudder
20,Alex Richardson
21,Jared Beazley
24,Cameron Hagely
34,Blake Perdikis
41,Hayden  Teeter
44,Matthew Carmichael
85,Zane Ransburgh
98,David Lewis
99,Tate Kloeppel
b,r,e,a,k
Nightmare Ultimate Boys U20,21
09,Kai Tang
11,Sam Kerner
12,Andrew Klamerus
16,George Sipiora
17,Daniel Grosch
18,Henry Beuving
23,Max Marcionetti
27,Wonsuk Jung
39,Caleb Wright
42,Logan Lambright
49,Ethan Welsh
72,Joseph Sikorski
99,Jacob  Shockley
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Foggy Bottom Boys,Flying Pig,15,4,"08/03/2019, 13:00",Pool A
Triforce,Utah Swarm U20 Boys,15,7,"08/03/2019, 13:00",Pool A
Foggy Bottom Boys,Utah Swarm U20 Boys,13,11,"08/03/2019, 15:15",Pool A
Triforce,Flying Pig,15,3,"08/03/2019, 15:15",Pool A
Foggy Bottom Boys,Triforce,11,15,"08/04/2019, 08:30",Pool A
Flying Pig,Utah Swarm U20 Boys,4,15,"08/04/2019, 08:30",Pool A
pool,Pool B
ATLiens,BUDA U20B,15,10,"08/03/2019, 13:00",Pool B
Red Dawn,Texas United,13,11,"08/03/2019, 13:00",Pool B
ATLiens,Texas United,14,9,"08/03/2019, 15:15",Pool B
Red Dawn,BUDA U20B,10,13,"08/03/2019, 15:15",Pool B
ATLiens,Red Dawn,14,9,"08/04/2019, 08:30",Pool B
BUDA U20B,Texas United,14,9,"08/04/2019, 08:30",Pool B
pool,Pool C
DEVYL U-20,Colorado Cutthroat: Youth Club U-20 Boys,15,11,"08/03/2019, 13:00",Pool C
Impulse,Little Pony,1,15,"08/03/2019, 13:00",Pool C
DEVYL U-20,Little Pony,15,6,"08/03/2019, 15:15",Pool C
Impulse,Colorado Cutthroat: Youth Club U-20 Boys,6,15,"08/03/2019, 15:15",Pool C
DEVYL U-20,Impulse,15,1,"08/04/2019, 08:30",Pool C
Colorado Cutthroat: Youth Club U-20 Boys,Little Pony,14,9,"08/04/2019, 08:30",Pool C
pool,Pool D
Red Hots - u20,Minnesota Superior U20B,9,15,"08/03/2019, 13:00",Pool D
Charlotte Flight,Texas Toast,15,6,"08/03/2019, 13:00",Pool D
Red Hots - u20,Texas Toast,15,3,"08/03/2019, 15:15",Pool D
Charlotte Flight,Minnesota Superior U20B,9,13,"08/03/2019, 15:15",Pool D
Red Hots - u20,Charlotte Flight,15,14,"08/04/2019, 08:30",Pool D
Minnesota Superior U20B,Texas Toast,15,5,"08/04/2019, 08:30",Pool D
pool,Pool E
Rising Tide U20B,Albany Anarchy,15,3,"08/03/2019, 13:00",Pool E
STL Storm,smOAK,14,11,"08/03/2019, 13:00",Pool E
Rising Tide U20B,smOAK,15,4,"08/03/2019, 15:15",Pool E
STL Storm,Albany Anarchy,15,5,"08/03/2019, 15:15",Pool E
Rising Tide U20B,STL Storm,15,7,"08/04/2019, 08:30",Pool E
Albany Anarchy,smOAK,3,15,"08/04/2019, 08:30",Pool E
pool,Pool F
Nashvillians,Nightmare Ultimate Boys U20,15,6,"08/03/2019, 10:45",Pool F
VUYCC Youth Club 2019,Nightmare Ultimate Boys U20,15,5,"08/03/2019, 13:00",Pool F
Nashvillians,VUYCC Youth Club 2019,7,15,"08/03/2019, 15:15",Pool F
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
BUDA U20B,ATLiens,3,4,"08/05/2019, 13:00",Finals
Triforce,BUDA U20B,13,14,"08/05/2019, 10:45",Semifinals
Red Dawn,ATLiens,10,13,"08/05/2019, 10:45",Semifinals
Triforce,Minnesota Superior U20B,12,8,"08/04/2019, 15:45",Quarterfinals
Utah Swarm U20 Boys,BUDA U20B,7,15,"08/04/2019, 15:45",Quarterfinals
Foggy Bottom Boys,Red Dawn,13,14,"08/04/2019, 15:45",Quarterfinals
DEVYL U-20,ATLiens,12,13,"08/04/2019, 15:45",Quarterfinals
Texas United,Minnesota Superior U20B,8,12,"08/04/2019, 13:30",Pre-Quarterfinals
Utah Swarm U20 Boys,Colorado Cutthroat: Youth Club U-20 Boys,15,11,"08/04/2019, 13:30",Pre-Quarterfinals
Red Dawn,Red Hots - u20,15,8,"08/04/2019, 13:30",Pre-Quarterfinals
Flying Pig,DEVYL U-20,2,15,"08/04/2019, 13:30",Pre-Quarterfinals
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Triforce,Red Dawn,0,0,"08/05/2019, 13:00",3rd Place
bracket,5th Place
Minnesota Superior U20B,Foggy Bottom Boys,4,4,"08/05/2019, 13:00",5th Place Finals
Minnesota Superior U20B,Utah Swarm U20 Boys,13,12,"08/05/2019, 08:30",5th Place Semifinals
Foggy Bottom Boys,DEVYL U-20,15,10,"08/05/2019, 08:30",5th Place Semifinals
bracket,7th Place
Utah Swarm U20 Boys,DEVYL U-20,0,0,"08/05/2019, 13:00",7th Place
bracket,9th Place
Rising Tide U20B,Red Hots - u20,0,0,"08/05/2019, 13:00",9th Place Finals
Rising Tide U20B,Charlotte Flight,12,9,"08/05/2019, 08:30",9th Place Semifinals
Red Hots - u20,VUYCC Youth Club 2019,14,9,"08/05/2019, 08:30",9th Place Semifinals
Texas United,Rising Tide U20B,8,13,"08/04/2019, 15:45",9th Place Quarterfinals
Charlotte Flight,Colorado Cutthroat: Youth Club U-20 Boys,14,13,"08/04/2019, 15:45",9th Place Quarterfinals
Red Hots - u20,Little Pony,15,13,"08/04/2019, 15:45",9th Place Quarterfinals
VUYCC Youth Club 2019,Flying Pig,13,10,"08/04/2019, 15:45",9th Place Quarterfinals
Impulse,Rising Tide U20B,3,15,"08/04/2019, 10:45",9th Place Pre-Quarterfinals
Charlotte Flight,Nashvillians,15,7,"08/04/2019, 10:45",9th Place Pre-Quarterfinals
Little Pony,STL Storm,15,9,"08/04/2019, 10:45",9th Place Pre-Quarterfinals
Texas Toast,VUYCC Youth Club 2019,7,15,"08/04/2019, 10:45",9th Place Pre-Quarterfinals
bracket,11th Place
Charlotte Flight,VUYCC Youth Club 2019,3,6,"08/05/2019, 13:00",11th Place
bracket,13th Place
Colorado Cutthroat: Youth Club U-20 Boys,Little Pony,11,13,"08/05/2019, 10:45",13th Place Finals
Texas United,Colorado Cutthroat: Youth Club U-20 Boys,12,15,"08/05/2019, 08:30",13th Place Semifinals
Little Pony,Flying Pig,14,13,"08/05/2019, 08:30",13th Place Semifinals
bracket,15th Place
Texas United,Flying Pig,15,9,"08/05/2019, 10:45",15th Place
bracket,17th Place
Nashvillians,STL Storm,0,0,"08/05/2019, 13:00",17th Place Finals
Impulse,Nashvillians,9,11,"08/05/2019, 10:45",17th Place Semifinals
STL Storm,Texas Toast,15,10,"08/05/2019, 10:45",17th Place Semifinals
smOAK,Nashvillians,6,11,"08/04/2019, 15:45",17th Place Quarterfinals
STL Storm,Albany Anarchy,15,7,"08/04/2019, 15:45",17th Place Quarterfinals
Nightmare Ultimate Boys U20,Texas Toast,8,15,"08/04/2019, 15:45",17th Place Quarterfinals
bracket,19th Place
Impulse,Texas Toast,3,3,"08/05/2019, 13:00",19th Place
b,r,e,a,k
pools,Crossover Pool G
pool,Pool G
smOAK,Nightmare Ultimate Boys U20,15,6,"08/04/2019, 10:45",Pool G
Nightmare Ultimate Boys U20,Albany Anarchy,6,12,"08/04/2019, 13:30",Pool G
b,r,e,a,k
pools,21st Place Round Robin
pool,Pool H
smOAK,Albany Anarchy,15,5,"08/05/2019, 08:30",Pool H
Albany Anarchy,Nightmare Ultimate Boys U20,11,10,"08/05/2019, 10:45",Pool H
b,r,e,a,k
