Illinois Invite 8,College - Men ,30,3,2019
RANTOUL,IL,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Illinois-Invite-8/schedule/Men/CollegeMen/
Wisconsin-Whitewater,5
18,Grayson Ducker
19,Jacob Dziubek
20,Joel Rosen
22,John Castic
23,Jesse Johnson
26,Nick May
b,r,e,a,k
Wisconsin-Platteville,11
teamInfo,Udderburn,"Platteville, Wisconsin",,,https://twitter.com/udderburn
0,David Knabe
0,Derek  Schultz
0,Keagan Gustin
0,Kyle Swenson
0,Sam Pieper
0,Sarah Guenther
0,Zachary Hartjes
17,Tyler Stiers
77,Evan Adair
88,Kieran Mandli
b,r,e,a,k
Purdue (B),15
teamInfo,CTRL-Z,"West Lafayette, Indiana",,,
0,Alexander Maietta
0,Cameron Mosley
0,Josh Majors
0,Logan Staples
0,Mason Schulman
0,Zach Kelsch
4,Connor Gallogly
20,Matthew Bonini
25,William Cover
29,Benjamin Wagrez
34,Jeffrey Kaji
39,Ethan Pollack
42,Cory Vitez
49,Zachery Berg
64,Cody Zrelak
80,Jason Haehl
82,Samuel Bove
89,Adam Whitton
b,r,e,a,k
Indiana (B),14
teamInfo,HoosierDaddy!s,"Bloomington, Indiana",,,
0,Aidan Knight
0,Caleb Scott
0,Grant Rawlins
0,Griffin Halloran
0,Jack Scott
0,Dylan Seal
0,Elijah Earle
0,Jeremy Sarnowski
0,Malachi Johnson
0,Max Blackburn
0,Jonah Clancy
0,Robert Helfrich
0,Sam Willis
0,William Carter
5,Justin Garcia
7,Vibhav Parimi
13,Keaghan Knight
19,Benjamin Adams
20,Joe Furniss
23,Michael Paglialunga
25,Raymundo Lopez
27,Jacob Fry
28,Benjamin Harris
34,Fisher Dewitt
43,Dan McManus
44,Jared Goldenstein
52,Christian Gonzales
b,r,e,a,k
Michigan State (B),19
teamInfo,Riot Control,"East Lansing, Michigan",,,
0,Andrew Corn
0,Charles Pelton
0,Charlie Meissner
0,Jackson Kleinjans
0,Jacob Renkiewicz
0,Jerry Chang
0,Jordan Ross
0,Nathaniel Clinger
0,Noah Baer
0,Thomas Bos
13,Parker Bommarito
17,Jim Stratton
18,Jace Pidhirny
b,r,e,a,k
Illinois State (B),18
teamInfo,Gnomes B,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
0,Mitch Hughes
5,Aaron Zilinskas
17,Kevin Szczygiel
21,Nick Williamson
25,Charlie Pomrehn
26,Luke Graf
31,Kyle Jones
32,Jonathan Gancarczyk
35,Zach Eiden
40,Nicholas Bernas
42,Abraham Lowy
55,Adam Mueller
74,Kyle Ooley
97,Alex Straczek
b,r,e,a,k
Missouri State,12
teamInfo,Missouri State,"Springfield, Missouri",,https://www.facebook.com/MissouriStateUltimate/,
0,Jacob Bahr
3,Brandon Sears
5,Ethan Harting
7,Chandler Davis
01,James Engelhardt
06,Cole Wheeler
08,Cooper Thompson
21,Daniel Holsten
32,Joshawa Ryun
42,Jaimasen Williams
68,Matthew Moore
87,Jameson Turnbow
b,r,e,a,k
Illinois (B),13
teamInfo,Boomland,"Champaign, Illinois",,,https://twitter.com/boomlandulti?lang=en
0,Arthur Albarran
0,Benjamin Miller
0,Conor Harrington
0,Drew Pellico
0,Luka Karginov
0,Michael Lally
0,Mitchell McMahon
0,Nelson Perumpel
0,Sufyan Baig
2,Tyler Smiles
3,Christopher Nguyen
9,Kyle Barry
10,Mitchell Wojcik
34,Arj Tripathy
37,Pierce Lynch
42,Manasven Grover
51,Emil Broemmelsiek
71,Christopher Read
77,Ryan Teo
88,Albert Xu
b,r,e,a,k
Washington University (B),16
teamInfo,Contraband,"St. Louis, Missouri",,,https://www.twitter.com/wucontraband
00,Aidan Flynn
00,Alex Sandoval
00,Andrew Mitra
00,Bay Johnson
00,Christopher Palmer
00,Connor Merritt
00,David Kibbe
00,David Shea
00,Jan Mazur
00,Jason Oberstein
00,Logan Press
00,Logan Mueller
00,Matt Geer
00,Miles Johnson
00,Nathan Vaska
00,Rishab Arora
00,Rory MacNicol
00,Ross Rosen
00,Samuel Lee
00,Sean Doherty
00,WillIam Altschul
00,Zachary Leonard
b,r,e,a,k
Wisconsin (C),20
teamInfo,Wisconsin C,"Madison, Wisconsin",,,
0,Ben Cincotta
0,Benjamin Boerigter
0,Briar Putz
0,Jayden LeQue
0,Matt McNaught
5,Ben Lebowitz
16,Conor Hanko
37,Mark Hutson
47,Michael Schon
b,r,e,a,k
Wisconsin-Milwaukee (B),17
teamInfo,BLACKOUT,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate/,
0,Ian Lane
0,Jack Erdman
0,Andrew Moyer
0,Joe Arnold
0,Nick Kaiser
6,Zach Anderson
10,Jack Fravel
13,Nicholas King
21,Brett Zingler
26,mitchell chanter
27,Jacob Christopherson
31,Edwin deWerff
42,Clyde Jennings
59,Jared Bonack
96,Quinn Anderson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Power A
Wisconsin-Milwaukee,Wisconsin (B),11,9,"03/30/2019, 10:00",Power A,Final
Wisconsin-Whitewater,Toledo,13,1,"03/30/2019, 10:00",Power A,Final
Wisconsin-Milwaukee,Wisconsin-Whitewater,8,11,"03/30/2019, 11:35",Power A,Final
Michigan State,Toledo,10,8,"03/30/2019, 11:35",Power A,Final
Toledo,Wisconsin (B),8,9,"03/30/2019, 13:10",Power A,Final
Michigan State,Wisconsin-Whitewater,6,13,"03/30/2019, 13:10",Power A,Final
Wisconsin-Milwaukee,Toledo,5,2,"03/31/2019, 09:00",Power A,Final
Michigan State,Wisconsin (B),5,7,"03/31/2019, 09:00",Power A,Final
Wisconsin-Milwaukee,Michigan State,8,4,"03/31/2019, 10:20",Power A,Final
Wisconsin-Whitewater,Wisconsin (B),8,4,"03/31/2019, 10:20",Power A,Final
pool,Power B
Michigan (B),Loyola-Chicago,12,11,"03/30/2019, 10:00",Power B,Final
DePaul,Northern Iowa,9,11,"03/30/2019, 10:00",Power B,Final
Michigan (B),DePaul,10,9,"03/30/2019, 11:35",Power B,Final
Grand Valley State,Northern Iowa,13,8,"03/30/2019, 11:35",Power B,Final
Northern Iowa,Loyola-Chicago,4,13,"03/30/2019, 13:10",Power B,Final
Grand Valley State,DePaul,13,10,"03/30/2019, 13:10",Power B,Final
Michigan (B),Grand Valley State,6,8,"03/31/2019, 09:00",Power B,Final
DePaul,Loyola-Chicago,4,6,"03/31/2019, 09:00",Power B,Final
Michigan (B),Northern Iowa,8,6,"03/31/2019, 10:20",Power B,Final
Grand Valley State,Loyola-Chicago,9,7,"03/31/2019, 10:20",Power B,Final
pool,Pool C
Wisconsin-Platteville,Michigan State (B),13,2,"03/30/2019, 10:00",Pool C,Final
Purdue (B),Illinois State (B),9,3,"03/30/2019, 10:00",Pool C,Final
Wisconsin-Platteville,Purdue (B),11,10,"03/30/2019, 11:35",Pool C,Final
Indiana (B),Illinois State (B),12,5,"03/30/2019, 11:35",Pool C,Final
Illinois State (B),Michigan State (B),9,10,"03/30/2019, 13:10",Pool C,Final
Indiana (B),Purdue (B),6,8,"03/30/2019, 13:10",Pool C,Final
Wisconsin-Platteville,Indiana (B),12,2,"03/31/2019, 09:00",Pool C,Final
Purdue (B),Michigan State (B),9,6,"03/31/2019, 09:00",Pool C,Final
Wisconsin-Platteville,Illinois State (B),9,5,"03/31/2019, 10:20",Pool C,Final
Indiana (B),Michigan State (B),8,6,"03/31/2019, 10:20",Pool C,Final
pool,Pool D
Missouri State,Wisconsin (C),13,2,"03/30/2019, 10:00",Pool D,Final
Washington University (B),Wisconsin-Milwaukee (B),13,6,"03/30/2019, 10:00",Pool D,Final
Missouri State,Washington University (B),13,7,"03/30/2019, 11:35",Pool D,Final
Illinois (B),Wisconsin-Milwaukee (B),11,7,"03/30/2019, 11:35",Pool D,Final
Wisconsin-Milwaukee (B),Wisconsin (C),3,11,"03/30/2019, 13:10",Pool D,Final
Illinois (B),Washington University (B),8,5,"03/30/2019, 13:10",Pool D,Final
Missouri State,Wisconsin-Milwaukee (B),7,0,"03/31/2019, 09:00",Pool D,Final
Illinois (B),Wisconsin (C),F,F,"03/31/2019, 09:00",Pool D,Final
Missouri State,Illinois (B),9,7,"03/31/2019, 10:20",Pool D,Final
Washington University (B),Wisconsin (C),6,4,"03/31/2019, 10:20",Pool D,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Wisconsin-Whitewater,Grand Valley State,13,12,"03/31/2019, 15:30",Championship,Final
Wisconsin-Whitewater,Michigan (B),11,3,"03/31/2019, 14:10",Semis,Final
Wisconsin-Milwaukee,Grand Valley State,7,10,"03/31/2019, 14:10",Semis,Final
Michigan State,Wisconsin-Whitewater,8,11,"03/31/2019, 12:50",Quarters,Final
Wisconsin (B),Michigan (B),4,11,"03/31/2019, 12:50",Quarters,Final
Wisconsin-Milwaukee,Wisconsin-Platteville,8,3,"03/31/2019, 12:50",Quarters,Final
Grand Valley State,Northern Iowa,13,4,"03/31/2019, 12:50",Quarters,Final
Michigan State,DePaul,7,6,"03/31/2019, 11:30",Play In,Final
Wisconsin (B),Missouri State,8,7,"03/31/2019, 11:30",Play In,Final
Wisconsin-Platteville,Loyola-Chicago,9,6,"03/31/2019, 11:30",Play In,Final
Northern Iowa,Toledo,8,4,"03/31/2019, 11:30",Play In,Final
bracket,9th Place
Missouri State,Loyola-Chicago,0,1,"03/31/2019, 15:30",9th Place,Final
DePaul,Missouri State,5,9,"03/31/2019, 14:10",9th - Semis,Final
Loyola-Chicago,Toledo,1,0,"03/31/2019, 14:10",9th - Semis,Final
bracket,5th Place
Wisconsin (B),Wisconsin-Platteville,10,6,"03/31/2019, 15:30",5th Place,Final
Michigan State,Wisconsin (B),0,1,"03/31/2019, 14:10",5th - Semis,Final
Wisconsin-Platteville,Northern Iowa,11,9,"03/31/2019, 14:10",5th - Semis,Final
bracket,3rd Place
Michigan (B),Wisconsin-Milwaukee,3,7,"03/31/2019, 15:30",3rd Place,Final
bracket,13th Place Bracket
Purdue (B),Illinois (B),5,9,"03/31/2019, 14:10",13th Place,Final
Purdue (B),Washington University (B),10,7,"03/31/2019, 12:50",13th - Semis,Final
Indiana (B),Illinois (B),4,7,"03/31/2019, 12:50",13th - Semis,Final
Purdue (B),Wisconsin-Milwaukee (B),7,4,"03/31/2019, 11:30",13th - Quarters,Final
Washington University (B),Michigan State (B),7,6,"03/31/2019, 11:30",13th - Quarters,Final
Indiana (B),Wisconsin (C),8,7,"03/31/2019, 11:30",13th - Quarters,Final
Illinois State (B),Illinois (B),6,7,"03/31/2019, 11:30",13th - Quarters,Final
bracket,17th Place
Wisconsin-Milwaukee (B),Illinois State (B),4,5,"03/31/2019, 14:10",17th Place,Final
Wisconsin-Milwaukee (B),Michigan State (B),9,6,"03/31/2019, 12:50",17th - Semis,Final
Wisconsin (C),Illinois State (B),3,8,"03/31/2019, 12:50",17th - Semis,Final
bracket,11th Place
DePaul,Toledo,1,0,"03/31/2019, 15:30",11th Place,Final
b,r,e,a,k
