2019 U.S. Open Club Championship,Youth Club U-20 - Mixed ,2,8,2019
Blaine,MN,2019-08-02,2019-08-05
https://play.usaultimate.org/events/2019-US-Open-Club-Championship/schedule/Mixed/youth-club-u-20-mixed/
DiscNW Bankroll,1
1,David Thornton
3,Alex Jones
6,Ben Dickson
7,Cheonnam Hunter
9,Atti Rattelman
10,Curtis Kim
12,Ellie Hill
13,Jacob Reimer
14,Abigail Freund
19,Lia Yamamoto Schwartz
20,Carter Tegen
24,Luke Hatchl
31,Samantha Brady
34,Ella McHugh
41,Christopher Hahn
42,Lucinda Olson
51,Alexander Daley
54,Ella Sherman
57,Christopher O'Mara
81,Elizabeth Liston
88,Ellie Cloe
90,Brendan Selby
b,r,e,a,k
Sabers,17
teamInfo,,"Columbus, Ohio",,,@ColumbusYcc
coaches,Kevin Baumann,Kelly Rusin
00,Ferren Feyh
01,Max Scheetz
03,David Braden
06,Garrett Culbertson
09,Maxwell Devine
10,Derek Wright
11,Stephanie Kramer
12,Jose Hundley
13,Alex Doty
16,Elizabeth Burkhardt
17,Sean O'Donovan
19,Ryan DeGeeter
21,Rose Duffus
22,Reagan Cox
23,Nick Havill
24,Sky Anderson
27,Kailey Roberts 
28,Julia Dreiling
30,Bailey Ohrman
31,Spencer Law
33,Riley Dickson
34,Karli Predieri
50,Jacob Larmor
b,r,e,a,k
Pi+,15
teamInfo,,"Lexington, Kentucky",https://djmjwu.wixsite.com/ultimatepi/ycc-pi,,
coaches,Jordan Monnin,Benjamin Lindemuth,Matt Brown,David Wu
02,Rebecca Monnin
03,John Blair
05,Joshua Wu
06,Lula Dutille
07,Savannah Jeffries
08,Rebekah Taylor
09,Michael Schuster
10,Nicholas Coleman
11,Andrew Blair
13,Luke Monnin
17,Aimee Lindemuth
18,Wesley Preston
21,Phillip Smith
22,Travis Monnin
25,Gabriella  Enders
26,Therese Enders
33,Meg Teller
39,Joseph Lindemuth
64,Matt Renaud
71,Cameron McCrary
72,Jake Montgomery
74,Alaina Johns
78,Caden Malott
79,Margaret Blair
87,Julian Misleh
b,r,e,a,k
Happy Cows,7
teamInfo,,"San Francisco Bay Area, California",http://bayareadisc.org/,,https://twitter.com/HappyCowsUlti
coaches,Vivian Chu,Nick Tolfa,Rand Wrobel
03,Tanner Flagg
04,Dylan Corona
06,Celvi Lisy
09,Toby Graf
11,Georgia  Van der Linden
18,Samuel Kaplan
19,Matthew Barcellos
21,Noé Motamedi
23,Margo Donahue
27,Joshua Kimball
28,Jordan Owens
32,Sophia Acker
50,Kellen Sellers
55,Kathleen Gull
58,Gigi Mancuso-Jackson
72,Shankar Ramaswamy
73,Eliza Lerman
77,Jackson Heglie
81,Ella Stiger
86,Fae Rauber
97,Eric Johnson
99,Finnegan Graham
b,r,e,a,k
Philadelphia Forge (Mixed),2
teamInfo,Mixed,"Philadelphia, Pennsylvania",,,
coaches,Christina Minecci
03,Samuel Barnett
04,Benjamin Hewitt
05,Olivia Thornton
07,Tim Jensen
09,Angela Campanella
10,Claire Fukuchi
11,Peter Boerth
12,Grace Hodges
13,Lacey Robinson
14,Abby Minecci
15,Grahm Bacon
18,Casey Thornton
21,Luke Jarvis
22,Elijah Afrifa
23,Sam Fogel
24,Dagny Lott
25,Abby  Wiedeman
27,Sheldon Ennis
28,Adam Blum
30,Jamie  Eldridge 
33,Drew Loughnane
36,Alex Storrer
37,Nathaniel O'Brien
44,Sofia Lake
77,Nicholas Coyle
b,r,e,a,k
Corn Saw,10
teamInfo,,"Des Moines, Iowa",,,
coaches,Niko Beauchamp,Jon Olson
1,Harrison Prentice
5,Bailey Dennis
7,Nicholas (Nick) Rider
8,Allison Robinson
10,Nathan Bielecki
12,Josh Miller
19,Samuel Onsrud
20,Keegan Johnson
21,Carver Van Thournout
23,Camden Boyde
31,Tyler McNutt
32,Alex Correa
40,Meg Burns
42,Tanner Peterson
46,Amber Troutman
87,Sean Fjellman
b,r,e,a,k
Milwaukee Lake Effect,18
teamInfo,,"Milwaukee, Wisconsin",https://www.milwaukeeultimateclub.com/ycc,https://www.facebook.com/groups/868682066796645/,https://twitter.com/MKELakeEffect
coaches,Alexandra Leutenegger,Rozelynn Becker,Lauren Boyle
00,Stefan Caldararu
04,Tyler Blaine
07,Ryan Label
10,Nick Fellows
11,Eduardo  Delgadillo 
12,Dan Ruppin
13,Hanna Leight
16,Ethan Cook 
17,Maddy Fellows
19,Denadis Zollicoffer
21,Brady Oberfoell
22,Lily Perkins
23,Kayla Selbitschka
24,Kalyn Kranz
31,Luis Torres
42,Daniel Burss
b,r,e,a,k
Equinox,6
teamInfo,,"Montpelier, Vermont",,,
coaches,Nolan Benoit,Michelle Steele
04,Maya Standard
07,Halie Bean
08,Hayden Ellms
09,Anders Shenholm
10,Keisha Bedor
12,Gavin Wilczynski
13,Caleb Morehouse
17,Analise Stich
18,Robin Keon
19,Matt Furtsch
21,Mae Browning
25,Gavin Corbett-Valade
26,Nadia Scoppettone
27,Maple Perchlik
28,Kaleth Torrens-Martin
33,Finn Clark
37,Grace Valentine
44,Eliana Moorhead
54,Seth Fisher-Olvera
82,Declan Kervick
86,Mason Palmer
b,r,e,a,k
MN Superior,3
teamInfo,,"Twin Cities, Minnesota",,,
coaches,Alicia Carr,Jake McKean,Sarah Meckstroth
01,Clara Bils
02,Matea Simonson
03,Emily Cashel
05,Peter Helgeson
06,Beatrice Ibes-Nedeljkovic
08,Thomas Tuchenhagen
09,Jedi Casas
12,Eva Fischer
13,Jedidiah Pratt
15,Tom Hobday
20,Grace Hammond
21,Ian Tacheny
24,Malachi Raymond
27,Jake Hendrickson
31,TeDabi O'Gorman
33,Daisy Har
34,Levi Dohman
37,Elleythea Smith
40,Brandon Else
44,Gabrielle Olson
54,Katelyn Gisvold
57,Lucy Weld
67,Austin Malberg
71,Ryan Monorom
99,Athena Bolton-Steiner
b,r,e,a,k
Skyscrapers,11
teamInfo,,"Brooklyn, New York",,,
coaches,Andy Borinstein,Emily Cho,Cameron Albert-Deitch
00,Christopher Chan
02,Josh Epstein
05,Xiaojie (Aaron) Li
07,Thomas Bennett
09,Emma Lian
11,Thomas Zhao
12,Clara Gale
13,Josephine (Josie) Macdonald
14,Nancy Cullen
18,Lili Wilson
19,Belinda Lam
22,Ishai Melamede
24,Harper Lethin
27,Rita Feder
28,Mark Gazzerro
33,Shiv Khanna
34,Jeremy Trachtenberg
41,Corinna Rhum
46,Ray Ye
47,Sam Harris
99,Leon Tan
b,r,e,a,k
Frostbite,14
teamInfo,,"Portsmouth, New Hampshire",,,
coaches,Colby Clarkson,Trevor Yandow,Sarah Flaherty
02,Colin Brown
03,Alisander Velazquez
04,Jaryn Lafond
07,Ava Drenkhahn
08,Maren Hennessy
09,Sylvia  Stark
10,Jack Lowrey
12,Grace Pascucci
13,Elijah Brandt
14,Ethan Anderson
21,Jordan Smithurst
23,Pat Healey
25,Jonathan Pitts
28,Kyle Duffy
33,Teagan Graham
54,Max Maccannell
69,Evan MacDonald
72,Jake Telford
b,r,e,a,k
Maryland Blackout,19
teamInfo,,"Baltimore, Maryland",,,
coaches,Joseph Ricks,Keven Moldenhauer,Nicole LaDue,Cara Murray
1,Chris Knorr
2,Nick Ostrowski
3,Caleb Moran
4,Kira Krucoff
7,Jacob Ham
9,Drew Olsen
10,Mary Musick
13,Sarah McMonagle
14,Aaron Iwamoto
15,Daniel Bredehorst
16,Henry Hammer
18,Gemma Friedman
20,Nicholas Beres
23,Camille Arreza
24,Angela Voo
27,Louis Endrich
33,Nichlas Kobrick
97,Kyler Tackett
99,Leo Seidman
b,r,e,a,k
Madison MUFAbots U20X,5
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/mufabots
coaches,Molly Berkholtz,Lilly Iverson,Glenn Poole
01,Gabe Wasserman
03,Isaac Wasserman
04,Grace Goldenberg
06,Gwen Johnson
07,Megan Timm
08,Anna Lane
09,Sara Christenson
11,Ian Mccosky
13,Tenley Abbott
15,Nolan Meyer
19,Nico Ranabhat
22,Lauren Thompson
23,Erica Collin
26,Saul Diaz
29,Sebastian Brauer
33,Sophia Montgomery
35,Leah Mickelson
42,Catherine Thompson
44,Kale Johnson
49,TouZaj Cha
53,Erik Stewart
66,Natalie Gruben
81,Aaron Liu
88,Jack Walters-Medaris
b,r,e,a,k
Connecticut Harpoon,13
teamInfo,,"Cromwell, Connecticut",,,
coaches,Todd Larese
03,Elizabeth Baker
04,Marielle  Beausoleil 
07,Erin Moody
08,Jessica Hatrick
09,Sarah Azrin
11,John Clyde
12,David Vega
15,Rohan Patel
17,Ethan Lavallee
19,Owen Cordes
20,Joe Martin
21,Theresa Yu
27,Maximillian Keffer
28,Mason Zane
41,Bobby Elston
52,Logan Lauer
66,Zachary Corvo
b,r,e,a,k
Rising Tide U20X,4
teamInfo,,"Portland, Maine",www.maineultimate.org,https://www.facebook.com/MaineUltimate?fref=ts,
coaches,Richard Young
02,Owen Jacobsen
03,Grace Ruszkai
04,Eva Rowell
05,Katie Simmons
07,Andrew Riley
10,Dylan Houle
11,Maria  Paquin
13,Ryan Thompson
17,Zebadiah Staples
18,Audrey Pearson
21,Alex Rowell
23,Homer LaBranche
24,Anna Briley
27,Devin Hutcheson
77,Kerry Roberts
b,r,e,a,k
Kalamazoo United Forte,12
teamInfo,,"KALAMAZOO, Michigan",www.kzooultimate.com,,
coaches,Matthew Frayer
00,Ruggero Soto-Ricci
03,Haniya Frayer
04,Jack Warmelink
06,Thomas Kerschbaum
07,Emily Edlefson
08,John Horsley
09,Margo Wang
10,Brian Hough
13,Jonna Frayer
18,Wyatt Harris
19,Colin Vander Beek
20,Linus Mallett
21,Gavin Helder
23,Owen Quayle
27,Ana Dunfee
42,Clara Moss
63,Remy Chirila
91,Mara Vander Beek
97,Christina Uytingco
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Swing Vote,Sabers,15,5,"08/03/2019, 10:45",Pool A,Final
DiscNW Bankroll,Flood,15,6,"08/03/2019, 13:00",Pool A,Final
Swing Vote,INcognito,11,15,"08/03/2019, 13:00",Pool A,Final
DiscNW Bankroll,INcognito,15,5,"08/03/2019, 15:15",Pool A,Final
Flood,Sabers,15,1,"08/03/2019, 15:15",Pool A,Final
DiscNW Bankroll,Sabers,15,3,"08/04/2019, 08:30",Pool A,Final
INcognito,Sabers,15,2,"08/04/2019, 10:45",Pool A,Final
Swing Vote,Flood,12,15,"08/04/2019, 10:45",Pool A,Final
Flood,INcognito,11,12,"08/04/2019, 13:30",Pool A,Final
DiscNW Bankroll,Swing Vote,14,6,"08/04/2019, 13:30",Pool A,Final
pool,Pool B
Happy Cows,Milwaukee Lake Effect,15,2,"08/03/2019, 10:45",Pool B,Final
Philadelphia Forge (Mixed),Corn Saw,14,4,"08/03/2019, 13:00",Pool B,Final
Happy Cows,Pi+,8,14,"08/03/2019, 13:00",Pool B,Final
Philadelphia Forge (Mixed),Pi+,10,13,"08/03/2019, 15:15",Pool B,Final
Corn Saw,Milwaukee Lake Effect,13,8,"08/03/2019, 15:15",Pool B,Final
Philadelphia Forge (Mixed),Milwaukee Lake Effect,15,7,"08/04/2019, 08:30",Pool B,Final
Pi+,Milwaukee Lake Effect,15,0,"08/04/2019, 10:45",Pool B,Final
Happy Cows,Corn Saw,15,8,"08/04/2019, 10:45",Pool B,Final
Corn Saw,Pi+,1,15,"08/04/2019, 13:30",Pool B,Final
Philadelphia Forge (Mixed),Happy Cows,9,11,"08/04/2019, 13:30",Pool B,Final
pool,Pool C
Equinox,Maryland Blackout,15,2,"08/03/2019, 10:45",Pool C,Final
MN Superior,Skyscrapers,15,5,"08/03/2019, 13:00",Pool C,Final
Equinox,Frostbite,15,3,"08/03/2019, 13:00",Pool C,Final
MN Superior,Frostbite,15,0,"08/03/2019, 15:15",Pool C,Final
Skyscrapers,Maryland Blackout,15,2,"08/03/2019, 15:15",Pool C,Final
MN Superior,Maryland Blackout,15,2,"08/04/2019, 08:30",Pool C,Final
Frostbite,Maryland Blackout,12,10,"08/04/2019, 10:45",Pool C,Final
Equinox,Skyscrapers,15,1,"08/04/2019, 10:45",Pool C,Final
Skyscrapers,Frostbite,11,9,"08/04/2019, 13:30",Pool C,Final
MN Superior,Equinox,9,13,"08/04/2019, 13:30",Pool C,Final
pool,Pool D
Rising Tide U20X,Kalamazoo United Forte,12,7,"08/03/2019, 13:00",Pool D,Final
Madison MUFAbots U20X,Connecticut Harpoon,15,9,"08/03/2019, 13:00",Pool D,Final
Rising Tide U20X,Connecticut Harpoon,3,15,"08/03/2019, 15:15",Pool D,Final
Madison MUFAbots U20X,Kalamazoo United Forte,15,2,"08/03/2019, 15:15",Pool D,Final
Rising Tide U20X,Madison MUFAbots U20X,5,12,"08/04/2019, 13:30",Pool D,Final
Kalamazoo United Forte,Connecticut Harpoon,5,15,"08/04/2019, 13:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
DiscNW Bankroll,INcognito,7,4,"08/05/2019, 13:00",Finals,Cancelled
DiscNW Bankroll,Madison MUFAbots U20X,15,8,"08/05/2019, 10:45",Semifinals,Final
Connecticut Harpoon,INcognito,13,15,"08/05/2019, 10:45",Semifinals,Final
DiscNW Bankroll,Happy Cows,15,5,"08/04/2019, 15:45",Quarterfinals,Final
Madison MUFAbots U20X,MN Superior,10,8,"08/04/2019, 15:45",Quarterfinals,Final
Equinox,Connecticut Harpoon,9,12,"08/04/2019, 15:45",Quarterfinals,Final
Pi+,INcognito,10,15,"08/04/2019, 15:45",Quarterfinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Madison MUFAbots U20X,Connecticut Harpoon,0,0,"08/05/2019, 13:00",3rd Place,Cancelled
bracket,5th Place
MN Superior,Pi+,0,0,"08/05/2019, 13:00",5th Place Finals,Cancelled
Happy Cows,MN Superior,6,15,"08/05/2019, 08:30",5th Place Semifinals,Final
Equinox,Pi+,9,13,"08/05/2019, 08:30",5th Place Semifinals,Final
bracket,7th Place
Happy Cows,Equinox,0,0,"08/05/2019, 13:00",7th Place,Cancelled
bracket,9th Place
Flood,Philadelphia Forge (Mixed),10,15,"08/05/2019, 10:45",9th Place Finals,Final
Flood,Rising Tide U20X,15,10,"08/05/2019, 08:30",9th Place Semifinals,Final
Skyscrapers,Philadelphia Forge (Mixed),7,15,"08/05/2019, 08:30",9th Place Semifinals,Final
Flood,Corn Saw,13,7,"08/04/2019, 15:45",9th Place Quarterfinals,Final
Rising Tide U20X,Frostbite,11,10,"08/04/2019, 15:45",9th Place Quarterfinals,Final
Skyscrapers,Kalamazoo United Forte,12,9,"08/04/2019, 15:45",9th Place Quarterfinals,Final
Philadelphia Forge (Mixed),Swing Vote,15,9,"08/04/2019, 15:45",9th Place Quarterfinals,Final
bracket,11th Place
Rising Tide U20X,Skyscrapers,10,12,"08/05/2019, 10:45",11th Place,Final
bracket,13th Place
Corn Saw,Swing Vote,6,11,"08/05/2019, 10:45",13th Place Finals,Final
Corn Saw,Frostbite,12,9,"08/05/2019, 08:30",13th Place Semifinals,Final
Kalamazoo United Forte,Swing Vote,3,15,"08/05/2019, 08:30",13th Place Semifinals,Final
bracket,15th Place
Frostbite,Kalamazoo United Forte,9,11,"08/05/2019, 10:45",15th Place,Final
b,r,e,a,k
clusters,17th Place Round Robin
cluster,17th Place Round Robin
Sabers,Maryland Blackout,6,14,"08/05/2019, 08:30",,Final
Milwaukee Lake Effect,Maryland Blackout,2,13,"08/05/2019, 10:45",,Final
Sabers,Milwaukee Lake Effect,0,0,"08/05/2019, 13:00",,Cancelled
b,r,e,a,k
