Texas Two Finger 2019,Club - Mixed ,15,6,2019
https://play.usaultimate.org/events/Texas-Two-Finger-2019/schedule/Mixed/Club-Mixed
Public Enemy,1
34,Joseph Filipek
39,Braxton Furlong
41,Ben Galloway
b,r,e,a,k
Mixed on the Rock,18
0,Brandyn Wilcox
0,Damien Freeman
0,Jay Metzger
0,Kat Minx
0,Katherine Divino
0,Kyle  Walker
0,Marine Pennequin
0,Mary Staton
0,Nick Feringa
0,Steven Holmquist
8,Adam Asberry
13,Diana Soteropoulos
17,Heather Downs
28,Keren Gerstenlauer
50,Jeremy DeLon
b,r,e,a,k
Boomtown,3
69,Adriana Prieto
69,Blake Duncan
69,Cameron Guidry
69,Corbin Vann
69,Frank Macon
69,Gabriel Sanchez
69,Jacob Berg
69,Jade Johnson
69,Jarrod Hockett
69,John Wynne
69,John Athens
69,Jonathan Higgins
69,Krystina Morris
69,Luke Kennedy
69,Madison Stutler
69,Matthew Carney
69,Nicole Fields
69,Rachel Deeds
69,Rebekah Harlin
69,"Sam ""Suds"" Ward"
69,Sidney Sanchez
69,Skylar Fuser
69,Stephanie Hockett
b,r,e,a,k
Risky Business,6
0,Abigail Thorpe
0,Austin Wargin
0,Christina Jones
0,Colleen Casadaban
0,Cristina Carreon
0,Emiko FitzGerald
0,Yvette Tran
1,Austin Henke
4,Callista Benavides
5,Bryan Rowes
7,Austin Reed
7,Christopher Schultz-Davis
7,Matthew Melendez
9,Dalio Losch
03,Allie Long
14,Kristopher Dapprich
19,Eric LaPietra
21,Blake Abbott
23,Angga Widodo
30,Andrew Morton
65,Samuel Bondurant
69,Bristol Lovoy
73,Louisa Xie
88,Zoey Clark
b,r,e,a,k
Bexar,11
02,Jessica Kishi
05,Ellen Register
06,Alex Garcia
07,Gavin Hart
08,Fabian Briesmoore
09,Barbara Smith
10,Jaycee Jones
12,Jason Miller
13,Chloe Baldino
14,Brody Johnson
16,Jake Johnson
18,Jason Gerhart
21,Austin Wehrheim
22,Mia Loseff
23,Axel Anderson
25,Cat O'Shei
27,Keith Register
31,Paul Wheaton
33,Corey Mika
50,Ryan Walker
75,Amy Morrison
87,Michael McCartney
91,Joseph Carroll
b,r,e,a,k
Balloon,14
0,Anchit Patel
0,Anders Van Sandt
0,John Rogers
0,Kimberly Sayprasith
0,Kinsey Miller
0,Peter Ferguson
0,Peter Evans
0,Robert Hendrix
0,Ryan Holley
0,Teresa Kenny
12,Mike Welch
13,Ricardo Maldonado
13,Tyler Reinhardt
14,Josette Cervantes
15,Micah Craig
17,Todd Schrader
22,Marcus Mataga
30,Jenna Moffitt
32,Lauren Schwartz
37,Justin Allison
42,Amber Laurel
51,Shai Herman
52,Mike Youngs
b,r,e,a,k
Moontower,4
0,Amy Kendziorski
0,Andrew Feller
0,Anna Pobletts
0,Cam Q
0,Daniel Murray
0,Erin Phillips
0,Jess Browder-Long
0,Kerry Younts
0,Luis Torres
0,Mackenzie Bailey
0,Matthew Weber
0,Nicholas Gonner
0,Sierra Jensen
0,Tyler Perry
11,Allegra Donadio
18,Tanner Moore
44,Katia Krupa
55,Theodore Weisman
b,r,e,a,k
Tex Mix,5
0,Annaliza Bittner
0,Chinwe Obi
0,Christen McClure
0,David Santillan
0,Jena Douville
0,Kyle Boudreau
0,Marcus Payne
1,James Toh
2,Neil Campbell
3,Jenna Paterson
3,Bryan Bush
4,Clayton Moore
5,Morgan Heim
6,Merl Prichard
7,Jonathan Eubanks
15,Jenna Hay
15,Erin Heilman
16,Greg Mcclure
16,Macy Lang
26,Jackson Gillenwaters
26,Ryan Smith
29,David Moen
32,JT Riley
39,Mattina Maloney
41,James Robarge
99,Rebecca Case
b,r,e,a,k
Craw Daddies,13
0,Claire LeJeune
0,Ansley Sackett
0,Janice Bourgeois
0,Sarah Allred
5,Thomas Hannie
10,Jacques Pecquet
27,Damith Gunasingha
44,Madison Avery
53,Brandon Magazine
77,Destin Tate
99,Glenn Lorio
b,r,e,a,k
Alpha,12
0,Aaron Villarreal
0,Amber Helms
0,David Waters
0,Elizabeth Waters
0,Kourtney  Elder
0,Montrell Watson jr 
0,Oliver Geser
0,Shawn  Hubler
0,Travis Faulkner
0,Tyler Roberts
2,Jeremy Waters
3,Stephen Harden
7,James McKechnie
7,Avery Callon
13,Brandon  Odell
34,Joshua Romani
53,Dawson Pleasant
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play (Saturday)
pool,Pool A
Public Enemy,Chili Poppers,11,3,"06/15/2019, 08:00",Pool A
Impact,Mud Turtles,6,11,"06/15/2019, 08:00",Pool A
Public Enemy,Impact,11,6,"06/15/2019, 09:50",Pool A
blOKC party,Mud Turtles,11,2,"06/15/2019, 09:50",Pool A
Mud Turtles,Chili Poppers,11,3,"06/15/2019, 11:40",Pool A
blOKC party,Impact,11,8,"06/15/2019, 11:40",Pool A
Public Enemy,Mud Turtles,11,2,"06/15/2019, 13:30",Pool A
blOKC party,Chili Poppers,11,2,"06/15/2019, 13:30",Pool A
Public Enemy,blOKC party,11,2,"06/15/2019, 15:20",Pool A
Impact,Chili Poppers,11,5,"06/15/2019, 15:20",Pool A
pool,Pool B
Waterloo,Mixed on the Rock,11,0,"06/15/2019, 08:00",Pool B
rubber duck ultimate.,Wildstyle,6,11,"06/15/2019, 08:00",Pool B
Waterloo,rubber duck ultimate.,11,1,"06/15/2019, 09:50",Pool B
Memphis STAX,Wildstyle,11,8,"06/15/2019, 09:50",Pool B
Wildstyle,Mixed on the Rock,11,3,"06/15/2019, 11:40",Pool B
Memphis STAX,rubber duck ultimate.,11,3,"06/15/2019, 11:40",Pool B
Waterloo,Wildstyle,11,3,"06/15/2019, 13:30",Pool B
Memphis STAX,Mixed on the Rock,11,1,"06/15/2019, 13:30",Pool B
Waterloo,Memphis STAX,11,5,"06/15/2019, 15:20",Pool B
rubber duck ultimate.,Mixed on the Rock,11,7,"06/15/2019, 15:20",Pool B
pool,Pool C
Boomtown,Bexar,12,9,"06/15/2019, 10:00",Pool C
Risky Business,Balloon,15,4,"06/15/2019, 10:00",Pool C
Boomtown,Balloon,15,3,"06/15/2019, 12:10",Pool C
Risky Business,Bexar,12,10,"06/15/2019, 12:10",Pool C
Boomtown,Risky Business,15,4,"06/15/2019, 14:20",Pool C
Bexar,Balloon,14,5,"06/15/2019, 14:20",Pool C
pool,Pool D
Moontower,Alpha,15,2,"06/15/2019, 10:00",Pool D
Tex Mix,Craw Daddies,15,7,"06/15/2019, 10:00",Pool D
Moontower,Craw Daddies,15,4,"06/15/2019, 12:10",Pool D
Tex Mix,Alpha,15,8,"06/15/2019, 12:10",Pool D
Moontower,Tex Mix,12,11,"06/15/2019, 14:20",Pool D
Alpha,Craw Daddies,8,11,"06/15/2019, 14:20",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Memphis STAX,Bexar,0,0,"06/16/2019, 08:00",Pre-Quarters
Risky Business,Wildstyle,0,0,"06/16/2019, 08:00",Pre-Quarters
Tex Mix,Mud Turtles,0,0,"06/16/2019, 08:00",Pre-Quarters
blOKC party,Craw Daddies,0,0,"06/16/2019, 08:00",Pre-Quarters
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
bracket,11th Place
b,r,e,a,k
pools,Consolation Pool Play
pool,Pool E
b,r,e,a,k
