Cooler Classic 31,Club - Men ,17,8,2019
https://play.usaultimate.org/events/Cooler-Classic-31/schedule/Men/Club-Men/
Swans,4
8,Conner Chambers
10,Matthew Piontek
10,Mark Stedem
12,Mark Yonker
13,Kyle Kotzman
16,Steele Ruelle
18,Daniel Tixier
19,Branden Schneider
21,Marcus Gammill
23,Kardal Hart
24,Josiah Heikes
25,Anthony Chartier
27,Kristoffer Broadley
29,Spencer Roberts
32,Logan Nesseth
33,Karl Kraemer
42,Joseph Rall
53,Brett Dare
56,Alan O'Brien
88,Matthew Price
b,r,e,a,k
Red Bat,17
0,Andrew McCartan
0,Andrey Danilson
0,Bobby Steinhoff
0,Cameron Schmidt
0,Clayton Phillips
0,Cody Campbell
0,Eric Flyr
0,Greg Brock
0,Mark Bauer
2,Graysen Ludiker
2,Cody Reed
3,Richard TeKippe
11,Robert Johnson
12,Caleb Gurujal
12,Grant Larson
16,Colin Stroehle-Durrah
20,John Cannon
25,Matthew Langel
33,Cade Zschiesche
41,Brian Goode
61,Stephen Shatzer
81,Andrew Martin
84,Scott Sivola
99,Colin Fry
b,r,e,a,k
Satellite,11
0,Alex Cawley
0,Blake Seegers
0,Boyd Rinehart
0,Alex Jacobson
0,Kollin Kaczynski
0,Patrick Lott
0,Phuoc-an Vo
0,Harrison Davenport
0,Seth Gudeman
0,Stephen McCracken
1,Alex Straczek
2,Dexter Straczek
4,Ryan Fitzgerald 
8,Keith Kreinbihl
11,Isaac Degenhart
13,Caleb Backstrom
16,Alex Castillo
27,Tanner Graham
b,r,e,a,k
Black Market II,13
0,Daniel Miller
0,Daniel O'Dell
0,Dylan Steele
0,Evan Power
0,Gavin Babbitt
0,Jason Belzer
0,Juan Amador
0,Kevin Cleary
0,Louis Nagle
0,Michael Newman
0,Nigel Smucker
0,Stephen Linden
0,Tim Clark
2,Joe Sidrys
3,Collin Lamb
4,Gabriel Valencia
4,Colin McMahon
13,Cory Wallace
15,John McElmeel
19,Austin Lee
21,Drake Slater
39,Ross Tuttle
45,Brent Studenroth
53,Joe Berry
61,Brian Payne
93,Manan Kothari
b,r,e,a,k
Milwaukee Revival,16
6,Jordan Benusa
03,Denny Malec
07,Tyler Holmes
11,Nicholas Gizelbach
12,Elias Magallanes Jr.
13,Nicholas Becker
16,Sean Diller
17,Mark David
24,Jack Drolen
29,Samuel Dirks
69,Josh Kuse
76,Benjamin Nowak
b,r,e,a,k
s,t,a,g,e,s
pools,Pools of 4
pool,Pool A
Haymaker,Scythe,13,12,"08/17/2019, 09:00",Pool A
Swans,THE BODY,8,13,"08/17/2019, 09:00",Pool A
Swans,Scythe,13,11,"08/17/2019, 10:45",Pool A
Haymaker,THE BODY,13,6,"08/17/2019, 10:45",Pool A
Scythe,THE BODY,14,13,"08/17/2019, 14:15",Pool A
Haymaker,Swans,11,12,"08/17/2019, 14:15",Pool A
pool,Pool B
Mad Men,DeMo,13,10,"08/17/2019, 10:45",Pool B
Cryptic,MKE,13,11,"08/17/2019, 10:45",Pool B
Mad Men,MKE,14,15,"08/17/2019, 12:30",Pool B
Cryptic,DeMo,15,14,"08/17/2019, 12:30",Pool B
Mad Men,Cryptic,15,14,"08/17/2019, 14:15",Pool B
DeMo,MKE,7,11,"08/17/2019, 14:15",Pool B
pool,Pool C
HouSE,CaSTLe,13,11,"08/17/2019, 09:00",Pool C
Timber,Chimney,13,5,"08/17/2019, 09:00",Pool C
HouSE,Chimney,13,6,"08/17/2019, 12:30",Pool C
Timber,CaSTLe,13,9,"08/17/2019, 12:30",Pool C
HouSE,Timber,15,13,"08/17/2019, 14:15",Pool C
CaSTLe,Chimney,13,11,"08/17/2019, 14:15",Pool C
b,r,e,a,k
pools,Pools of 3
pool,Pool D
Imperial,Kansas City Smokestack,13,9,"08/17/2019, 09:00",Pool D
Imperial,Red Bat,13,2,"08/17/2019, 10:45",Pool D
Kansas City Smokestack,Red Bat,13,6,"08/17/2019, 12:30",Pool D
pool,Pool E
Satellite,Black Market II,11,10,"08/17/2019, 09:00",Pool E
Satellite,Milwaukee Revival,13,10,"08/17/2019, 10:45",Pool E
Black Market II,Milwaukee Revival,13,12,"08/17/2019, 12:30",Pool E
b,r,e,a,k
clusters,Cross
cluster,Cross
Imperial,Black Market II,13,11,"08/17/2019, 14:15",
Kansas City Smokestack,Satellite,9,13,"08/17/2019, 14:15",
Red Bat,Milwaukee Revival,13,9,"08/17/2019, 16:00",
b,r,e,a,k
brackets,Gold Bracket
bracket,Gold 1st
Swans,MKE,2,11,"08/18/2019, 12:30",1st Place
Swans,Mad Men,7,6,"08/18/2019, 10:30",1st Semis
Cryptic,MKE,9,10,"08/18/2019, 10:30",1st Semis
Swans,HouSE,11,5,"08/18/2019, 08:30",1st Quarters
Scythe,Mad Men,10,11,"08/18/2019, 08:30",1st Quarters
Cryptic,Imperial,11,4,"08/18/2019, 08:30",1st Quarters
