Heavyweights 2019,Club - Men ,3,8,2019
https://play.usaultimate.org/events/Heavyweights-2019/schedule/Men/Club-Men/
Yogosbo,1
81,Alec DenBraber
89,Adam Whitton
99,Tao Cai
b,r,e,a,k
Milwaukee Revival,18
3,Denny Malec
6,Jordan Benusa
7,Tyler Holmes
10,Nick Trent
11,Nicholas Gizelbach
12,Elias Magallanes Jr.
13,Nicholas Becker
16,Sean Diller
17,Mark David
24,Jack Drolen
29,Samuel Dirks
69,Josh Kuse
76,Benjamin Nowak
b,r,e,a,k
HouSE,10
0,Evan Treacy
0,Rusty McDonald
1,Nick Lilla
2,Shane Mueller
7,David Ashmore
8,Miles Hong
9,Donald James
03,Blake Kiefner
10,Scott Wenzel
11,James Firth Fountain
12,David Zickus
13,Andrew Workman
15,Ryan O'Reilly
16,Benjamin Tompkins
19,Karl Fauerbach
20,Brett Robinson
23,Glenn Kaboskey
24,Jacob Ngo
27,Joshua Collins
30,Matt Marshall
34,Justin Brockmann
80,Kevin Pettit-Scantling
91,Austin Johnson
99,Matt Hulsether
b,r,e,a,k
Kentucky Flying Circus,19
0,Aaron Corley
0,Amal Patel
0,Darin Graves
0,David Beraun
0,Drew Happe
0,Jacob Jantzen
0,Jessy Geary
0,Jonathan Zapf
0,Liam Parkes
0,Luke Huffman
0,Sean Gillespie
0,Trevor Gingrich
2,Alex Hamilton
2,Kendrick Pennington
5,Adam Holstein-Seibert
7,Benjamin Petrey
8,R.D. Owens III
9,Russell Allen
17,Nicholas Huffman
20,Dave Richmond
24,Luke Byron
29,Matthew Dirkes
33,Frank Strasser
34,Eric Brinkman
52,Ian Mack
b,r,e,a,k
THE BODY,9
0,Alejandro Christenson
0,Alex Kraft
0,Ashton Robinson
0,Brandon Wentworth
0,Brian Paulson
0,Erik Aadalen
0,Chizoba Anosike
0,Paul Youngblood
5,Grant Kregness
7,Henry Vander Hill
9,Samuel Dale-Gau
11,Julius Williamson Jr.
15,Jacob WIlson
15,Sam Stark
16,Matthew Racky
20,Jack Rybarczyk
23,Kyle Smith
40,Joshua Pratt
44,Adam Herzuck
46,Timothy Opdahl
52,Ma'iingan Sherritt-Stone
84,Jake Kretschmer
97,Isaac Jauch
99,Kyle DeJesus
b,r,e,a,k
Ditto B,20
0,Evan Nagareda
0,Charles Wang
0,Peter Becht
0,Roman Gavrila
0,Samuel Carlson
0,Shamaul Dilmohamed
4,Jon Lerner
9,Joshua Ludtke
10,Kevin Zhang
10,Mateo Garcia
15,Samuel Nitkin
32,Eli Friedman
34,Marc Gerdin
34,Peter Seymour
91,Christian Contreras
b,r,e,a,k
s,t,a,g,e,s
pools,O PP
pool,Pool A
Yogosbo,Haymaker,13,4,"08/03/2019, 13:15",Pool A
Brickyard,ISO Atmo,13,5,"08/03/2019, 13:15",Pool A
Yogosbo,ISO Atmo,13,5,"08/03/2019, 15:00",Pool A
Brickyard,Haymaker,13,6,"08/03/2019, 15:00",Pool A
Yogosbo,Brickyard,13,12,"08/03/2019, 16:45",Pool A
Haymaker,ISO Atmo,13,10,"08/03/2019, 16:45",Pool A
pool,Pool B
Swans,Ditto A,13,7,"08/03/2019, 11:30",Pool B
Satellite,Carolina Sky,13,10,"08/03/2019, 11:30",Pool B
Swans,Carolina Sky,13,5,"08/03/2019, 13:15",Pool B
Satellite,Ditto A,13,12,"08/03/2019, 13:15",Pool B
Swans,Satellite,13,6,"08/03/2019, 15:00",Pool B
Ditto A,Carolina Sky,13,10,"08/03/2019, 15:00",Pool B
pool,Pool C
Battery,Midnight Meat Train,13,1,"08/03/2019, 08:00",Pool C
Imperial,Kettering,13,5,"08/03/2019, 08:00",Pool C
Battery,Kettering,13,1,"08/03/2019, 09:45",Pool C
Imperial,Midnight Meat Train,13,5,"08/03/2019, 09:45",Pool C
Battery,Imperial,13,6,"08/03/2019, 13:15",Pool C
Midnight Meat Train,Kettering,13,5,"08/03/2019, 13:15",Pool C
pool,Pool D
Black Lung,Foxtrot,13,3,"08/03/2019, 08:00",Pool D
Timber,Black Market III,13,2,"08/03/2019, 08:00",Pool D
Black Lung,Black Market III,13,3,"08/03/2019, 09:45",Pool D
Timber,Foxtrot,13,7,"08/03/2019, 09:45",Pool D
Black Lung,Timber,13,4,"08/03/2019, 13:15",Pool D
Foxtrot,Black Market III,13,5,"08/03/2019, 13:15",Pool D
pool,Pool E
Cryptic,Milwaukee Revival,13,5,"08/03/2019, 11:30",Pool E
Black Market II,Red Imp.ala,13,6,"08/03/2019, 11:30",Pool E
Cryptic,Red Imp.ala,13,6,"08/03/2019, 13:15",Pool E
Black Market II,Milwaukee Revival,13,10,"08/03/2019, 13:15",Pool E
Cryptic,Black Market II,13,5,"08/03/2019, 15:00",Pool E
Milwaukee Revival,Red Imp.ala,10,11,"08/03/2019, 16:45",Pool E
pool,Pool F
THE BODY,Kentucky Flying Circus,8,13,"08/03/2019, 08:00",Pool F
HouSE,Ditto B,13,5,"08/03/2019, 08:00",Pool F
THE BODY,Ditto B,13,3,"08/03/2019, 11:30",Pool F
HouSE,Kentucky Flying Circus,12,8,"08/03/2019, 11:30",Pool F
THE BODY,HouSE,11,13,"08/03/2019, 13:15",Pool F
Kentucky Flying Circus,Ditto B,13,3,"08/03/2019, 13:15",Pool F
b,r,e,a,k
brackets,O BP
bracket,O CHAMPIONSHIP
Yogosbo,Brickyard,13,8,"08/04/2019, 13:15",O FINALS
Yogosbo,Swans,13,8,"08/04/2019, 11:30",O SEMIS
Brickyard,Haymaker,13,5,"08/04/2019, 11:30",O SEMIS
Yogosbo,Cryptic,13,11,"08/04/2019, 09:45",O QUARTERS
ISO Atmo,Swans,10,13,"08/04/2019, 09:45",O QUARTERS
Brickyard,Black Lung,13,5,"08/04/2019, 09:45",O QUARTERS
Haymaker,Battery,13,8,"08/04/2019, 09:45",O QUARTERS
Cryptic,HouSE,13,8,"08/04/2019, 08:00",O PLAY-IN
Swans,Timber,13,7,"08/04/2019, 08:00",O PLAY-IN
Black Lung,Kentucky Flying Circus,10,9,"08/04/2019, 08:00",O PLAY-IN
Battery,Black Market II,13,11,"08/04/2019, 08:00",O PLAY-IN
bracket,O 3RD PLACE
Swans,Haymaker,9,13,"08/04/2019, 13:15",O 3RD
bracket,O 5TH PLACE
Cryptic,Battery,13,12,"08/04/2019, 13:15",O 5TH
Cryptic,ISO Atmo,13,10,"08/04/2019, 11:30",O 5TH SEMIS
Black Lung,Battery,11,13,"08/04/2019, 11:30",O 5TH SEMIS
bracket,O 7TH PLACE
ISO Atmo,Black Lung,13,8,"08/04/2019, 13:15",O 7TH
bracket,O 9TH PLACE
HouSE,Black Market II,13,8,"08/04/2019, 13:15",O 9TH
HouSE,Timber,13,8,"08/04/2019, 11:30",O 9TH SEMIS
Kentucky Flying Circus,Black Market II,10,11,"08/04/2019, 11:30",O 9TH SEMIS
bracket,O 11TH PLACE
Timber,Kentucky Flying Circus,13,9,"08/04/2019, 13:15",O 11TH
bracket,O RED BRACKET
Carolina Sky,Black Market III,13,8,"08/04/2019, 09:45",O RED FINALS
Ditto B,Carolina Sky,8,12,"08/04/2019, 08:00",O RED SEMIS
Black Market III,Kettering,13,10,"08/04/2019, 08:00",O RED SEMIS
bracket,O RED 3RD PLACE
Ditto B,Kettering,8,10,"08/04/2019, 09:45",O RED 3RD
b,r,e,a,k
pools,O CONSOLATION PP
pool,Green Pool
Ditto A,THE BODY,9,13,"08/04/2019, 11:30",Green Pool
Midnight Meat Train,Milwaukee Revival,9,13,"08/04/2019, 11:30",Green Pool
Ditto A,Milwaukee Revival,9,10,"08/04/2019, 13:15",Green Pool
Midnight Meat Train,THE BODY,6,13,"08/04/2019, 13:15",Green Pool
Ditto A,Midnight Meat Train,13,9,"08/04/2019, 15:00",Green Pool
THE BODY,Milwaukee Revival,13,7,"08/04/2019, 15:00",Green Pool
pool,Blue Pool 
Satellite,Red Imp.ala,13,6,"08/04/2019, 11:30",Blue Pool 
Imperial,Foxtrot,13,5,"08/04/2019, 11:30",Blue Pool 
Satellite,Foxtrot,13,8,"08/04/2019, 13:15",Blue Pool 
Imperial,Red Imp.ala,13,7,"08/04/2019, 13:15",Blue Pool 
Foxtrot,Red Imp.ala,10,13,"08/04/2019, 15:00",Blue Pool 
Imperial,Satellite,11,13,"08/04/2019, 15:00",Blue Pool 
b,r,e,a,k
