Trouble in Vegas 2019,College - Men ,23,3,2019
https://play.usaultimate.org/events/Trouble-in-Vegas-2019/schedule/Men/CollegeMen/
Southern California,1
b,r,e,a,k
California-Irvine,8
0,Archis Deshpande
0,Benson Kung
0,Billy Davies
0,Brian Tom
0,BRYAN LIU
0,Isamu Kawaguchi
0,John Hogan
0,David Wood
0,Nicklaus Barichievich
0,Taran Elce
0,Thomas Sullivan
0,Michael Dykes
0,Zachary DiFuria
1,Dominic Kemp
2,Matthew Booker
2,Alex Gloudeman
6,Carter Blanchard
8,Miles Hong
9,Liam Drennan
16,Tristan MacMurray
18,Marcoseliseo Munoz
27,Alvin Gao
35,Brian Ton
37,Aidan  Carrigan
38,Dalton Pham
49,Elliott Allison
b,r,e,a,k
Cal Poly-Pomona,11
0,Andrew Calinescu
0,Andrew Diaz
0,Bruno Haesbaert
0,Drew Gates
0,Greg Berg
0,Himanshu Chaudhary
0,Joshua Agopian
0,Kaianu Reyes-Huynh
0,Kevin Labbate
0,Abin Thomas
0,Alexander Honeycutt
0,Leticia Diaz Melendez
0,Marion Farschman
0,Nathan Leong
0,Nichole Sugita
0,Sara Margala
1,Zamin Aziz
7,David Cortes
9,Nicholas Hall
14,Andrew Kinkele
14,Knox Borges
16,Jiheng Nie
17,Jerry Ho
18,Thomas Ito
22,Kyle Jepsen
35,Long Tran
56,Michael Sumaya
75,Tyler Garcia
b,r,e,a,k
San Diego State,31
0,Aaron  Nepomuceno
0,Jayden Ders
0,Justen Hitchcock
0,Kyle Jones
3,Garrett Medina
6,Rodman Stuhlmuller
10,Tazio Rosenberg
12,Michael Grisanti
13,Harrison Hayes
17,Brian Hayden-Brewer
17,Zachary Leon
18,Joshua Schroeder
21,Tyler Best
24,Robert Brodskiy
28,Nathan Machak
30,Hayden McAdoo
32,Marew Yousif
39,Noble Schlueter
50,Matthew Jensen
99,Luke Hume
b,r,e,a,k
Colorado Mesa,12
0,Jake Grenier
1,Joshua Stocks
2,Jacqueline Charles
4,Brett Thornton
5,Jeff Reed
7,Erika Esquinca
9,Rhett Dacuag
03,Nathan Ploeger
13,Thomas Hook
14,Jacob Cotner
16,Vince Giandonato
19,Mo Beinlich
20,Johnathan Grant
21,Dillon Silzell
22,Jaime Bourget
45,Emily Smalley
47,Lucas Parnell
73,Teresa Giandonato
97,Jared Milonas
b,r,e,a,k
Wisconsin-Oshkosh,13
0,Ben Percy
0,Donald Smith
0,Drew Willems
0,Jake Oakland
0,Josh Fannin
0,Marshall Madison
0,Sam Downing
0,Thomas Thorson
0,Trey Anderson
0,Ty Stetler
1,Nick Lilla
8,Jake Beno
18,Thomas Schnoor
21,Caleb Aschebrook
24,Jason Hataj
96,Joshua Van Abel
97,Donald Fordahl
b,r,e,a,k
Utah State,18
6,Robert Gordon
00,Elijah Kimmel
01,Teagan Jackson
02,Zach Balls
03,Blake Jordan
04,Daniel Durham
09,Brennan Bender
11,Skyler Jones
12,Tyler Larsen
13,Ryan Cook
14,Jared Higham
15,Garrett Martin
16,Ryan Martin
19,Jacob Watkins
20,Derrill Merrill
23,Anthony Mounga
27,Joshua Webster
37,Zachary Valliere
42,Connor Foss
88,Christian Berger
b,r,e,a,k
New Mexico,17
0,Trent Spencer
2,Jacob Marsh
4,Jordin Molina
7,Haden Harper
8,Danh Nguyen
10,Leo Fitzsimmons
13,Jacob Ploeger
14,Craig Still
19,Riley McCarthy
21,Logan Lathrop
23,Leroy Sandoval
24,Benjamin Timm
25,Brandon Vorse
26,Ryan Hansen
29,Thomas Suarez
42,Ben Thorp
48,Sean Timm
55,Zachary Mason
69,Kevin Maresca
80,Tanner Walton
99,Joshua Leak
b,r,e,a,k
Colorado-Denver,16
0,Cameron Archer
0,Casey Hodges
0,Chad LeFebre
0,Cruz Alvarez-Machado
0,Greyson McDaniel
0,Julian Pena
0,Rami  Hussein
0,Ryan Catlett
0,Scott Cao
0,Alex Kacsh
1,Andrew Muller
4,Corey Nuechterlein
b,r,e,a,k
Occidental,15
0,Arthur Sabitt
0,Brian Lavongtheung
0,Jack Allen
0,Josh Bogen
0,Mitchell Bullington
0,Paul Tomlinson
0,Samuel Monius
0,Sundy Khalsa
0,Vuk Muyot
0,Zachary Goodwin
2,Evan Sarafian
3,Nelson Rayl
6,Silas Scott
7,Daniel Ndibongo
10,Sam Hajduk
12,Benjamin Ventresca
12,Luca Van der Meer
13,Greg Kleinman
14,Ebram Naftzger
18,Dan Scal
18,Luis Torres
24,Michael Steinke
42,Wally Huron
47,Liam Stewart
68,Jack Kearney
91,Peter Messner
96,Nicolas Escobar
99,Austin Bitterman
99,Drew Andersen
b,r,e,a,k
Cal State-Long Beach,20
0,Arthur Campbell
0,Douglas Kim
0,Joshua Quijano
0,Kadin Mello
0,Morgan Ortiz
0,Nathan Birdsall
0,Raleigh O'Brien
0,Manuel Castro Mirafuentes
2,Brandon Van Deusen
3,Frederick Rawlins-Buchanan
4,Xavier  Daniel 
5,Krysean Baluga
8,Jeremy Masterson
10,Jacob Johnson
13,Chris Cazneaux
22,Alex Grimm
69,Miles Gong
b,r,e,a,k
Miami,21
0,Garrett Valentino
0,Jordan Shapiro
0,Lakshya Sewnundun
0,Matthew Collins
0,Samuel Philleo
0,William O’Neill
13,Ronen Pink
20,Matthew Bird
24,Nicholas Montes
32,Raden Gustinvil
35,Sean Griffin
42,Diego Pfeiffer
88,Bobby Williams
b,r,e,a,k
Boise State,22
0,Drew Lysne
0,Dylan Bilstrom
0,Jacob Kemmer
0,jarred light
0,Jay Everett
0,Jordan Winberry
0,Josiah Frank
0,Andrew Gleaton
0,Charlie Daly
0,Makana Sabate
0,Michael Lizzarago
0,Owen Kempf
0,Tully Martin
4,Nathaniel Dryden
11,Archey Charnou
13,Christian Friday
13,Ryan Melvin
17,Lucas Brockman
18,Cody LaCoursiere 
85,Will Merdgen
b,r,e,a,k
Cal State-Fullerton,19
0,Janabelle Peng
0,Jason Pappas
0,Jimmy Nguyen
0,Brent Kosin
6,Jordan  Drechsler
25,Branden Cruz
34,Christopher Vasquez
b,r,e,a,k
California (B),24
0,Calvin Li
0,Eli Stewart
0,Julian Baxandall
0,Kevin Gibson Weinberger
0,Sohum Hulyalkar
0,Tejasvi Kothapalli
0,Timothy Hoyle
0,Tony D'Aura
0,Nathaniel Burrill
3,Ayush Sharma
9,Matthew Weymer
06,Logan Ritter
12,Edward Diven
17,John Diven
18,Howard Ki
22,Jai Bansal
23,David Campos
36,Justin Zhong
61,Riley Woo
b,r,e,a,k
Cal Poly-SLO (B),25
0,Brandon Grossman
0,Brent Marshall
0,Cameron Toy
0,Daniel Sulek
0,Austin Schwarz
0,Michael Cooper
0,Michael Fletcher
0,Peter Lenz
0,Tad Talbot
0,John Bilello
3,Zachary Bear
7,Brad Weber
12,Maximilian Cossalter
26,Alex Bires
30,Tony Farias
35,Jack Combs
39,Martin Bailey
55,Jack Burfield
57,Jackson Rhodes
69,Zachary Peterson
70,Aleksandr Breit
88,John Lazo
b,r,e,a,k
California-San Diego (B),26
0,Amador Lagunas
0,Andrew Muro
0,Anibal Ramirez
0,Arik Singh
0,Armaan Ali
0,Armando Islas
0,Blake Civello
0,Brandon Blischak
0,Brent Min
0,Cameron Nazemi
0,Cameron Van Horn
0,Carl Whitesel
0,Clayton Nagle
0,Edward Rebolledo
0,George Liu
0,Isaac Gonzalez
0,Jonathan Huson
0,Jonathan Hanna
0,Kenneth Magoon
0,Keyur Patil
0,Lucas Martz
0,Manav Vats
0,Matthew Rice
0,Nicholas Blischak
0,Peter Kirov
0,Rio Ureno-Dembar
0,Ryan Lee
0,Shayan Gholami
0,Tyler Nelson
0,Tyler Wong
0,Tyrone Yanaga
32,Ryan Pak
52,Kush Parmar
b,r,e,a,k
Arizona (B),23
0,Alex Olson
0,Anthony Orellana
0,Bryce Flickner
0,Colin Davis
0,Connor Foley
0,Eduardo Macias
0,James Wilson
0,Joshua Nybroten
0,Justus Tiffany
0,Maxwell Milvid
0,Nathan Verdonk
0,Peter Bedrick
0,Thomas Sensing
0,Victor Nieto
0,Wesley Bohult
11,Kyle Fullerton
25,Eduardo Gamez
55,Raymond Rash
69,Jasem Amoudi
b,r,e,a,k
Arizona State (B),27
0,Abhijit Srirangam
0,Cole Davis
0,Conner Propst
0,David Neighbors
0,Derek Moskal
0,Ethan Cameron
0,Brennan Auger
0,Bryan Evans
0,Japheth Gielen
0,Kevin Cranmer
0,Matthew Kimball
0,Mauricio Muller
0,Nicholas Lay
0,Nicholas Arnold
0,Robin Skaria
0,Roy Gu
2,Justin Wilk
7,Tymur Vidyakin
8,Barrett Bromich
11,Carter Szukala
14,Oskar Agredano
15,Aayush Gupta
22,Thomas Peters
24,Austin Beaver
25,Jacob Cotton
42,Jason Manuel
50,Jesse Seeley
55,Jacob Anderson
74,Sean Randall
97,Tyler Mebane
b,r,e,a,k
Colorado School of Mines - B,29
0,Christian Bagnati
0,Christopher Combs
0,Drake Muth
0,Eric Hayes
0,Ian Kellogg
0,Jarod Spencer
0,Kameron Liao
0,Kyle Ettinger
0,Lucas Emerson
0,Matthew Lambert
0,Mikael Murphy
0,Thomas Ferguson
16,Samuel Sovereign
18,Jackson Gore
24,Sam Lewis
27,Andrew McElravy
28,Matthew  Quilling
32,Zachary Aparicio
45,Campbell Beals
52,Nicholas Battaglino
69,Cooper Frederick
b,r,e,a,k
Southern California (B),28
0,Ethan Saber
2,Paul Klinger
3,Joseph Jacobs
8,Thomas Mayer
10,Thomas Kimmel
13,Jesse Wang
14,Ezra Robinson
17,Bryceton Scurr
27,Elijah Huang
28,Matthew Clauss
69,Julius Ball-Heldman
74,Joel Barrett
b,r,e,a,k
Ottawa (Arizona),30
0,Adan Mijares
0,Garrison Garcia
7,Coy Springer
9,Benjamin DeJarnett
03,Brandon Townley
10,Jonathon Turrell
12,Daniel Rangel
13,Andrew Lennox
13,Ryan Ericson
19,Matthew Rubio
b,r,e,a,k
UCLA,2
0,Alex Broering
0,Andrew Chen
0,David Dumas
0,Elias Baker Allen
0,Ethan Major
0,Jack Brewer
0,John Campbell
0,Nelson Campbell
0,Noah Anderson
0,Paul Pfeiffer
0,Paul Ramstad
0,Paul Young
4,Michael Peng
9,Cooper Tanquary
12,George Faour
13,Austin Hwang
14,Derek Vance
15,Bryan  Cloutier
16,James Zhou
32,Eric Siegel
35,Edward White
44,Bryson Levisay
50,Ram Goli
55,Lorenzo Duvergne
b,r,e,a,k
Arizona,14
0,Caden Sigerud
0,Dylan South
0,Garrett Hable
0,Heath Kleindienst
0,Jake Hageman
0,Jaron Omololu
0,Kyle Schraven
0,Leonardo  Echeverria
0,Nicholas Ferrone
0,Richard Baczek
0,Sam Freitas
0,Thomas Zych
2,Jake Thomason
14,Vincent Chase
17,Tripp Turchik
21,Mark Piazza
22,Jordan Lisse
23,Alexander Prescott
25,Chris Baker
27,Robert Bradford
28,Ben Taylor
32,Austin Vandenburgh
54,Jule Streety
b,r,e,a,k
Colorado School of Mines,6
0,Caleb Sanders
0,Cameron Beaton
0,Jack Girard
0,Morgan Cox
0,Zacary Parkhill
2,Tom Parry
4,Ryan Wells
5,Jonathon McNabb
11,Caleb Bevers
20,Mason Brainard
26,Weston Mauz
42,Mark Jeska
44,Robert Beaver
66,Parker Damon
69,Nathan Giffin
69,Jared Parrish
87,Arthur Harris
b,r,e,a,k
Utah,3
00,Alejandro Palomino
00,Alexander Knock
00,Austin Hasbrook
00,Branden Frieden
00,Cole Stenseth
00,Harrison Sucher
00,Jace Duennebeil
00,Jacob Argue
00,Kevin Castell
00,Michael Giere
00,Nat Evans
00,Nathan Huff
00,Nicholas Peters
00,Patrick  Beckett 
00,Robert King
00,Simon Greenhalgh
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Florida,Nevada-Reno,13,11,"03/23/2019, 12:00",Pool A
Southern California,Florida,13,7,"03/23/2019, 15:00",Pool A
Southern California,Nevada-Reno,13,1,"03/23/2019, 16:30",Pool A
pool,Pool C
Chico State,Montana State,10,7,"03/23/2019, 09:00",Pool C
California-Irvine,Northern Arizona,6,13,"03/23/2019, 09:00",Pool C
Chico State,Northern Arizona,10,13,"03/23/2019, 10:30",Pool C
California-Irvine,Montana State,4,13,"03/23/2019, 10:30",Pool C
Chico State,California-Irvine,13,4,"03/23/2019, 12:00",Pool C
Montana State,Northern Arizona,5,10,"03/23/2019, 13:30",Pool C
pool,Pool D
Cal Poly-Pomona,Wisconsin-Oshkosh,13,8,"03/23/2019, 09:00",Pool D
Colorado Mesa,San Diego State,10,13,"03/23/2019, 09:00",Pool D
Cal Poly-Pomona,San Diego State,13,9,"03/23/2019, 10:30",Pool D
Colorado Mesa,Wisconsin-Oshkosh,13,3,"03/23/2019, 10:30",Pool D
Cal Poly-Pomona,Colorado Mesa,10,7,"03/23/2019, 12:00",Pool D
Wisconsin-Oshkosh,San Diego State,7,10,"03/23/2019, 12:00",Pool D
pool,Pool E
Occidental,New Mexico,6,13,"03/23/2019, 09:00",Pool E
Colorado-Denver,Utah State,9,13,"03/23/2019, 09:00",Pool E
Occidental,Utah State,11,9,"03/23/2019, 10:30",Pool E
Colorado-Denver,New Mexico,2,13,"03/23/2019, 10:30",Pool E
Occidental,Colorado-Denver,7,13,"03/23/2019, 12:00",Pool E
New Mexico,Utah State,11,13,"03/23/2019, 12:00",Pool E
pool,Pool F
Cal State-Fullerton,Miami,7,13,"03/23/2019, 09:00",Pool F
Cal State-Long Beach,Boise State,13,11,"03/23/2019, 09:00",Pool F
Cal State-Fullerton,Boise State,8,13,"03/23/2019, 10:30",Pool F
Cal State-Long Beach,Miami,13,8,"03/23/2019, 10:30",Pool F
Cal State-Fullerton,Cal State-Long Beach,4,13,"03/23/2019, 13:30",Pool F
Miami,Boise State,11,10,"03/23/2019, 13:30",Pool F
pool,Pool G
Arizona (B),Cal Poly-SLO (B),9,13,"03/23/2019, 09:00",Pool G
California (B),California-San Diego (B),13,3,"03/23/2019, 09:00",Pool G
Arizona (B),California-San Diego (B),8,10,"03/23/2019, 10:30",Pool G
California (B),Cal Poly-SLO (B),13,11,"03/23/2019, 10:30",Pool G
Arizona (B),California (B),4,13,"03/23/2019, 12:00",Pool G
Cal Poly-SLO (B),California-San Diego (B),12,6,"03/23/2019, 12:00",Pool G
pool,Pool H
Arizona State (B),Colorado School of Mines - B,13,5,"03/23/2019, 09:00",Pool H
Southern California (B),Ottawa (Arizona),13,7,"03/23/2019, 09:00",Pool H
Arizona State (B),Ottawa (Arizona),13,4,"03/23/2019, 10:30",Pool H
Southern California (B),Colorado School of Mines - B,6,12,"03/23/2019, 10:30",Pool H
Arizona State (B),Southern California (B),13,7,"03/23/2019, 12:00",Pool H
Colorado School of Mines - B,Ottawa (Arizona),13,2,"03/23/2019, 12:00",Pool H
pool,Pool B
UCLA,Colorado School of Mines,13,4,"03/23/2019, 09:00",Pool B
Utah,Arizona,7,13,"03/23/2019, 09:00",Pool B
Utah,Colorado School of Mines,9,10,"03/23/2019, 10:30",Pool B
UCLA,Arizona,12,11,"03/23/2019, 10:30",Pool B
Colorado School of Mines,Arizona,6,10,"03/23/2019, 13:30",Pool B
UCLA,Utah,13,10,"03/23/2019, 15:00",Pool B
b,r,e,a,k
brackets,March Madness
bracket,Championship
Southern California,Florida,13,8,"03/24/2019, 14:30",Championship
Southern California,Arizona,13,7,"03/24/2019, 13:00",Final 4
Florida,UCLA,12,10,"03/24/2019, 13:00",Final 4
Southern California,Utah,13,7,"03/24/2019, 11:30",Elite 8
Nevada-Reno,Arizona,4,13,"03/24/2019, 11:30",Elite 8
Florida,Colorado School of Mines,13,10,"03/24/2019, 11:30",Elite 8
Utah State,UCLA,6,13,"03/24/2019, 11:30",Elite 8
California (B),Utah,9,13,"03/24/2019, 10:00",Sweeter 12
Nevada-Reno,Colorado-Denver,13,11,"03/24/2019, 10:00",Sweeter 12
Cal State-Long Beach,Arizona,6,13,"03/24/2019, 10:00",Sweeter 12
Florida,Chico State,13,4,"03/24/2019, 10:00",Sweeter 12
Cal Poly-Pomona,Colorado School of Mines,6,15,"03/24/2019, 10:00",Sweeter 12
Utah State,New Mexico,13,9,"03/24/2019, 10:00",Sweeter 12
San Diego State,California (B),9,11,"03/23/2019, 13:30",Sweet 16
Colorado-Denver,Northern Arizona,12,11,"03/23/2019, 15:00",Sweet 16
Cal State-Long Beach,Colorado Mesa,10,9,"03/23/2019, 15:00",Sweet 16
Chico State,Miami,10,5,"03/23/2019, 15:00",Sweet 16
Cal Poly-Pomona,Boise State,10,6,"03/23/2019, 15:00",Sweet 16
Arizona State (B),New Mexico,6,8,"03/23/2019, 13:30",Sweet 16
Utah State,Montana State,10,8,"03/23/2019, 15:00",Sweet 16
bracket,5th Place
Nevada-Reno,Utah State,5,7,"03/24/2019, 14:30",5th Place
Utah,Nevada-Reno,9,12,"03/24/2019, 13:00",5th Semis
Colorado School of Mines,Utah State,11,13,"03/24/2019, 13:00",5th Semis
bracket,7th Place
Utah,Colorado School of Mines,0,1,"03/24/2019, 14:30",7th Place
bracket,9th Place
California (B),Chico State,9,11,"03/24/2019, 14:30",9th Place
California (B),Colorado-Denver,13,9,"03/24/2019, 13:00",9th Semis
Chico State,New Mexico,1,0,"03/24/2019, 13:00",9th Semis
Colorado-Denver,Cal State-Long Beach,13,5,"03/24/2019, 11:30",9th Quarters
Chico State,Cal Poly-Pomona,13,4,"03/24/2019, 11:30",9th Quarters
bracket,11th Place
Colorado-Denver,New Mexico,1,0,"03/24/2019, 14:30",11th Place
bracket,13th Place
Cal State-Long Beach,Cal Poly-Pomona,11,9,"03/24/2019, 13:00",13th Place
bracket,15th Place
Montana State,Cal Poly-SLO (B),13,9,"03/24/2019, 14:30",15th Place
Montana State,Northern Arizona,13,3,"03/24/2019, 11:30",15th Semis
Boise State,Cal Poly-SLO (B),5,7,"03/24/2019, 11:30",15th Semis
San Diego State,Montana State,8,12,"03/24/2019, 10:00",15th Quarters
Northern Arizona,Colorado Mesa,13,8,"03/24/2019, 10:00",15th Quarters
Miami,Boise State,6,13,"03/24/2019, 10:00",15th Quarters
Cal Poly-SLO (B),Arizona State (B),13,10,"03/24/2019, 10:00",15th Quarters
Cal Poly-SLO (B),Colorado School of Mines - B,9,6,"03/23/2019, 13:30",Play In
bracket,17th Place
Northern Arizona,Boise State,1,0,"03/24/2019, 13:00",17th Place
bracket,19th Place
San Diego State,Arizona State (B),7,4,"03/24/2019, 13:00",19th Place
San Diego State,Colorado Mesa,11,10,"03/24/2019, 11:30",19th Semis
Miami,Arizona State (B),8,13,"03/24/2019, 11:30",19th Semis
bracket,21st Place
Colorado Mesa,Miami,11,10,"03/24/2019, 13:00",21st Place
b,r,e,a,k
pools,Consolation Pools
pool,Pool D
Southern California (B),Arizona (B),6,11,"03/23/2019, 13:30",Pool D
Wisconsin-Oshkosh,Cal State-Fullerton,8,7,"03/23/2019, 15:00",Pool D
Southern California (B),Cal State-Fullerton,8,10,"03/24/2019, 11:30",Pool D
Arizona (B),Wisconsin-Oshkosh,10,13,"03/24/2019, 11:30",Pool D
Southern California (B),Wisconsin-Oshkosh,2,13,"03/24/2019, 13:00",Pool D
Arizona (B),Cal State-Fullerton,13,9,"03/24/2019, 13:00",Pool D
pool,Pool E
California-Irvine,Occidental,4,10,"03/23/2019, 15:00",Pool E
California-San Diego (B),Colorado School of Mines - B,8,5,"03/24/2019, 10:00",Pool E
California-San Diego (B),Occidental,6,13,"03/24/2019, 11:30",Pool E
California-Irvine,Colorado School of Mines - B,13,2,"03/24/2019, 11:30",Pool E
California-San Diego (B),California-Irvine,12,11,"03/24/2019, 13:00",Pool E
Colorado School of Mines - B,Occidental,5,13,"03/24/2019, 13:00",Pool E
b,r,e,a,k
clusters,Consolation Brackets
cluster,Consolation Brackets
Wisconsin-Oshkosh,Occidental,3,9,"03/24/2019, 14:30",
Cal State-Fullerton,California-Irvine,1,7,"03/24/2019, 14:30",
Southern California (B),Colorado School of Mines - B,2,9,"03/24/2019, 14:30",
b,r,e,a,k
