Cooler Classic 31,Club - Mixed ,17,8,2019
https://play.usaultimate.org/events/Cooler-Classic-31/schedule/Mixed/Club-Mixed
Chalice,1
0,Kaiya Sygulla
0,Katelin Goebel
0,Katherine Johnson
0,Erik Bredesen
0,Kevin Pochatila
0,Ryley Tennyson
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
15,Eric Andersen
17,Raechell Nelson
22,Mikhail Golben
47,Ian Andre-Knudsen
53,Katherine Frantz
89,Micah Peterson-Brandt
b,r,e,a,k
Pushovers,19
0,Erick Knudson
0,Weston Birnbaum
1,Derek Anderson
2,Carl Bohacek
2,Kenji Her
4,Austin Lee
5,Douache Yang
9,Kendra Anderson
10,Kyra Anderson
12,Michelle Christy
19,Meeghan McCay
20,Ryan Burger
23,Sabina Beck
25,Hardisha White
28,Christina Lacher
31,Ross Screaton
35,Anders Zetterlund
52,Ace Oubaha
52,Kai Knudson
61,Erin Moeller
81,Rick Gebhardt
b,r,e,a,k
Melt,13
0,Alex Kaplan
0,Allison Collins
0,Alyxandra Averkamp
0,Daniel Herrera
0,Danielle Stacey
0,Casey Hoffman
0,Erik Streufert
0,Frieda Manthei
0,John Anderson
0,Lydia Reiner
0,Mark Pennebecker
0,Maureen Donohue
0,Michael Hall
0,Nicholas Guo
0,Tiffany Lui
0,Vincent Vik
3,Mckenna Miller
10,Derek Klein
13,Evan Ford
13,Sam Eherenman
16,Sarah Christie
36,Donald Wood
42,Anna Ruehlow
64,Sophie Nadler
73,Charlie Enders
b,r,e,a,k
Stackcats,20
0,Andrew Gubernick
0,Anthony Oplawski
0,Caden Canavan
0,Christopher Thomas
0,Jackson Todd
0,Mark Valzonis
0,Matt Tansley
0,Monica Oplawski
0,Ryan Kurnik
0,Samantha Swank
3,Samantha Thompson
6,Vincent Curkov
7,Michael Hyland
12,Ashley Betke
13,David Lindsey
17,Julian Huvaere
23,Elizabeth Thorsell
23,Ashley Wagner
24,Kyle Brooks
33,Sara Putnam
35,Nick Compton
36,Miranda Gallegos
42,Benton Fletcher
57,Jonathan Alton
72,Zaray Buenrostro
b,r,e,a,k
ELevate,12
1,Will Hsieh
3,Bridget Doherty
4,William Horwitz
5,Dennis Gisler
11,Lauren Miller
12,Pedrom Rejai
13,Samantha Sadlier
14,Kelly Hopps
18,Grace Feehan
21,Benjamin Macalalad
23,Kristine McLellan
26,Scott Anding
27,Molly O’Donnell
36,Talia Fishman-Strait
40,Alex Kowalczuk
42,Ryan Albright
43,Kyle Bayes
44,Meredith Sommars
47,Jeff Sommars
48,Alina Dain
71,Matt Gubernick
79,Tim Hopps
99,Samuel Fishman-Strait
b,r,e,a,k
Mousetrap,21
0,Caroline Fallon
0,ELEANOR KNAUSS
0,Elizabeth Ebert
0,Henry Fremont
0,Jacob Calbaum
0,Jonathan Bauer
0,Katharine Lewer
0,Lily Mae Abels
0,Spencer Olsson
4,Margo Stanger
7,Zeke Witter
8,Samuel Erickson
8,Hans Kittleson
9,Peter Walker
11,Benjamin Liska
16,Mitchell Rose
18,Helen Koth
19,Jay Taves
29,Jack Mallmann
34,Ben Moody
36,Catherine Morita
41,Marit McQuaig
49,Cadence Sawyer
69,Kyle Cleary
b,r,e,a,k
Mojo Jojo,11
0,Emily Dalhoff
1,Caitlin Reis
1,Stephanie Pieper
3,Graham Sutherland
4,Andrew Lawrence
5,Daniel Schultz
8,Roberto Caballero
9,Joe Simonelli
10,Michael Jordan
11,Justin Wollin
12,Ryan Welch
14,Ben Valley
16,Brittany Faust
18,Ana Caballero
22,Tyler Latham
23,Clancy Ferris
24,Brendan Gessner
26,April Strzelczyk Haverstock
27,Grace Carlson
27,McKenna Hage
28,Meredith  Johnson
34,Luis Caballero
42,Malik Earle
45,Katherine Berglund
84,Nicole Havel
99,Amanda Huber
b,r,e,a,k
Prion,22
0,Alex Liu
0,Alli Young
0,Cora Wessman
0,Eden Brewer
0,Gabriel Posluszny
0,Gregory Schwarz
0,Katherine Koch
0,Maria Janina Sarol
0,Megan Brazelton
0,Michelle Lore
0,Rebecca Napoli
2,Jeremy Goodsitt
7,Laura Rolfes
9,Brittney Gorman
20,Scott Nelson
22,Andrew Almeter
26,Erik Huemiller
29,Jake Corley
29,Lucas Newman-Johnson
42,Manasven Grover
42,Brandon Carrel
46,Anthony Heath
69,Eric Badger
74,Anthony Ruzzo
b,r,e,a,k
Mad Udderburn,10
0,David Kurian
01,Grace Compton
02,David Mohan
03,Jake Wilson
04,Joey Knutson
07,Kasey Kenealy
08,Ben Schewe
09,Grant Hellestad
10,Matt Coogan
11,Spike Pike
12,Alyssa Rettler
13,Tessa Berry
14,Katherine Magruder
15,John Miller
17,Thom Kenealy
18,Julia Sauerhaft
20,Briana Morales
21,Bryan Brooks
22,Lauren Armstrong
24,Bo Strauss
25,Stephanie Smith
27,Clay Schelitzche
30,Helen Walz
31,Amber Heffernan
32,Amanda Hellestad
41,Molly Schelitzche
44,Koby Seaborne
b,r,e,a,k
Jabba,23
0,Ben Stanger
0,Camden Heinisch
0,Colleen DeVries
0,Francesca Rascati
0,Grace Hauser
0,Jeremy Jones
0,Jessica Fairhurst
0,Abby Jones
0,Alex Dudzik
0,Alyssa Bennett
0,Jorey Dvorak
0,Josh Cahn
0,Kamille Martinez
0,Lindsey Steeg
0,Marissa Leff
0,Rey Tang
0,Sachi Seilie
0,Terren Moore
0,Travis Salk
7,Amber Waite
13,Timothy Burnett
20,Matt Afryl
27,Ryan Logan
59,Joseph Cacciatore
64,Joe Leibforth
82,Steven Jeka
99,Lisa Johnson
b,r,e,a,k
Shakedown,9
0,Caitlin Hayner-Slattery
0,Caroline Mueller
0,Emily Muscat
0,Katelynn Zacharias
0,Larkin Johnson
0,Leigh Dairaghi
0,Max Trotter
0,Michael Lipman
0,Sarah Warren
0,Simon Johansen
1,Adam Klaus
2,James Roush
7,Kelvin Koster
12,Rodrigo Arcibar
13,Phoebe Evans
19,Nathan King
23,Kyle Trojan
23,Kathryn Kembitzky
23,Dominic Guzzarde
25,Elaine Sundberg
25,Jordan Lange
47,Grant Whitman
48,Matt Godfrey
54,Lauren Guzman
81,Jake Smith
81,Erika Wagner
b,r,e,a,k
Duloofda,24
0,Alyssa Kleppe
0,Ann Farley
0,Brett Anderson
0,Jennifer Degen
0,Karisa Mueller
0,Kyle Anderson
0,Leah Budnik
0,Mackenzie Olson
0,Edward LaFoy
0,Sam Munkeby
0,Yiming Liu
0,Zach Wood
8,Ben Nicklay
14,Bryce Hebert
21,Cody Rondeau
30,Nick Budnik
34,James Kittlesen
35,Shaun LaFrance
36,Reese Grailer
55,Patrick Jones
b,r,e,a,k
Mastodon,25
0,Amy Sullivan
0,Anh Bao Tran-Le
0,Bethany Krasuski
0,Courtney Botelho
0,Kendra Reams
0,Kristina Geiger
0,Kye Hanson
0,Luke Bodnar
0,Magdalen Palzewicz
0,Marika Witt
0,Peter Lin
0,Trevor Smith
0,Vikas Biliyar
1,Caitlin Clevenger
4,Caroline Bantug
4,Evan McNamara
9,Sarah Mancina
13,Daniel Huncosky
13,Annalise Ho
19,Aric Doak
20,Noah Webster
21,Jessica Liu
31,Thomas Jungbluth
33,Justin Chenevert
86,Matt LaFever
90,Samuel Perreth
99,Lauren Bradshaw
b,r,e,a,k
Robotic Snakes,26
0,Anna Carlson
0,Kameron Heyen
1,Courtney Ruff
4,Joey Silknitter
6,Noah Ross
7,Jack Sarles
8,Cassi Vallis
9,Ellie Stone
10,Christopher Baines
11,Nick Sedore
12,Matt Butschek
14,Anna West
16,Jaime Stephenson
17,Dominic Vavala
20,David Forsyth
21,Sierra Schurman
22,Adam Meyer
23,Michael Swanger
24,Craig Schmerbauch
25,Tracy Farrell
27,Zachary Wynn
31,Michaela Ott
52,Amy Morris
55,Jacob Morrow
99,Jackson Schuerman
b,r,e,a,k
Boomtown Pandas,27
0,Alex Larsen
0,Anne Gardner
0,Emma Boehm
0,Heidi Umhoefer
0,Karly Yablonski
0,Kensey Katz
0,Matthew Wykle
0,Molly Snow
0,Reed Gardner
2,Edward Kaul
4,Lindsey Tushman
4,Jessie Hsu
6,Jessica Frommgen
7,Benjamin Hsu
7,Steven Whelan
11,Ben Hutchinson
13,Rachel Wilson
14,Michael Denruiter
21,John Schaefer
25,Michael Van Haren
29,Sarah Doege
51,Nathan Kleinhans
66,April Peterson
84,Vincent Hsu
94,Derek Weisberg
b,r,e,a,k
Great Minnesota Get Together,28
0,Dan Monfre
0,Daniel Le-Tran
0,David Palo
0,Eric Leppink
0,Jesse Stratton
0,Lauren McPherson
0,Lindsey Pieper
0,Madeleine Filloux
0,Seija Stratton
0,Taylor Weeden
1,Cody Hopewell
2,Kyle Crawford
2,Lauren Hagen
6,Kathy Young
9,Brian Thompson
17,Ellie Clarin
50,Carl Aanestad
57,Nathan Jesson
64,Erik Nerison
78,Alicia Vechik
88,Melissa Lo
99,Jim Aspholm
b,r,e,a,k
Midwestern Mediocrity,29
0,Andrew Piet
0,Brandon Woody
0,Dan  Roelofs
0,Holly Vander Stel
0,Kaciana Champlin
0,Michelle Keohane
0,Rachel Danks
0,Stephan Scicluna
0,Steve Janda
0,Zachary Dal Pra
0,Zahra Franco
9,Katie Longoria
13,David Danks
13,Zac Baker
67,Andrew Zoerman
77,Tim Jen
83,Andrew Curtin
b,r,e,a,k
EDM,30
0,Alex Easterday
0,Aran Lenon
0,Binh Hoang
0,Catherine Nelson
0,Elsa Vera
0,Jeffrey Simon
0,Robert Snider
0,Stefan Sorne
0,Trevor Corsello
0,Zoe Wohlgenant
0,Katherine Campbell
0,Laura Friedrich
12,Erik Leonard
13,Conor Lenon
17,Noah Koester
19,Jonathan Hertel
23,Alexander Abbott
b,r,e,a,k
Taco Cat,31
00,Greg Zadvydas
00,Hung  Nguyen
00,Jack Laven
00,Jules Perryman
00,Keren Newby
00,Maralee Capella
00,Rachel Fiore
00,Ron Wolfe
00,Sam Schenkelberg
00,Thara Nallamothu
00,Brad MILLER
00,Brandon Williams
00,Charles Quigley
00,Adam Rubinberg
00,Trevor Deimel
11,Thomas Williams
20,Blair  Hamilton
83,Daniel Kennard
84,Andi Trubiano
b,r,e,a,k
Fox Valley Forge,32
0,Allison Castellon
0,Andrew Novak
0,Andrew Yenter
0,Anthony Hecht
0,Cassandra Renforth
0,Christopher Mills
0,John Blume
0,Katie Olson
0,Kelly Dirkman
0,Michelle Sandquist
b,r,e,a,k
s,t,a,g,e,s
pools,Power Pools
pool,Pool A
Chalice,Toast,13,8,"08/17/2019, 09:00",Pool A
Stripes,Risky Business,10,13,"08/17/2019, 09:00",Pool A
Chalice,Risky Business,13,4,"08/17/2019, 10:45",Pool A
Stripes,Toast,9,13,"08/17/2019, 10:45",Pool A
Chalice,Stripes,13,6,"08/17/2019, 12:30",Pool A
Toast,Risky Business,13,6,"08/17/2019, 12:30",Pool A
pool,Pool B
Woodwork,Northern Comfort,13,9,"08/17/2019, 09:00",Pool B
Hybrid,PanIC,13,7,"08/17/2019, 09:00",Pool B
Woodwork,PanIC,13,8,"08/17/2019, 10:45",Pool B
Hybrid,Northern Comfort,13,9,"08/17/2019, 10:45",Pool B
Northern Comfort,PanIC,13,10,"08/17/2019, 12:30",Pool B
Woodwork,Hybrid,6,13,"08/17/2019, 12:30",Pool B
b,r,e,a,k
pools,Pool Play
pool,Pool C
Duloofda,Mastodon,8,13,"08/17/2019, 09:00",Pool C
Shakedown,Mastodon,13,9,"08/17/2019, 10:45",Pool C
Shakedown,Duloofda,13,8,"08/17/2019, 12:30",Pool C
pool,Pool D
Jabba,Robotic Snakes,13,11,"08/17/2019, 09:00",Pool D
Mad Udderburn,Robotic Snakes,13,6,"08/17/2019, 10:45",Pool D
Mad Udderburn,Jabba,13,11,"08/17/2019, 12:30",Pool D
pool,Pool E
Prion,Boomtown Pandas,10,12,"08/17/2019, 09:00",Pool E
Mojo Jojo,Boomtown Pandas,13,3,"08/17/2019, 10:45",Pool E
Mojo Jojo,Prion,12,13,"08/17/2019, 12:30",Pool E
pool,Pool F
Mousetrap,Great Minnesota Get Together,12,9,"08/17/2019, 09:00",Pool F
ELevate,Great Minnesota Get Together,12,8,"08/17/2019, 10:45",Pool F
ELevate,Mousetrap,9,10,"08/17/2019, 12:30",Pool F
pool,Pool G
Stackcats,Midwestern Mediocrity,11,12,"08/17/2019, 09:00",Pool G
Melt,Midwestern Mediocrity,13,7,"08/17/2019, 10:45",Pool G
Melt,Stackcats,12,9,"08/17/2019, 12:30",Pool G
pool,Pool H
Pushovers,EDM,13,6,"08/17/2019, 09:00",Pool H
Pandamonium,EDM,13,3,"08/17/2019, 10:45",Pool H
Pandamonium,Pushovers,11,10,"08/17/2019, 12:30",Pool H
pool,Pool I
Rocket LawnChair,Taco Cat,13,2,"08/17/2019, 09:00",Pool I
Bird,Taco Cat,13,1,"08/17/2019, 10:45",Pool I
Bird,Rocket LawnChair,13,3,"08/17/2019, 12:30",Pool I
pool,Pool J
Point of No Return,Fox Valley Forge,13,5,"08/17/2019, 09:00",Pool J
EMU,Fox Valley Forge,13,1,"08/17/2019, 10:45",Pool J
EMU,Point of No Return,14,13,"08/17/2019, 12:30",Pool J
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Shakedown,EMU,11,8,"08/17/2019, 14:15",
Mad Udderburn,Bird,8,13,"08/17/2019, 14:15",
Mojo Jojo,Pandamonium,10,11,"08/17/2019, 14:15",
Mousetrap,Melt,11,13,"08/17/2019, 14:15",
Mastodon,Point of No Return,7,13,"08/17/2019, 14:15",
Jabba,Rocket LawnChair,11,12,"08/17/2019, 14:15",
Prion,Pushovers,11,7,"08/17/2019, 14:15",
ELevate,Midwestern Mediocrity,13,8,"08/17/2019, 14:15",
Duloofda,Fox Valley Forge,13,8,"08/17/2019, 14:15",
Robotic Snakes,Taco Cat,13,6,"08/17/2019, 14:15",
Boomtown Pandas,EDM,13,5,"08/17/2019, 14:15",
Great Minnesota Get Together,Stackcats,7,11,"08/17/2019, 14:15",
b,r,e,a,k
brackets,Gold Bracket
bracket,Gold 1st
Woodwork,Hybrid,7,9,"08/18/2019, 14:30",1st Place
Chalice,Woodwork,7,8,"08/18/2019, 12:30",1st Semis
Hybrid,Toast,10,4,"08/18/2019, 12:30",1st Semis
Chalice,PanIC,9,5,"08/18/2019, 10:30",1st Quarters
Woodwork,Risky Business,10,8,"08/18/2019, 10:30",1st Quarters
Hybrid,Stripes,10,5,"08/18/2019, 10:30",1st Quarters
Toast,Northern Comfort,6,5,"08/18/2019, 10:30",1st Quarters
PanIC,Bird,11,7,"08/17/2019, 16:00",1st Pre-Q
Risky Business,Melt,13,1,"08/17/2019, 16:00",1st Pre-Q
Stripes,Shakedown,13,6,"08/17/2019, 16:00",1st Pre-Q
Northern Comfort,Pandamonium,8,7,"08/17/2019, 16:00",1st Pre-Q
bracket,Gold 3rd
Chalice,Toast,7,6,"08/18/2019, 14:30",3rd
bracket,Gold 5th
PanIC,Northern Comfort,5,7,"08/18/2019, 14:30",5th
PanIC,Risky Business,10,6,"08/18/2019, 12:30",5th Semis
Stripes,Northern Comfort,5,9,"08/18/2019, 12:30",5th Semis
bracket,Gold 7th
Risky Business,Stripes,11,5,"08/18/2019, 14:30",7th
b,r,e,a,k
brackets,Silver Bracket
bracket,Silver 1st
Mojo Jojo,Pandamonium,10,3,"08/18/2019, 12:30",9th Place
Shakedown,Mojo Jojo,5,9,"08/18/2019, 10:30",9th Semis
Bird,Pandamonium,7,8,"08/18/2019, 10:30",9th Semis
Shakedown,Point of No Return,10,7,"08/18/2019, 08:30",9th Quarters
Mojo Jojo,Melt,7,6,"08/18/2019, 08:30",9th Quarters
Bird,Prion,11,2,"08/18/2019, 08:30",9th Quarters
Pandamonium,Rocket LawnChair,11,2,"08/18/2019, 08:30",9th Quarters
Mad Udderburn,Point of No Return,10,13,"08/17/2019, 16:00",9th Pre-Q
Mojo Jojo,ELevate,12,10,"08/17/2019, 16:00",9th Pre-Q
Mousetrap,Prion,7,10,"08/18/2019, 06:30",9th Pre-Q
Rocket LawnChair,EMU,13,11,"08/18/2019, 06:30",9th Pre-Q
bracket,Silver 3rd
Shakedown,Bird,6,5,"08/18/2019, 14:30",11th
bracket,Silver 5th
Point of No Return,Prion,8,9,"08/18/2019, 14:30",13th
Point of No Return,Melt,7,5,"08/18/2019, 12:30",13th Semis
Prion,Rocket LawnChair,7,2,"08/18/2019, 12:30",13th Semis
bracket,Silver 7th
Melt,Rocket LawnChair,1,0,"08/18/2019, 14:30",15th
b,r,e,a,k
brackets,Bronze Bracket
bracket,Bronze 1st
Mad Udderburn,Mousetrap,6,8,"08/18/2019, 12:30",17th
Mad Udderburn,Jabba,9,8,"08/18/2019, 10:30",17th Semis
EMU,Mousetrap,9,10,"08/18/2019, 10:30",17th Semis
Mad Udderburn,Pushovers,9,5,"08/18/2019, 08:30",17th Quarters
Jabba,ELevate,7,6,"08/18/2019, 08:30",17th Quarters
EMU,Stackcats,10,4,"08/18/2019, 08:30",17th Quarters
Duloofda,Mousetrap,6,8,"08/18/2019, 08:30",17th Quarters
Pushovers,Robotic Snakes,11,8,"08/17/2019, 16:00",17th Pre-Q
Jabba,Boomtown Pandas,11,10,"08/17/2019, 16:00",17th Pre-Q
Mastodon,Stackcats,11,12,"08/17/2019, 16:00",17th Pre-Q
Midwestern Mediocrity,Duloofda,13,14,"08/17/2019, 16:00",17th Pre-Q
bracket,Bronze 3rd
Jabba,EMU,5,6,"08/18/2019, 14:30",19th
bracket,Bronze 5th
ELevate,Stackcats,10,4,"08/18/2019, 14:30",21st Place
Pushovers,ELevate,2,9,"08/18/2019, 12:30",21st Semis
Stackcats,Duloofda,8,7,"08/18/2019, 12:30",21st Semis
bracket,Bronze 7th
Pushovers,Duloofda,9,8,"08/18/2019, 14:30",23rd
b,r,e,a,k
brackets,Cheese Bracket
bracket,Cheese 1st
Boomtown Pandas,Mastodon,6,8,"08/18/2019, 12:30",25th
Boomtown Pandas,EDM,7,6,"08/18/2019, 10:30",25th Semis
Mastodon,Great Minnesota Get Together,9,7,"08/18/2019, 10:30",25th Semis
Boomtown Pandas,Taco Cat,9,4,"08/18/2019, 08:30",25th Quarters
Robotic Snakes,EDM,0,1,"08/18/2019, 08:30",25th Quarters
Mastodon,Fox Valley Forge,11,2,"08/18/2019, 08:30",25th Quarters
Midwestern Mediocrity,Great Minnesota Get Together,7,8,"08/18/2019, 08:30",25th Quarters
bracket,Cheese 3rd
EDM,Great Minnesota Get Together,6,9,"08/18/2019, 14:30",27th
bracket,Cheese 5th
Taco Cat,Midwestern Mediocrity,3,10,"08/18/2019, 14:30",29th
Taco Cat,Robotic Snakes,1,0,"08/18/2019, 12:30",29th Semis
Fox Valley Forge,Midwestern Mediocrity,3,11,"08/18/2019, 12:30",29th Semis
bracket,Cheese 7th
Robotic Snakes,Fox Valley Forge,0,1,"08/18/2019, 14:30",31st
b,r,e,a,k
