North Central Club Mixed Regional Championship 2019,Club - Mixed ,21,9,2019
https://play.usaultimate.org/events/North-Central-Club-Mixed-Regional-Championship-2019/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
b,r,e,a,k
Chalice,3
0,Daniel Brennan
0,Elizabeth Honigfort
0,Gabriella Lavezzi
0,Julia Hill
0,Kate Halloran
0,Mason Zetsch
0,Max Morgan
0,Megan Woodring
0,Neil Wessling
0,Patrick Austermann
0,Ryan Jarvis
0,Samantha Cohen
4,Matt Nuoffer
4,Henry Sundermann
6,Emma Randolph
7,Cody Fox
7,Michael Faaborg
9,Stephenie Wang
15,Ben Clark
21,Nathaniel Mahieu
24,Loren Goodrich
26,Grant Eschmann
27,Eliza Hutchings
29,Stephen Hawkins
37,Mary Hermann
69,Mahliyah Adkins-Threats
98,Julia Schroeder
b,r,e,a,k
Mad Udderburn,15
0,David Kurian
01,Grace Compton
02,David Mohan
03,Jake Wilson
04,Joey Knutson
06,Anders Shropshire
07,Kasey Kenealy
08,Ben Schewe
09,Grant Hellestad
10,Matt Coogan
11,Spike Pike
12,Alyssa Rettler
13,Tessa Berry
14,Katherine Magruder
15,John Miller
17,Thom Kenealy
18,Julia Sauerhaft
20,Briana Morales
22,Lauren Armstrong
24,Bo Strauss
25,Stephanie Smith
27,Clay Schelitzche
30,Helen Walz
31,Amber Heffernan
32,Amanda Hellestad
41,Molly Schelitzche
44,Koby Seaborne
b,r,e,a,k
No Touching!,4
01,Jeffrey Trosvig
02,Jolien Munsterhuis
03,Brenna Sund
04,Tony Michaelson
09,Tyler McKean
13,Paul Norgaard
14,Benjamin Nelson
15,Elisabeth Biehl
16,Lindsay Trosvig
17,Kristina Golling
19,Alyson Gagner
21,Brian Larson
22,Rachel Elbing
29,Sam Pepe
31,Anna Shanedling
32,Meredith Bray
33,Graham Brayshaw
38,Arthi Padmanabhan
41,Jenni Konigsburg
42,Sam Valesano
64,Michael Lin
78,Jeremy Keiser
83,Jeremiah Gagner
87,Brent Novey
88,Patrick Jensen
94,Patrick Cashman
96,Brian Edgerton
b,r,e,a,k
NOISE,5
0,Ben Parrell
0,Ethan Parrish
0,Francis Kelley
0,Justin Simanson
0,Karen Hill
0,Kevin Cannaday
0,Kyle Weigand
1,Jackie Welsch
2,Ashley Welsh
7,Vanessa Cannaday
10,Tom Annen
10,Caitlin Murphy
12,Kaitlynne Roling
13,Becky LeDonne
18,Mike Kobyra
18,Sarah Mondschein
19,Haley Hudson
22,Rami Paust
26,Simon Kuran
27,Michael Swain
29,Jack Nelson
31,Marianna Malin
32,Daniel Garlock
33,Katy Stanton
55,Kelsen Alexander
95,Glenn Poole
b,r,e,a,k
PanIC,9
0,Alexis Rose
0,Claire Meyer
0,David Dalton
0,Jessica Derry
0,Nathan Gibbons
0,Samantha Bartlett
0,Sarah Kersten
0,Nicole Johnson
0,Peter Shayman
0,Troy Stapleton
0,Zane Pennock
0,Zoe Bakken-Heck
4,Sean Schoephorster
10,Jacob Jahnke
16,Amanda Stapleton
17,Shivam Patel
19,Johanna Chambers
20,Rebecca Crown
21,James Hean
22,Nick Culver
23,Matthew Murry
24,Thomas Robinson
27,Evan Kerr
33,James (Drew) Walters
42,Raleke Hughes
66,Tyler Stutzman
99,Dana Demmert
b,r,e,a,k
Mousetrap,16
00,Elizabeth Ebert
00,Hans Kittleson
00,Helen Koth
00,Henry Fremont
00,Jack Mallmann
00,Jacob Calbaum
00,Jay Taves
00,Jonathan Bauer
00,Katharine Lewer
00,Katie Fan
00,Kyle Cleary
00,Lily Mae Abels
00,Benjamin Liska
00,Cadence Sawyer
00,Caroline Fallon
00,Marit McQuaig
00,Mitchell Rose
00,Peter Walker
00,Samuel Erickson
00,Spencer Olsson
00,Zeke Witter
04,Margo Stanger
34,Ben Moody
36,Catherine Morita
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,Mojo Jojo,13,3,"09/21/2019, 09:00",Pool A
Northern Comfort,Impact,13,10,"09/21/2019, 09:00",Pool A
Drag'n Thrust,Impact,13,4,"09/21/2019, 11:45",Pool A
Northern Comfort,Mojo Jojo,11,9,"09/21/2019, 11:45",Pool A
Drag'n Thrust,Northern Comfort,13,3,"09/21/2019, 13:30",Pool A
Mojo Jojo,Impact,13,6,"09/21/2019, 13:30",Pool A
pool,Pool B
The Chad Larson Experience,Pandamonium,13,7,"09/21/2019, 09:00",Pool B
Minnesota Star Power,Bird,13,6,"09/21/2019, 09:00",Pool B
The Chad Larson Experience,Bird,11,13,"09/21/2019, 11:45",Pool B
Minnesota Star Power,Pandamonium,13,4,"09/21/2019, 11:45",Pool B
The Chad Larson Experience,Minnesota Star Power,13,9,"09/21/2019, 13:30",Pool B
Pandamonium,Bird,13,11,"09/21/2019, 13:30",Pool B
pool,Pool C
Chalice,7 Sins,10,11,"09/21/2019, 09:00",Pool C
Woodwork,Mad Udderburn,12,9,"09/21/2019, 09:00",Pool C
Chalice,Mad Udderburn,13,7,"09/21/2019, 11:45",Pool C
Woodwork,7 Sins,13,9,"09/21/2019, 11:45",Pool C
Chalice,Woodwork,9,11,"09/21/2019, 13:30",Pool C
7 Sins,Mad Udderburn,13,6,"09/21/2019, 13:30",Pool C
pool,Pool D
No Touching!,PanIC,13,9,"09/21/2019, 09:00",Pool D
NOISE,Mousetrap,13,3,"09/21/2019, 09:00",Pool D
No Touching!,Mousetrap,13,4,"09/21/2019, 11:45",Pool D
NOISE,PanIC,13,10,"09/21/2019, 11:45",Pool D
No Touching!,NOISE,13,7,"09/21/2019, 13:30",Pool D
PanIC,Mousetrap,13,8,"09/21/2019, 13:30",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Drag'n Thrust,NOISE,12,9,"09/22/2019, 13:00",1st Place
Drag'n Thrust,No Touching!,15,9,"09/22/2019, 11:00",Semifinals
NOISE,The Chad Larson Experience,13,11,"09/22/2019, 11:00",Semifinals
Drag'n Thrust,Minnesota Star Power,15,8,"09/22/2019, 09:00",Quarterfinals
No Touching!,7 Sins,15,8,"09/22/2019, 09:00",Quarterfinals
Woodwork,NOISE,4,15,"09/22/2019, 09:00",Quarterfinals
The Chad Larson Experience,Northern Comfort,14,8,"09/22/2019, 09:00",Quarterfinals
Minnesota Star Power,Chalice,10,7,"09/21/2019, 15:15",Pre-Quarters
7 Sins,Pandamonium,13,9,"09/21/2019, 15:15",Pre-Quarters
Mojo Jojo,NOISE,7,13,"09/21/2019, 15:15",Pre-Quarters
Northern Comfort,PanIC,13,7,"09/21/2019, 15:15",Pre-Quarters
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Impact,Mad Udderburn,8,13,"09/21/2019, 15:15",Pool E
Bird,Mousetrap,10,8,"09/21/2019, 15:15",Pool E
Impact,Mousetrap,15,13,"09/22/2019, 09:00",Pool E
Bird,Mad Udderburn,15,10,"09/22/2019, 09:00",Pool E
Impact,Bird,9,15,"09/22/2019, 11:00",Pool E
Mad Udderburn,Mousetrap,15,11,"09/22/2019, 11:00",Pool E
b,r,e,a,k
brackets,Consolation Brackets
bracket,5th Place
Minnesota Star Power,Northern Comfort,15,10,"09/22/2019, 13:00",5th (Select Flight Qualifier)
Minnesota Star Power,7 Sins,14,7,"09/22/2019, 11:00",5th Semis
Woodwork,Northern Comfort,11,13,"09/22/2019, 11:00",5th Semis
bracket,9th Place
Chalice,Mojo Jojo,12,13,"09/22/2019, 11:00",9th
Chalice,Pandamonium,14,12,"09/22/2019, 09:00",9th Semis
Mojo Jojo,PanIC,15,5,"09/22/2019, 09:00",9th Semis
bracket,11th Place
Pandamonium,PanIC,13,12,"09/22/2019, 11:00",11th
b,r,e,a,k
