Motown Throwdown 2019,Club - Mixed ,6,7,2019
Sylvania,OH,2019-07-06,2019-07-07
https://play.usaultimate.org/events/Motown-Throwdown-2019/schedule/Mixed/Club-Mixed
Hybrid,1
0,Zachary Flint
1,Jeffrey Harvey
3,Richard Milleville
9,Michael Kanaby
22,Kelsey Scanlon
31,Sarah Burns
b,r,e,a,k
Stackcats,14
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,@stackcatsultimate
0,Andrew Gubernick
0,Anthony Oplawski
0,Caden Canavan
0,Christopher Thomas
0,Jackson Todd
0,Mark Valzonis
0,Monica Oplawski
0,Ryan Kurnik
0,Samantha Swank
3,Samantha Thompson
6,Vincent Curkov
7,Michael Hyland
12,Ashley Betke
13,David Lindsey
17,Julian Huvaere
23,Elizabeth Thorsell
23,Ashley Wagner
24,Kyle Brooks
33,Sara Putnam
35,Nick Compton
36,Miranda Gallegos
42,Benton Fletcher
57,Jonathan Alton
72,Zaray Buenrostro
b,r,e,a,k
Second Wind,11
teamInfo,,"Columbus, Ohio",,,
0,Alex Breneman
0,Amanda Backus
0,Charlotte Chang
0,Christina Hedges
0,Dustin McConnell
0,Felicia Bratti
0,Glen Slejko
0,Heather Villa
0,Jade Yang
0,Jason Rosser
0,Jonah Bode
0,Kristy Elwell
0,Kyle Root
0,Lindsey Fallon
0,Neil Mecham
0,Stephen Booth
6,Kristen Plews
9,Michael Kopechek
12,Natalie Fancher
55,Patrick Gleason
86,Michael Lee
b,r,e,a,k
SlipStream,19
teamInfo,,"Indianapolis, Indiana",,,
0,Jackie Sapienza
1,Heather Song
01,Victoria Smith
03,Rechelle Frash
06,Ethan Griggs
10,Daniela Escalante
12,Shannon Jones
13,Dave Christopher
14,Chelsea Baker
16,Derek Raufeisen
17,Collin Emmert
18,Ross Elliott
21,Jacob Waltz
23,Catherine McNutt
24,Brian Price
25,Ian Epkey
28,Jared Rosen
32,Timothy Willer
36,Kayanna Turner
37,Sarah MacDougall
45,Jacob Long
56,Cullen Booth
86,Dusty (Dustin) Hughes
96,Hannah Fogle
b,r,e,a,k
Sabers,22
teamInfo,,"Columbus, Ohio",,,@ColumbusYcc
coaches,Kevin Baumann,Kelly Rusin
0,Alex Doty
0,Damien Frail
0,Ferren Feyh
0,Jose Hundley
0,Julia Dreiling
0,Kailey Roberts 
0,Karli Predieri
0,Keri Kopechek
0,Derek Wright
0,Maxwell Devine
0,Riley Dickson
0,Rose Duffus
0,Sean O'Donovan
0,Sky Anderson
0,Stephanie Kramer
1,Max Scheetz
3,David Braden
16,Elizabeth Burkhardt
19,Avery Gleeson
23,Nick Havill
23,Ryan DeGeeter
30,Bailey Ohrman
31,Spencer Law
b,r,e,a,k
Petey's Pirates,5
teamInfo,,"Columbus, Ohio",http://peteyspirates.com/,https://www.facebook.com/groups/1812739332308469/,https://twitter.com/peteyspirates
0,Claire Ackerman
0,Dakota Regan
0,Dylan Elder
0,Eric Border
0,Gordon (Gordy) Sjostrom
0,Alora Reiff
0,Karli Bigler
0,Kelly Ross
0,Rebecca Rings
0,Sarah San Pedro
0,Stephan Dober
0,Trimon Lamson
0,Tyler Higgins
7,Luke Groom
03,Austin Eilbeck
12,Alec Mathena
16,Jennifer Dai
17,Kelsey  Dober
19,Sebastian Miner
25,Timothy San Pedro
32,Nate Dikeman
34,James (Drew) Barkley
59,Todd Miller
69,Chan Woo Park
78,Tiffany Lim
95,Kristen Behrens
b,r,e,a,k
Moonshine,4
teamInfo,,"Lexington, Kentucky",,https://www.facebook.com/moonshineultimate/,https://www.twitter.com/moonshinemixed
0,Cory Radcliff
0,Elizabeth Meyer
0,Eric  Sellers
0,Ian Spangler
0,Isabella Hansen
0,Jason Rueger
0,Jessica Neal
0,Kasey Schock
0,Katherine Hill
0,Amanda Morris
0,Asher Finkel
0,LJ Spurlock
0,Mark Carr
0,Matthew  John
0,Rebekah Taylor
0,Will Corum
3,Ben Luckey
9,Caleb Montgomery
12,Kendall Archer
21,Micah Smith
32,Alexandra McMackin
36,Nate Maddux
45,Matt McMackin
72,Lula Dutille
b,r,e,a,k
Pixel,13
teamInfo,,"Royal Oak, Michigan",,https://www.facebook.com/pixeldetroitultimate/,https://twitter.com/FrisbeePixel
0,Claire Blazewicz
0,Ellen Grimes
0,Mark Dziemianowicz
01,Joseph Hacker
02,Hayley Banas
03,Alex Mardlin
04,Tyler ODonnell
07,Jonathan Lee
08,Christopher Hoxsey
10,David  Cole
14,Mark Leja
15,Michael Giles
16,Shelly Moher
18,Elaine Dziemianowicz
22,Trey Taliaferro
24,Alyssa D'Costa
26,Gretchen Mills
28,Kelsea Fitzpatrick
30,Joey Chiu
32,Elizabeth Rott
33,Rita Hathaway
36,Amelia Dornbush
37,Rees McDevitt
47,Dan Kwass
98,John DePaul
99,Daniel Fonte
b,r,e,a,k
Derby City Thunder,12
teamInfo,,"Louisville, Kentucky",https://www.dcthunder.club/,https://www.facebook.com/groups/704218569655199/,https://twitter.com/DCThunderClub
0,Brittney Tooker
0,Charles Allen
0,Elizabeth Schaaf
0,Hannah Clark
0,Hannah Buckley
0,Joseph Dininger
0,Joshua McHargue
0,Katherine Meyer
0,Kelli Klingenfus
0,Michael Ray
0,Ray Yeager
0,Rebecca Custis
0,Regina Carrico
0,Robert Wong
0,Thomas Filiatreau
0,Zach Halcomb
1,Rick Stewart
2,James Marsh
3,Rae Van Sandt
3,Raymond Palazzo
8,Conor King
15,Dennis Kuo
17,Rachel Barr
19,Andrew Bessin
37,Seth Pierce
44,Trenton Schroeder
49,Matt Rosenfield
b,r,e,a,k
Buffalo Brain Freeze,20
teamInfo,,"Buffalo, New York",,,https://twitter.com/BuffBrainFreeze?s=09
0,Alexandria  Ferrentino
0,Benjamin Schlabach
0,Brianna Hodge
0,Danielle Shatkin
0,Gregory Pollock
0,Mark Doud
0,Sarah Bain
0,Simon Locke
0,Tierney Day
0,Will Soos
0,Zachary Heil
0,Megan Lamb
0,Michael Mooney
5,Sarah Wegman
7,Avery Nutting-Hartman
19,Megan MacNeill
66,Cody Clement-Sanders
99,Eoin Joyce
b,r,e,a,k
Taco Cat,21
teamInfo,,"Chicago, Illinois",,,
00,Greg Zadvydas
00,Hung  Nguyen
00,Jules Perryman
00,Keren Newby
00,Maralee Capella
00,Rachel Fiore
00,Ron Wolfe
00,Sam Schenkelberg
00,Charles Quigley
00,WillIam Altschul
20,Blair  Hamilton
23,Trevor Deimel
31,Brad MILLER
83,Daniel Kennard
84,Andi Trubiano
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A 
Hybrid,Goose Lee,11,7,"07/06/2019, 09:00",Pool A ,Final
Liquid Hustle,Skyhawks,11,6,"07/06/2019, 09:00",Pool A ,Final
Hybrid,Petey's Scallywags,11,5,"07/06/2019, 10:20",Pool A ,Final
Goose Lee,Skyhawks,11,6,"07/06/2019, 10:20",Pool A ,Final
Petey's Scallywags,Skyhawks,11,4,"07/06/2019, 11:40",Pool A ,Final
Goose Lee,Liquid Hustle,7,11,"07/06/2019, 11:40",Pool A ,Final
Hybrid,Liquid Hustle,0,0,"07/06/2019, 13:00",Pool A ,Cancelled
Goose Lee,Petey's Scallywags,0,0,"07/06/2019, 13:00",Pool A ,Cancelled
Hybrid,Skyhawks,0,0,"07/06/2019, 14:20",Pool A ,Cancelled
Liquid Hustle,Petey's Scallywags,0,0,"07/06/2019, 14:20",Pool A ,Cancelled
pool,Pool B 
Toast,Prion,10,7,"07/06/2019, 09:00",Pool B ,Final
Los  Heros,EMU,11,8,"07/06/2019, 09:00",Pool B ,Final
Toast,Mastodon,11,1,"07/06/2019, 10:20",Pool B ,Final
Prion,EMU,4,9,"07/06/2019, 10:20",Pool B ,Final
Mastodon,EMU,8,10,"07/06/2019, 11:40",Pool B ,Final
Prion,Los  Heros,7,9,"07/06/2019, 11:40",Pool B ,Final
Toast,Los  Heros,0,0,"07/06/2019, 13:00",Pool B ,Cancelled
Prion,Mastodon,0,0,"07/06/2019, 13:00",Pool B ,Cancelled
Toast,EMU,0,0,"07/06/2019, 14:20",Pool B ,Cancelled
Los  Heros,Mastodon,0,0,"07/06/2019, 14:20",Pool B ,Cancelled
pool,Pool C
Buffalo Lake Effect,Second Wind,11,3,"07/06/2019, 09:00",Pool C,Final
Rocket LawnChair,SlipStream,11,1,"07/06/2019, 09:00",Pool C,Final
Stackcats,Sabers,11,1,"07/06/2019, 09:00",Pool C,Final
Buffalo Lake Effect,Sabers,11,1,"07/06/2019, 10:20",Pool C,Final
Rocket LawnChair,Second Wind,11,4,"07/06/2019, 10:20",Pool C,Final
Stackcats,SlipStream,11,6,"07/06/2019, 10:20",Pool C,Final
Buffalo Lake Effect,Stackcats,8,7,"07/06/2019, 11:40",Pool C,Final
Rocket LawnChair,Sabers,11,3,"07/06/2019, 11:40",Pool C,Final
Second Wind,SlipStream,11,4,"07/06/2019, 11:40",Pool C,Final
Buffalo Lake Effect,Rocket LawnChair,0,0,"07/06/2019, 13:00",Pool C,Cancelled
Second Wind,Stackcats,0,0,"07/06/2019, 13:00",Pool C,Cancelled
SlipStream,Sabers,0,0,"07/06/2019, 13:00",Pool C,Cancelled
Buffalo Lake Effect,SlipStream,0,0,"07/06/2019, 14:20",Pool C,Cancelled
Rocket LawnChair,Stackcats,0,0,"07/06/2019, 14:20",Pool C,Cancelled
Second Wind,Sabers,0,0,"07/06/2019, 14:20",Pool C,Cancelled
pool,Pool D
Moonshine,Derby City Thunder,11,2,"07/06/2019, 09:00",Pool D,Final
Petey's Pirates,Buffalo Brain Freeze,11,2,"07/06/2019, 09:00",Pool D,Final
Pixel,Taco Cat,11,4,"07/06/2019, 09:00",Pool D,Final
Moonshine,Taco Cat,11,5,"07/06/2019, 10:20",Pool D,Final
Petey's Pirates,Derby City Thunder,11,5,"07/06/2019, 10:20",Pool D,Final
Pixel,Buffalo Brain Freeze,10,5,"07/06/2019, 10:20",Pool D,Final
Moonshine,Pixel,9,8,"07/06/2019, 11:40",Pool D,Final
Petey's Pirates,Taco Cat,11,4,"07/06/2019, 11:40",Pool D,Final
Derby City Thunder,Buffalo Brain Freeze,6,4,"07/06/2019, 11:40",Pool D,Final
Moonshine,Petey's Pirates,0,0,"07/06/2019, 13:00",Pool D,Cancelled
Derby City Thunder,Pixel,0,0,"07/06/2019, 13:00",Pool D,Cancelled
Buffalo Brain Freeze,Taco Cat,0,0,"07/06/2019, 13:00",Pool D,Cancelled
Moonshine,Buffalo Brain Freeze,0,0,"07/06/2019, 14:20",Pool D,Cancelled
Petey's Pirates,Pixel,0,0,"07/06/2019, 14:20",Pool D,Cancelled
Derby City Thunder,Taco Cat,0,0,"07/06/2019, 14:20",Pool D,Cancelled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship Bracket
Hybrid,Toast,12,7,"07/07/2019, 14:00",Finals,Final
Hybrid,Buffalo Lake Effect,8,6,"07/07/2019, 12:30",Semifinals,Final
Toast,EMU,8,5,"07/07/2019, 12:30",Semifinals,Final
Hybrid,Stackcats,13,9,"07/07/2019, 11:00",Quarterfinals,Final
Petey's Pirates,Buffalo Lake Effect,8,9,"07/07/2019, 11:00",Quarterfinals,Final
Toast,Liquid Hustle,11,10,"07/07/2019, 11:00",Quarterfinals,Final
Goose Lee,EMU,9,13,"07/07/2019, 11:00",Quarterfinals,Final
Hybrid,Derby City Thunder,13,1,"07/07/2019, 09:30",Pre-Quarters,Final
Los  Heros,Stackcats,7,10,"07/07/2019, 09:30",Pre-Quarters,Final
Petey's Pirates,Prion,10,6,"07/07/2019, 09:30",Pre-Quarters,Final
Buffalo Lake Effect,Petey's Scallywags,11,4,"07/07/2019, 09:30",Pre-Quarters,Final
Toast,Second Wind,13,5,"07/07/2019, 09:30",Pre-Quarters,Final
Liquid Hustle,Pixel,9,4,"07/07/2019, 09:30",Pre-Quarters,Final
Rocket LawnChair,Goose Lee,6,10,"07/07/2019, 09:30",Pre-Quarters,Final
Moonshine,EMU,8,9,"07/07/2019, 09:30",Pre-Quarters,Final
bracket,3rd Place
Buffalo Lake Effect,EMU,7,9,"07/07/2019, 14:00",3rd Place,Final
bracket,5th Place
Petey's Pirates,Goose Lee,12,9,"07/07/2019, 14:00",5th Place,Final
Stackcats,Petey's Pirates,7,13,"07/07/2019, 12:30",5th Place Semis,Final
Liquid Hustle,Goose Lee,6,11,"07/07/2019, 12:30",5th Place Semis,Final
bracket,7th Place
Stackcats,Liquid Hustle,3,13,"07/07/2019, 14:00",7th Place,Final
bracket,9th Place
Los  Heros,Rocket LawnChair,7,4,"07/07/2019, 14:15",9th Place,Final
Los  Heros,Petey's Scallywags,11,9,"07/07/2019, 12:30",9th Place Semis,Final
Rocket LawnChair,Second Wind,8,6,"07/07/2019, 12:50",9th Place Semis,Final
Derby City Thunder,Los  Heros,11,13,"07/07/2019, 11:00",9th Place Quarters,Final
Prion,Petey's Scallywags,8,9,"07/07/2019, 11:00",9th Place Quarters,Final
Rocket LawnChair,Pixel,10,6,"07/07/2019, 11:00",9th Place Quarters,Final
Second Wind,Moonshine,8,7,"07/07/2019, 11:00",9th Place Quarters,Final
bracket,11th Place
Petey's Scallywags,Second Wind,8,7,"07/07/2019, 14:15",11th Place,Final
bracket,13th Place
Prion,Moonshine,8,9,"07/07/2019, 14:15",13th Place,Final
Derby City Thunder,Prion,9,10,"07/07/2019, 12:30",13th Place Semis,Final
Pixel,Moonshine,8,9,"07/07/2019, 12:50",13th Place Semis,Final
bracket,15th Place
Derby City Thunder,Pixel,4,11,"07/07/2019, 14:15",15th Place,Final
b,r,e,a,k
pools,17th - 22nd Crossover
pool,Pool F
SlipStream,Skyhawks,4,13,"07/07/2019, 09:30",Pool F,Final
Buffalo Brain Freeze,Sabers,13,4,"07/07/2019, 09:30",Pool F,Final
Mastodon,Taco Cat,13,4,"07/07/2019, 09:30",Pool F,Final
SlipStream,Buffalo Brain Freeze,6,10,"07/07/2019, 11:00",Pool F,Final
Skyhawks,Mastodon,6,10,"07/07/2019, 11:00",Pool F,Final
Sabers,Taco Cat,12,6,"07/07/2019, 11:00",Pool F,Final
SlipStream,Mastodon,9,10,"07/07/2019, 12:30",Pool F,Final
Buffalo Brain Freeze,Taco Cat,10,6,"07/07/2019, 12:30",Pool F,Final
Skyhawks,Sabers,8,7,"07/07/2019, 12:30",Pool F,Final
SlipStream,Taco Cat,8,10,"07/07/2019, 14:00",Pool F,Final
Buffalo Brain Freeze,Skyhawks,8,10,"07/07/2019, 14:00",Pool F,Final
Mastodon,Sabers,11,5,"07/07/2019, 14:00",Pool F,Final
b,r,e,a,k
