TCT Elite-Select Challenge 2019,Club - Men ,17,8,2019
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2019/schedule/Men/Club-Men/
SoCal Condors,1
1,Jack Hinchsliff
3,David Miller
5,Elliott Erickson
7,Jonathan Nethercutt
8,Mathieu Agee
10,Nicholas Purifico
11,Joshua Crane
12,Joel Schlachet
14,Joseph Carrara
15,Dennison Bechis
19,Scott Trimble
22,Stanley Peterson
24,Matt Bubernak
25,Conor Tabor
29,Sandy Brown
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
38,Jonah Wisch
42,Ben Lohre
66,Matt Jackson
72,Dylan Salzman
84,Evan Boecking
85,Calvin Delamere
88,Quinn Finer
b,r,e,a,k
DiG,2
2,Ryan Dinger
3,Gabriel Colton
4,Tanner Halkyard
5,Noah Backer
6,Rocco Essex-Linehan
7,Jason (Jay) Clark
8,Michael Sender
9,Ben Field
10,William Stewart
11,Mat Little
12,Mac Hecht
14,Andrew Hooker
16,Nathaniel Dick
17,Jonah Kurman-Faber
21,Ethan Bloodworth
22,Benjamin Tseytlin
23,Jeremy Bernier
24,Henry Babcock
25,Ilya Yudkovich
31,Ben Krupp
33,Michael Dillard
42,Brent Lo
44,Tyler Chan
65,Topher Davis
97,Alex Dagley
b,r,e,a,k
Black Market I,14
00,Joseph Conerty
00,Luke Bleers
01,Chris Santiago
03,Michael Armstrong
05,Zach Kieffer
06,Jacob  Cuthbert
08,Johnny Saniat
12,Jeremy Burril
14,Josh Van Cleave
20,Reid Martin
21,Cal Tornabene
22,Brian Rathunde
23,Ryan Smith
25,Daniel Miller
26,Reno Brinn
29,Evan Haug
31,Nicholas Golini
32,Aiden Frank
40,Canaan Murray
45,Jeff Robinson
50,Evan Swiatek
57,Justin Forman
59,Brett Ploussard
76,Girolamo S Kelly
82,Daniel Vockeroth
85,Matthew Lemaitre
91,Dylan Power
b,r,e,a,k
Freaks,11
0,Brad Wylam
01,William Bianca
02,Grant Waldron
03,Brandon Beers
04,Beau Waldron
05,Chase Hammond
06,Brett Hulsmeyer
07,Justin Schroeder
09,Eric Sjostrom
10,Benjamin Gagne-Maynard
11,Elijah Jaime
12,Philip Throckmorton
13,Carter Rae
17,Nick Peppers
18,Jacob Flowers
21,Devon Rogers
22,Nicholas Button
23,Alejandro Guerrero
27,Jordan Hill
32,Yusuf Abdullah
33,JT Taylor
37,Michael Strobel
42,Tim Hoggard
55,Tom Radcliffe
77,Anthony Cain
87,Tannon Hedges
b,r,e,a,k
Pittsburgh Temper,3
1,Max Sheppard
2,Jonathan Mast
3,Patrick Earles
4,Ben Banyas
5,Ryan Hoffman
6,Anson Reppermund
7,Mark Fedorenko
9,Patrick McMullen
08,Thomas Edmonds
10,Max Thorne
12,Kevin Tsui
14,Kenny Furdella
15,Dylan Best
18,Kyle Hartley
22,Owen Watt
24,Alexander Thomas
25,Adam Burgess
27,Jasper Tom
29,Hafeez Shams
34,Casey Mann
45,Brett Matzuka
48,Jimmy Towle
49,Sam VanDusen
55,Chris Graber
81,Tyler DeGirolamo
b,r,e,a,k
Voodoo,10
01,James Freed
02,Chris Bubernak
03,Dennis Casio
04,Porter Jones
05,Tomas Delgado
07,Robert Geer
08,June Rapisura
09,Spencer Lofink
10,Theodore Laws
12,William Coffin
13,Robby Perkins-High
14,Steven Benaloh
17,Michael Sylvester
18,Robert Farwell
21,Lucas Chen
23,Jeff Zhao
24,Daniel Mah
34,Nicholas Roberts
35,Justin Ting
38,Manuel Eckert
46,Ryan Sturm
48,Jake Ritmire
52,Christopher Vandervoort
77,Gabe Port
84,Jonathan Stacey
97,Zack Smith
b,r,e,a,k
Brickyard,6
0,Alex Henderson
0,Christopher Miller
0,David Hortemiller
0,Eli Mock
0,Jeremy Keusch 
0,Nick Phillips
0,Stephen Conner Henderson
1,Joseph Cubitt
2,Nickolas Hutton
3,Cameron Brock
4,Cameron Thatcher
7,Levi Jacobs
8,Lucas Coniaris
11,Colton Steiner
12,Colin Ringwood
14,Andrew Swanson
16,Heath Kalaba
18,Aaron Weaver
18,AJ  Humbert
23,Zach Zebarth
37,Travis Carpenter
45,Trey Dynes
51,Chris Ginet
81,Matthew McHugh
85,John Jones
87,Rick Gross
b,r,e,a,k
Inception,15
0,Cole Besser
0,Felix Pronove
0,Jonathan Stirk
0,Michael Walsh
0,Sam Goldstein
0,Steven Pearlman
0,Thomas Brewster
0,Vincent Ciaramitaro
0,Seth Faris
2,Dylan Latham McGraw
8,Matt West
8,Matt Bristol
15,Marc Kaylor
21,Sarang Mittal
21,Lucas Beal
27,Michael Perry
33,Samuel Hotaling
69,Joel Ives
69,Stephen Krajeski
88,Wil St. Charles
b,r,e,a,k
Rhino Slam!,5
0,Holden Carroll
3,John Cairns
4,Jason Simms
5,Daniel Young
9,Chris Hancock
10,Jon Stone
11,Kyle Hancock
12,Jonathan Lee
13,Timmy Perston
17,Raphael Hayes
20,James Shaw
23,Kuochuan Ponzio
24,Nicholas Jackson
26,Austin Kelly
27,Trevor Smith
29,David Sealand
30,Sam Franer
33,Sam Gordon-Koven
40,Vinh Bui
41,Daniel Lee
44,Owen Murphy
50,Patrick  Beckett 
69,Duncan McNally
82,Leandro Marx
b,r,e,a,k
Patrol,9
0,Alex Atkins
0,Jacob Price
0,John (Jack) Flintermann
0,Marc Sands
0,Matthew Hanna
0,Zachary Sands
1,Nicholas LaRue
1,Evan Karson
3,Brandon Lamberty
8,Nick Patel
10,Ethan Fortin
11,Scott Xu
13,Brice Dunn
15,Colin Masino
16,Trevor Griesman
18,William Sickles
19,Thomas Allen
21,Francisco Gomez
24,Ethan Peck
27,Jake Rainwater
47,Matthew Ballman
48,Ryan Weaver
69,Peter Burt
76,Trevor Lynch
77,Ryan Brown
b,r,e,a,k
Yogosbo,4
0,Alex Simmons
0,Branavan Yogarajah
2,Tyler Williams
4,Sam Hebert
6,Gordon Peterson
7,Avery Johnson
10,Victor Luo
14,Jerome McGinnis
17,Thomas Gallagher
22,Aaron Speiss
23,Tarik Akyuz
24,Dayu Liu
25,Ryan Tucker
27,Elliot Mawby
30,Natan Lee-Engel
32,Colin Camp
37,Jan Szmanda
41,Colin Sunde
42,Chase Marty
76,Colin Grandon
77,Jack Kelly
86,Patrick Donovan
91,Sef van Kan
b,r,e,a,k
Guerrilla,16
0,Colin Grant
0,Daniel Silverstein
0,David Mondry
0,Evan Magsig
0,Gabe Taylor
0,Benjamin Elliott
0,Benjamin Levinsky
0,Judah Newman
0,Mark Philipson
0,Sam Asin
0,Stephane Carlisle
0,Winston Tran
0,Xavier Jacque Mignot
2,Maxwell Tomsick
3,Mason Chupka
3,Tommy Adams
5,Christian Cortes
8,Brandon Fein
11,Glenn Wysen
12,Munis Thahir
14,Emmet Holton
16,Sean Hyslop
22,Keenan Laurence
24,Kevin Tien
24,Jason Yun
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
SoCal Condors,Prairie Fire,15,6,"08/17/2019, 10:30",Pool A
Chain Lightning,Red Circus,15,7,"08/17/2019, 10:30",Pool A
SoCal Condors,Red Circus,15,5,"08/17/2019, 12:30",Pool A
Chain Lightning,Prairie Fire,15,7,"08/17/2019, 12:30",Pool A
SoCal Condors,Chain Lightning,16,14,"08/17/2019, 14:30",Pool A
Prairie Fire,Red Circus,15,8,"08/17/2019, 14:30",Pool A
pool,Pool B
DiG,Freaks,15,7,"08/17/2019, 08:30",Pool B
Johnny Bravo,Black Market I,15,8,"08/17/2019, 08:30",Pool B
DiG,Black Market I,15,9,"08/17/2019, 10:30",Pool B
Johnny Bravo,Freaks,15,8,"08/17/2019, 10:30",Pool B
DiG,Johnny Bravo,13,14,"08/17/2019, 14:30",Pool B
Freaks,Black Market I,11,13,"08/17/2019, 14:30",Pool B
pool,Pool C
Pittsburgh Temper,Voodoo,15,6,"08/17/2019, 08:30",Pool C
Brickyard,Inception,15,11,"08/17/2019, 08:30",Pool C
Pittsburgh Temper,Inception,15,6,"08/17/2019, 10:30",Pool C
Brickyard,Voodoo,11,15,"08/17/2019, 10:30",Pool C
Pittsburgh Temper,Brickyard,15,11,"08/17/2019, 12:30",Pool C
Voodoo,Inception,13,15,"08/17/2019, 12:30",Pool C
pool,Pool D
Yogosbo,Patrol,11,15,"08/17/2019, 08:30",Pool D
Rhino Slam!,Guerrilla,14,12,"08/17/2019, 08:30",Pool D
Yogosbo,Guerrilla,15,11,"08/17/2019, 12:30",Pool D
Rhino Slam!,Patrol,12,8,"08/17/2019, 12:30",Pool D
Yogosbo,Rhino Slam!,9,15,"08/17/2019, 14:30",Pool D
Patrol,Guerrilla,15,9,"08/17/2019, 14:30",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
SoCal Condors,Johnny Bravo,11,10,"08/18/2019, 14:55",Finals
SoCal Condors,Rhino Slam!,10,7,"08/18/2019, 13:25",Semifinals
Pittsburgh Temper,Johnny Bravo,8,11,"08/18/2019, 13:25",Semifinals
SoCal Condors,DiG,10,8,"08/18/2019, 11:55",Quarterfinals
Rhino Slam!,Black Market I,11,7,"08/18/2019, 11:55",Quarterfinals
Pittsburgh Temper,Patrol,9,7,"08/18/2019, 11:55",Quarterfinals
Johnny Bravo,Chain Lightning,10,9,"08/18/2019, 11:55",Quarterfinals
DiG,Brickyard,12,11,"08/18/2019, 10:25",Pre-Quarterfinals
Voodoo,Black Market I,4,10,"08/18/2019, 10:25",Pre-Quarterfinals
Patrol,Prairie Fire,10,8,"08/18/2019, 10:25",Pre-Quarterfinals
Chain Lightning,Yogosbo,12,11,"08/18/2019, 10:25",Pre-Quarterfinals
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Rhino Slam!,Pittsburgh Temper,10,12,"08/18/2019, 14:55",3rd Place
bracket,5th Place
DiG,Patrol,12,5,"08/18/2019, 14:55",5th Place Finals
DiG,Chain Lightning,11,9,"08/18/2019, 13:25",5th Place Semifinals
Black Market I,Patrol,5,10,"08/18/2019, 13:25",5th Place Semifinals
bracket,7th Place
Chain Lightning,Black Market I,11,10,"08/18/2019, 14:55",7th Place
bracket,9th Place
Yogosbo,Voodoo,8,13,"08/18/2019, 14:55",9th Place Finals
Brickyard,Yogosbo,9,10,"08/18/2019, 11:55",9th Place Semifinals
Voodoo,Prairie Fire,10,5,"08/18/2019, 11:55",9th Place Semifinals
bracket,11th Place
Brickyard,Prairie Fire,10,7,"08/18/2019, 14:55",11th Place
b,r,e,a,k
pools,13th-16th Place Round Robin
pool,Pool E
Red Circus,Guerrilla,9,11,"08/17/2019, 13:25",Pool E
Red Circus,Inception,10,8,"08/18/2019, 10:25",Pool E
Freaks,Guerrilla,9,8,"08/18/2019, 10:25",Pool E
b,r,e,a,k
