Boston Invite 2019,Club - Men ,22,6,2019
Devens,MA,2019-06-22,2019-06-23
https://play.usaultimate.org/events/Boston-Invite-2019/schedule/Men/Club-Men/
DiG,1
6,Paul Hooley
12,Thomas Lalonde-Landry
17,Mohamed Chrouh
24,Farouk Oussaada
28,Daniel Vogt
28,Jordan Faries
35,Eliott Heloir
46,Sebastien Nadon
47,Brian Howard
69,David Comeau-Cadieux
81,Hugo Paré
84,Etienne Blaszkewycz
87,Philippe Poitras
88,Zakarie Massi
93,Guillaume Castelain
b,r,e,a,k
Big Wrench,3
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Albert Lee
0,Andy Yu
0,Ben Simmons
0,Erik Liu
0,Jeffrey Zhang
0,John Wellers
0,Joseph Min
0,Luke Diorio
0,Jack Facey
0,Tomaso Mukai
0,Walden Ng
1,August Williams
2,Colby Jacques
3,Brian Wyer
4,Ryan Woodhouse
5,Alexander Riahi
7,Alexander Roche
06,Harrison Greene
11,Samuel Letcher
12,Phillip Joyce
17,Andrew Zaccardi
17,Ben Goossen
33,Conor Eckert
33,Nick Jewell
51,Jared Kannel
64,Benjamin Centracchio
b,r,e,a,k
Magma Bears,11
teamInfo,,"ALL OF NEW YORK, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Andrew Purugganan
0,Christopher Novielli
0,Elan Kane
0,Jacob Margolis
0,Jake Kaufman
0,James Kim
0,John Maher
0,Justin Ondrof
0,Nicolas Dacey
0,Tal Niv
0,Yasu Yukawa
11,Maor Gordon-Guterman
16,Jamie Lawler
16,Brandan Quinn
17,John Walsh
18,John Brancato
20,Colton Lubaszka
21,Andrew  Seiden
38,Chris Bonifati
39,Brooks Wallace
87,Daniel Wekstein
87,Brandon Chan
88,Martin Bustamante
b,r,e,a,k
Overcast,14
teamInfo,,"Syracuse, New York",,,
0,Anthony Miuccio
0,Arron Danehy
0,Bryan Bausinger
0,Colin O'Keefe
0,Iain Tracton
0,Jake Gershon
0,Matt Carter
0,Paul DeGennaro
0,Scott Scheers
0,Lee Martel
0,Zachary Ashley
2,Jonathan Willman
6,Dylan Hannaford 
7,Aaron Maymin
12,Xavier Schafer
13,David Hojnowski
20,Dakota Cross
23,Jack Rossetti
27,Jeremy Klein
31,Kobe Oley
34,Davis Mossman
36,Andrew Gallagher
47,Martin Sak
55,Jason Hughes
73,Mark Hansen
b,r,e,a,k
Blueprint,5
teamInfo,,"Brooklyn, New York",,,https://twitter.com/nyc_blueprint
0,Benjamin West
0,Carter Thallon
0,Carter Wang
0,Daniel Thornton
0,Eliot Bemis
0,Evan Carter
0,Gabe Stump
0,Geoffrey Zheng
0,Jeffrey Voss
0,Jesse Gan
0,Jonathan Kwan
0,Josh Imhoff
0,Alon Brown
0,Max Cohen
0,Owen Marschall
0,Samuel Feder
0,Samuel Pollack
0,Tom Sum
0,Ruozhou Ye
1,Sam Alston
3,Peter Nauffts
8,Jason Freedman
9,Victor Kao
10,Andrew Edelman
14,Ian McInerney
15,Juleon Robinson
71,Denis Maguire
b,r,e,a,k
Colt,4
teamInfo,,"Southington, Connecticut",,,
1,Alan Henzy
2,Andrew Thai
3,Jack Kwon
5,Matthew Kerendian
7,Ricky Lewandowski
10,Logan Edwards
11,Calvin Jungreis
13,Bryce Markel
15,Holland Florian
16,Marc Soldini
19,Jonathon Peters
21,Zac Sequeira
23,Daniel Conner
25,John Clyde
28,Sacha Kaiser
32,Zach Grappone
33,Kyle Saroka
37,David Griffin
45,Philip Murray
52,Ryan Strobel
64,Gunnar Jackson
69,Christopher Cassella
99,Timmer Farrell
b,r,e,a,k
Lantern,13
teamInfo,,"Boston, Massachusetts",,,
0,Brendan Blaney
1,James Sabean
3,Derek Wiseman
6,Adam Logan
8,Nathan Brown
9,Stephen Banning
02,Matthew Silverman
11,Patrick Collins
12,Michael Carando
16,AJ Hutchins
17,John Repucci
18,Andrew Fredrickson
19,Isaac Peters
21,Brian Munroe
22,Matt Rizzo
23,Ethan Sternberg
24,Stephen Panasuik
26,Matthew LePere
29,Justin Palin
33,Charlie Reiff
35,Russell Katz
36,Andrew Prunk
40,Alex Jenkins
41,William Hartog
71,Adam Dean
73,Eric Peters
77,Ryan Santos
b,r,e,a,k
Sherbrooke Gentlemen's Club,12
teamInfo,,"Sherbrooke, Quebec CA",,,
0,Bruno-Pier Demers
0,David Letourneau
0,Felix Leonard
0,Félix-Antoine Amyot
0,Gabriel Parent
0,Jean-Francois Peloquin
0,Julien Bernat
0,Mathieu Durocher
0,Maxime Durand-Gasselin
0,Olivier Mayer
0,Philippe Lacombe
0,Alexis  Nadeau
0,Alexis-Maël Goyette-Maillé
0,Timothé Picard
0,Vincent Sasseville
21,Marco Plourde Grenon
31,Simon Trepanier
43,Austin-Didier Tran
b,r,e,a,k
Log Jam,21
teamInfo,,"Hyde Park, New York",,,
0,Alec Krasinski
0,Chris Lavery
0,Christopher Hummel
0,Daniel Stephens
0,David Koch
0,David Bowers
0,Emmett Williamson
0,Evan Creer
0,Jack Kirby
0,Josh Hite
0,Matthew Reluzco
0,Michael Keegan
0,Peter Hodge
0,Timothy Stuitje
10,Mathieu Savarit-Cosenza
11,Isaac Appel
33,Jonah Amron
37,Nick Alfonso
95,Nicholas Granados-Kramer
b,r,e,a,k
Somerville BAG,20
teamInfo,,"Somerville, Massachusetts",,,
0,Aaron Epstein
0,Alec Jacobson
0,Alex Caulfield
0,Arthur Abbate
0,Ben Santaus
0,Charles Caron
0,Daniel Bronshvayg
0,Derek Lin
0,Eric Chen
0,Henry Caron
0,Kevin O'Brien
0,Lucas Lytel
0,Maxwell Kaye
0,Nicholas Adolph
0,Robert Shapiro
0,Bobby Lovitch
0,Russell Ruffolo
0,Ryan Cornelius
0,Samuel Saron
10,Kevin Walton
13,Oliver Newland
25,Benjamin Wittenberg
72,Dylan Frank
73,Benjamin Kukura
90,Kevin Liu
b,r,e,a,k
Ender's Outcasts,17
teamInfo,,"Somerville, Massachusetts",https://www.instagram.com/endersoutcasts/,,https://twitter.com/outcasts_s
0,Benjamin Naismith
0,Christopher Richmond
0,Cody Karjadi
0,Isaiah Milgroom
0,Jay Rauch
0,Jonas Gartner
0,Jonathan  Kinsky
0,Jonathan Collins
0,Bradford Patterson
0,Gabriel Lyon
0,Henry Stock
0,Sam VanNoy
0,Sean Tuthill
0,Sean Wong
0,TJ Gansenberg
5,David Huang
6,Justin Sonberg
02,Travis McGrath
14,Ian Brown
17,Trevor Yandow
19,Alex Fukuchi
25,Eric Schmidt
29,Luke Arnone
52,Benjamin Rubasch
68,Andrew Parmet
84,Sam Farnsworth
88,Christopher White
b,r,e,a,k
BUDA U20B,24
teamInfo,,"Boston, Massachusetts",,,
coaches,Dan Hourigan
0,Gabriele Kautz
0,Joshua Pinto
0,Leo Narbonne
0,Luca  Harwood
0,Michael Shriver
0,Bryan Dole
0,Christopher Kiepert
0,Zachary Watson-Stevens
5,Wyatt Kellman
9,Jack Rice
9,Jae Lee
15,James Cairn
15,Jonah Stang-Osborne
22,Cole Davis-Brand
24,Nathan Buchholz
33,Parker Lin-Butler
b,r,e,a,k
Thunder Boys,25
teamInfo,,"Portsmouth, New Hampshire",,,
01,Ryan Creamer
06,Santino Marchesano
08,Noah Ryder
09,Kyle Cayer
10,Tanner Hyslop
11,David Dwyer
12,Spencer Holt
15,Cole Matthews
20,Calvin Conant
27,Clay Hundertmark
28,Trevor Yandow
33,Benjamin Reinhold
42,Keefer Welsh
52,Ryan Lamers
b,r,e,a,k
"Genny, The Boys (GTB)",19
teamInfo,GTB,"New York, New York",,,
0,Brandon Eng
0,Charles Barbieri
0,Evan Reid
0,Jeff Diduro
0,Matt Fuller
1,Josiah Zoodsma
2,Alexander Paulos
7,David Abbott
10,Kyle Morgan
10,Timothy Nguyen
11,Patrick Stegemoeller
12,Matthew Hepburn
17,Max Moritz
18,Sean McDermott
19,Dillon Peterson
34,Jacob Ryder
51,Paul McDermott
57,Paul Oleyourryk
69,Ethan Perregaux
69,Connor Evans
88,Daniel Stern
b,r,e,a,k
Shrike,18
teamInfo,,"Ottawa, Ontario CA",https://www.ocua.ca/Shrike,https://www.facebook.com/Shrike-Ultimate-1447561055538465/,
0,Cédrik Labrèche
0,Christopher Lay
0,Cory Boucher
0,Dante LaFontaine
0,Kayle Campbell
0,Kelsey Charie
0,Luca Lafontaine
0,Habib Atallah
0,Mathieu Plouffe
0,Micheal Davidson
0,Pierre-Luc Couturier
0,Ryan Wallace
0,William Rocque
2,Mathew Berg
8,Walker Gee
15,Shintaro Tsukamoto
23,Desmond Staples
33,Andy Lee
65,Jonah Munoz
92,Marcus Bordage
b,r,e,a,k
Helots,23
teamInfo,,"Sparta, New Jersey",,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
0,Patrick Stewart
0,Stephen Lee
2,Mark Farnham
8,Stefen Reese
09,Eric Cooney
10,Ayaaz Versi
13,Nicholas Landolfi
14,Chris Kelly
15,Sean Maxcy
18,Joe Dweck
22,Jeff Perosi
24,Matt Cultrera
24,Ethan Tsirulik
25,Justin Li
27,Jason Pon
28,Jacob Farnham
29,Gabriel Price
32,Kalman Carmel
35,Brian Morrison
43,Joshua Shamouil
51,Patrick Callahan
74,Derek  Oberleiton
87,Kevin Potter
b,r,e,a,k
Watch City,22
teamInfo,,"Medford, Massachusetts",,,
0,Alexander Esakof
0,Brian Gzemski
0,Eric Home
0,Mark Adamiak
0,Michael Humbert
0,Nicholas Roth
0,Nicholas Plotkin
0,Sung-Jae Park
0,Tzvi Miller
0,Victor Zhivich
0,Vivek Patel
0,Walter Aspinwall
0,Zephry Wright
0,Samuel Dinning
4,Nick DiOrio
4,Benyamin Meschede-Krasa
5,Peter Jacobs
5,Hansen Yang
9,Steven Chen
9,Gabriel Fontes
14,Charles Noble
34,Matthew Bartolucci
b,r,e,a,k
Spring Break '93,26
teamInfo,,"Hartford, Connecticut",,,SpringBreakUlti
0,Adam Neu
0,John Kuchachik
8,Sebastian Mesa
01,Nathan Getz
09,Adam Dorau
10,Remy Gaulin
11,Matt Versland
13,Paul Roberts
17,Kekeli Afantchao
24,Stephen Nahorney
25,Umang Gangwar
29,Ryan Douty
30,Andong Li
31,Zachary Putney
43,Joshua Kish
44,Sean Hughes
63,Mathew Payson
77,Michael Casey
81,Matthew Kearney
96,Jacob Aldrich
b,r,e,a,k
s,t,a,g,e,s
pools,Elite - Pool Play
pool,Pool A
DiG,Deathsquad,15,8,"06/22/2019, 09:00",Pool A,Final
Red Circus,Club M - Magma,15,6,"06/22/2019, 09:00",Pool A,Final
DiG,Club M - Magma,15,1,"06/22/2019, 11:00",Pool A,Final
Red Circus,Deathsquad,13,12,"06/22/2019, 11:00",Pool A,Final
DiG,Red Circus,15,7,"06/22/2019, 13:00",Pool A,Final
Deathsquad,Club M - Magma,15,5,"06/22/2019, 13:00",Pool A,Final
pool,Pool B
Sprout,Regiment,15,6,"06/22/2019, 09:00",Pool B,Final
Shade,Red Tide,15,9,"06/22/2019, 09:00",Pool B,Final
Sprout,Red Tide,15,7,"06/22/2019, 11:00",Pool B,Final
Shade,Regiment,15,5,"06/22/2019, 11:00",Pool B,Final
Sprout,Shade,14,10,"06/22/2019, 13:00",Pool B,Final
Regiment,Red Tide,13,12,"06/22/2019, 13:00",Pool B,Final
pool,Pool C
Big Wrench,Magma Bears,14,10,"06/22/2019, 09:00",Pool C,Final
Club M - Manic,Overcast,15,10,"06/22/2019, 09:00",Pool C,Final
Big Wrench,Overcast,13,8,"06/22/2019, 11:00",Pool C,Final
Club M - Manic,Magma Bears,10,14,"06/22/2019, 11:00",Pool C,Final
Big Wrench,Club M - Manic,10,14,"06/22/2019, 13:00",Pool C,Final
Magma Bears,Overcast,9,8,"06/22/2019, 13:00",Pool C,Final
pool,Pool D
Colt,Sherbrooke Gentlemen's Club,15,4,"06/22/2019, 09:00",Pool D,Final
Blueprint,Lantern,13,12,"06/22/2019, 09:00",Pool D,Final
Colt,Lantern,10,8,"06/22/2019, 11:00",Pool D,Final
Blueprint,Sherbrooke Gentlemen's Club,15,5,"06/22/2019, 11:00",Pool D,Final
Colt,Blueprint,5,15,"06/22/2019, 13:00",Pool D,Final
Sherbrooke Gentlemen's Club,Lantern,10,15,"06/22/2019, 13:00",Pool D,Final
b,r,e,a,k
pools,Classic - Pool Play
pool,Pool E
BUDA U20B,Thunder Boys,15,8,"06/22/2019, 09:00",Pool E,Final
Somerville BAG,Log Jam,13,15,"06/22/2019, 09:00",Pool E,Final
Ender's Outcasts,Log Jam,10,13,"06/22/2019, 11:00",Pool E,Final
Somerville BAG,BUDA U20B,13,9,"06/22/2019, 11:00",Pool E,Final
Ender's Outcasts,Thunder Boys,15,9,"06/22/2019, 13:00",Pool E,Final
Log Jam,BUDA U20B,14,7,"06/22/2019, 13:00",Pool E,Final
Ender's Outcasts,BUDA U20B,11,8,"06/22/2019, 15:00",Pool E,Final
Somerville BAG,Thunder Boys,13,8,"06/22/2019, 15:00",Pool E,Final
Ender's Outcasts,Somerville BAG,8,9,"06/22/2019, 17:00",Pool E,Final
Log Jam,Thunder Boys,15,3,"06/22/2019, 17:00",Pool E,Final
pool,Pool F
Helots,Spring Break '93,15,8,"06/22/2019, 09:00",Pool F,Final
"Genny, The Boys (GTB)",Watch City,15,6,"06/22/2019, 09:00",Pool F,Final
Shrike,Watch City,13,11,"06/22/2019, 11:00",Pool F,Final
"Genny, The Boys (GTB)",Helots,14,4,"06/22/2019, 11:00",Pool F,Final
Shrike,Spring Break '93,15,6,"06/22/2019, 13:00",Pool F,Final
Watch City,Helots,9,11,"06/22/2019, 13:00",Pool F,Final
Shrike,Helots,13,6,"06/22/2019, 15:00",Pool F,Final
"Genny, The Boys (GTB)",Spring Break '93,13,5,"06/22/2019, 15:00",Pool F,Final
Shrike,"Genny, The Boys (GTB)",11,13,"06/22/2019, 17:00",Pool F,Final
Watch City,Spring Break '93,11,5,"06/22/2019, 17:00",Pool F,Final
b,r,e,a,k
clusters,Elite - 2v3 Crossover
cluster,Elite - 2v3 Crossover
Colt,Deathsquad,12,10,"06/22/2019, 15:00",,Final
Shade,Magma Bears,14,7,"06/22/2019, 15:00",,Final
Red Circus,Lantern,12,13,"06/22/2019, 15:00",,Final
Big Wrench,Regiment,8,6,"06/22/2019, 15:00",,Final
b,r,e,a,k
clusters,Classic - 2v3 Crossover
cluster,Classic - 2v3 Crossover
Shrike,Ender's Outcasts,14,10,"06/23/2019, 09:00",,Final
Somerville BAG,Helots,15,13,"06/23/2019, 09:00",,Final
b,r,e,a,k
brackets,Bracket
bracket,1st Place
DiG,Sprout,14,12,"06/23/2019, 13:00",Finals (1st),Final
DiG,Blueprint,15,5,"06/23/2019, 11:00",Semis (1st),Final
Colt,Sprout,7,15,"06/23/2019, 11:00",Semis (1st),Final
DiG,Shade,15,6,"06/23/2019, 09:00",Qtrs (1st),Final
Big Wrench,Blueprint,9,13,"06/23/2019, 09:00",Qtrs (1st),Final
Club M - Manic,Colt,12,14,"06/23/2019, 09:00",Qtrs (1st),Final
Lantern,Sprout,1,15,"06/23/2019, 09:00",Qtrs (1st),Final
bracket,3rd Place
Blueprint,Colt,12,14,"06/23/2019, 15:00",Finals (3rd),Final
bracket,5th Place
Shade,Lantern,0,0,"06/23/2019, 15:00",Finals (5th),Cancelled
Shade,Big Wrench,14,5,"06/23/2019, 11:00",Semis (5th),Final
Club M - Manic,Lantern,12,14,"06/23/2019, 11:00",Semis (5th),Final
bracket,7th Place
Big Wrench,Club M - Manic,15,10,"06/23/2019, 15:00",Finals (7th),Final
bracket,9th Place
Red Tide,Sherbrooke Gentlemen's Club,15,3,"06/23/2019, 13:00",Finals (9th),Final
Deathsquad,Red Tide,7,15,"06/23/2019, 11:00",Semis (9th),Final
Club M - Magma,Sherbrooke Gentlemen's Club,7,15,"06/23/2019, 11:00",Semis (9th),Final
Deathsquad,Overcast,12,9,"06/23/2019, 09:00",Qtrs (9th),Final
Red Tide,Red Circus,11,9,"06/23/2019, 09:00",Qtrs (9th),Final
Magma Bears,Club M - Magma,9,15,"06/23/2019, 09:00",Qtrs (9th),Final
Sherbrooke Gentlemen's Club,Regiment,15,13,"06/23/2019, 09:00",Qtrs (9th),Final
bracket,11th Place
Deathsquad,Club M - Magma,0,1,"06/23/2019, 15:00",Finals (11th),Final
bracket,13th Place
Log Jam,Red Circus,1,0,"06/23/2019, 15:00",Finals (13th),Final
Regiment,Log Jam,6,15,"06/23/2019, 13:00",Semis (13th),Final
Red Circus,Somerville BAG,14,13,"06/23/2019, 13:00",Semis (13th),Final
Regiment,Shrike,14,11,"06/23/2019, 11:00",Qtrs (13th),Final
Log Jam,Magma Bears,15,8,"06/23/2019, 11:00",Qtrs (13th),Final
Red Circus,"Genny, The Boys (GTB)",12,11,"06/23/2019, 11:00",Qtrs (13th),Final
Somerville BAG,Overcast,13,8,"06/23/2019, 11:00",Qtrs (13th),Final
bracket,15th Place
Regiment,Somerville BAG,6,11,"06/23/2019, 15:00",Finals (15th),Final
bracket,17th Place
Magma Bears,"Genny, The Boys (GTB)",0,1,"06/23/2019, 15:00",Finals (17th),Final
Shrike,Magma Bears,12,14,"06/23/2019, 13:00",Semis (17th),Final
"Genny, The Boys (GTB)",Overcast,13,6,"06/23/2019, 13:00",Semis (17th),Final
bracket,19th Place
Shrike,Overcast,11,7,"06/23/2019, 15:00",Finals (19th),Final
b,r,e,a,k
pools,Classic - Consolation 
pool,Pool G
Thunder Boys,Spring Break '93,8,13,"06/23/2019, 11:00",Pool G,Final
Ender's Outcasts,Helots,12,7,"06/23/2019, 11:00",Pool G,Final
BUDA U20B,Watch City,15,6,"06/23/2019, 11:00",Pool G,Final
Ender's Outcasts,Spring Break '93,15,4,"06/23/2019, 13:00",Pool G,Final
Helots,BUDA U20B,9,11,"06/23/2019, 13:00",Pool G,Final
Thunder Boys,Watch City,1,13,"06/23/2019, 13:00",Pool G,Final
Ender's Outcasts,Watch City,15,14,"06/23/2019, 15:00",Pool G,Final
Helots,Thunder Boys,W,F,"06/23/2019, 15:00",Pool G,Final
BUDA U20B,Spring Break '93,0,0,"06/23/2019, 15:00",Pool G,Cancelled
b,r,e,a,k
