Commonwealth Cup 2019,College - Women ,23,2,2019
Axton,VA,2019-02-23,2019-02-24
https://play.usaultimate.org/events/Commonwealth-Cup-2019/schedule/Women/CollegeWomen/
Dartmouth,1
0,Sydney Rehder
4,Julia Zwierzynski
8,Alice Wang
9,Elisabeth Parker
10,Olivia Monroe
13,Tyler Smith
14,Meg Van Horn
15,Florence Brooks
20,Bridget Mizener
22,Anne Worth
27,Mary Rippe
28,Rachell Xu
34,Alexandra Barnett
35,Maggie Adams
37,Anna Xu
42,Rebecca Fagan
55,Erika Neave
86,Connie Cui
b,r,e,a,k
North Carolina State,8
0,Caroline Vande Berg
0,Charity Robinett
0,Danielle Sawyer
0,Emily Nicholos
0,Emma Bartlett
0,Jacqueline Hausle
0,Jen Bradley
0,Abigail Campbell
0,Alice Widman
0,Allison Church
0,Ana Solberg
0,Ashley Nelson
0,Becky Widmayer
0,Lisa Keller
0,Melissa Gronske
0,Sarah Lewis
0,Torey Vayer
5,Katie Cubrilovic
6,Carmen Tormey
27,Mary Clarke Worthington
58,Rowan Jaynes
b,r,e,a,k
Tufts,5
01,April Weintraub
03,Margo Urheim
04,Cameron Rusin
06,Justinne Guarin
07,Samantha Schmidt
08,Julia Lober
09,Jordan Bricknell
11,Meredith Bernstein
13,Isabella Lombino
14,Amanda Giles
18,Molly Lipman
19,Emily Decker
21,Hannah Paborsky
22,Rosanna Vitiello
23,Claire Dunn
25,Emily Smith
26,Samantha Saltzman
32,Amanda Leung
33,Fernanda Brena
66,Miranda Briseno
96,Caroline Passalacqua
b,r,e,a,k
Penn State,11
0,Abby Ridenour
0,Abena Dufie
0,Adison Staskiewicz
0,Alaina Demalis
0,Anna DeCecco
0,Guinevere Rauch
0,Jessica Sourbeer
0,Kalle Weik
0,Katie Ridenour
0,Kayla Gomez
0,Maya Karl
0,Meaghan Kane
0,Megan McDermott
0,Melissa McCloskey
0,Melissa Javier
0,Molly Good
0,Sofia Donskaya
4,Alyssa D'Costa
9,Emily Kiver
24,Erin Malonzo
31,Jackie Middleswarth
b,r,e,a,k
Ohio State,4
0,Emily Marmer
0,Samantha Boehmcke
2,Funing Zhang
4,Emily Barrett
5,Claire Ackerman
6,Megan Klosterman 
9,Annelise Peters
11,Sadie Jezierski
15,Emma Colavincenzo
16,Jennifer Dai
20,Lake Fleming
22,Whitney Schott
24,Wai Ling Yee
26,Cara Sieber
28,Stacy Lu
31,Sheridan Cleave
38,Brooke Lewis
43,Chloe Lim
54,Stephany Stumphauzer
82,Katherine Sandstrom
95,Kristen Behrens
b,r,e,a,k
Pittsburgh,3
1,Victoria Smith
2,Jessie Sun
3,Rita Flanagan
6,Celeste Picone
07,Katie Schreiber
10,Helen Wu
11,Hannah Blizzard
12,Madison Pisone
14,Maya D'Mello
15,Hope Matyas
19,Abigail  Bomberger
20,Lakshmi Ilango
21,Elizabeth Manturuk
22,Ariana Bhatia
23,Hannah Boyd
24,Anna Dzuricky
27,Ashika Mani
37,Linn Bjanes
57,Charlotte (CJ) Dawson
70,Morgan Cioth
71,Miranda Kosowsky
72,Yumi Wong
84,Annie Koch
b,r,e,a,k
North Carolina-Wilmington,9
00,Anakin Gerics
00,Claire Sorensen
00,Shannon Sullivan
00,Sydney Meadows
02,Shanna Huffman
03,Lydia Brenneman
11,Hannah Samuelson
13,Meredith Wiedenheft
15,Kellee Meiners
17,Erin Johnston
18,Eliza Rich
21,Kathryn O'Leary
22,Kristen Reed
24,Hannah Boettcher
33,Cameron Nix
98,Julia Machado
99,Kelly McGillicuddy
b,r,e,a,k
Michigan,10
00,Hanna Schechter
02,Marguerite Harris
03,Claire Blazewicz
05,Cassandra Singler
11,Laura Soter
12,Janine Kerr
16,Riely Kuznicki
17,Nicole Kleinsorge
18,Ashley Pepple
20,Madison Nightingale
21,Christina Hanson
22,Madison Haas
23,Loriann Hom
24,Kristina Nunez
27,Megan Gordon
32,Elizabeth Rott
33,Rita Hathaway
34,Annie Mei
35,Hannah Cheng
36,Naomi Kantor
42,Sylvia Gisler
54,Elizabeth Kirk
66,Tia Esposito
69,Zoe Engle
77,Phoebe Hopp
98,Katie Wagner
b,r,e,a,k
Columbia,13
0,Chandni Suresh
0,Chloe Knopp
0,Irene Golden
0,Katherine Strong
0,Kaylee Viets
3,Aviva Weinbaum
8,Vivian Shen
02,Yuge Xiao
03,Orenna Brand
06,Melanie Sawyer
13,Lily Sickles
14,Emily Tiberi
27,Marisa Schwartz
31,Julia Simmons
33,Mira Land
35,Eleni Reynolds
37,Olivia Korostoff-Larsson
43,Rebecca Cawkwell
49,Claudia Weiss
66,Elizabeth Thomas
b,r,e,a,k
Catholic,28
01,Madelyn Demaret
02,Lauren Coene
03,Francesca Giardina
04,Elizabeth Shoemaker
05,Sarah Lynch
06,Anne Perry
07,Sarah Grupp
09,Brianne Dwyer
10,Claire Sullivan
11,Katherine Lemanski
13,Katherine O'Brien
17,Victoria Kirkman
20,Abigail Obuchowski
21,Ann  Vogel 
22,Abigail Wolpiuk
23,Isabella Mullaney
24,Simone Fera
25,Emily  McGuire
26,Isabel Vander Bleek
28,Madeline Allard
42,Kiera Kenneally
48,Brooke Sander
b,r,e,a,k
George Mason,29
0,Maria Brock
2,Katherine Vorder Bruegge
4,Samantha Clough
8,Jayoung Christner
10,Jenna Rowell
12,Katherine Kane
13,Nicole Getter
32,Hannah Kanfer
33,Julianna Gohman
34,Lexi Robbins
42,Sarah Covington
52,Lily Mackenzie
55,Taylor Forlenza
77,Ciara Johnson
b,r,e,a,k
Case Western Reserve,14
0,Annika Gabriel
0,Erin Frye
0,Greer Donnalley
0,Hayley Devine
0,Jane Carsey
0,Jenny Zhao
0,Julia Mickey
0,Kathleen Tong
0,Michelle Chu
0,Nicole Wilkinson
0,Samantha Vinik
0,Sara Pascual Testón
0,Lucia Wei
0,Wonyoung Choi
5,Sarah Wegman
11,Andrea Mael
12,Lauren Ficek
29,Tiana Anthony
88,Madeleine Pletzke
b,r,e,a,k
Virginia Tech,27
0,Alisha Cole
0,Austin Reed
0,Caroline Ponticelli
0,Cassidy Quistorff
0,Dana Gurland
0,Emily Askew
0,Emma Symanski
0,Hannah Taylor
0,Kaylan Schoenefeldt 
0,Kylee Unnoppet
0,Morgan Herrera
0,Nadja Ross
0,Sarah Spall
0,Sydney Kelley
0,Taylor Hacker
2,Michaela Van Wicklin
2,Laura Beaudet
10,Lydia Schaar
11,Madison Howell
15,Rachel Szabo
47,Madison Reed
65,Harper Jensen
b,r,e,a,k
North Carolina (B),30
0,Caroline Spencer
0,Emily Fallon
0,Allie Dunston
0,Karen Xu
0,Sarah Pollack
1,Caitlin Gross
11,Annie Bocko
27,Nellie Wise
31,Katherine Li
42,Fiona Gable
89,Hannah Smith
b,r,e,a,k
Hometown Heroes (High School),31
0,Clil Phillips
0,Darcy Boast
0,Ellie Cubrilovic
0,Jennifer Wang
0,Harper Baer
0,Sonia Rao
0,Zoe Huntington
00,Emma Williamson
01,Jiatong Song
02,Evie LeDuc
03,Grace Conerly
18,Izabella Musleh
19,Lanie O'Neill
26,Georgia Paulig
58,Liana Bradley
b,r,e,a,k
Ohio,26
0,Allyson Perkins
0,Ashley Chong
0,Caldwell Armstrong
0,Caroline Gulla
0,Delaney Marsalek
0,Emily Francisco
0,Hannah Wilder
0,Kate Karlovich
0,Katelyn Schaeffer
0,Lexie Thomas
0,Martina Costanza
0,Nicole Harmon
11,Kelly Simons
b,r,e,a,k
Kennesaw State,15
0,Angelicia Franklin
0,Britta Baugham
0,Jordan Scott
0,Lauren Farabaugh
0,Mirenli Negron
0,Molly McWilliams
0,Sofia Insignares 
4,Alaina Daugherty
10,Mia Griner
11,Charlene Hawkins
12,Kimberly McGinnis
15,Elyse Anderson
20,Ariba Lakhani
20,Kylie Murphy
24,Kyleigh Montague
33,Alissa Beckett
35,Madolyn Packer
90,Peggy Fregene
b,r,e,a,k
Oberlin,25
0,Emily Peterson
0,Lucia Mason
0,Lucy Brown
0,Sophia Matossian
3,Ora Hammel
4,Miche McCall
7,Juliana Stoner
9,Katherine Karson
20,Linnea  Fraser
21,Helen Samuel
22,Abagael Cheng
24,Rosie Rudavsky
37,Shayna Jennings
42,Anna Barron
44,Kayla Seeger
83,Zoe Hecht
b,r,e,a,k
Duke,16
1,Anne Crowley
2,Angela Liu
8,Caroline Kassir
9,Claire Stout
06,Katherine Li
10,Nicole Patterson
14,Elianna Bier
17,Christine O'Connell
18,Rachel Berlowe Binder
20,Madeleine Shade
22,Elizabeth Nowlin
24,Selena Qian
25,Brielle Tobin
26,Allison  Bunker
28,Darcy Cook
31,Linh Bui
34,Peyton Schafer
39,Tiffany Wei
77,Rachel Rubin
88,Jennifer Yan
b,r,e,a,k
Michigan (B),32
0,Samantha Warden
2,Andreea Serban
4,Sarah Green
5,Jillian Haber
9,Jing Ting Lin
11,Kai Myran
12,Sara Herta
15,Emily Webber
16,Haley Martens
17,Sophia Leiter
18,Sophia Katz
19,Melaina Climer
25,Isabel Panepento
27,Lucie Scaglione
29,Jordan Hudgins
30,Hannah Mullaly
36,Meredith Ainsworth
41,Julia Derringer
44,Ashley Bielinski
47,Jayne Hubscher
49,Margaret McGeehan
56,Kei Kohmoto
81,Breanna Berka
87,Maria Elkin
b,r,e,a,k
Delaware,24
0,Abigail Seney
0,Aislinn DeSieghardt
0,Arianna Starost
0,Caelan Corey
0,Chelsea Weitz
0,Erica Tompkins
0,Kaitlin Phillips
0,Lillian Peterson
0,Maria Cepeda
0,Meghan O'Brien
0,Natalie Bova
0,Zoe Brandenburg
5,Jenna  Horbatuk
7,Anna Cauchy
13,Emma Phelps
56,Casey Liberman
91,Jessica Stapleton
b,r,e,a,k
Florida State,17
0,Augusta Mansfield
0,Avery Knipfing
0,Caitlin McCann
0,Cameron Lamont
0,Camryn Curvey
0,Casey Rangeo
0,Courtney Read
0,Emma Beyar
0,Gabby Sehres
0,Isabella Massardi
0,Jayna Peacock
0,Jenna Flemons
0,Kariana  Briceno
0,Karina Lago
0,Katy Kirsh
0,Laura Reeves
0,Lydia Spence
0,MaeLee Averett
0,Maria Perez
0,Megan Randell
0,Michelle Henriquez
0,Nicolina Graves
0,Olivia Perche
0,Summer Strickland
06,Natalie Wilson
15,Lindsi Allman
21,Natalie Dix
33,Michele Bowersox 
b,r,e,a,k
Elon,33
0,Abby Bailey
0,Gwendolyn Treco
0,Jaimeson Bjorklund
0,Meghan Coleson
5,Cameron McCrary
8,Toni Parker
9,Olivia Ford
10,Courtney Kollar
11,Reilly Linskey
13,Pearl Sullivan
14,Alina Iwan
17,La'Shaundranique Marshall
19,Ellie Gaudin
27,Katie Willner
28,Keelan Baldwin
42,Colleen Cody
56,Stephanie Gerding
b,r,e,a,k
James Madison,18
0,Emily Hivick
0,Emily Anderson
0,Hailey Finlay
0,Haley Swartz
0,Jillian Banziger
0,Kaiya Gordon
0,Kelly Huber
0,Kieran McClure
0,Kristin Weyenberg
0,Lauren Villasenor
0,Lauren DeRoco
0,Malia Gardner
0,Rosie Kostka
0,Sara Lassiter
0,Sophia Welch
0,Sydney Kane
0,Sydney Lanham
0,Crystal Lowery
0,Eliana Harnage
0,Elizabeth Donovan
18,Elizabeth  Strona
b,r,e,a,k
Princeton,23
0,Alexandria Bouchard
0,Angela Mao
0,Christine An
0,Danielle Fortuna
0,Dorothy Zhao
0,Emily Yu
0,Grace Cuenca
0,Iris Rukshin
0,Karen Ying
0,Kimberly Peterson
0,Kimberly Lu
0,Leslie Chan
0,Mayalen Brock
0,Miranda Hasty
0,Mona Clappier
0,Nora Bradley
0,Sarah Zhou
0,Yoko Urano
b,r,e,a,k
Pennsylvania (B),34
0,Caroline Melly
0,Julia Comer
0,Kira Flemke
4,Michelle Paolicelli
7,Emma Francis
9,Sophie Weich
14,Stephanie Walsh
20,Xiaodi Yang
23,Amy Yeung
31,Michele Gross
32,Emylee Fleshman
48,Erin Liebenberg
53,Sophia McKee
92,Francine Dong
98,Aubrey Luk
b,r,e,a,k
Brown,19
0,Anya Hong
0,Caroline Maker
0,Carolyn Lober
0,Clio Wohlgenant
0,Saoirse MaherGreene
0,Skye Brodsky
0,Sophia Sordilla
0,Suji Kim
0,Mariko Kishimoto
2,Clare Grossman
7,Nell Salzman
9,Abigail Skerker
10,Anna Aguto
12,Leah Shorb
20,Claire McEwen
21,Olivia Prosak
29,Jane Kruskop
31,Agnes Cheng
56,Lena Joesch-Cohen
78,Bess Renjilian
b,r,e,a,k
Liberty,22
7,Haley Fellhoelter
03,Anna Marie Hagerty
08,Lydia Vernon
09,Alexis Enders-Boykin
11,Taylor Thomas
12,Victoria Dissmore
13,McKenzie Ross
16,Casey Matthews
19,Samantha  Weber
23,Asha Gillette
24,Madeline McCoy
25,Sara Preast
29,Bethany Weldy
30,Mikayla DiSarle
32,Brianna Kuo
41,Charis Jantomaso
41,Jessica Tucker
44,Anna Barney
77,Evelyn Raingruber
b,r,e,a,k
Drexel,35
0,Alba Kupa
0,Alexis Matuson
0,Dorra Tahar
0,Izzy Heal
0,Layne Dodge
0,Lilly Dupuis
0,Mackenzie Pratt
0,Marissa Coolidge
0,Samantha Dorman
0,Tam Phi
0,Tram Le
0,Victoria Young
1,Francesca Corna
9,Tiffany Linh
14,Sophie Redila
25,Rheanna Congdon
b,r,e,a,k
Maryland,20
0,Abigail Toretsky
0,Amy Buck
0,Camille Burns
0,Catherine Heller
0,Gabriella Hochmuth
0,Ilana Herold
0,Jordan Roberts
0,Julia Kryger
0,Christin Cohee
0,Katherine Sanz
0,Keelyn Gallagher
0,Lauren Sitlinger
0,Maeve McKinney
0,Maryjean Hunter
0,Sarah Badawi
5,Cheryl Dombrowski
17,Juliet Bishop
37,Krista Schumm
64,Ciera Miller
b,r,e,a,k
MIT,21
0,Allison Huske
0,Amelia Meles
0,Amy Xiao
0,Ashley Chen
0,Fiona Gillespie
0,Jiaming Cui
0,Katherine Chun
0,Leanne Galanek
0,Serena Le
07,Kelly Chen
08,Serena Xu
10,Michelle Chen
13,Cynthia Ni
16,Madelyn Focaracci
18,Helen Li
23,Mary Zhong
24,Tamara Brabson
27,Saroja Erabelli
36,Amy Liu
46,Theresa Cloutier
81,Maggie Zhang
b,r,e,a,k
Virginia (B),36
0,Geneva  Weidhaas
0,Hannah Lederle-Ensign
0,Kira Baugh
0,Lata Goudel
0,Lauren Ivey
0,Manaal Khwaja
0,Meredith Palmore
0,Valerie Cyphers
7,Ashley Huang
08,Rachel Branman
22,Olivia Tate
b,r,e,a,k
s,t,a,g,e,s
pools,PP
pool,Pool A
Dartmouth,Virginia,13,5,"02/23/2019, 08:00",Pool A,Final
West Chester,Pennsylvania,9,7,"02/23/2019, 08:00",Pool A,Final
Dartmouth,Pennsylvania,7,1,"02/23/2019, 09:45",Pool A,Final
West Chester,Virginia,13,1,"02/23/2019, 09:45",Pool A,Final
Dartmouth,West Chester,7,3,"02/23/2019, 11:30",Pool A,Final
Virginia,Pennsylvania,3,7,"02/23/2019, 11:30",Pool A,Final
pool,Pool B
North Carolina,North Carolina State,13,7,"02/23/2019, 08:00",Pool B,Final
Tufts,Penn State,13,4,"02/23/2019, 08:00",Pool B,Final
North Carolina,Penn State,13,1,"02/23/2019, 09:45",Pool B,Final
Tufts,North Carolina State,10,11,"02/23/2019, 09:45",Pool B,Final
North Carolina,Tufts,12,8,"02/23/2019, 13:15",Pool B,Final
North Carolina State,Penn State,13,7,"02/23/2019, 13:15",Pool B,Final
pool,Pool C
Pittsburgh,North Carolina-Wilmington,10,7,"02/23/2019, 08:00",Pool C,Final
Ohio State,Michigan,13,4,"02/23/2019, 08:00",Pool C,Final
Pittsburgh,Michigan,9,2,"02/23/2019, 11:30",Pool C,Final
Ohio State,North Carolina-Wilmington,8,4,"02/23/2019, 11:30",Pool C,Final
Pittsburgh,Ohio State,4,9,"02/23/2019, 13:15",Pool C,Final
North Carolina-Wilmington,Michigan,9,1,"02/23/2019, 13:15",Pool C,Final
pool,Pool D
Catholic,George Mason,9,7,"02/23/2019, 09:45",Pool D,Final
Columbia,George Mason,13,3,"02/23/2019, 11:30",Pool D,Final
Columbia,Catholic,13,2,"02/23/2019, 13:15",Pool D,Final
pool,Pool E
Virginia Tech,North Carolina (B),9,4,"02/23/2019, 09:45",Pool E,Final
Case Western Reserve,North Carolina (B),13,2,"02/23/2019, 11:30",Pool E,Final
Case Western Reserve,Virginia Tech,11,8,"02/23/2019, 13:15",Pool E,Final
pool,Pool F
Ohio,Hometown Heroes (High School),4,10,"02/23/2019, 09:45",Pool F,Final
Kennesaw State,Hometown Heroes (High School),9,10,"02/23/2019, 11:30",Pool F,Final
Kennesaw State,Ohio,8,13,"02/23/2019, 13:15",Pool F,Final
pool,Pool G
Oberlin,Michigan (B),13,2,"02/23/2019, 09:45",Pool G,Final
Duke,Michigan (B),13,0,"02/23/2019, 11:30",Pool G,Final
Duke,Oberlin,5,9,"02/23/2019, 13:15",Pool G,Final
pool,Pool H
Delaware,Elon,13,3,"02/23/2019, 09:45",Pool H,Final
Florida State,Elon,13,1,"02/23/2019, 11:30",Pool H,Final
Florida State,Delaware,8,9,"02/23/2019, 13:15",Pool H,Final
pool,Pool I
Princeton,Pennsylvania (B),12,3,"02/23/2019, 09:45",Pool I,Final
James Madison,Pennsylvania (B),12,0,"02/23/2019, 11:30",Pool I,Final
James Madison,Princeton,12,3,"02/23/2019, 13:15",Pool I,Final
pool,Pool J
Liberty,Drexel,12,6,"02/23/2019, 09:45",Pool J,Final
Brown,Drexel,11,4,"02/23/2019, 11:30",Pool J,Final
Brown,Liberty,10,4,"02/23/2019, 13:15",Pool J,Final
pool,Pool K
MIT,Virginia (B),13,2,"02/23/2019, 09:45",Pool K,Final
Maryland,Virginia (B),13,0,"02/23/2019, 11:30",Pool K,Final
Maryland,MIT,11,8,"02/23/2019, 13:15",Pool K,Final
b,r,e,a,k
brackets,BP
bracket,CHAMPIONSHIP BRACKET
Dartmouth,Ohio State,0,1,"02/24/2019, 15:00",FINALS,Final
Dartmouth,Pittsburgh,8,6,"02/24/2019, 13:15",SEMIS,Final
North Carolina,Ohio State,9,11,"02/24/2019, 13:15",SEMIS,Final
Dartmouth,North Carolina-Wilmington,13,8,"02/24/2019, 09:45",QUARTERS,Final
Pittsburgh,North Carolina State,12,9,"02/24/2019, 09:45",QUARTERS,Final
North Carolina,Michigan,13,1,"02/24/2019, 09:45",QUARTERS,Final
Ohio State,West Chester,12,8,"02/24/2019, 09:45",QUARTERS,Final
Dartmouth,Oberlin,13,5,"02/24/2019, 08:00",PRE-QS,Final
Tufts,North Carolina-Wilmington,7,13,"02/24/2019, 08:00",PRE-QS,Final
Pittsburgh,Columbia,13,8,"02/24/2019, 08:00",PRE-QS,Final
North Carolina State,Virginia,12,11,"02/24/2019, 08:00",PRE-QS,Final
North Carolina,Hometown Heroes (High School),12,4,"02/24/2019, 08:00",PRE-QS,Final
Pennsylvania,Michigan,9,10,"02/24/2019, 08:00",PRE-QS,Final
Ohio State,Brown,13,2,"02/24/2019, 08:00",PRE-QS,Final
West Chester,Penn State,13,10,"02/24/2019, 08:00",PRE-QS,Final
Oberlin,Delaware,12,11,"02/23/2019, 15:00",PLAY-IN,Final
Columbia,Maryland,11,9,"02/23/2019, 15:00",PLAY-IN,Final
Hometown Heroes (High School),James Madison,12,7,"02/23/2019, 15:00",PLAY-IN,Final
Case Western Reserve,Brown,6,11,"02/23/2019, 15:00",PLAY-IN,Final
bracket,T-9TH (1)
Oberlin,Tufts,6,13,"02/24/2019, 11:30",T-9TH (1),Final
bracket,T-9TH (2)
Columbia,Virginia,9,13,"02/24/2019, 11:30",T-9TH (2),Final
bracket,T-9TH (3)
Hometown Heroes (High School),Pennsylvania,10,9,"02/24/2019, 11:30",T-9TH (3),Final
bracket,T-9TH (4)
Brown,Penn State,11,12,"02/24/2019, 11:30",T-9TH (4),Final
b,r,e,a,k
brackets,BP
bracket,21ST PLACE
Florida State,Duke,6,8,"02/24/2019, 13:15",21ST PLACE,Final
Catholic,Florida State,7,12,"02/24/2019, 11:30",21ST SEMIS,Final
Liberty,Duke,6,12,"02/24/2019, 11:30",21ST SEMIS,Final
MIT,Catholic,10,12,"02/23/2019, 16:45",21ST QUARTERS,Final
Florida State,Ohio,13,8,"02/23/2019, 16:45",21ST QUARTERS,Final
Liberty,George Mason,13,12,"02/23/2019, 16:45",21ST QUARTERS,Final
Princeton,Duke,0,13,"02/23/2019, 16:45",21ST QUARTERS,Final
MIT,Drexel,13,0,"02/23/2019, 15:00",21ST PRE-QS,Final
Catholic,North Carolina (B),13,0,"02/23/2019, 15:00",21ST PRE-QS,Final
Florida State,Pennsylvania (B),9,0,"02/23/2019, 15:00",21ST PRE-QS,Final
Ohio,Michigan (B),13,1,"02/23/2019, 15:00",21ST PRE-QS,Final
Liberty,Virginia (B),10,3,"02/23/2019, 15:00",21ST PRE-QS,Final
Virginia Tech,George Mason,12,13,"02/23/2019, 15:00",21ST PRE-QS,Final
Princeton,Elon,13,3,"02/23/2019, 15:00",21ST PRE-QS,Final
Duke,Kennesaw State,13,0,"02/23/2019, 15:00",21ST PRE-QS,Final
bracket,23RD PLACE
Catholic,Liberty,7,12,"02/24/2019, 13:15",23RD PLACE,Final
bracket,25TH PLACE
MIT,Princeton,8,7,"02/24/2019, 11:30",25TH PLACE,Final
MIT,Ohio,10,9,"02/24/2019, 09:45",25TH SEMIS,Final
George Mason,Princeton,7,13,"02/24/2019, 09:45",25TH SEMIS,Final
bracket,27TH PLACE
Ohio,George Mason,13,4,"02/24/2019, 11:30",27TH PLACE,Final
bracket,29TH PLACE
Drexel,Pennsylvania (B),0,0,"02/24/2019, 09:45",29TH SEMIS,Cancelled
Virginia Tech,Kennesaw State,0,0,"02/24/2019, 09:45",29TH SEMIS,Cancelled
Drexel,North Carolina (B),7,3,"02/23/2019, 16:45",29TH QUARTERS,Final
Pennsylvania (B),Michigan (B),13,6,"02/23/2019, 16:45",29TH QUARTERS,Final
Virginia (B),Virginia Tech,2,13,"02/23/2019, 16:45",29TH QUARTERS,Final
Elon,Kennesaw State,7,13,"02/23/2019, 16:45",29TH QUARTERS,Final
bracket,31ST PLACE
bracket,33RD PLACE
North Carolina (B),Elon,13,5,"02/24/2019, 13:15",33RD PLACE,Final
North Carolina (B),Michigan (B),13,1,"02/24/2019, 09:45",33RD SEMIS,Final
Virginia (B),Elon,5,10,"02/24/2019, 09:45",33RD SEMIS,Final
bracket,35TH PLACE
Michigan (B),Virginia (B),7,6,"02/24/2019, 13:15",35TH PLACE,Final
b,r,e,a,k
brackets,17TH PP
bracket,17TH PP
Delaware,Maryland,10,3,"02/23/2019, 16:45",17TH PP,Final
bracket,17TH PP
James Madison,Case Western Reserve,13,9,"02/23/2019, 16:45",17TH PP,Final
bracket,17TH PP
Delaware,Case Western Reserve,11,6,"02/24/2019, 11:30",17TH PP,Final
bracket,17TH PP
Maryland,James Madison,9,8,"02/24/2019, 11:30",17TH PP,Final
bracket,17TH PP
Delaware,James Madison,9,2,"02/24/2019, 15:00",17TH PP,Final
bracket,17TH PP
Maryland,Case Western Reserve,1,0,"02/24/2019, 15:00",17TH PP,Final
b,r,e,a,k
brackets,29TH PP
bracket,29TH PP [1]
Drexel,Pennsylvania (B),12,5,"02/24/2019, 09:45",29TH PP [1],Final
bracket,29TH PP [2]
Drexel,Kennesaw State,2,13,"02/24/2019, 11:30",29TH PP [2],Final
bracket,29TH PP [3]
Kennesaw State,Pennsylvania (B),9,1,"02/24/2019, 13:15",29TH PP [3],Final
b,r,e,a,k
