Black Penguins Classic 2019,College - Men ,30,3,2019
Manteno,IL,2019-03-30,2019-03-31
https://play.usaultimate.org/events/Black-Penguins-Classic-2019/schedule/Men/CollegeMen/
Black Penguins Alumni,1
07,Nathan Sevenish
10,Blake Altstadt
14,Trevor Haub
18,Benjamin Glordan
20,Rafael Gonzalez
23,Connor Ricketts
30,Chase  Mosser 
37,Montana Muehlbauer
77,Jack Anderson
88,Connor Modglin
b,r,e,a,k
Saint Louis,2
teamInfo,Archangel,"St. Louis, Missouri",,,
0,John Wooldridge
02,William Drexler
03,Brian Schweinhart
05,Joey  Schlueter 
10,Christopher Parma
11,Nicholas Whitesides
13,Daniel Stork
18,Julian Saliba
19,Jason Rohlfing
20,Carl Pickhardt
23,Zach Joswiak
24,John Carey
26,Nick Hornal
32,Charles Elliott
34,Scott Lambert
64,Ryland Tunney
77,Declan Byrne
88,Troy Lensing
95,Karl Lehmkuhl
99,Joshua Jordan
b,r,e,a,k
Iowa State (B),7
teamInfo,Yeastie Boys,"Ames, Iowa",http://www.isucultimate.com/,https://www.facebook.com/IowaStateUltimate,https://twitter.com/UltimateISU
0,Alex Berryhill
0,Blake Daniel Julius
0,Brandon Wyttenbach
0,Jacob Welton
0,Jaden Alamsya
0,Michael Rydel
0,Nicholas Lintz
0,William Johns
2,Daniel Neese
3,Ronan Duffy
4,Benton Habel
10,Marshall Penn
11,Piers Collier
13,Eli Dunn
14,Konner Brickey
21,Cam Hoag
41,Brian Goode
50,Clay Hugen
55,Michael Guckeen
72,Nick Rieger
87,Nicholas Wood
b,r,e,a,k
Notre Dame (B),18
teamInfo,Opus D's,"Notre Dame, Indiana",,,
0,Andrew Connor
0,andy powers
0,Christopher Susco
0,Connor Green
0,Ian Cornelius
0,Matthew Neal
0,Matthew Souder
0,Michael Miramontes
0,Philip Hough
0,Ryan Green
0,Ryan Farrow
0,Sean McGuinness
0,Thomas Stafford
0,Thomas Connor
0,Vaibhav Mopidevi
0,Robert Crawford
1,Edward Nagy
5,James Caggiano
6,Matt Tressler
13,Ryan Quintal
16,Andre Catao
20,Kent Hardart
24,Ian Daley
25,David Kalamarides
35,Kevin McNerney
38,Brian Donahoe
47,Pierce Witmer
69,Connor Wozniak
97,Jack Reddan
b,r,e,a,k
Kentucky (B),10
teamInfo,Kentucky ,"Lexington, Kentucky",http://www.kyultimate.com/,,https://twitter.com/KYUltimate
0,Jonathan Houlihan
0,Joseph Neuzel
0,Luke Mullikin
0,Mark Lawhorn Jr
0,Schuyler Vanfleet
0,Solomon Higgs
17,Carsen Clouser
18,Jacob Barrett
24,Adam Sherberg
26,James  Croom
28,Daniel Ma
37,Ryan Johnsson
42,Jared Trejo
47,Robert Fortenberry
49,Charlie Davis
69,Brennen Clark
98,LJ Spurlock
b,r,e,a,k
Illinois-Chicago,15
teamInfo,Juice ,"Chicago , Illinois",,https://www.facebook.com/UICUltimateFrisbee/,https://twitter.com/UIC_Utimate
0,Francis Kowara
0,Greg Baranov
0,Ian Patete
0,Jack Gaughan
0,Chris Zhou
0,Erick Calderon
0,Jason Schlicher
0,John Stark
0,Kaleb Parks
0,Philip Schulz
2,Tyrese Wetzel
4,Jeet Raol
16,Moses Oh
17,Eriq Adams
21,Levi Severson
22,Joe Spengel
31,Jaime Bazan
33,Kyle  Ezell
35,Ryan Kern
40,Zachary Boehm
92,Bryan Eisenhard
b,r,e,a,k
Knox,3
teamInfo,River Rats,"Galesburg, Illinois",,,
0,Andrew Hind
02,Ezra Schley
03,Alec  Auston
05,Joel Willison
06,August Lindberg
08,Ibrahim Sakrani
10,Aditya Siddharth
11,Dan Briggs
12,Gavin Douglas
13,Garrett Trimble
14,Luis Borrero
15,Esteban Lopez
17,Charles Mennerick
18,Dmitri Chambers
19,Evan Economos
21,Jonathan Schrag
22,Isaac Hughes
24,Alexander Hegg
25,David Zavala
27,Jack Harman
29,Akash Patel
30,Fernando Medrano
37,An Ly Nguyen
38,Peter Driscoll
44,Robin Thompson
48,Aldo Portillo
63,Alan Gallo
64,Christopher Wong
66,Lake Luthy
81,Sam Beem
89,Connor Weeks
97,Benjamin Rutter
b,r,e,a,k
North Park,6
teamInfo,Lost Boys,"Chicago, Illinois",,https://www.facebook.com/nplostboys,https://twitter.com/NPLostBoys
coaches,Bradley Johnson
1,Trent Cairns
2,Nathan Werling
3,Ryan Almer
5,Jack Redding
7,Daniel Dwight
8,Tim Clark
9,Jun Seok  Chun
10,Gavin Johnson
11,Andrew Kim
12,Justus Jagodzinske
13,Cory Wallace
19,Joshua Crozier
19,Derek Johnson
22,Benjamin Horstman
26,Isaac Torres
28,Noah Whitney
38,Justin Tuell
47,Payton Walles
55,Noah Swanson
88,Jonathan Madera
99,Joel Beyar
b,r,e,a,k
Western Michigan,14
teamInfo,Dark Horse,"Kalamazoo, Michigan",,,https://twitter.com/DarkHorseUlt
0,Brendan Parzynski
0,Simeon Britting
2,Joseph Marentette
4,Garrett Davis
5,Zachary Turner
7,Matthew Perez
8,Evan Esper
9,Benjamin Dickens
15,Andrew Ambs
17,Jared Winters
18,Adrian Sokol
19,Keeton Bigham-Tsai
24,Patrick Bartolotta
28,Derek Zagon
40,Allen Britton
49,Scott Fish
54,Elijahwa Ninnemann
77,Garrison Gracey
81,Alec DenBraber
b,r,e,a,k
Northern Michigan,11
teamInfo,Riptide,"Marquette, Michigan",http://www.nmu.edu/sportsrecsports/node/85,https://www.facebook.com/WildcatsUltimate,
0,Alec Kraushaar
0,Andrew Bakker
0,Andrew Laatsch
0,Andrew Kempke
0,Caden Reed
0,Curtis Painter
0,Matthew Alanskas
0,Matthew Mickey
0,Shaun Lohman
9,Dylan  Steslicki
30,Austin Masselink
36,Maxwell Mraz
55,Caden Klanderman
69,Noah Evans
b,r,e,a,k
Eastern Illinois,19
teamInfo,Reaper,"Charleston, Illinois",http://reaperultimate.weebly.com/,,
0,Ben Nerad
0,Craig Roberts
0,Fisher Overstreet
0,Jacob Lowe
0,Michael Barnes
1,Nolan Webb
1,Daniel Peterson
3,Eli Ruter
8,Samuel Damon
9,Alek McMath
10,Tyler Rice
12,Jacob Jurasek
14,James Porzio
21,Blake Eggleston
26,Tye Auton
40,Nicholas Bamert
46,Patrick Brady
59,Garrett Gerdes
b,r,e,a,k
Valparaiso,5
teamInfo,Vult,"Valparaiso, Indiana",,https://www.facebook.com/ValpoUltimate,https://twitter.com/ValpoUltimate
0,Braden Updike
1,Kade  Kovarik
2,Benjamin Ratschan
5,Tanner Lee Gesell
6,David-Paul Schulze
8,James Rolland
9,Noah Niesen
11,Reid Gleason
12,Timothy Carpenter
17,Adam Albertin
21,Scott Stonis
23,Michael Boyajian
24,Adam Scheuman
24,Brian Barrett
28,Brian Schmit
34,John Readdy
37,Mike  Soldan
39,Nathaniel DeGoede
44,Samuel Rookstool
48,Vincent Leonard
63,Francisco Vazquez
97,Isaac Jauch
99,Kyle Langreck
b,r,e,a,k
Wheaton (Illinois),4
teamInfo,Mastodon,"Wheaton, Illinois",,,https://twitter.com/wheatonmastodon
02,Carlson Chiles
05,Johnny Humphrey
06,Joel Armstrong
07,Grayson McCoy
08,Erik Ostrem
10,Ethan Fong
11,Donovan Gleeson
12,Ryan Jacobsen
13,Andrew Backer
15,Chris Eaker
16,Nathaniel Van Eeckhout
17,John Bayer
20,Will Huffman
21,Ryan Van Dyke
24,Jadmin Aspegren
26,Matthew Golz
27,Charlie Primuth
28,Jacob  Buterbaugh 
29,Daniel Sedlacek
30,Caleb Yoder
40,Christian Rothrock
44,Jonathan Larson
71,Andrew Reay
77,Paul Wearden
90,Asher Bernardi
91,Matthew Wilhite
99,Thomas Chung
b,r,e,a,k
Rose-Hulman,13
teamInfo,Elephantitis,"Terre Haute, Indiana",,,@rhitultimate
0,Arthur Cheney
0,August Dailey
0,Ben Linxwiler
0,Christopher Miller
0,Eric Moorman
0,Evan Elliott
0,Gabe Severyn
0,Jason Meyer
0,Katherine Meyer
0,Liang Jia
0,Luke Greenwood
0,Michael Hall
0,Nathaniel Lehrer
0,Owen Land
0,Timmy D'Avello
0,Zachary Payton
1,Clayton Richards
2,Neil Roy
9,Stephen Yoder
16,Taylor Chatfield
20,Wesley Umbower
28,Knut Peterson
71,Worden Barr
b,r,e,a,k
Marquette (B),12
teamInfo,Birdfeeder,"Milwaukee, Wisconsin",,,
01,Kyle Wolf
04,Matt McGuire
08,Yianni Wiechering
09,Nicholas Woida
14,William Scheuerman
26,Jacob Edwards
30,Michael Starosta
87,David Castillo
89,Denny Malec
b,r,e,a,k
Dayton (B),20
teamInfo,Dayton FLUD B,"Dayton, Ohio",,,
0,Adam Lemming
0,Nathan Liptak
0,Nathanial McClelland
0,Steven Shamblen
0,Zachary Vill
18,Henry Johnson
99,Stephen Pressley
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Indiana Wesleyan,Butler,3,13,"03/30/2019, 09:00",Pool A,Final
Olivet Nazarene,Southern Indiana,11,8,"03/30/2019, 09:00",Pool A,Final
Black Penguins Alumni,Southern Indiana,13,2,"03/30/2019, 10:30",Pool A,Final
Olivet Nazarene,Indiana Wesleyan,9,7,"03/30/2019, 10:30",Pool A,Final
Black Penguins Alumni,Butler,13,6,"03/30/2019, 12:00",Pool A,Final
Southern Indiana,Indiana Wesleyan,6,8,"03/30/2019, 12:00",Pool A,Final
Black Penguins Alumni,Indiana Wesleyan,13,0,"03/30/2019, 13:30",Pool A,Final
Olivet Nazarene,Butler,10,12,"03/30/2019, 13:30",Pool A,Final
Black Penguins Alumni,Olivet Nazarene,13,2,"03/30/2019, 15:00",Pool A,Final
Southern Indiana,Butler,4,13,"03/30/2019, 15:00",Pool A,Final
pool,Pool B
Saint Louis,Notre Dame (B),13,2,"03/30/2019, 09:00",Pool B,Final
Kentucky (B),Illinois-Chicago,8,5,"03/30/2019, 09:00",Pool B,Final
Saint Louis,Kentucky (B),11,1,"03/30/2019, 10:30",Pool B,Final
Iowa State (B),Illinois-Chicago,8,9,"03/30/2019, 10:30",Pool B,Final
Illinois-Chicago,Notre Dame (B),6,8,"03/30/2019, 12:00",Pool B,Final
Iowa State (B),Kentucky (B),8,2,"03/30/2019, 12:00",Pool B,Final
Saint Louis,Illinois-Chicago,13,2,"03/30/2019, 13:30",Pool B,Final
Iowa State (B),Notre Dame (B),5,4,"03/30/2019, 13:30",Pool B,Final
Saint Louis,Iowa State (B),13,2,"03/30/2019, 15:00",Pool B,Final
Kentucky (B),Notre Dame (B),4,6,"03/30/2019, 15:00",Pool B,Final
pool,Pool C
Knox,Eastern Illinois,13,4,"03/30/2019, 09:00",Pool C,Final
Northern Michigan,Western Michigan,6,10,"03/30/2019, 09:00",Pool C,Final
Knox,Northern Michigan,13,2,"03/30/2019, 10:30",Pool C,Final
North Park,Western Michigan,12,7,"03/30/2019, 10:30",Pool C,Final
Western Michigan,Eastern Illinois,7,6,"03/30/2019, 12:00",Pool C,Final
North Park,Northern Michigan,11,7,"03/30/2019, 12:00",Pool C,Final
Knox,Western Michigan,12,3,"03/30/2019, 13:30",Pool C,Final
North Park,Eastern Illinois,13,2,"03/30/2019, 13:30",Pool C,Final
Knox,North Park,10,7,"03/30/2019, 15:00",Pool C,Final
Northern Michigan,Eastern Illinois,9,0,"03/30/2019, 15:00",Pool C,Final
pool,Pool D
Wheaton (Illinois),Dayton (B),13,5,"03/30/2019, 09:00",Pool D,Final
Marquette (B),Rose-Hulman,9,11,"03/30/2019, 09:00",Pool D,Final
Wheaton (Illinois),Marquette (B),11,5,"03/30/2019, 10:30",Pool D,Final
Valparaiso,Rose-Hulman,13,4,"03/30/2019, 10:30",Pool D,Final
Rose-Hulman,Dayton (B),13,4,"03/30/2019, 12:00",Pool D,Final
Valparaiso,Marquette (B),13,2,"03/30/2019, 12:00",Pool D,Final
Wheaton (Illinois),Rose-Hulman,13,6,"03/30/2019, 13:30",Pool D,Final
Valparaiso,Dayton (B),13,2,"03/30/2019, 13:30",Pool D,Final
Wheaton (Illinois),Valparaiso,3,13,"03/30/2019, 15:00",Pool D,Final
Marquette (B),Dayton (B),13,5,"03/30/2019, 15:00",Pool D,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Southern Indiana,Eastern Illinois,11,12,"03/31/2019, 09:00",Pool E,Final
Illinois-Chicago,Dayton (B),10,7,"03/31/2019, 09:00",Pool E,Final
Southern Indiana,Dayton (B),11,7,"03/31/2019, 11:00",Pool E,Final
Illinois-Chicago,Eastern Illinois,11,2,"03/31/2019, 11:00",Pool E,Final
Southern Indiana,Illinois-Chicago,5,11,"03/31/2019, 13:00",Pool E,Final
Eastern Illinois,Dayton (B),W,F,"03/31/2019, 13:00",Pool E,Final
b,r,e,a,k
clusters,Consolation Crossover
cluster,Consolation Crossover
Rose-Hulman,Indiana Wesleyan,11,5,"03/31/2019, 09:00",,Final
Saint Louis,Western Michigan,12,9,"03/31/2019, 09:00",,Final
Saint Louis,Indiana Wesleyan,9,1,"03/31/2019, 09:00",,Final
Rose-Hulman,Western Michigan,11,9,"03/31/2019, 09:00",,Final
b,r,e,a,k
