Northeast College Mixed Regional Championship,College - Mixed ,2,11,2019
https://play.usaultimate.org/events/Northeast-College-Mixed-Regional-Championship-2019/schedule/mixed/College-Mixed/
Somerville,1
0,Jeremy McDavid
0,Logan Shore
0,Maura Radigan
0,Nicole McCullough
0,Olivia Hoyt
0,Sophia Keins
0,Sophie Shen
1,Zach Wolfe
1,Colin Groh
4,Camden Bickel
7,Jakob Farnham
11,Arielle Nelson
15,Scott Carney
38,Morgan Daciuk
42,Gabe Dobles
45,Matthew Cook
64,Benjamin Centracchio
98,Grainne Casey
b,r,e,a,k
Vermont,5
0,Charlotte Laseter
0,Eli Standard
0,Bettina Fahndrich
0,Caroline Green
0,Turner Allen
4,Aidan Deane
11,Allison Huresky
13,Ethan  Jablonow 
22,John Sickles
33,Ryan Dinger
33,Sarah Rose
33,Stephen Donahue
33,Greta Pellerin
33,Carson Kurtz-Rossi
33,Ashley Brogan
33,Ben Mitchell
33,Eliana Moskovitz
33,Emily Bridgers
33,Emma Massey
33,Walden Ng
b,r,e,a,k
Yale University,13
0,Katherine Furland
0,Rebecca Schapiro
00,Robert  Luo
00,Seho Young
00,Leo Lehrer-Small
00,Lucie Warga
00,Mac Schmidt
00,Masayuki Nagase
00,Rachel Coile
00,Anri Chomentowska
00,Daniel Monteagudo
00,Ellie Jose
00,Ian Denzer
00,Ivy Fan
00,Jake Levin
00,Joseph Lybik
00,Wilhelmina Graff
02,Kristen Brown
11,Anthony Ji
23,Amelia Farinas
64,Shannon Phuah
b,r,e,a,k
Colby College,12
0,Lanie Kropp
0,Lauren Gervais
0,Lauren Moriarty
0,Madeline Brodrick
0,Marjorie McDonough
0,Matthew Johnson
0,Natalie Joyce
0,Sally Simpson
0,Addie Thompson
0,Alan Leggett
0,Alec Jacobson
0,Bennett Allen
0,Ella Walton
5,Ethan vanderWilden
13,Ben Retik
26,Anna Shorb
60,Scott Batchelder
b,r,e,a,k
Northeastern,20
0,Ashley Wong
0,Briana Ross
0,Derrick Salvatore
0,Duschia Bodet
0,Eva Power
0,Gabriella Fernando-McKinley
0,Henry Stock
0,Jeremy McDavid
0,Logan Shore
0,Maura Radigan
0,Nicole McCullough
0,Olivia Hoyt
0,Sophia Keins
0,Sophie Shen
1,Zach Wolfe
1,Colin Groh
4,Camden Bickel
7,Jakob Farnham
11,Arielle Nelson
15,Scott Carney
38,Morgan Daciuk
42,Gabe Dobles
45,Matthew Cook
64,Benjamin Centracchio
98,Grainne Casey
b,r,e,a,k
Brown University,4
0,Abigail Shepler
0,Aidan Cassel-Mace
0,Ashley Battenberg
0,Chloe  Wray
0,Daniel Tompkins
0,Emma Kaufman
0,Guillaume Pagnier
0,John Graves
0,Mariko Kishimoto
0,Michelle Adler
0,Morgann Thain
0,Ronan Fitzgerald
0,Saoirse MaherGreene
0,Sarah Zylberfuden
0,Sophia Sordilla
0,Sophie Kush
0,Suji Kim
0,Talon Johnson
7,Nell Salzman
12,David Coady
13,Alex Liu
20,Claire McEwen
21,Alexander Philips
24,Jacques Nissen
42,Leo Gordon
b,r,e,a,k
Hampshire College,29
0,Adelle Pitsas
0,Alaric Beal
0,Ben Grady
0,Colin Samuel
0,Colin McIntire
0,Hannah Hausen
0,Julia Griner
0,Lucia Gerber Brydolf
0,Max Turner
0,Sasha Benson
0,Soren Moesswilde
0,Willoughby Carlo
b,r,e,a,k
Springfield College,37
0,Luccia Feraco
0,Michael Hernandez
1,Nathan Warszawski
1,Victoria Baker
1,Will Ploski
1,Zakary Zequeira
1,Matthew Miller
1,Conor Clune
1,Dan Roumeliotis 
1,Erin Richards
1,Ethan Barker
1,Glen Cherry
1,Grady Short
1,Jessica Van Horn
1,Kacper Kisala
1,Lindsey Corning
1,Andrew Stratton
1,Aymen Tayoubi-Idrissi
1,Carter Brochu
1,Christine Dabek
2,Carter Scally
2,Nathan Claussen
7,Sebastian Martin
10,Alberto Morales-Fernandez
16,Christopher O'Brien
17,Ryan Welch
22,Aaron Almeda
24,Emma Krish
27,Qameron Mendez-Neff
31,Alex Mendez
b,r,e,a,k
Brandeis University,28
0,Adam Dean
0,Allie Mundis
0,Jackie Mundis
0,Lauren Lindman
0,Micah Alexander
0,Sarah Abramson
14,August Soderberg
18,Noam Gumerman
20,Jacob Smith
97,Oliver Daniels-Koch
b,r,e,a,k
Wesleyan,21
0,Benjamin Kline
0,Bryan Chong
0,Guy Bennevat Haninovich
0,Jacob Byers
0,Matthew Cross
0,Mitzi Adler-Wachter
0,Nathan Baron Silvern
0,Nathaniel Graber
0,Oliver Cope
0,Sam Libberton
0,Sam Multer
0,Sarah Wu
0,Shira Yeskel-Mednick
0,Teddy Wright
3,Emmet Sherman
9,Gavin Willis
13,Julia Kahn
13,Tenley Abbott
27,Ben Grissmer
41,Henrik Palmer
67,Zack Hersh
b,r,e,a,k
Bard,36
00,Albert Rosario-Pichardo
00,Anyata Hamilton
00,Christina Secor
00,Emily Han
00,Ethan Haapala
00,Hayden Dearing
00,Jack Carson
00,August Alsina
00,Kai Harwood
00,Lia  Solensten
00,Molly Rockwood
20,Renata Pepi
b,r,e,a,k
Providence College,30
0,Hunter Bradbury
0,Jennifer Wilson
0,Joanna Meyer
0,Kevin Cargos
0,Lizzie Hall
0,Ryan Lynch
0,Sarah Heavren
1,Anthony Bettencourt
2,Justin McNiff
4,Jonathan Pekkarinen
7,jack mccormick
16,Jacob Low
22,Lilly Swan
25,Kevin Lynch
32,Madeleine Bristow
36,Jared Lewis
77,Bryan Chaffee
b,r,e,a,k
Clark University,27
0,Anthony Himmelberger
0,Beatriz Bittenbender
0,Charles Poff-Webster
0,Daniel Anderson 
0,Finn Lundy
0,Jeremy Maltz
0,Laddy DeLuca Lowell
0,Owen Erickson
0,Sylvan Norris
0,Tara Stein
13,Clara Walsh
23,Matthew Pacenka
57,Henry Brown
69,Ash del Carmen
b,r,e,a,k
Amherst College,22
0,Julia Burnett
0,Julian Brubaker
0,Julian Erickson-Watson
0,Kayla Hall
0,Maja Johnson
0,Martin Glusker
0,Max Fox-Jurkowitz
0,Maya Bulos
0,Petra Zuniga
0,Alison Farinas
0,Anne Marie Langan
9,Henry Walker
85,Sam Schulz
b,r,e,a,k
Sarah Lawrence College,35
0,Gill Hartley
0,Grace Cabral
0,Jessica Schreer
0,Corinne Evans
0,Elias Holmquist
0,Shea Baumgarner
0,Tamao  Chika
2,Elise Terner
18,Manuel Divino
18,Michael Nathenson
b,r,e,a,k
Roger Williams,31
01,Dean Bullock
03,Alex Johnson
06,Sierra Gorkun
13,Megan Goldschneider
16,Joseph Gioffre
18,Bryanna DiPaolo
25,Stephen Curran
32,Jaime Greatorex
42,Katherine Johnson
44,Wren Smith
47,Rob Lamarre
50,Jasmine Leavitt
75,Jason Fontaine
b,r,e,a,k
Keene State College,34
3,Corinn Colford
6,Ethan  Platt
8,Marc Lundy
11,Gianni DeMasco
14,Sophie Chaisson
15,Alyssa Grant
16,Jackson Turni
18,Sarah Smith
25,Samantha  Dost
31,Griffin Ell
33,Curtis Patsiga
37,Josh Fellows
48,Brendan Dana
55,McCabe Feerick
63,Robert Fox
78,Andrew Higgins
84,Matthew Maguire
99,Jiana Lotito
b,r,e,a,k
Torpedo Kidz,23
0,Max Woolf
0,Jonah Zuckerman
0,Kenia French
0,Laurel Bliss
0,Mikael Hadeshian
0,Nancy Kissinger
0,Olive Garst
0,Philip Sprague
0,Rebecca Gertler
0,Sajani Clerk
0,Shale Hunter
0,Teagan Hart
0,Ty Vinick
0,Varun Shah
0,Carol Rossell
0,Caroline Cohen
7,Brian Strothman
21,Ethan Schreiber
24,Danny Nguyen
88,Benjamin McDermott
b,r,e,a,k
Vassar,26
0,Brett Rabine
0,Bryan Wen
0,Chiara Cioli Puviani
0,Cooper Olds
0,Janet McAllister
0,Katie Spear
0,Mackenzie Nielsen
0,Michelle Kang
0,Phoebe Kinder
0,Tomas Guardia
b,r,e,a,k
Emerson,33
0,Harvey Kelley
0,Jacob Sockett
0,Jonathon Lassa
0,Leilani  Lai
0,Tatum Jenkins
0,Youran Cai
4,Emma Sawyer
00,Jacob Wasserman
00,Andie Wong
00,Andrew Reed
00,Angel Salcedo
00,Cameron Barth
00,Christopher Duncan
00,Jared Colbert
00,Zach  Cargie
00,Truman Segal
03,Karla Brady
07,Roberto Alvaro
08,Elvis Chen
19,Ryan Watts
19,Victoria Purcell 
21,Jamie Leuchs-Curtis
24,Max Murphy
25,Hadassah Broughton-DeLong
39,Jared Merrifield
50,Kate Nelson
b,r,e,a,k
Vermont (B),24
0,Chrystina Bonelli
0,Evan Barker
0,Grace Valickis
0,Natalie Connor
0,Richie Abbott
0,Sophie Germain
2,Marijella Collins
23,Joshua Katz
25,Aidan FitzGerald
25,Isabella Weston
b,r,e,a,k
SUNY-New Paltz,25
0,Adam Tillman
0,Caroline Casparian
0,Denver Snyder
0,Julia Dunlavey 
0,Marko Gvozdenovic
0,Naoki Matsushima
0,Noah Shaw
2,Seth Fontan
2,Kiara Vedovino
3,Edward Moran
4,Matthew Capone
9,Victoria Robustello
11,Adam Greenberg
11,Haley Nilson
12,Dylan McCarty
13,Liam McCarthy
14,Liam Weeks
16,Gabriel Kave
17,Alex Tacopina
25,Zachary Reifschneider
36,Lindsay Ork
61,Erin Gallagher
72,Meryl Skoog
73,Marlena Doerr
82,Ari Cummings
88,Gabriel Buck
94,Justin Rosado
b,r,e,a,k
St Lawrence,32
0,Anna Dieffenbach
0,Cailani Lemieux Mack
0,Cameron Warren
0,Frances Whyte
0,Jason Angelos
0,Keenan Wilson
2,Trent Meyer
05,Andrew Dykstra
08,Maddy Bishop
13,Brock Meaker
14,Acacia Farber-Krug
16,Stephanie Sauve
18,Conner Shumway
26,John Hoefler
36,Joshua Epstein
37,Amber Jones
40,James Lehner
42,Heinrich Salzmann
45,Shannon Pyne
71,Eduardo Puerta
82,Quinlan Ashmore
88,Joshua Elmer
b,r,e,a,k
s,t,a,g,e,s
pools,A Division Pool Play
pool,Pool A
Somerville,Brandeis University,15,0,"11/02/2019, 09:00",Pool A
Bates College,Boston University,8,9,"11/02/2019, 09:00",Pool A
Somerville,Bates College,14,5,"11/02/2019, 10:30",Pool A
Harvard,Boston University,11,12,"11/02/2019, 10:30",Pool A
Boston University,Brandeis University,15,4,"11/02/2019, 12:00",Pool A
Harvard,Bates College,10,11,"11/02/2019, 12:00",Pool A
Somerville,Boston University,15,4,"11/02/2019, 13:30",Pool A
Harvard,Brandeis University,13,3,"11/02/2019, 13:30",Pool A
Somerville,Harvard,15,3,"11/02/2019, 15:00",Pool A
Bates College,Brandeis University,12,4,"11/02/2019, 15:00",Pool A
pool,Pool B
Dartmouth College,Brown University,15,7,"11/02/2019, 09:00",Pool B
Williams College,MIT,11,6,"11/02/2019, 09:00",Pool B
Dartmouth College,Williams College,15,8,"11/02/2019, 10:30",Pool B
Middlebury (Upper),MIT,15,4,"11/02/2019, 10:30",Pool B
MIT,Brown University,6,10,"11/02/2019, 12:00",Pool B
Middlebury (Upper),Williams College,10,9,"11/02/2019, 12:00",Pool B
Dartmouth College,MIT,15,0,"11/02/2019, 13:30",Pool B
Middlebury (Upper),Brown University,12,7,"11/02/2019, 13:30",Pool B
Dartmouth College,Middlebury (Upper),11,12,"11/02/2019, 15:00",Pool B
Williams College,Brown University,11,3,"11/02/2019, 15:00",Pool B
pool,Pool C
Northeastern,Drexel,5,10,"11/02/2019, 09:00",Pool C
Cornell,New Hampshire,8,15,"11/02/2019, 09:00",Pool C
Northeastern,Cornell,8,11,"11/02/2019, 10:30",Pool C
Massachusetts,New Hampshire,14,15,"11/02/2019, 10:30",Pool C
New Hampshire,Drexel,9,8,"11/02/2019, 12:00",Pool C
Massachusetts,Cornell,8,3,"11/02/2019, 12:00",Pool C
Northeastern,New Hampshire,10,11,"11/02/2019, 13:30",Pool C
Massachusetts,Drexel,11,5,"11/02/2019, 13:30",Pool C
Northeastern,Massachusetts,5,11,"11/02/2019, 15:00",Pool C
Cornell,Drexel,10,7,"11/02/2019, 15:00",Pool C
pool,Pool D
Brown University,Northeastern,8,15,"11/02/2019, 09:00",Pool D
Colby College,Yale University,8,11,"11/02/2019, 09:00",Pool D
Brown University,Colby College,9,6,"11/02/2019, 10:30",Pool D
Vermont,Yale University,12,5,"11/02/2019, 10:30",Pool D
Yale University,Northeastern,12,4,"11/02/2019, 12:00",Pool D
Vermont,Colby College,14,3,"11/02/2019, 12:00",Pool D
Brown University,Yale University,6,11,"11/02/2019, 13:30",Pool D
Vermont,Northeastern,10,3,"11/02/2019, 13:30",Pool D
Brown University,Vermont,4,15,"11/02/2019, 15:00",Pool D
Colby College,Northeastern,10,5,"11/02/2019, 15:00",Pool D
b,r,e,a,k
pools,B Division Pool Play
pool,Pool E
Wesleyan,Springfield College,6,15,"11/02/2019, 09:00",Pool E
Hampshire College,Bard,9,4,"11/02/2019, 09:00",Pool E
Wesleyan,Hampshire College,7,11,"11/02/2019, 10:30",Pool E
Brandeis University,Bard,7,9,"11/02/2019, 10:30",Pool E
Bard,Springfield College,3,12,"11/02/2019, 12:00",Pool E
Brandeis University,Hampshire College,8,7,"11/02/2019, 12:00",Pool E
Wesleyan,Bard,9,8,"11/02/2019, 13:30",Pool E
Brandeis University,Springfield College,6,12,"11/02/2019, 13:30",Pool E
Wesleyan,Brandeis University,8,9,"11/02/2019, 15:00",Pool E
Hampshire College,Springfield College,10,8,"11/02/2019, 15:00",Pool E
pool,Pool F
Amherst College,Providence College,9,12,"11/02/2019, 10:30",Pool F
Clark University,Sarah Lawrence College,15,3,"11/02/2019, 10:30",Pool F
Amherst College,Sarah Lawrence College,15,2,"11/02/2019, 12:00",Pool F
Clark University,Providence College,9,11,"11/02/2019, 12:00",Pool F
Amherst College,Clark University,6,11,"11/02/2019, 13:30",Pool F
Providence College,Sarah Lawrence College,15,5,"11/02/2019, 13:30",Pool F
pool,Pool G
Torpedo Kidz,Roger Williams,7,12,"11/02/2019, 10:30",Pool G
Vassar,Keene State College,3,14,"11/02/2019, 10:30",Pool G
Torpedo Kidz,Keene State College,10,11,"11/02/2019, 12:00",Pool G
Vassar,Roger Williams,0,15,"11/02/2019, 12:00",Pool G
Torpedo Kidz,Vassar,15,1,"11/02/2019, 13:30",Pool G
Roger Williams,Keene State College,11,9,"11/02/2019, 13:30",Pool G
pool,Pool H
Vermont (B),St Lawrence,11,1,"11/02/2019, 10:30",Pool H
SUNY-New Paltz,Emerson,14,13,"11/02/2019, 10:30",Pool H
Vermont (B),Emerson,7,10,"11/02/2019, 12:00",Pool H
SUNY-New Paltz,St Lawrence,11,5,"11/02/2019, 12:00",Pool H
Vermont (B),SUNY-New Paltz,10,5,"11/02/2019, 13:30",Pool H
St Lawrence,Emerson,4,13,"11/02/2019, 13:30",Pool H
b,r,e,a,k
brackets,A Division Brackets
bracket,A Division First Place Bracket
Somerville,New Hampshire,14,7,"11/03/2019, 15:00",Finals
Somerville,Massachusetts,9,7,"11/03/2019, 13:30",Semis
New Hampshire,Middlebury (Upper),12,9,"11/03/2019, 13:30",Semis
Somerville,Cornell,12,5,"11/03/2019, 10:30",Quarters
Vermont,Massachusetts,6,12,"11/03/2019, 10:30",Quarters
New Hampshire,Yale University,9,5,"11/03/2019, 10:30",Quarters
Middlebury (Upper),Boston University,13,6,"11/03/2019, 10:30",Quarters
Dartmouth College,Cornell,10,11,"11/03/2019, 09:00",Pre-Quarters
Massachusetts,Williams College,15,4,"11/03/2019, 09:00",Pre-Quarters
Bates College,Yale University,7,13,"11/03/2019, 09:00",Pre-Quarters
Colby College,Boston University,10,11,"11/03/2019, 09:00",Pre-Quarters
bracket,A Division Third Place Bracket
Massachusetts,Middlebury (Upper),13,9,"11/03/2019, 15:00",3rd Finals
bracket,A Division Fifth Place Bracket
Cornell,Boston University,0,1,"11/03/2019, 15:00",5th Finals
Cornell,Vermont,1,0,"11/03/2019, 13:30",5th Semis
Yale University,Boston University,7,9,"11/03/2019, 13:30",5th Semis
bracket,A Division Seventh Place Bracket
Vermont,Yale University,0,1,"11/03/2019, 15:00",7th Finals
bracket,A Division Ninth Place Bracket
Dartmouth College,Bates College,13,6,"11/03/2019, 13:30",9th Finals
Dartmouth College,Colby College,1,0,"11/03/2019, 12:00",9th Semis
Williams College,Bates College,3,11,"11/03/2019, 12:00",9th Semis
bracket,A Division Eleventh Place Bracket
Colby College,Williams College,7,8,"11/03/2019, 13:30",11th Finals
bracket,A Division Thirteenth Place Bracket
Drexel,Northeastern,8,6,"11/03/2019, 12:00",13th Finals
Harvard,Drexel,6,9,"11/03/2019, 10:30",13th Semis
Northeastern,Northeastern,7,6,"11/03/2019, 10:30",13th Semis
Harvard,Brown University,15,4,"11/03/2019, 09:00",13th Quarters
MIT,Drexel,5,11,"11/03/2019, 09:00",13th Quarters
Brown University,Northeastern,6,12,"11/03/2019, 09:00",13th Quarters
Brandeis University,Northeastern,9,11,"11/03/2019, 09:00",13th Quarters
bracket,A Division Fifteenth Place Bracket
Harvard,Northeastern,10,6,"11/03/2019, 12:00",15th Finals
bracket,A Division Seventeenth Place Bracket
MIT,Brown University,0,1,"11/03/2019, 12:00",17th Finals
Brown University,MIT,8,10,"11/03/2019, 10:30",17th Semis
Brown University,Brandeis University,12,6,"11/03/2019, 10:30",17th Semis
bracket,A Division Ninteenth Place Bracket
Brown University,Brandeis University,1,0,"11/03/2019, 12:00",19th Finals
b,r,e,a,k
brackets,B Division Brackets
bracket,B Division First Place Bracket
Emerson,Providence College,13,10,"11/03/2019, 15:00",Finals
Clark University,Emerson,6,11,"11/03/2019, 13:30",Semis
Roger Williams,Providence College,5,10,"11/03/2019, 13:30",Semis
Hampshire College,Clark University,6,10,"11/03/2019, 10:30",Quarters
Emerson,Amherst College,10,6,"11/03/2019, 10:30",Quarters
Roger Williams,Vermont (B),11,6,"11/03/2019, 10:30",Quarters
Providence College,Springfield College,9,5,"11/03/2019, 10:30",Quarters
Clark University,Torpedo Kidz,10,9,"11/03/2019, 09:00",Pre-Quarters
Keene State College,Amherst College,8,9,"11/03/2019, 09:00",Pre-Quarters
Brandeis University,Vermont (B),6,10,"11/03/2019, 09:00",Pre-Quarters
Springfield College,SUNY-New Paltz,12,7,"11/03/2019, 09:00",Pre-Quarters
bracket,B Division Third Place Bracket
Clark University,Roger Williams,7,8,"11/03/2019, 15:00",3rd Finals
bracket,B Division Fifth Place Bracket
Hampshire College,Vermont (B),10,8,"11/03/2019, 15:00",5th Finals
Hampshire College,Amherst College,9,8,"11/03/2019, 13:30",5th Semis
Vermont (B),Springfield College,15,14,"11/03/2019, 13:30",5th Semis
bracket,B Division Seventh Place Bracket
Amherst College,Springfield College,1,0,"11/03/2019, 15:00",7th Finals
bracket,B Division Ninth Place Bracket
Torpedo Kidz,Keene State College,1,0,"11/03/2019, 13:30",9th Finals
Torpedo Kidz,SUNY-New Paltz,10,7,"11/03/2019, 12:00",9th Semis
Keene State College,Brandeis University,1,0,"11/03/2019, 12:00",9th Semis
bracket,B Division Eleventh Place Bracket
SUNY-New Paltz,Brandeis University,1,0,"11/03/2019, 13:30",11th Finals
bracket,B Division Thirteenth Place Bracket
Wesleyan,St Lawrence,13,6,"11/03/2019, 12:00",13th Finals
Wesleyan,Vassar,11,0,"11/03/2019, 10:30",13th Semis
Bard,St Lawrence,7,9,"11/03/2019, 09:00",13th Semis
Sarah Lawrence College,Vassar,7,8,"11/03/2019, 09:00",13th Quarters
bracket,B Division Fifteenth Place Bracket
Vassar,Bard,0,1,"11/03/2019, 12:00",15th Finals
Sarah Lawrence College,Bard,4,9,"11/03/2019, 10:30",15th Semis
b,r,e,a,k
