TCT Elite-Select Challenge 2019,Club - Women ,17,8,2019
Rockford,IL,2019-08-17,2019-08-18
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2019/schedule/Women/Club-Women/
Phoenix,1
17,Laura Gehrt
18,Haley Johnson
19,Jenna Galletta
20,Nadine Rowen
26,Jordan Eissner
86,Amanda Johnson
87,Amanda Borders
b,r,e,a,k
Siege,3
teamInfo,,"Boston, Massachusetts",https://siegeultimate.com/,https://www.facebook.com/BostonSiege,https://twitter.com/siegeultimate
02,Chelsea Mower
03,Analise Huysentruyt
04,Jacqueline Willwerth
06,Chloe Rowse
07,Alicia Collins
08,Jordan Bricknell
09,Sherry Li
10,Nikki Ross
12,Claire Babbott-Bryan
13,Valerie Willocq
14,Charlotte Doran
15,Laura Fradin
17,Sage Loomis
21,Delaney Reardon
22,Melissa Ellis
23,Leija Helling
24,Caroline Weinberg
27,Audrey Love
30,Rebecca Foster
33,Samantha Gray
44,Kennedy McCarthy
64,Tracey Lum
99,Annie Shriver
b,r,e,a,k
Elevate,15
teamInfo,,"Salt Lake City, Utah",,https://www.facebook.com/elevateutahultimate/,https://twitter.com/elevate_ut
0,Abby Merrifield
0,Alicia Seeley
0,Brooke Stanislawski
0,Hannah Bruns
0,Jemi Ong
0,Jessica Crowley
0,Mackenzie Perkett
3,Maggie Bale
7,Brittany McCready
8,Donna Nelson
00,Emily Jensen
10,Natalie Merrill
13,Leah Smith
16,Breanna Bozzuto
17,Erica Bindas
18,Kylee Behunin
19,Kaylie Caldwell
21,Hanna Shluker
23,Casstique Williams
24,Kendra  Mitchell
27,Tania Reitz
31,Jenni Ladutko
33,Ciera Kueser
41,Kyra Khoroujnikova
b,r,e,a,k
Nemesis,6
teamInfo,,"Chicago, Illinois",http://www.chicago-nemesis.com/,https://www.facebook.com/Nemesis-471825896168151/,https://twitter.com/ChicagoNemesis
00,Eileen Duffner
01,Allison Fish
02,Elizabeth Arakaki
04,Monica Matsumoto
05,Anna Thorn
06,Risa Umeno
07,Madison Moore
08,Christina Sur
09,Cassandra Brown
10,Emilie Willingham
11,Beth Daviess
12,Jennifer Corcoran
14,Sarah Helding
15,Danielle Blatt
17,Erika Danckers
18,Sarah Kim
19,Rachel Foster
21,Clare Frantz
22,Jessica Serednesky
24,Sarah Davis
25,MK Andersen
31,Abby Shure
33,Joann Wong
72,Jacqueline Jarik
84,Sarah Lipscomb
b,r,e,a,k
Pop,10
teamInfo,,"Minneapolis, Minnesota",http://popultimate.wordpress.com/,https://www.facebook.com/popultimate,https://twitter.com/PopUltimate
coaches,Jon Gaynor,Courtney Kiesow
01,Anna Hagstrom
02,Stephanie Wood
03,Makella Daley
04,Cassidy Krawczak-Kummrow
05,Kalli Poletto
07,Abigail Shilts
08,Haley Challgren
09,Sara  Helm
11,Rachel Gage
12,Rebecca Enders
13,Rachel Johnson
14,Betty Stringfield
15,Katie Godfrey
19,AJ Uthe
29,Anna Clements
30,Louise Beck
33,Kayla Blanek
49,Rose Gruenhagen
55,Jane Koch
77,Kristen Schultz
91,Sadie Reding
93,Biz Cook
b,r,e,a,k
Wildfire,9
teamInfo,,"San Diego, California",,https://www.facebook.com/WildfireUltimate,https://twitter.com/sd_wildfire
1,Laura Wehlitz
3,Emma Frankel
4,Kristen Pojunis
5,Alexandra Diaz
6,Rachel Ling
8,Alexa Cohen
10,Christy Jarman
11,Melissa Dunn
12,Angela Dong
15,Brittany Cabriales
16,Audrey Brown
18,Rebeca Ellis
19,Amanda Albi
20,Kelli Iwamoto
22,Sheliemae Lai
28,Brittnee Grimshaw
29,Juliana Jordan
37,Hannah Walter
44,Rayna Wachs
47,Dena Elimelech
51,Lindsay Lang
52,Annie Ngo
61,Hani Pajela
81,Ellen Smith
88,Alisha Stoun
b,r,e,a,k
Ozone,4
teamInfo,,"Atlanta, Georgia",http://ozoneultimate.com/,https://www.facebook.com/OzoneUltimate,https://twitter.com/ozoneultimate/
coaches,Martin Aguilera
0,Charlotte Purcell
0,Michelle Yang
0,Quincy Booth
01,Alexandra Fairley
03,Paige Carver
04,Marissa Hannah
08,Samantha Daugherty
09,Anraya Palmer
14,Jenny Choi
16,Leah Tsinajinnie
16,Madeleine (Maddy) Frey
19,Kayla Emrick
20,India Stubbs
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
31,Samantha Jones
33,Ollie Peterson
52,Erynn Schroeder
91,Jin-Mi Matsunaga
b,r,e,a,k
Showdown,5
teamInfo,,"Texas City, Texas",https://showdownultimate.wordpress.com/,https://www.facebook.com/Texas-Showdown-242891214064/,https://twitter.com/txshowdown
1,Katie Metzler
2,Elise Bjork
3,Domenica Sutherland
4,Sharon Tsao
6,Ivy Harrison
7,Laura Reed
8,Shereen Rabie
9,Laura Landis
11,Brianne Welkener
13,Julia Schmaltz
16,Sarah Levinn
17,Marissa Land
19,Tiffany Schumacher
21,Valerie Pinillos
22,Emma Berrigan
23,Lillian White
28,Mindy Radike
28,Anne Ortiz
55,Bethani Eberhart
95,Megan Mendieta
b,r,e,a,k
Dish,16
teamInfo,,"Chicago, Illinois",http://www.dishultimate.com,https://www.facebook.com/DishUltimate,https://twitter.com/Dish_Ultimate
0,Alex Krueger
0,Amelia Lentz
0,Loraina Stinson
0,Rachel Dahlgren
0,Sarah Schram
2,Lena Goren
4,Lauren Kells
7,Sydney Stelzer
9,Wendy Rochon
11,Amanda Dice
12,Maddie Galvin
14,Kelsey Akin
15,Bridget Miles
20,Alex Chudler
23,Colleen Costello
24,Aiste Guobyte
31,Rachel Inderhees
42,Antonia Van Twisk
44,Alex Mundy
47,Anri Brod
82,Katherine Sandstrom
88,Krystle Jiang
95,Jacalyn Gisvold
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Phoenix,LOL,15,3,"08/17/2019, 10:30",Pool A,Final
Grit,Heist,13,11,"08/17/2019, 10:30",Pool A,Final
Phoenix,Heist,15,4,"08/17/2019, 12:30",Pool A,Final
Grit,LOL,11,12,"08/17/2019, 12:30",Pool A,Final
Phoenix,Grit,15,6,"08/17/2019, 14:30",Pool A,Final
LOL,Heist,13,9,"08/17/2019, 14:30",Pool A,Final
pool,Pool B
Rival,BENT,12,13,"08/17/2019, 08:30",Pool B,Final
Underground,Wicked,12,10,"08/17/2019, 08:30",Pool B,Final
Rival,Wicked,11,4,"08/17/2019, 10:30",Pool B,Final
Underground,BENT,10,15,"08/17/2019, 10:30",Pool B,Final
Rival,Underground,13,9,"08/17/2019, 14:30",Pool B,Final
BENT,Wicked,11,8,"08/17/2019, 14:30",Pool B,Final
pool,Pool C
Siege,Pop,9,14,"08/17/2019, 08:30",Pool C,Final
Nemesis,Elevate,10,12,"08/17/2019, 08:30",Pool C,Final
Siege,Elevate,15,9,"08/17/2019, 10:30",Pool C,Final
Nemesis,Pop,11,9,"08/17/2019, 10:30",Pool C,Final
Siege,Nemesis,13,10,"08/17/2019, 12:30",Pool C,Final
Pop,Elevate,11,12,"08/17/2019, 12:30",Pool C,Final
pool,Pool D
Ozone,Wildfire,13,14,"08/17/2019, 08:30",Pool D,Final
Showdown,Dish,15,4,"08/17/2019, 08:30",Pool D,Final
Ozone,Dish,15,2,"08/17/2019, 12:30",Pool D,Final
Showdown,Wildfire,11,14,"08/17/2019, 12:30",Pool D,Final
Ozone,Showdown,15,10,"08/17/2019, 14:30",Pool D,Final
Wildfire,Dish,15,4,"08/17/2019, 14:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Wildfire,Siege,10,11,"08/18/2019, 14:55",Finals,Final
Phoenix,Wildfire,7,10,"08/18/2019, 13:25",Semifinals,Final
Siege,BENT,11,6,"08/18/2019, 13:25",Semifinals,Final
Phoenix,Rival,9,4,"08/18/2019, 11:55",Quarterfinals,Final
Wildfire,Underground,8,7,"08/18/2019, 11:55",Quarterfinals,Final
Siege,Ozone,9,6,"08/18/2019, 11:55",Quarterfinals,Final
BENT,Showdown,8,7,"08/18/2019, 11:55",Quarterfinals,Final
Rival,Nemesis,8,7,"08/18/2019, 10:25",Pre-Quarterfinals,Final
Elevate,Underground,7,8,"08/18/2019, 10:25",Pre-Quarterfinals,Final
Ozone,Grit,9,6,"08/18/2019, 10:25",Pre-Quarterfinals,Final
LOL,Showdown,5,11,"08/18/2019, 10:25",Pre-Quarterfinals,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,3rd Place
Phoenix,BENT,12,9,"08/18/2019, 14:55",3rd Place,Final
bracket,5th Place
Rival,Ozone,10,9,"08/18/2019, 14:55",5th Place Finals,Final
Rival,Showdown,8,7,"08/18/2019, 13:25",5th Place Semifinals,Final
Underground,Ozone,3,13,"08/18/2019, 13:25",5th Place Semifinals,Final
bracket,7th Place
Showdown,Underground,9,10,"08/18/2019, 14:55",7th Place,Final
bracket,9th Place
Nemesis,Elevate,13,4,"08/18/2019, 14:55",9th Place Finals,Final
Nemesis,LOL,8,3,"08/18/2019, 11:55",9th Place Semifinals,Final
Elevate,Grit,8,7,"08/18/2019, 11:55",9th Place Semifinals,Final
bracket,11th Place
LOL,Grit,11,9,"08/18/2019, 14:55",11th Place,Final
b,r,e,a,k
pools,13th-16th Place Round Robin
pool,Pool E
Heist,Pop,7,9,"08/18/2019, 10:25",Pool E,Final
Wicked,Dish,9,6,"08/18/2019, 10:25",Pool E,Final
Heist,Wicked,4,9,"08/18/2019, 16:25",Pool E,Final
Pop,Dish,12,3,"08/18/2019, 16:25",Pool E,Final
b,r,e,a,k
