Meltdown 2019,College - Men ,23,3,2019
https://play.usaultimate.org/events/Meltdown-2019/schedule/Men/CollegeMen/
Marquette,1
17,Christopher Stilwell
18,Wolf Wheeler
20,Andrew Richter
24,Alexander Wegman
26,Frank Ginder
39,Dane Bossert
40,Ethan Conley
42,Benjamin Schmidt
58,Benjamin Grabner
76,John Schilling
83,Ivan Bossert
88,Bryan Ritchey
99,Nathan Pyles
b,r,e,a,k
Olivet Nazarene,14
0,Caleb Hasselbring
0,Derrick McBride
0,Hudson Whittaker
0,Jackson Howell
0,Jacob Woodard
0,Jacob Griffith
0,Jeremy  McGrath
0,Justin Comfort
0,Nathan Wahrman
0,Spencer Tong
1,Andrew Bender
2,Kevin Cheney
3,Timothy Benedict
7,Michael King
15,Daniel Pietz
16,Jack Corcoran
19,Luke Wilson
23,Kyle Trojan
26,AJ McCasland
32,Jace Patacsil
33,Michael Yerge
35,Robert Schmalz
59,Jordan Verhulst
77,Robert Mueller
83,Ben Mannaioni
b,r,e,a,k
North Park,3
1,Trent Cairns
2,Nathan Werling
3,Ryan Almer
5,Jack Redding
7,Daniel Dwight
8,Tim Clark
9,Jun Seok  Chun
10,Gavin Johnson
11,Andrew Kim
12,Justus Jagodzinske
13,Cory Wallace
17,Niko Scharnowski
19,Derek Johnson
19,Joshua Crozier
22,Benjamin Horstman
26,Isaac Torres
28,Noah Whitney
34,Brian Chindblom
38,Justin Tuell
47,Payton Walles
55,Noah Swanson
88,Jonathan Madera
99,Joel Beyar
b,r,e,a,k
Purdue (B),11
0,Cameron Mosley
0,Kenny Smoak
0,Logan Staples
0,Mason Schulman
0,Ryley White
0,Zach Kelsch
4,Connor Gallogly
20,Matthew Bonini
25,William Cover
29,Benjamin Wagrez
39,Ethan Pollack
42,Cory Vitez
48,Bruce Riggio
49,Zachery Berg
80,Jason Haehl
82,Samuel Bove
89,Adam Whitton
b,r,e,a,k
Carthage College,19
0,Conor Marcum
0,Zachary Birringer
12,Jack Boyd
13,Eryn  Benner
19,Tabitha Long
26,Jimmy Chaudoin
27,Jack Brunette
42,Trey Eckert
44,Georgia Fox
99,Thomas Cargille
b,r,e,a,k
Grand Valley State,4
01,Brad Sanders
02,Justin Perticone
03,Mitchell LeBlanc
05,Logan MacGregor
07,Aidan Nic
12,Phouttasone (Preston) Saycocie
13,Ben Magro
16,Collin Nederhood
17,Matthew Silverhart
19,Stephen Hoffman
21,Justin Von Kulajta Winn
21,Elliot Perpich
23,Alexander Sokoly
24,Aidan Clawson
25,Brendan  Ulanch
26,Sam Hoffman
27,Cory Wyn
28,Nick Ralph
32,Hayden Townley
42,Adam Freeman
52,Daniel Ahearn
88,Mark Whitton
b,r,e,a,k
Wheaton (Illinois),5
00,Ethan Fong
02,Carlson Chiles
05,Johnny Humphrey
06,Joel Armstrong
07,Grayson McCoy
07,Charlie Primuth
08,Erik Ostrem
11,Donovan Gleeson
12,Ryan Jacobsen
13,Andrew Backer
15,Chris Eaker
16,Nathaniel Van Eeckhout
17,John Bayer
20,Will Huffman
21,Ryan Van Dyke
24,Jadmin Aspegren
26,Matthew Golz
28,Jacob  Buterbaugh 
29,Daniel Sedlacek
30,Caleb Yoder
40,Christian Rothrock
44,Jonathan Larson
55,Payden Carter
71,Andrew Reay
77,Paul Wearden
90,Asher Bernardi
91,Matthew Wilhite
99,Thomas Chung
b,r,e,a,k
Illinois-Chicago,13
0,Francis Kowara
0,Greg Baranov
0,Ian Patete
0,Jack Gaughan
0,Chris Zhou
0,Jason Schlicher
0,John Stark
0,Kaleb Parks
0,Philip Schulz
4,Jeet Raol
16,Moses Oh
17,Eriq Adams
21,Levi Severson
22,Joe Spengel
31,Jaime Bazan
33,Kyle  Ezell
35,Ryan Kern
40,Zachary Boehm
92,Bryan Eisenhard
b,r,e,a,k
Southern Illinois-Edwardsville,12
0,Garrett Young
0,Jacob Richardson
0,Jake Elmer
0,Matt Niebrugge
0,Seth Kannarr
2,Ben Portz
7,Jacque McNamee
23,Chandler Belt
29,Matthew Hubecky II
50,Abhishek Taneja
75,Kyle Kent
b,r,e,a,k
Wisconsin-Stout,20
0,Sage Vetter
02,Eric Holter
05,Nathan Zelinski
07,Zachary Kraus
10,Joe Dallapiazza
12,Cody Hansen
17,Joshua  Biegler
23,Ryne Jones
24,Will Tieleman
29,Theo Axtell-Adams
34,JaRon Williams
35,Matthew Boyer
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Winona State,Milwaukee School of Engineering,13,6,"03/23/2019, 09:00",Pool A
Marquette,Coe,13,0,"03/23/2019, 09:00",Pool A
Loyola-Chicago,Coe,13,0,"03/23/2019, 10:30",Pool A
Marquette,Milwaukee School of Engineering,13,3,"03/23/2019, 10:30",Pool A
Marquette,Loyola-Chicago,11,5,"03/23/2019, 12:00",Pool A
Winona State,Coe,13,2,"03/23/2019, 12:00",Pool A
Marquette,Winona State,13,4,"03/23/2019, 13:30",Pool A
Loyola-Chicago,Milwaukee School of Engineering,13,5,"03/23/2019, 13:30",Pool A
Winona State,Loyola-Chicago,11,8,"03/23/2019, 15:00",Pool A
Milwaukee School of Engineering,Coe,11,2,"03/23/2019, 15:00",Pool A
pool,Pool B
Wisconsin-Whitewater,Marquette (B),13,4,"03/22/2019, 09:00",Pool B
Northern Illinois,Illinois State (B),7,6,"03/22/2019, 09:00",Pool B
Valparaiso,Marquette (B),13,4,"03/22/2019, 10:30",Pool B
Wisconsin-Whitewater,Illinois State (B),10,6,"03/22/2019, 10:30",Pool B
Wisconsin-Whitewater,Valparaiso,11,9,"03/22/2019, 12:00",Pool B
Northern Illinois,Marquette (B),8,7,"03/22/2019, 12:00",Pool B
Wisconsin-Whitewater,Northern Illinois,11,7,"03/22/2019, 13:30",Pool B
Valparaiso,Illinois State (B),13,7,"03/22/2019, 13:30",Pool B
Illinois State (B),Marquette (B),9,6,"03/22/2019, 15:00",Pool B
Northern Illinois,Valparaiso,8,9,"03/22/2019, 15:00",Pool B
pool,Pool C
Truman State,Olivet Nazarene,13,7,"03/22/2019, 09:00",Pool C
North Park,Carthage College,13,1,"03/22/2019, 09:00",Pool C
Purdue (B),Carthage College,13,5,"03/22/2019, 10:30",Pool C
North Park,Olivet Nazarene,11,12,"03/22/2019, 10:30",Pool C
North Park,Purdue (B),13,3,"03/22/2019, 12:00",Pool C
Truman State,Carthage College,13,1,"03/22/2019, 12:00",Pool C
North Park,Truman State,10,13,"03/22/2019, 13:30",Pool C
Purdue (B),Olivet Nazarene,8,13,"03/22/2019, 13:30",Pool C
Olivet Nazarene,Carthage College,13,7,"03/22/2019, 15:00",Pool C
Truman State,Purdue (B),13,2,"03/22/2019, 15:00",Pool C
pool,Pool D
Wheaton (Illinois),Illinois-Chicago,11,6,"03/22/2019, 09:00",Pool D
Grand Valley State,Wisconsin-Stout,13,2,"03/22/2019, 09:00",Pool D
Southern Illinois-Edwardsville,Wisconsin-Stout,12,2,"03/22/2019, 10:30",Pool D
Grand Valley State,Illinois-Chicago,12,5,"03/22/2019, 10:30",Pool D
Grand Valley State,Southern Illinois-Edwardsville,13,7,"03/22/2019, 12:00",Pool D
Wheaton (Illinois),Wisconsin-Stout,13,3,"03/22/2019, 12:00",Pool D
Southern Illinois-Edwardsville,Illinois-Chicago,8,10,"03/22/2019, 13:30",Pool D
Grand Valley State,Wheaton (Illinois),13,6,"03/22/2019, 13:30",Pool D
Illinois-Chicago,Wisconsin-Stout,11,5,"03/22/2019, 15:00",Pool D
Wheaton (Illinois),Southern Illinois-Edwardsville,13,7,"03/22/2019, 15:00",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Marquette,Truman State,13,9,"03/24/2019, 13:30",Finals
Marquette,Grand Valley State,13,11,"03/24/2019, 12:00",Semifinals
Truman State,Winona State,13,9,"03/24/2019, 12:00",Semifinals
Valparaiso,Marquette,4,13,"03/24/2019, 10:30",Quarters
Olivet Nazarene,Grand Valley State,9,13,"03/24/2019, 10:30",Quarters
Wheaton (Illinois),Truman State,3,13,"03/24/2019, 10:30",Quarters
Winona State,Wisconsin-Whitewater,12,11,"03/24/2019, 10:30",Quarters
Valparaiso,North Park,13,9,"03/24/2019, 09:00",Prequarters
Olivet Nazarene,Northern Illinois,11,10,"03/24/2019, 09:00",Prequarters
Wheaton (Illinois),Loyola-Chicago,10,9,"03/24/2019, 09:00",Prequarters
Winona State,Illinois-Chicago,13,3,"03/24/2019, 09:00",Prequarters
bracket,Third Place Bracket
Grand Valley State,Winona State,13,3,"03/24/2019, 13:30",Third Place 
bracket,Fifth Place Bracket
Olivet Nazarene,Wisconsin-Whitewater,5,13,"03/24/2019, 13:30",Fifth Place
Valparaiso,Olivet Nazarene,8,12,"03/24/2019, 12:00",Fifth Place Semis
Wheaton (Illinois),Wisconsin-Whitewater,8,10,"03/24/2019, 12:00",Fifth Place Semis
bracket,Seventh Place Bracket
Valparaiso,Wheaton (Illinois),3,7,"03/24/2019, 13:30",Seventh Place
b,r,e,a,k
brackets,Consolation Bracket
bracket,Ninth Place Bracket
Illinois State (B),Northern Illinois,10,4,"03/24/2019, 13:30",Ninth Place
Illinois State (B),Loyola-Chicago,10,8,"03/24/2019, 12:00",Semifinals
Northern Illinois,North Park,13,5,"03/24/2019, 12:00",Semifinals
Illinois State (B),Illinois-Chicago,11,6,"03/24/2019, 10:30",Quarters
Marquette (B),Loyola-Chicago,4,9,"03/24/2019, 10:30",Quarters
Southern Illinois-Edwardsville,Northern Illinois,7,11,"03/24/2019, 10:30",Quarters
Milwaukee School of Engineering,North Park,10,11,"03/24/2019, 10:30",Quarters
Illinois State (B),Carthage College,13,3,"03/24/2019, 09:00",Prequarters
Purdue (B),Marquette (B),5,11,"03/24/2019, 09:00",Prequarters
Southern Illinois-Edwardsville,Coe,13,6,"03/24/2019, 09:00",Prequarters
Milwaukee School of Engineering,Wisconsin-Stout,13,9,"03/24/2019, 09:00",Prequarters
bracket,Eleventh Place Bracket
Loyola-Chicago,North Park,9,12,"03/24/2019, 13:30",Eleventh Place
bracket,Thirteenth Place Bracket
Marquette (B),Southern Illinois-Edwardsville,6,7,"03/24/2019, 13:30",Thirteenth Place
Illinois-Chicago,Marquette (B),4,8,"03/24/2019, 12:00",Thirteenth Place Semis
Southern Illinois-Edwardsville,Milwaukee School of Engineering,9,8,"03/24/2019, 12:00",Thirteenth Place Semis
bracket,Fifteenth Place Bracket
Illinois-Chicago,Milwaukee School of Engineering,0,1,"03/24/2019, 13:30",Fifteenth Place
bracket,Seventeenth Place Bracket
Purdue (B),Wisconsin-Stout,13,2,"03/24/2019, 13:30",Seventeenth Place
Carthage College,Purdue (B),4,13,"03/24/2019, 10:30",Seventeenth Place Semis
Coe,Wisconsin-Stout,8,9,"03/24/2019, 12:00",Seventeenth Place Semis
bracket,Nineteenth Place Bracket
Carthage College,Coe,0,1,"03/24/2019, 13:30",Nineteenth Place
b,r,e,a,k
