Philly Open 2019,Club - Mixed ,3,8,2019
Allentown,PA,2019-08-03,2019-08-04
https://play.usaultimate.org/events/Philly-Open-2019/schedule/Mixed/Club-Mixed
Birds,1
0,Ana Scoular
0,Ashley Wilhelm
0,Borchueh Wu
0,David Paladin-Fernandez
0,Emily Bramhall
0,James Correnti
0,Lucy Brown
0,Nykolas Lotocky
0,Robert Judd
3,Andrew Deshler
4,Luke Alcaraz
8,Luc Bouchard
10,Joseph Miller
11,Joseph Kathan
14,Egburonu Uduka
19,Claire O'Bryan
23,Jon Atkins
28,Alec Marks
32,Amelia Becker
33,Huy Nguyen
50,Jessica Flagg
67,Abraham Cruz
81,Jonathan Karpatkin
99,Rebecca Dorety
b,r,e,a,k
Pandatime,18
0,Amanda Abell
0,Anne Saba
0,Gabriella Garza
0,Jack Mountain
0,Jason Chang
0,Connie Anagnostou
0,Jessica  Oh
0,Joseph Davis
0,Laurel Wenzel
0,Madison Mulherin
0,Phillip Bloxsom
0,Tyler Lance
0,Tyler New
3,Christopher Haslbeck
5,Joseph Gallagher
6,Stephanie Rolek
8,Mykiah Ashley
9,Jason Hawkins
15,Marissa Hauser
15,Xavier Stewart
21,Austin Aguilera
23,Samantha Elliott
25,Colby Agar
31,Josue Reyes
72,Derek Frazer
75,Tyler Houck
78,Samuel Butler
b,r,e,a,k
Peep Show,6
0,Cara Radino
0,Chris Hayen
0,Colin Rex
0,Damon Luk
0,Dara Lipton 
0,Emily Eldien Zappulla
0,Emily Polefka
0,Fiona Nugent
0,Janet  Ro
0,Laine Cravotta
0,Laura VanArsdale
0,Lindsay Levin
0,Luke Laubscher
0,Matias Pineiro
0,Matthew Mos
0,Matthew Foley
0,Maya Karl
0,Robert Gerdes
0,Aaron Mos
0,Brendan Huber
0,Tom Pribicko
0,Zachary Sizemore
1,Steven Parker
12,Antonio Brewer
17,Tyana Ruiz
23,Caleb Leaser
97,Kelly Skewis
b,r,e,a,k
Nautilus,11
0,Erin O'Neill
0,Leann Gray
0,Jasper Han
07,Terese Rogers
08,David Rundio
08,Drew Woods
09,Michael Cuan
11,Leo White
12,Allyse Fazio
13,Lesley Bickford
16,Jeff Smith
18,Mark Nixon
24,Melissa Ostendorf
26,Mary Cuan
34,Alex Kennedy
37,Aiden Coutin
47,Jason Ellis
49,Sumon Chattopadhyay
69,Mitchell Marois
73,Adam Morgan
93,Anna Sivinski
b,r,e,a,k
Alt Stacks,3
0,Delilah Fairclough-Stewart
0,Guinevere Rauch
0,Jonathan  Novitski
0,Jordan Revis
0,Katherine Furland
0,Kevin Wicke
0,Margaret DiGiorno
0,Adam Neu
0,Barb Banz
0,Claire Miller Skriletz
0,Miriam Miller
0,Nicholas Cortina
0,Nicholas Dacosta
0,Sonia Donskaya
4,Matthew Hall
11,Anthony Ji
30,Andong Li
45,Mark Falinski
69,Daniel Percival
81,Matthew Kearney
99,Vicki Mackowka
b,r,e,a,k
Buffalo Brain Freeze,19
0,Alexandria  Ferrentino
0,Benjamin Schlabach
0,Brianna Hodge
0,Danielle Shatkin
0,Gregory Pollock
0,Mark Doud
0,Sarah Bain
0,Simon Locke
0,Tierney Day
0,Will Soos
0,Zachary Heil
0,Megan Lamb
0,Michael Mooney
5,Sarah Wegman
7,Avery Nutting-Hartman
19,Megan MacNeill
66,Cody Clement-Sanders
99,Eoin Joyce
b,r,e,a,k
Espionage,14
0,Abigail Austin
0,Anja Kochendoerfer
0,Christopher Grenier
0,Daniel Bernstein
0,Daniela Reeve
0,Hannah Karlan
0,Jan Nowak
0,Jessica Matsuda
0,Jojo Amdur
0,Julianna Gohman
0,Marc Gottschalk
0,Matthew Kostman
0,Milonee Mehta
0,Sean Degrace
0,Siri Knudsen
4,David Erdley
9,Colby Cashion
12,Rachael Smith
15,Joshua Bransford
16,Alexander Nunno
33,Celia Goldfarb
77,Christopher Scoular
b,r,e,a,k
The Bandits,5
0,Amy Zhu
4,Robert Altieri
02,Eleanor Beckwith
04,Alyssa Willis
06,Sarah Durando
07,Raymond Burns
08,Alex Greene
09,Brett Bealer
10,Christopher Alaimo
11,Pete Isler
12,Kaitlyn Dermen
14,Megan Kuhfuss Golrick
17,Iris Kim
18,Raz Blau
23,Niletta Burton
24,Steven Willis
25,Benjamin Nichols
27,Tomoe Bien
29,Ryan Cullinane
34,Adriana Tirado
41,Jan Iglesias
47,Kyle Isler
49,Jason Thompson
74,Joseph Conway
98,Kyle Dew
b,r,e,a,k
Buffalo Lake Effect,4
0,Alexander Holmwood
0,Benjamin Kammerman
0,Bethany Ortquist
0,Daniel Wang
0,Dave Schneggenburger
0,Erica Stamboulian
0,George Scheibel
0,Greg Burganowski
0,Jennine Kanaby
0,Jessie Chiello
0,Katie Bilicki
0,Miles McKey
0,Molly Booi
0,Paul Sperr
0,Robert Lindenthaler
0,Timothy (TJ) Burns
1,Jeffrey Harvey
3,Richard Milleville
22,Kelsey Scanlon
31,Sarah Burns
b,r,e,a,k
TBD,13
0,Brett Carr
0,Brian Ball
0,Jasper Lu
0,Jean Tuvilla
0,Jeanney Liu
0,John Mosho
0,Joseph Cirnigliaro
0,Katharine Lotz
0,Leila Selchaif
0,Manuel Fergus
0,Marcos  Jimenez
0,Maryann Platt
0,Matthew Silver
0,Sharon Chiu
0,Whitney Choo
0,Will Kurnit
0,Haleigh Cavalier
7,Mathias Kallick
8,Jasmine Xie
9,Jordan Sved
10,Jonathan Lao
12,David Knight
17,Dylan Zeigler
74,Edward Tang
b,r,e,a,k
LORD,12
0,Andre Garcia
0,Andrew Han
0,Daniel Sablosky
0,Grace Minner
0,Jack Chisenhall
0,Alex Goldman
0,Jessica Tow
0,Kristin Lue Chee Lip
0,Mary Nguyen
7,Lindsey Doerr
11,Kevin Dodd
13,Jacob Harnage
14,Kyle Minner
16,Tre Williams
17,Alexis Planche
41,Kiran Devine
64,Kai Jensen
98,Nicholas Morris
b,r,e,a,k
Tropics Ultimate,20
0,Amanda McHale
0,Carolyn Adams
0,Christopher Andrade
0,Edmund Carroll
0,Elaine Herron
0,Joseph Ferrara
0,Kristen Daniel
0,McKaela Bunce
0,Ryan Rosenblum
10,Haley Sanborn
11,Matthew Eicher
13,Kevin Stearns
14,Valerie Conforti
25,Zackary Bonetti
33,Ryan Assini
97,Nicholas McElwee
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Baltimore BENCH,Turnstyle,W,F,"08/03/2019, 08:30",Pool A,Final
Soft Boiled,Mashed,13,5,"08/03/2019, 08:30",Pool A,Final
Birds,Mashed,13,6,"08/03/2019, 10:10",Pool A,Final
Soft Boiled,Baltimore BENCH,13,2,"08/03/2019, 10:10",Pool A,Final
Birds,Turnstyle,W,F,"08/03/2019, 11:50",Pool A,Final
Mashed,Baltimore BENCH,11,10,"08/03/2019, 11:50",Pool A,Final
Birds,Baltimore BENCH,13,2,"08/03/2019, 14:00",Pool A,Final
Soft Boiled,Turnstyle,W,F,"08/03/2019, 14:00",Pool A,Final
Birds,Soft Boiled,11,10,"08/03/2019, 15:40",Pool A,Final
Mashed,Turnstyle,W,F,"08/03/2019, 15:40",Pool A,Final
pool,Pool B
Stormborn,Pandatime,13,10,"08/03/2019, 08:30",Pool B,Final
Philly Twist,Unlimited Swipes,10,13,"08/03/2019, 08:30",Pool B,Final
Garbage Plates,Unlimited Swipes,12,9,"08/03/2019, 10:10",Pool B,Final
Philly Twist,Stormborn,13,4,"08/03/2019, 10:10",Pool B,Final
Garbage Plates,Pandatime,13,2,"08/03/2019, 11:50",Pool B,Final
Unlimited Swipes,Stormborn,11,10,"08/03/2019, 11:50",Pool B,Final
Garbage Plates,Stormborn,13,4,"08/03/2019, 14:00",Pool B,Final
Philly Twist,Pandatime,13,3,"08/03/2019, 14:00",Pool B,Final
Garbage Plates,Philly Twist,13,8,"08/03/2019, 15:40",Pool B,Final
Unlimited Swipes,Pandatime,13,3,"08/03/2019, 15:40",Pool B,Final
pool,Pool C
Espionage,Buffalo Brain Freeze,8,11,"08/03/2019, 08:30",Pool C,Final
Peep Show,Nautilus,13,10,"08/03/2019, 08:30",Pool C,Final
Alt Stacks,Nautilus,7,10,"08/03/2019, 10:10",Pool C,Final
Peep Show,Espionage,13,3,"08/03/2019, 10:10",Pool C,Final
Alt Stacks,Buffalo Brain Freeze,13,7,"08/03/2019, 11:50",Pool C,Final
Nautilus,Espionage,10,11,"08/03/2019, 11:50",Pool C,Final
Alt Stacks,Espionage,12,8,"08/03/2019, 14:00",Pool C,Final
Peep Show,Buffalo Brain Freeze,10,3,"08/03/2019, 14:00",Pool C,Final
Alt Stacks,Peep Show,7,13,"08/03/2019, 15:40",Pool C,Final
Nautilus,Buffalo Brain Freeze,13,3,"08/03/2019, 15:40",Pool C,Final
pool,Pool D
TBD,Tropics Ultimate,12,7,"08/03/2019, 08:30",Pool D,Final
The Bandits,LORD,13,9,"08/03/2019, 08:30",Pool D,Final
Buffalo Lake Effect,LORD,13,3,"08/03/2019, 10:10",Pool D,Final
The Bandits,TBD,13,8,"08/03/2019, 10:10",Pool D,Final
Buffalo Lake Effect,Tropics Ultimate,13,3,"08/03/2019, 11:50",Pool D,Final
LORD,TBD,9,13,"08/03/2019, 11:50",Pool D,Final
Buffalo Lake Effect,TBD,12,8,"08/03/2019, 14:00",Pool D,Final
The Bandits,Tropics Ultimate,13,5,"08/03/2019, 14:00",Pool D,Final
Buffalo Lake Effect,The Bandits,5,13,"08/03/2019, 15:40",Pool D,Final
LORD,Tropics Ultimate,11,8,"08/03/2019, 15:40",Pool D,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship Bracket
The Bandits,Garbage Plates,13,12,"08/04/2019, 12:30",1st Place Finals,Final
Birds,The Bandits,12,15,"08/04/2019, 10:30",1st Place Semis,Final
Garbage Plates,Peep Show,14,13,"08/04/2019, 10:30",1st Place Semis,Final
bracket,3rd Place
Birds,Peep Show,14,13,"08/04/2019, 12:30",3rd Place Finals,Final
bracket,5th Place
Soft Boiled,Unlimited Swipes,13,9,"08/04/2019, 12:30",5th Place Finals,Final
Soft Boiled,Buffalo Lake Effect,14,9,"08/04/2019, 10:30",5th Place Semis,Final
Unlimited Swipes,Nautilus,13,12,"08/04/2019, 10:30",5th Place Semis,Final
bracket,7th Place
Buffalo Lake Effect,Nautilus,4,15,"08/04/2019, 12:30",7th Place Finals,Final
bracket,9th Place
Mashed,Philly Twist,8,15,"08/04/2019, 12:30",9th Place Finals,Final
Mashed,TBD,13,11,"08/04/2019, 10:30",9th Place Semis,Final
Philly Twist,Alt Stacks,15,9,"08/04/2019, 10:30",9th Place Semis,Final
bracket,11th Place
TBD,Alt Stacks,13,15,"08/04/2019, 12:30",11th Place Finals,Final
bracket,13th Place
LORD,Buffalo Brain Freeze,11,6,"08/04/2019, 12:30",13th Place Finals,Final
Baltimore BENCH,LORD,10,15,"08/04/2019, 10:30",13th Place Semis,Final
Stormborn,Buffalo Brain Freeze,10,13,"08/04/2019, 10:30",13th Place Semis,Final
bracket,15th Place
Baltimore BENCH,Stormborn,11,13,"08/04/2019, 12:30",15th Place Finals,Final
bracket,17th Place
Tropics Ultimate,Espionage,11,9,"08/04/2019, 12:30",17th Place Finals,Final
Turnstyle,Tropics Ultimate,0,1,"08/04/2019, 10:30",17th Place Semis,Final
Pandatime,Espionage,8,15,"08/04/2019, 10:30",17th Place Semis,Final
bracket,19th Place
Turnstyle,Pandatime,0,1,"08/04/2019, 12:30",19th Place Finals,Final
b,r,e,a,k
clusters,Make-Up
cluster,Make-Up
Birds,Alt Stacks,13,4,"08/03/2019, 17:30",,Final
Soft Boiled,Alt Stacks,8,5,"08/04/2019, 09:00",,Final
Baltimore BENCH,Tropics Ultimate,8,9,"08/04/2019, 14:30",,Final
b,r,e,a,k
