Southeast Club Men's Regional Championship 2019,Club - Men ,21,9,2019
https://play.usaultimate.org/events/Southeast-Club-Mens-Regional-Championship-2019/schedule/Men/Club-Men/
Ring of Fire,1
11,Jackson McHugh
13,David Egbert
14,Lucas Maurer
14,Luke Anderson
15,Blake Michal
25,Andrew Bogle
30,Austin Hegmon
72,Rylan Gordon
82,Michael Price
92,Geoffrey 'Bo' Price
b,r,e,a,k
H.O.G. Ultimate,7
0,Flynn Vogt
0,Jerome Jackson
0,Mike McGinnis
0,Nigel Hagley
0,Robert Alongi
0,Thomas Watts
1,Johnny Sims
1,Jeffrey Oravic
2,Kody Kempff
2,Tyler Butterfield
6,Aubrey Roberts
9,Parker Rhinehart
10,Samuel Sumner
11,Stephen Cook
14,Sean Kelley
14,Charles Loudermilk
17,Logan Ogletree
18,Collin Gillen
20,Dacree Harden
21,Colton Butterfield
23,Matthew Cook
25,Naomi Anderson
35,Blake Stratton
37,Caleb Posey
44,Michael Tillotson
69,Michael Catucci
85,Conner Gabriel
b,r,e,a,k
UpRoar,6
3,Tim Lootens
6,Tyler Kunsa
02,Jonathan Beilan
03,Andrew Roney
06,Bobby Patterson
07,Danny Bumgarner
10,Brian Shinners
11,Kellen Gray
12,Paden Hestorff
17,Ryan Hiser
21,John Holk
22,Jacob Lane
23,Billy O'Bryan
24,Stephen Ierardi
25,Robert Matthew Hankin
27,Anthony Gutierrez
28,Josh McKisic
29,Hayden Chappel
37,Corey Bennett
40,Daniel Humphreys
43,Dean Stupar
75,Ryan Chard
77,Nathan Vickroy
85,Cody Coates
88,Matt Chandler
b,r,e,a,k
Brickhouse,3
0,Bailey Laberteaux
0,Albert Yuan
0,Conor Chickos
0,Dasan Bender
0,Henry Poe
0,Jacob Fairfax
0,James Lockamy
0,Jeffrey He
0,Jordan Perry
0,Michael Sweeney
0,Rhys Gretsch
3,Kevin Huerta
4,Suraj Madiraju
8,Ryan Werkmeister
9,Frederick Hennighausen
10,Caleb Avery
11,Andrew Li
14,Peter Barry
20,Thomas Williams
24,Michael Lee
26,Troy Miller
52,Kamron Daftari
69,Christopher Humphrey
71,Clint McSherry
72,Nathaniel Donaher
96,Ethan Ylizarde
99,Matt Tucker
b,r,e,a,k
Charleston Heat Stroke,13
0,Alexander Nadeau
01,Nicholas Hocking
02,Robert Nadeau
04,Cameron Beal
05,Mike Bordner
07,Ziv Agasi
08,Mike Sasko
09,Mason Huebsch
10,Jonathon Chears
11,Grant Bruner
11,Stephen Young
12,Justin Abel
17,Matthew Hajek
18,Oddom Vong
21,E.C. Gibbs
22,William Swan
23,John Laskodi
26,Ryan Pennell
28,Michael Baer
29,Brian Shonka
33,Corey Addy
40,Michael Johnson
81,Blake Paulson
82,Matthew Olivetti
85,Bernard Kendall
96,Matthew Lustbader
97,Robert Lenoci
b,r,e,a,k
Bash Bros,12
0,Adam Luthman
0,Alan Best
0,Alex Davis
0,Aosha Wells
0,Benjamin Noblit
0,Kavinayan Sivakumar
0,Kiah Wells
0,Noah Donnell-Kilmer
0,Ryan Thompson
2,Mike Moore
5,Ian Pratt
6,Eric Davis
7,Matt Bode
14,Nick Crawford
14,Stephen Poulos
17,Nat Taylor
24,Christian Forde
32,Jack Cohen
33,Roscoe Dick
76,Clayton Noblit
b,r,e,a,k
Tanasi,5
0,Aaron Hazen
0,Brian Newsom
0,Cody Havens
0,Franklin Beebe
0,James Smith
0,James Russnogle
0,John Lithio
0,Roger King
2,Brendn Swam
4,Jeremiah Branson
5,Neil Place
12,Bryan Sansbury
13,Andrew Mauroner
15,Ryan Seay
18,Yanni Killebrew
19,Riley Scheyder
22,John Carden
23,Matthew Smith
24,Matthew Sui
24,Justin Badgett
25,Andrew Geisel
30,Ethan Baughman
32,Mathew Taylor
42,Watson Anderson
64,Bryan Sandidge
97,Vasili Doan
b,r,e,a,k
Freaks,4
0,Brad Wylam
0,Brandon Beers
0,Justin Schroeder
0,Philip Throckmorton
0,Tannon Hedges
0,William Bianca
2,Grant Waldron
5,JT Taylor
5,Chase Hammond
5,Eric Sjostrom
6,Brett Hulsmeyer
7,Beau Waldron
8,Jordan Chambliss
10,Benjamin Gagne-Maynard
11,Elijah Jaime
13,Carter Rae
13,Yusuf Abdullah
17,Nick Peppers
18,Jacob Flowers
22,Nicholas Button
33,Jordan Hill
33,Devon Rogers
37,Michael Strobel
42,Tim Hoggard
45,Alejandro Guerrero
55,Tom Radcliffe
77,Anthony Cain
b,r,e,a,k
Ironmen,11
0,Cameron Copeland
0,Chase Thigpen
0,Crayton Patterson
0,Jacob Lipford
0,Immanuel drew
0,Mark Shannon
0,Matthew Green
0,Michael Burke
0,William Parker
2,Kaleb Frames
4,Jacob Bultman
5,Payton Garlington
9,James  Poe
10,Scott Stone
11,Stakesh Peterson
12,Kennith Taylor
15,Jacob Crane
15,Matt Green
16,Max Goldsmith
17,Jason Russell
21,Sean Williamson
23,Alexander Hill
23,Joshua Thomas
24,Fletcher Hare
24,Travis Midkiff
28,Reid Thackerson
96,Grant Kern
b,r,e,a,k
Bullet,14
0,Arthur Shim
0,Cole Flournoy
0,Collin Cassidy
0,Dylan Whalen
0,Alex Edinger
0,Hunter Shumaker
0,Jack Krugler
0,Justin Hill
0,Miles Griffin
0,Sam Diffin
0,Sibo Wang
0,Sreekar Bommireddy
0,Tyler Randall
9,Foster Boales
11,Robert Roper
11,Matthew Shu
15,Mark Farid
17,Hayden Austin-Knab
25,Robert Hunt
42,Jon Fey
48,Andrew Fortier
50,Ross Barnes
50,William Johnson
71,Houston Shrader
84,Alex Shrader
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Ring of Fire,El Niño,13,3,"09/21/2019, 09:00",Pool A
Lost Boys,Swamp Horse,13,3,"09/21/2019, 09:00",Pool A
Ring of Fire,Swamp Horse,13,4,"09/21/2019, 10:50",Pool A
Lost Boys,El Niño,13,9,"09/21/2019, 10:50",Pool A
Ring of Fire,Lost Boys,13,9,"09/21/2019, 14:30",Pool A
El Niño,Swamp Horse,12,7,"09/21/2019, 14:30",Pool A
pool,Pool B
Chain Lightning,Turbine,13,7,"09/21/2019, 09:00",Pool B
H.O.G. Ultimate,Rush Hour ATL,9,13,"09/21/2019, 09:00",Pool B
Chain Lightning,Rush Hour ATL,13,6,"09/21/2019, 10:50",Pool B
H.O.G. Ultimate,Turbine,10,9,"09/21/2019, 10:50",Pool B
Chain Lightning,H.O.G. Ultimate,13,5,"09/21/2019, 14:30",Pool B
Turbine,Rush Hour ATL,11,8,"09/21/2019, 14:30",Pool B
pool,Pool C
Brickhouse,Bash Bros,13,9,"09/21/2019, 09:00",Pool C
UpRoar,Charleston Heat Stroke,13,7,"09/21/2019, 09:00",Pool C
Brickhouse,Charleston Heat Stroke,13,5,"09/21/2019, 10:50",Pool C
UpRoar,Bash Bros,13,7,"09/21/2019, 10:50",Pool C
Brickhouse,UpRoar,11,13,"09/21/2019, 14:30",Pool C
Bash Bros,Charleston Heat Stroke,9,13,"09/21/2019, 14:30",Pool C
pool,Pool D
Freaks,Ironmen,12,8,"09/21/2019, 09:00",Pool D
Tanasi,Bullet,13,9,"09/21/2019, 09:00",Pool D
Freaks,Bullet,13,5,"09/21/2019, 10:50",Pool D
Tanasi,Ironmen,11,9,"09/21/2019, 10:50",Pool D
Freaks,Tanasi,11,13,"09/21/2019, 14:30",Pool D
Ironmen,Bullet,13,9,"09/21/2019, 14:30",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Ring of Fire,Chain Lightning,13,10,"09/22/2019, 12:40",1st Place Finals
Ring of Fire,Tanasi,13,7,"09/22/2019, 09:00",1st Place Semis
UpRoar,Chain Lightning,6,13,"09/22/2019, 09:00",1st Place Semis
bracket,2nd Place Bracket
Chain Lightning,UpRoar,13,4,"09/22/2019, 14:30",2nd Place Finals
Tanasi,UpRoar,10,13,"09/22/2019, 12:40",2nd Place Semis
Tanasi,Brickhouse,13,11,"09/22/2019, 10:50",2nd Place Quarters
Freaks,UpRoar,7,13,"09/22/2019, 10:50",2nd Place Quarters
Brickhouse,El Niño,13,10,"09/22/2019, 09:00",2nd Place Prequarters
Lost Boys,Freaks,11,12,"09/22/2019, 09:00",2nd Place Prequarters
Brickhouse,Ironmen,13,10,"09/21/2019, 16:20",2nd Place Play In
El Niño,Turbine,11,9,"09/21/2019, 16:20",2nd Place Play In
Lost Boys,Rush Hour ATL,13,10,"09/21/2019, 16:20",2nd Place Play In
Charleston Heat Stroke,Freaks,6,13,"09/21/2019, 16:20",2nd Place Play In
bracket,7th Place
El Niño,Lost Boys,13,10,"09/22/2019, 10:50",7th Place
bracket,9th Place Bracket
Ironmen,Charleston Heat Stroke,0,0,"09/22/2019, 10:50",9th Place Finals
Ironmen,Turbine,12,10,"09/22/2019, 09:00",9th Place Semis
Rush Hour ATL,Charleston Heat Stroke,8,13,"09/22/2019, 09:00",9th Place Semis
bracket,11th Place
Turbine,Rush Hour ATL,12,11,"09/22/2019, 10:50",11th Place
bracket,13th Place Bracket
Bullet,H.O.G. Ultimate,0,0,"09/22/2019, 12:40",13th Place Finals
Swamp Horse,Bullet,9,14,"09/22/2019, 10:50",13th Place Semis
Bash Bros,H.O.G. Ultimate,12,13,"09/22/2019, 10:50",13th Place Semis
bracket,15th Place 
Swamp Horse,Bash Bros,0,0,"09/22/2019, 12:40",15th Place
b,r,e,a,k
