Presidents' Day Invite 2019,College - Women ,16,2,2019
La Jolla,CA,2019-02-16,2019-02-18
https://play.usaultimate.org/events/Presidents-Day-Invite-2019/schedule/Women/CollegeWomen/
California-San Diego,1
7,Liza  Hasan
8,Allison Liu
9,Mahalie Hill
10,Katiana Hutchinson
11,Megan Henderson
14,Elizabeth Rothrock
16,Ali Swafford
17,Laura Sheffield
19,Bailey Shigley
21,Saioa Lostra
22,Jordan Stockdale
23,Elnaz Navid
24,Riley Swift
26,Becky Nevin
33,Fiona Dragonfly
35,Britta Bergstrom
41,Katherine Macri
89,Camilla Hallin
93,Sarah Nadler
94,Mikayla Seaward
99,Zoe Collins Rath
b,r,e,a,k
Minnesota,9
teamInfo,Ninjas,"Minneapolis, Minnesota",http://ninjawomensultimate.weebly.com,https://www.facebook.com/NinjaWomensUltimate,https://twitter.com/NinjaUltimate
coaches,Carlos Lopez
0,Lilly Shapiro
05,Ellie Sjordal 
08,Erin McCann
12,Vivian Hett
13,Maggie Peck
14,Emma Jaschke
16,Carolyn Brand
17,Betty Stringfield
19,Sadie Reding
20,Sofie Fitzsimmons
21,Jane Koch
22,Rachel Elbing
30,Louise Beck
31,Lily Kelley
33,Kayla Blanek
34,Elise Gallup
39,Jessica Halverson
42,Mara Stephan
48,Macy Vollbrecht
69,Cassidy Krawczak-Kummrow
93,Sylvie Mercil
b,r,e,a,k
Southern California,16
teamInfo,Hellions of Troy,"Los Angeles, California",http://www.uscwomensultimate.com/,,https://twitter.com/USCHellions
0,Clara Zaragoza
0,Ivy Tsang
0,Jenna Matus
0,Juliana Tichota
0,Karissa Becer
0,Toko Weaver
3,Jessica Li
17,Georgia Cardosa
18,Sophia Zhou
19,Rachel Litz
25,Catherine Chung
28,Sydney Mayer
73,Caitlin Buckley
75,Sunshine Liu
99,Mia Tess
b,r,e,a,k
Cal Poly-SLO,12
teamInfo,SLO Motion,"San Luis Obispo, California",http://cpslomotion.org/,https://www.facebook.com/cpslomotion,
0,Christina Fong
0,Liat Kedar
0,Sarah Wix
0,Sherita Li
0,Stephanie Hamilton
6,Cecilia Girvin
7,Molly Cluff
9,Diana Swanson
10,Allison Seifert
12,Kelly Dickinson
14,Autumn Barker
15,Vanessa Beeler
16,Thalia Ward
17,Margaret  Kumler
20,Carly Dietsche
25,Elizabeth Rayco
27,Melanie Hardell
43,Chloe Li
53,Frances Belcher
76,Annie Joss
b,r,e,a,k
Stanford,6
teamInfo,Superfly),"Stanford, California",http://ultimate.stanford.edu,https://facebook.com/superflyulti,https://twitter.com/SuperflyUlti
coaches,Robin Davis,Jennie Lummis,Jamie Nuwer
0,Marianne Cowherd
1,Sidney Stevens
6,Carly Eckstrom
7,Emily Tucci
8,Hanna Yip
9,Penny Shi
10,Sesha McMinn
11,Bridget Connor
12,Rebecca Kestin
14,Sarah Kratzer
17,Marie Payne
22,Caroline McKee
28,Julia Kwak
33,Margaret Coad
50,Maika Isogawa
55,Elena Kamas
72,Rebecca Shen
84,Hallie Dunham
99,Xinzhi Zou
b,r,e,a,k
Utah,17
teamInfo,Spiral Jetty Ultimate,"Salt Lake City, Utah",modules/common/spiraljettyultimate.weebly.com/,https://www.facebook.com/pages/Spiral-Jetty-Ultimate/113676238733086,@spiraljettyulti
coaches,Tania Reitz,Jenni Ladutko,Christina Maruyama
03,Hanna Shluker
04,Alicia Dibble
05,Lucia Arambula
06,Lily Kim
07,Cameron Stukel
10,Sam Tan
11,Laura Brannan
12,Logan Radke
14,Beth Froerer
15,Lauren Burgess
17,Hannah Slind
18,Sage Migon
19,Hannah Bruns
23,Susan Truong
27,Allison  Qualls
28,Jess Olsen
33,Camille van Ginkel
34,Makayla Keate
41,Kyra Khoroujnikova
85,Camilla Wintch
b,r,e,a,k
California-Santa Barbara,7
teamInfo,Burning Skirts,"Goleta, California",https://ucsbburningskirts.webstarts.com/,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
0,Jennifer Bardwell
0,Jessica Barry
0,Julia Kwasnick
0,Kaitlyn Weaver
0,Kana Suzuki
0,Kelsey Pennington
0,Lauren Bedard
0,Leah Forester
0,Amber Lee
0,Audrey Brown
0,Crystal Lee
0,Elise Hou
0,Mika Leslie
0,Nicki Yang
0,Rachel Tatley
0,Terra Dressler
0,Emma Takeuchi
0,Yu Ishii
4,Elsa Winslow
5,Felicia Cruz
11,Jasmine Childress
34,Tessa Cortez
66,Maria Sutherland
b,r,e,a,k
Colorado College,10
teamInfo,Lysistrata's Tools,"Colorado Springs, Colorado",http://www.ccwomensultimate.com/index.html,https://www.facebook.com/StrataUltimate/,https://twitter.com/STRATAultimate
03,Ellen Buford
05,Carol  Newton 
06,Kathryn Omizo
07,Frances Gellert
08,Hallie  Conyers-Tucker
09,Marta Sola-Pfeffer
10,India Hilty
12,Kira Rain
13,Kiera Connelly
14,Stella Gardner
17,Ellie Rubinstein
18,Olivia Jacobson
19,Stella Biehl
20,Marlee Akerson
21,Hannah Scott
32,Westly Joseph
55,Liza Scher
64,Margo Keevil
99,Aidan Franko
b,r,e,a,k
San Diego State,18
teamInfo,SDSU Gnomes,"San Diego, California",http://arc.sdsu.edu/womens_frisbee/,https://www.facebook.com/sdsugnomes,https://twitter.com/sdsuGNOMES
0,Alyssa  Lepore
0,Annie Liddle Broberg
0,Ashley O'Keefe
0,Bailey Beech
0,Chloe Jorgensen
0,Cierra LeDuc
0,Isabel  Medina
0,Jasmine  Freund 
0,Jesse Jewell
0,Julia Heimburger
0,Kellie Logsdon
0,Kelly Jentis
0,Kelly Dunlay
0,Kristen Dunlay
0,Lauryn Jefferson
0,Mackenzie Young
0,Madeline Nelson
0,Malia Callero
0,Mithalee Thakkar
0,Morgan Denker
0,Samantha  Gonzalez 
0,Selena  Anton
0,Seran Krikorian
0,Shayne Jones
0,Sierra Sturken
0,Sonia Tasser
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play Standings
pool,Rain Pool A
Western Washington,Northwestern,9,6,"02/16/2019, 08:45",Rain Pool A,Final
California-San Diego,Northwestern,13,5,"02/16/2019, 10:00",Rain Pool A,Final
California-San Diego,Western Washington,9,5,"02/16/2019, 11:15",Rain Pool A,Final
pool,Rain Pool B
Vermont,California,9,8,"02/16/2019, 08:45",Rain Pool B,Final
Oregon,California,10,9,"02/16/2019, 10:00",Rain Pool B,Final
Oregon,Vermont,10,8,"02/16/2019, 11:15",Rain Pool B,Final
pool,Rain Pool C
Northeastern,UCLA,8,5,"02/16/2019, 07:30",Rain Pool C,Final
Texas,UCLA,7,4,"02/16/2019, 08:45",Rain Pool C,Final
Texas,Northeastern,8,7,"02/16/2019, 10:00",Rain Pool C,Final
pool,Rain Pool D
Minnesota,Southern California,12,0,"02/16/2019, 07:30",Rain Pool D,Final
Colorado,Southern California,13,2,"02/16/2019, 08:45",Rain Pool D,Final
Colorado,Minnesota,9,8,"02/16/2019, 10:00",Rain Pool D,Final
pool,Rain Pool E
Cal Poly-SLO,Utah,9,7,"02/16/2019, 11:15",Rain Pool E,Final
Stanford,Utah,8,6,"02/16/2019, 12:30",Rain Pool E,Final
Stanford,Cal Poly-SLO,5,8,"02/16/2019, 13:45",Rain Pool E,Final
pool,Rain Pool F
Colorado College,San Diego State,13,3,"02/16/2019, 11:15",Rain Pool F,Final
California-Santa Barbara,San Diego State,10,3,"02/16/2019, 12:30",Rain Pool F,Final
California-Santa Barbara,Colorado College,9,3,"02/16/2019, 13:45",Rain Pool F,Final
b,r,e,a,k
pools,Power Pool Standings
pool,Rain Pool G
Vermont,Northeastern,8,5,"02/17/2019, 08:45",Rain Pool G,Final
California-San Diego,Northeastern,11,6,"02/17/2019, 10:00",Rain Pool G,Final
California-San Diego,Vermont,10,3,"02/17/2019, 11:15",Rain Pool G,Final
pool,Rain Pool H
Western Washington,Minnesota,8,4,"02/17/2019, 08:45",Rain Pool H,Final
Oregon,Minnesota,8,7,"02/17/2019, 10:00",Rain Pool H,Final
Oregon,Western Washington,7,8,"02/17/2019, 11:15",Rain Pool H,Final
pool,Rain Pool I
California-Santa Barbara,Stanford,11,5,"02/17/2019, 07:30",Rain Pool I,Final
Texas,Stanford,6,8,"02/17/2019, 08:45",Rain Pool I,Final
Texas,California-Santa Barbara,4,10,"02/17/2019, 10:00",Rain Pool I,Final
pool,Rain Pool J
Cal Poly-SLO,Colorado College,11,4,"02/17/2019, 07:30",Rain Pool J,Final
Colorado,Colorado College,8,6,"02/17/2019, 08:45",Rain Pool J,Final
Colorado,Cal Poly-SLO,6,9,"02/17/2019, 10:00",Rain Pool J,Final
pool,Rain Pool K
UCLA,Utah,8,6,"02/17/2019, 07:30",Rain Pool K,Final
Northwestern,Utah,6,9,"02/17/2019, 08:45",Rain Pool K,Final
Northwestern,UCLA,3,9,"02/17/2019, 10:00",Rain Pool K,Final
pool,Rain Pool L
Southern California,San Diego State,2,7,"02/17/2019, 07:30",Rain Pool L,Final
California,San Diego State,8,2,"02/17/2019, 08:45",Rain Pool L,Final
California,Southern California,7,4,"02/17/2019, 10:00",Rain Pool L,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,(Rain) Championship Bracket
California-San Diego,California-Santa Barbara,11,4,"02/18/2019, 11:15",Finals,Final
California-San Diego,Cal Poly-SLO,12,7,"02/18/2019, 10:00",Semifinals,Final
California-Santa Barbara,Vermont,9,6,"02/18/2019, 10:00",Semifinals,Final
California-San Diego,Oregon,12,7,"02/17/2019, 12:30",Quarter Finals,Final
Cal Poly-SLO,Stanford,7,6,"02/17/2019, 13:45",Quarter Finals,Final
California-Santa Barbara,Colorado,11,8,"02/17/2019, 13:45",Quarter Finals,Final
Western Washington,Vermont,6,7,"02/17/2019, 12:30",Quarter Finals,Final
bracket,3rd Place
Cal Poly-SLO,Vermont,9,8,"02/18/2019, 11:15",3rd Place Finals,Final
bracket,5th Place Bracket
Oregon,Colorado,11,6,"02/18/2019, 11:15",5th Place Finals,Final
Oregon,Stanford,9,5,"02/18/2019, 10:00",5th Place Semis,Final
Colorado,Western Washington,7,6,"02/18/2019, 10:00",5th Place Semis,Final
bracket,7th Place 
Stanford,Western Washington,2,8,"02/18/2019, 11:15",7th Place Finals,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place Bracket
Northeastern,Minnesota,6,7,"02/17/2019, 16:15",9th Place Finals,Final
Northeastern,Colorado College,8,1,"02/17/2019, 15:00",9th Place Semis,Final
Minnesota,Texas,7,6,"02/17/2019, 15:00",9th Place Semis,Final
bracket,11th Place
Colorado College,Texas,2,7,"02/17/2019, 16:15",11th Place Finals,Final
bracket,Spirit Bracket
UCLA,California,8,5,"02/18/2019, 16:15",13th Place Finals,Final
UCLA,San Diego State,12,5,"02/18/2019, 15:00",13th Place Semis,Final
California,Utah,8,4,"02/18/2019, 15:00",13th Place Semis,Final
bracket,15th Place
San Diego State,Utah,1,0,"02/18/2019, 16:15",15th Place Finals,Final
bracket,17th Place
Northwestern,Southern California,7,2,"02/17/2019, 16:15",17th Place Finals,Final
b,r,e,a,k
