2026 Select Flight Invite East,Club - Mixed ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Mixed/Club-Mixed
Union,1
24,Christopher Letai
27,Irene Chen
40,Dyon Vega
43,Kian Thomasbeer
b,r,e,a,k
Asheville Parliament,5
teamInfo,,"Asheville, North Carolina",,,
0,Allison Bashford
0,Bailey Wu
0,Audrey Brown
0,Benjamin Gladstone
0,Claire Meyer
0,Isabela Galeano
0,Gwyn Kelley
0,Noel Holmes
0,Adam Carr
0,Tori Taylor
0,Leo Murray
4,Ashley West
10,Hannah Moore
12,Aidan Todd
14,Dillon Lanier
15,Matt Green
17,Randi Lesler
19,Lilli Gerber
24,Matthew Sui
29,Mark Stumpf
51,Chad Gerber
55,Dean Merritt
91,Samuel Fontaine
b,r,e,a,k
Zero Turn Lawnmower,12
teamInfo,,"Houston, Texas",,,
0,Anna Nelson
0,Christine Goh
0,Dylan Zeringue
0,Dagny Lott
0,Mithalee Thakkar
0,Robert Benson
0,Shiru Liu
0,Tyler Jacobson
2,Jeffrey  Zhou
3,Joseph Williams
5,Elise Franke
23,James Zuraw
23,Ann Nguyen
24,Shaun Seidenberger
26,Reshmi Patel
27,Emilie Williams
27,Jack Joshi
28,Nathan Machak
32,Lauren Schwartz
33,Monika Hershey
34,Mitchell Lutz
44,Anastasia Foster
55,Brock Thibodeaux
77,Caleb Dixon
b,r,e,a,k
Wild Card,4
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
0,Abigail Baier
0,Adam Alper
0,Amanda Leavey
0,Fernanda Brena
0,Iris Rukshin
0,Charlie Bushman
0,Emma Bushman
0,Dillon Cooke
0,Scott Dollen
0,Matthew Yee
0,Natalie Wheeler
0,Lucas Lytel
0,Katherine Connelly
0,Sakina Cotton
4,Alexander Curreri
7,Sarah Rifkin
10,Annika Chan
11,Timothy  Chango Gasset
13,Carolina Brager
13,Tenley Abbott
16,Jacob Arons
22,Gina Pryciak
24,Wyatt Brooks
24,Pablo Reimers
25,Ilya Yudkovich
42,Liam Gallinagh
b,r,e,a,k
Anthem,6
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/profile.php?id=100090895539227&mibextid=LQQJ4d,https://twitter.com/AnthemUltimate/status/1617652961299279872?s=20&t=gFOPhZpWzglqQWxTQUxcTA
0,Andrew Creighton
0,Anne Saba
0,Joe Donovan
0,Margaret Zuelsdorf
0,Jeanette Meek
0,Emily Yue Liang
0,Stephanie Creighton
0,Mitchell Lauer
0,Raizl Campbell
0,Sean McDermott
0,Matias Ng
0,Warner Brockman
0,Claudia Wang
0,Tobey Patton
9,Jason Hawkins
10,Elias White
12,Shai Brown
13,Charlotte Krisetya
19,Kyle Morgan
33,Isabella Wahl
35,Sherry Chen
71,Elizabeth Bowen
73,Mark Flores
b,r,e,a,k
Fatal Attraction,13
teamInfo,,"Omaha, Nebraska",,,
0,Jacob Whempner
0,Eliora Kwok
1,Emily Anderson
2,Luke Walsdorf
3,Sean Rock
4,Richelle Rock
8,Grant Maynard
9,Ellie Stone
12,Christa Fisher
15,Nich Rush
18,Cassi Vallis
19,Stewart Buckley
23,David Forsyth
27,Cat  Henning
30,Aaron Bowles
31,Michaela Ott
32,Nicole Lenczowski
34,Austin Phinney
39,Thomas Sitorius
54,Eamon  Sughroue
55,Derek Vallis
56,Kate Blankenship
77,Kayla Anderson
87,Reid Sindelar
99,Grant Dunbar
b,r,e,a,k
Minnesota Star Power,11
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
0,Ashleigh Dunlop
0,Cody Kelker
0,Joey Tillman
0,Molly Schwartz
0,Marissa McFadden
0,Lola Norvell
0,Peter Rogers
0,Tavis Leighton
0,Rachel Thompson
0,Steven Anderson
0,Rebecca Kline
0,Tomomi Perry
1,Cole Jensen
4,Luke  Youngdahl
8,Joseph Kosterman
12,Erin McFadden
13,Danica Porter
14,Lucas Kempf
16,Lisa Barnes
21,Tyler Mahony
29,Kelsey Peterson
35,Shaun LaFrance
40,Thomas Walker
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Union,FlyTrap,15,11,"07/25/2026, 09:30",Pool A,Final
Steamboat,CLX,10,11,"07/25/2026, 09:30",Pool A,Final
Union,CLX,15,5,"07/25/2026, 11:30",Pool A,Final
Steamboat,FlyTrap,14,13,"07/25/2026, 11:30",Pool A,Final
Union,Steamboat,15,6,"07/25/2026, 13:45",Pool A,Final
FlyTrap,CLX,15,7,"07/25/2026, 13:45",Pool A,Final
pool,Pool B
'Shine,Chicago Parlay,15,8,"07/25/2026, 09:30",Pool B,Final
Big Rig,RAMP,15,11,"07/25/2026, 09:30",Pool B,Final
'Shine,RAMP,12,13,"07/25/2026, 11:30",Pool B,Final
Big Rig,Chicago Parlay,15,4,"07/25/2026, 11:30",Pool B,Final
'Shine,Big Rig,10,13,"07/25/2026, 13:45",Pool B,Final
Chicago Parlay,RAMP,12,14,"07/25/2026, 13:45",Pool B,Final
pool,Pool C
Pittsburgh Port Authority,Zero Turn Lawnmower,15,9,"07/25/2026, 09:30",Pool C,Final
Asheville Parliament,Spice,11,12,"07/25/2026, 09:30",Pool C,Final
Pittsburgh Port Authority,Spice,15,12,"07/25/2026, 11:30",Pool C,Final
Asheville Parliament,Zero Turn Lawnmower,14,10,"07/25/2026, 11:30",Pool C,Final
Pittsburgh Port Authority,Asheville Parliament,13,9,"07/25/2026, 13:45",Pool C,Final
Zero Turn Lawnmower,Spice,11,13,"07/25/2026, 13:45",Pool C,Final
pool,Pool D
Wild Card,Minnesota Star Power,15,10,"07/25/2026, 09:30",Pool D,Final
Anthem,Fatal Attraction,15,8,"07/25/2026, 09:30",Pool D,Final
Wild Card,Fatal Attraction,15,7,"07/25/2026, 11:30",Pool D,Final
Anthem,Minnesota Star Power,14,15,"07/25/2026, 11:30",Pool D,Final
Wild Card,Anthem,15,7,"07/25/2026, 13:45",Pool D,Final
Minnesota Star Power,Fatal Attraction,10,15,"07/25/2026, 13:45",Pool D,Final
b,r,e,a,k
brackets,Select Flight Invite East Championship
bracket,Championship
Union,RAMP,0,0,"07/26/2026, 08:30",Quarterfinals,Scheduled
Spice,Wild Card,0,0,"07/26/2026, 08:30",Quarterfinals,Scheduled
Pittsburgh Port Authority,Anthem,0,0,"07/26/2026, 08:30",Quarterfinals,Scheduled
FlyTrap,Big Rig,0,0,"07/26/2026, 08:30",Quarterfinals,Scheduled
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
bracket,Ninth Place Bracket
'Shine,CLX,15,5,"07/26/2026, 08:30",Ninth Place Quarterfinals,Final
Minnesota Star Power,Asheville Parliament,0,0,"07/26/2026, 08:30",Ninth Place Quarterfinals,Scheduled
Fatal Attraction,Zero Turn Lawnmower,0,0,"07/26/2026, 08:30",Ninth Place Quarterfinals,Scheduled
Chicago Parlay,Steamboat,0,0,"07/26/2026, 08:30",Ninth Place Quarterfinals,Scheduled
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
