Needle in a Ho-Stack 2026,College - Men ,14,3,2026
Oxford,OH,2026-03-14,2026-03-15
https://play.usaultimate.org/events/Huckleberry-Flick-2026/schedule/Women/CollegeWomen/
North Carolina-Charlotte,1
0,Gunnison Sweeney
0,Jordan Spencer
0,Karsten Lin
0,Liam Schwartz
0,Magnus Moseley
0,Raphael de Beco
0,Reese Martin
0,Roberto Reinoso
0,Tyler Goldner
0,Vinay Venkatesh
0,Will Boozang
0,Winston Prescott
0,Micah Choi
0,Nilay Patel
0,Otto Schoenthal
1,Dev Shah
3,Evan Hostetler
17,Matthew Rock
22,Chris Zhang
33,Bennett Hartley
37,Philip Warren
78,Zach D'Uva
b,r,e,a,k
South Carolina (B),20
teamInfo,South Carolina,"Columbia, South Carolina",,https://www.instagram.com/dirtybirdsultimate,https://www.twitter.com/DirtyBirdsUSC
0,Metehan Tarhan
0,Ryan Hays
7,Caspar Tarr
17,Drayson Macdonald
18,Cole Glenn
20,Nathan Skinner
39,Hayden Fulcher
44,Zion Payne
46,Christian  Wolff
66,George Cerimele
75,Logan Eidell
97,Morgan Ramirez
98,Kaden Moracco
b,r,e,a,k
High Point,23
teamInfo,High Point University Bagheera,"High Point, North Carolina",,,
0,Alexander Wallace
0,Austin Easterly
0,Dominic Desiderioscioli
0,Gracie Bruyere
0,Graham McQuade Sharleville
0,Izumi Funahashi
0,Joshua Brown
0,Katharina Kerkenbush
0,Logan De Souza
0,Max Kurze
0,Nathan Dreitlein
0,Nicholas Bailey
0,Nicholas Mair
0,Parker Nyboer
0,Rahil Fulara
0,Sebastian Contreras
0,Tyler Rogers
7,Paul Cusumano
9,Madison Hill
12,Jack O'Donnell
37,Sam Pomeroy
b,r,e,a,k
Georgia Tech (B),15
teamInfo,Tribe,"Atlanta, Georgia",,,
0,Dante Santaniello
0,David Bears
0,Earl Harris
0,Eric Chang
0,Ethan Rodriguez
0,Ethan Pickle
0,Evan Monaghan
0,Isaac  Hoshide
0,Ishaan Madhivanan
0,Jack Lam
0,Akash Singhal
0,Avery Smith
0,Collin McGee
0,Jonah Wu
0,Kieran Abbott
0,Lawrence Skow
0,Lucas Pawloski
0,Luke Tu
0,Abhay Chauhan
0,Miles Green
0,Ryan Schaum
0,Shivansh Sharma
0,Zheng Robert Jia
2,Jaemin Park
7,Nathan Lee
8,Jaimin Reddy
11,Thomas Ciaccia
13,Aidan Pietruszka
14,Marcus Hawley
42,Connor Prather
b,r,e,a,k
North Carolina State (B),16
teamInfo,SixPack,"Raleigh, North Carolina",,,http://@NCSUSixPack
0,Aanand Yu
0,Charan  Relangi
0,Everett  Lain
0,Graden  O’Connor
0,Luke Cashin
0,Maddox Bass
0,Xavier Binkowski
1,Ryan Chen
3,John Morris
5,Noah Anderson
6,James Heritage
7,Justin Wieties
11,Cameron Beaver
13,Joshua Hester
14,Christian Mcgee
22,Matthew Degele
29,Alex Hammond
48,Charles Brooks
52,Thomas Baumler
62,Rhett Stevens
89,Jackson  Driver
b,r,e,a,k
East Tennessee State,19
teamInfo,Dry Bones,"Johnson City, Tennessee",,,
0,John Lea
1,Luke  Blaylock
2,Jarom Bush
7,Caleb Batchelder
8,Joshua Tucker
9,Dylan Whitaker
10,Leonardo Ramos
12,Maddox Delos Santos
14,Ben Searcy
16,Carter Twiner
21,Isaac Whicker
24,Reagan McNeill
26,Alexander Simmons
27,Asher Williams
86,Noah  Landry
99,Elijah Bragg
b,r,e,a,k
North Carolina-Charlotte (B),24
teamInfo,Underground,"Charlotte, North Carolina",,https://www.facebook.com/groups/UNCCfrisbee/,
0,Bryce Clay
0,Eli Curinga
0,Jack Lowe
0,Jeremiah Harper
0,Joseph Carey
0,Kalen Jenkins
0,Peter Compton
0,Vito Fandozzi
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
North Carolina-Charlotte,South Carolina,0,0,"03/28/2026, 08:30",Pool A,Scheduled
Florida State,Georgia State,0,0,"03/28/2026, 08:30",Pool A,Scheduled
North Carolina-Charlotte,Georgia State,0,0,"03/28/2026, 11:30",Pool A,Scheduled
Florida State,South Carolina,0,0,"03/28/2026, 11:30",Pool A,Scheduled
North Carolina-Charlotte,Florida State,0,0,"03/28/2026, 13:00",Pool A,Scheduled
Georgia State,South Carolina,0,0,"03/28/2026, 13:00",Pool A,Scheduled
pool,Pool B
Tennessee-Chattanooga,Miami (Florida),0,0,"03/28/2026, 08:30",Pool B,Scheduled
Appalachian State,North Carolina (B),0,0,"03/28/2026, 08:30",Pool B,Scheduled
Tennessee-Chattanooga,North Carolina (B),0,0,"03/28/2026, 11:30",Pool B,Scheduled
Appalachian State,Miami (Florida),0,0,"03/28/2026, 11:30",Pool B,Scheduled
Tennessee-Chattanooga,Appalachian State,0,0,"03/28/2026, 13:00",Pool B,Scheduled
North Carolina (B),Miami (Florida),0,0,"03/28/2026, 13:00",Pool B,Scheduled
pool,Pool C
Franciscan,Asbury,0,0,"03/28/2026, 08:30",Pool C,Scheduled
Alabama,East Carolina,0,0,"03/28/2026, 08:30",Pool C,Scheduled
Franciscan,East Carolina,0,0,"03/28/2026, 11:30",Pool C,Scheduled
Alabama,Asbury,0,0,"03/28/2026, 11:30",Pool C,Scheduled
Franciscan,Alabama,0,0,"03/28/2026, 13:00",Pool C,Scheduled
East Carolina,Asbury,0,0,"03/28/2026, 13:00",Pool C,Scheduled
pool,Pool D
Clemson,George Washington (B),0,0,"03/28/2026, 10:00",Pool D,Scheduled
Wake Forest,Embry-Riddle,0,0,"03/28/2026, 10:00",Pool D,Scheduled
Clemson,Embry-Riddle,0,0,"03/28/2026, 11:30",Pool D,Scheduled
Wake Forest,George Washington (B),0,0,"03/28/2026, 11:30",Pool D,Scheduled
Clemson,Wake Forest,0,0,"03/28/2026, 13:00",Pool D,Scheduled
Embry-Riddle,George Washington (B),0,0,"03/28/2026, 13:00",Pool D,Scheduled
pool,Pool E
George Washington,High Point,0,0,"03/28/2026, 10:00",Pool E,Scheduled
Northeastern (B),South Carolina (B),0,0,"03/28/2026, 10:00",Pool E,Scheduled
George Washington,South Carolina (B),0,0,"03/28/2026, 11:30",Pool E,Scheduled
Northeastern (B),High Point,0,0,"03/28/2026, 11:30",Pool E,Scheduled
George Washington,Northeastern (B),0,0,"03/28/2026, 13:00",Pool E,Scheduled
South Carolina (B),High Point,0,0,"03/28/2026, 13:00",Pool E,Scheduled
pool,Pool F
Georgia Tech (B),North Carolina-Charlotte (B),0,0,"03/28/2026, 10:00",Pool F,Scheduled
North Carolina State (B),East Tennessee State,0,0,"03/28/2026, 10:00",Pool F,Scheduled
Georgia Tech (B),East Tennessee State,0,0,"03/28/2026, 11:30",Pool F,Scheduled
North Carolina State (B),North Carolina-Charlotte (B),0,0,"03/28/2026, 11:30",Pool F,Scheduled
Georgia Tech (B),North Carolina State (B),0,0,"03/28/2026, 13:00",Pool F,Scheduled
East Tennessee State,North Carolina-Charlotte (B),0,0,"03/28/2026, 13:00",Pool F,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
bracket,11th Place
bracket,13th Place
bracket,15th Place
bracket,17th Place
bracket,19th Place
bracket,21st Place
bracket,23rd Place
b,r,e,a,k
