Metro East D-I College Men's Regionals,College - Men ,25,4,2026
Middletown,NY,2026-04-25,2026-04-26
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Yale,1
02,Donovan Dargan
03,Owen Castor
04,Alexander Miller
06,Miguel Leal
07,Kazuma Lomanto
09,Ryan Deveraux
10,Ian Lupejkis
16,Luke Youngmann
17,Tyler Stack
21,Ryan Peterson
24,Nathaniel Wheeler
26,Benjamin Rosenberg
32,David Atakora
33,Brandon  Patanjo
41,Michael Miller
49,Connor Allen
50,Justin Ault
67,Matteo Abalo
69,Joel Kaiser
78,gavin morse
78,Tristan Brahm
85,Ian Johnson
88,Evan Gorthy
b,r,e,a,k
Ottawa,2
teamInfo,Gee-Gees,"Ottawa, Ontario CA",,https://www.facebook.com/GeeGeeMensFrisbee,
0,Félix Desrosiers
0,Grady Avarell
0,Evan Zhuang
0,Andreas Carneiro
0,Grant Hui
0,Kiran Smith
0,Kyle Moore
00,Ryan Burns
00,Nathan Griezic
00,Vijuut Giritharan
00,Marc-Antoine Larouche
00,Alexis Plourde
00,Ennio Ciambella
00,Nicholas Gohar
00,Theo Gobeil
00,Roth Mohring
00,Noah Berube
00,Jack Beech
00,Ilusha Andreev
00,Jackson Heard
00,Kaeden Ireland
00,Jaden Fielding
00,Kaleb Schakelaar
83,Maxime Ayad
b,r,e,a,k
Columbia,11
teamInfo,Uptown Local,"New York, New York",http://www.columbia.edu/cu/ultimate/?DB_OEM_ID=9600,https://www.facebook.com/CU.uplo/,https://twitter.com/CU_Uplo
coaches,Chris Nelson,Emma Chin
0,Abraham Stillman
0,Andrew Silberstein
0,Bear Mahgel-Friedman
0,Ari Stockwell
0,Cami Patrick
0,Eli Stabler
0,Joseph McNiff
0,Matthew Ramirez
0,Ricardo Lozano
0,Rhodes Boester
0,Wenchao Zhu
0,Ryan Bian
00,Owen Dulac
00,Carlos Cepeda-Diaz
00,Leonid Zubarev
00,William Chung Park
00,Kei Obata
00,Philip Rollhaus
00,Jackson Bramlette
00,Julian Esler
00,Ezra Gordon
00,Benjamin Wang
05,Isaac Stiepleman
47,Derrick Aznar
b,r,e,a,k
RIT,7
teamInfo,RIT Spudheds,"Rochester, New York",,http://www.facebook.com/ritspudheds,http://www.twitter.com/spudheds
0,Aidan Hearn
00,Ethan Silver-Riskin
00,Andrew Wagner
00,Bailey Sweetser
00,Aarav Patel
00,Adam Rigdon
00,Alden Birkett
00,Dylan Theroux
00,Andrew George
00,Ryan McManus
00,Jack Lowrey
00,Nicholas Deis
00,Nathan Begly
00,Ethan Denlinger
00,Alan Whittemore
00,Liam Jensen
00,Paul Anzelone
00,Logan Kelly
00,Ian Thompson
00,Joseph  Carney
00,Noah Van Scoy
00,James Jordan
00,Rio Coursen
00,Kevin Botsis
00,Ruth Spilman
00,Stephen Sampson
00,Tyler Gardner
00,William Holaday
05,Jackson Baldwin
14,Kameron Kuszlyk
34,Adrian Ricketts
47,Anthony Patti
77,Desmond Longsmith
b,r,e,a,k
Rowan,14
teamInfo,Ruf Riders,"Glassboro, New Jersey",https://www.instagram.com/rowan.ultimate/,https://www.facebook.com/RowanUltimate,https://twitter.com/Rowan_Ultimate
coaches,Brandon Bergman
0,Alexander DaGrossa
0,Anmol Sidhu
0,Braden Wetzler
0,derica su
0,Chris Korneyev
0,Luke Brendle
00,Colin Graves
00,Chazz Ruiz
00,Brennan Coulton
00,Stephen  Fasolo
07,Lucas Thomas
08,Brenden Hershman
10,Robert Callahan
14,Ryan McManus
17,Francis Luby
24,Benjamin Idzahl
25,Liam Mitchko
28,Logan Trayner
33,Brendan Engelhardt
99,Russell Williams
b,r,e,a,k
Syracuse,3
teamInfo,Doom,"Syracuse, New York",,,
0,Christopher Kilbridge
0,Charles Aubitz
0,Cedar Conly
0,John Vanderwege
0,Kfir Shoham
0,Grady Bosch
0,Julian  Bosco
0,Joseph Chura
0,Alexander O’Neil
0,Austin Chang
0,Zane Levy
0,Quinn Daly
0,Nicholas Rubino
0,Ross DiOrio
0,Samuel Sutton
0,Risen Zhang
0,Nathan Greenwald
00,Sawyer Falkenbush
07,Dean Lourenco
07,James Tibolla
10,Casey Kelley
11,Eamon Conneely
30,Silas  Johnson
42,Micah Scheinkman
b,r,e,a,k
SUNY-Buffalo,6
teamInfo,Green Eggs and Ham,"Buffalo, New York",,https://www.facebook.com/buffaloultimate/,https://twitter.com/gehultimate
coaches,Timothy (TJ) Burns,Benson Chen,Nick Lenhard,Eoin Joyce
0,Matthew DeBlasi
0,Kleo Nelson
0,Sean Carroll
0,Zi Cong Tan
6,Michael Hann
00,Michael Warsaw
00,Thomas Graham
00,Neil Lin
00,Sean O'Malley
00,Noah Reifenheiser
00,Nick Wong
00,Joey Puma
00,Joseph LaMacchia
00,Isaiah Welch
00,Joshua DiNicola
00,Joshua Bertie
00,Braden Santaguida
00,Chi Huan Lei
00,Colton Zack
00,Elliot Rivera
00,Devin Hendricks
00,Elias McQuade
00,Evan Bembenista
10,Ollintzin Mortera
11,Tyler Hau
b,r,e,a,k
Rutgers,10
teamInfo,Machine,"New Brunswick, New Jersey",http://rutgersultimate.com,,
coaches,Tanner Yuhas
0,Liam Caswell-Klein
01,Jiayu Zhou
02,Achilles Tu
03,Tyler Mackey
04,Alexander Chen
06,Charles Conner
07,Vishal Anand
08,Praneeth Vijayakumar
10,Dahan Miao
11,Gavin Barboza
12,Marc Gliatto
16,Josh Kelly
18,Shiloh Duan
19,Anthony Nunez
21,Ari Sluder
23,Eric  Gomez
24,Eric Yu
25,Alston Dong
26,Andrew Somers
27,Jinhu Chung
28,Jacob Romero
30,Eric Hu
31,Andrei Grigorian
32,Brandon Jawor
33,Linus Kucer
67,Junxi Song
77,Ryan  Jawor
86,Jason Furbee
91,Siyu Ouyang
99,Theodore Rotberg
b,r,e,a,k
SUNY-Buffalo (B),15
teamInfo,Buffalo Grinch,"Buffalo, New York",,,
0,Arya Vadnere
0,Daniel Harrison
0,Desmond Siraisi
0,Andrew Zhao
0,Jonah Hecker
0,Dylan Cloen
0,Emmett Farrell
0,Waylan Meyer
0,Nicholas Scheel
0,Nicholas Ducey
0,Luke Fragetta
0,Griffin Fielding
00,Jasraj Singh
00,John Mc Guinness
00,Risdon Muther Reed
00,Nate Sciara
00,Samuel Stringer
00,William Rauch
00,Aiden Weisgerber
00,Killian Hannigan
03,Carter LaFond
07,Nicolas Angulo Stevenson
18,Ethan  Snyderman
b,r,e,a,k
SUNY-Binghamton,4
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
00,Aaron Damsky
00,Aaron Miller
00,Charles Labarge
00,Aidan Perez
00,Cavan Hicks
00,Ethan Fried
00,Leopold Fell
00,Maxwell Cheung
00,Leo Gallagher
00,John Edom
00,Jason Berozi
00,Patrick Pellittiere
00,Quinlan Schultz
00,Peter Conelli
00,Yuval Hermoni
00,Ryan Feile
00,Samuel Miller
06,Ryan LaBonte
06,Ari Wechsler
40,James Pardo
54,Dylan Guzman
64,Ryan Carter
72,Neil  Costa
b,r,e,a,k
Cornell,5
teamInfo,Buds,"Ithaca, New York",https://www.instagram.com/budsultimate/,https://www.facebook.com/CornellBudsUltimate/,https://twitter.com/BudsUltimate
0,Ian Olenich
0,Nathan Bol
00,William Canlis
00,Ethan Zhao
00,Jaden Zou
00,Milan Grbovic
00,Nate Haris
00,Miles Lamble
00,Sam Karmarkar
00,Zachary Cheslock
00,Ethan Roitman
00,Bobby Henkelmann
00,Benjamin Packard
00,Ben Soriano
00,Maxwell Majersik
00,Kazim Hall
00,Grzegorz Guron
01,Simon Alford
03,Parker Ashworth
06,Thomas Meyer
15,Dylan Kenniff
22,Tyler Sprague
27,Benjamin Nusbaum
64,Leo Xiao
99,Milo Rappoport
b,r,e,a,k
Princeton,9
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Bennett Ross
0,Benjamin Gitai
0,Eliot Witherspoon
0,Justin Bao
0,Ghazanfar Jr Kiani
0,Mustafa Siddiqui
0,Peter Calone
0,Sean Egan
0,Nedim Begovic
0,Peter Renga
0,Yao Xiao
0,Sam Silliman
0,Liam Walsh
0,Yunchang Zhang
00,Roni Shaham
00,Megan Morales
00,Kushaan Bahl
00,Will Norton
00,Sean Hession
00,Samuel Hilbert
00,Jason Chinitz-Mital
00,Jonathan Tran
00,Dane Utley
00,Isaiah Fletcher
00,Jack Noymer
00,Alexander Khoretonenko
00,Andrew Oliver
00,Brendan McCluskey
00,Christian Ganter
b,r,e,a,k
Hofstra,16
teamInfo,Flying Dutchmen,"Hempstead, New York",,,http://@HUFDUltimate
0,Aidan Sullivan
0,Benjamin Buch
0,Lucas Sampo
0,Patrick Bruso
0,Daniel Persaud
0,Raisie Rivera
0,Sydnie Martin
3,Robert Beanland
00,Robert Shea
00,Timothy Chang
00,Sam Rork
00,Parker Hipp
00,Sam Gibney
00,Steven Samuel
00,Will Jones
00,Matthew Arshad
00,Christopher  Shea
00,Christina Kyprianou
00,Jake Olney
00,Julia Mills
00,David Addison
00,Eevie Silvia
00,Finn Mathews
09,Ferrick Robertson
36,Elisheva Kusayeva
38,Caleb Rockhill
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Yale,NYU,15,7,"04/25/2026, 09:00",Pool A,Final
Connecticut,SUNY-Albany,15,6,"04/25/2026, 09:00",Pool A,Final
Yale,SUNY-Albany,15,8,"04/25/2026, 11:00",Pool A,Final
Connecticut,NYU,15,10,"04/25/2026, 11:00",Pool A,Final
Yale,Connecticut,15,10,"04/25/2026, 13:00",Pool A,Final
NYU,SUNY-Albany,15,8,"04/25/2026, 13:00",Pool A,Final
pool,Pool B
Ottawa,Columbia,15,0,"04/25/2026, 09:00",Pool B,Final
RIT,Rowan,13,7,"04/25/2026, 09:00",Pool B,Final
Ottawa,Rowan,15,1,"04/25/2026, 11:00",Pool B,Final
RIT,Columbia,11,13,"04/25/2026, 11:00",Pool B,Final
Ottawa,RIT,15,4,"04/25/2026, 13:00",Pool B,Final
Columbia,Rowan,15,10,"04/25/2026, 13:00",Pool B,Final
pool,Pool C
Syracuse,Rutgers,15,8,"04/25/2026, 09:00",Pool C,Final
SUNY-Buffalo,SUNY-Buffalo (B),15,2,"04/25/2026, 09:00",Pool C,Final
Syracuse,SUNY-Buffalo (B),15,4,"04/25/2026, 11:00",Pool C,Final
SUNY-Buffalo,Rutgers,10,11,"04/25/2026, 11:00",Pool C,Final
Syracuse,SUNY-Buffalo,12,13,"04/25/2026, 13:00",Pool C,Final
Rutgers,SUNY-Buffalo (B),15,6,"04/25/2026, 13:00",Pool C,Final
pool,Pool D
SUNY-Binghamton,Princeton,15,9,"04/25/2026, 09:00",Pool D,Final
Cornell,Hofstra,15,2,"04/25/2026, 09:00",Pool D,Final
SUNY-Binghamton,Hofstra,15,0,"04/25/2026, 11:00",Pool D,Final
Cornell,Princeton,15,3,"04/25/2026, 11:00",Pool D,Final
SUNY-Binghamton,Cornell,14,12,"04/25/2026, 13:00",Pool D,Final
Princeton,Hofstra,14,7,"04/25/2026, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Metro East Championship
Yale,Syracuse,15,11,"04/26/2026, 13:00",Championship Finals,Final
Yale,SUNY-Buffalo,14,13,"04/26/2026, 11:00",Semifinals,Final
Syracuse,Ottawa,12,9,"04/26/2026, 11:00",Semifinals,Final
Yale,Rutgers,14,10,"04/26/2026, 09:00",Quarterfinals,Final
SUNY-Buffalo,SUNY-Binghamton,10,9,"04/26/2026, 09:00",Quarterfinals,Final
Syracuse,Cornell,14,13,"04/26/2026, 09:00",Quarterfinals,Final
Princeton,Ottawa,3,15,"04/26/2026, 09:00",Quarterfinals,Final
Columbia,Rutgers,8,13,"04/25/2026, 15:00",Prequarters,Final
SUNY-Buffalo,RIT,13,12,"04/26/2026, 15:00",Prequarters,Final
NYU,Cornell,4,15,"04/25/2026, 15:00",Prequarters,Final
Princeton,Connecticut,12,7,"04/25/2026, 15:00",Prequarters,Final
bracket,Third Place
SUNY-Buffalo,Ottawa,7,15,"04/26/2026, 13:00",Third Finals,Final
bracket,Fifth Place
SUNY-Binghamton,Cornell,15,14,"04/26/2026, 13:00",Fivals,Final
Rutgers,SUNY-Binghamton,8,15,"04/26/2026, 11:00",Semifivals,Final
Cornell,Princeton,14,13,"04/26/2026, 11:00",Semifivals,Final
bracket,Seventh Place
Rutgers,Princeton,0,0,"04/26/2026, 13:00",Seventh Finals,Final
bracket,Ninth Place
Connecticut,NYU,9,8,"04/26/2026, 11:00",Ninals,Final
Columbia,Connecticut,10,15,"04/26/2026, 09:00",Semininals,Final
NYU,RIT,15,14,"04/26/2026, 09:00",Semininals,Final
bracket,Eleventh Place
Columbia,RIT,10,9,"04/26/2026, 11:00",Eleventh Finals,Final
b,r,e,a,k
pools,Consolation Pool
pool,Sunday Round Robin
SUNY-Albany,SUNY-Buffalo (B),15,10,"04/26/2026, 09:00",Sunday Round Robin,Final
Rowan,Hofstra,15,4,"04/26/2026, 09:00",Sunday Round Robin,Final
SUNY-Albany,Hofstra,15,4,"04/26/2026, 11:00",Sunday Round Robin,Final
Rowan,SUNY-Buffalo (B),15,5,"04/26/2026, 11:00",Sunday Round Robin,Final
SUNY-Albany,Rowan,7,12,"04/26/2026, 13:00",Sunday Round Robin,Final
SUNY-Buffalo (B),Hofstra,8,12,"04/26/2026, 13:00",Sunday Round Robin,Final
b,r,e,a,k
