Heavyweights 2026,Club - Mixed ,11,7,2026
Aurora,IL,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Heavyweights-2026/schedule/Mixed/Club-Mixed
Chicago Parlay,1
15,Caroline Bach
17,Anna Martinello
18,Kelly Kulig
19,Emily Molloy
20,Ellie Lind
22,Charles Peretti
24,Courtney Rachke
32,Sean McSweeney
33,Christopher Asta
47,Penelope Wu
56,DeAngelo Barragan
70,Peter Walsh
71,Matt Gubernick
75,Quinn Kahle
93,Katy Ross
b,r,e,a,k
Northern Comfort,11
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
0,Allison Neumann
0,Elliott Blackburn
0,Charles Overdevest
0,Carson Batchelor
0,Kelci Saele
0,Liam VandeZande
0,Josephine Strauss
8,Matt Maksimoski
8,Rozelynn Becker
14,Jackson Seltzer
19,Austin Johnson
24,Andrew Fischer
47,Olivia Casper
b,r,e,a,k
Dispatch,14
teamInfo,,"Columbus, Ohio",,,
0,Andrew Bustle
0,Anna Weiss
0,Ben Sever
0,Arden Piepho
0,Carter Limbert
0,Jennifer Perry
0,Gordon (Gordy) Sjostrom
0,Corinn Rains
0,Joseph Rains
0,Hannah Wilder
0,Nathan Morgan
0,Rachel Hasseltine
0,Walker Branson
0,Morgan Vogler
5,Milo Eder
12,Natalie Fancher
14,David Butz
16,Elizabeth Burkhardt
37,Tony Donato
39,Christopher Arevalo
69,Eric Shershen
72,Shane Spiegel
b,r,e,a,k
Arms Race,23
teamInfo,,"Iowa City, Iowa",https://www.instagram.com/icarmsrace,,
0,Ashley Schlapper-Sevcik
0,Christopher Ryan
0,Bea Allison
0,Nicole Johnson
0,Niko Vamvakides
0,Hannah Rust
0,Vicky Harris
0,Skylar Hoffman
7,Justin Wieties
8,Jordan Keller-Wilson
19,Mike Keller-Wilson
21,James Hean
22,David Lopez
25,Devin Nolte
31,Scott Hetu
44,Anna Lane
57,Gracie Gardner
b,r,e,a,k
CLX,3
teamInfo,,"Ames, Iowa",,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Ethan Levine
1,Camden Boyde
2,Logan Grothus
3,Elle Stewart
6,Tara Lamb
9,Charlie Hubbard
10,David Dalton
11,Piers Collier
13,Mia Jones
16,Marissa Glodosky
19,Kaitlyn Gehrels
23,Kelli Bormann
28,Alex Gustafson
29,Adam Levine
33,Sean Fjellman
40,Taylor Hanson
41,Brian Goode
42,Maeve Maher
52,Solomon Golden
61,Jayna Wanamaker
b,r,e,a,k
Queen City Gambit,10
teamInfo,,"Cincinnati, Ohio",,,
0,Aislinn DeSieghardt
0,Cori LaMere
0,Janey Vandegrift
0,Maddie Clark
0,Wesley  Sexton
3,Mallory Clark
11,Lloyd Goldstein
18,Lydia Riddell
19,Nate Montgomery
20,Dave Richmond
21,Morgan Novean
25,Nick Siegert
27,Jacob Royster
32,Lexi Yearout
63,Katherine Fry
b,r,e,a,k
Mad Udderburn,15
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,Alex Henige
0,Alex Larsen
0,Abigail O'Callaghan
0,Abby Davison
0,Emma Elliot
0,Eva Eckel
0,Brittany Hoegh
0,Matthias Culbertson
0,Sarah Ross
0,Shae Westman
0,Lauren Saulino
0,Miya Wai
4,Joey Knutson
5,Adam Klopfenstein
13,Preet Talwar
19,Peter Reinhart
22,Aaron Stettner
28,August Wietfeldt
29,Gabriela Stark-Torrentera
29,Peter Scott
38,Emma Marrs
59,Nicholas Gerber
95,Glenn Poole
b,r,e,a,k
Skyhawks,22
teamInfo,,"South Bend, Indiana",,,
04,Samuel Easley
05,Carolyn Rivero
06,Isaac Howk
08,Katy Ashpole
10,Emily Theisen
13,Gage Koon
14,Kristi Muhlenkamp
19,Tobin Moore
20,Ryan Ntende
21,Michael Ntende
22,Matthew Muhlenkamp
23,Benjamin Brunswick
23,Morgan Miller
24,Cole Strickling
25,Elinor Rowe
30,Allison Kielhold
31,Jessica Baca
33,Nicholas Geever
37,Yun-Ke Liou
41,Christopher Miller
42,Sean McGuinness
47,Bradley Vaal
66,Danica Keefe
b,r,e,a,k
Spectre,4
teamInfo,,"Indianapolis, Indiana",https://www.instagram.com/indyspectre/,,https://twitter.com/indyspectre
0,Conner Blalack
01,Jacob Felton
05,Connor Concannon
08,Jonathon Grgat
10,Colby Parker
11,Justin Hess
12,Peter Heneveld
17,Randi Lesler
23,Berkley Humphries
24,Abby Swensen
25,Delaney Phillips
26,Hannah Hainje
29,Emily Hess
32,Caleb Texeira
33,Jalyn Baumgartner
36,Charity Felton
42,Laura Blackmon
55,Rachel Heneveld
b,r,e,a,k
Boomtown Pandas,9
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/BoomtownPandas/,https://twitter.com/boomtownpandas
0,Amanda Hellestad
0,Grant Hellestad
0,Grant Hallan
0,Margo Stanger
0,Ray Martin
0,Karin Wirth
2,Edward Kaul
12,Kristi Frisch
13,Aaron Fandel
16,Ada Lynn
16,Drew Byrne
25,Michael Van Haren
29,Sarah Doege
42,Daniel Burss
b,r,e,a,k
ConSTLation,16
teamInfo,,"St. Louis, Missouri",https://www.instagram.com/constlationultimate/,,
00,Ian Soderlund
02,Kiersten Ruff
03,Catherine Evers Smith
05,Raiyan Hamilton
07,Brandon Skoba
08,Henry Fremont
10,Devin Belvin
17,Madison Stiebel
18,Jonathan Bauer
19,April Ratliff
21,Lucien Kisch
26,Carla Danica Macay
29,Madison Bolt
32,Diya Diwakaran
39,Sandy Gu
40,Rebecca Storey
41,Sabrina Lavezzi
42,Hannah McCullough
44,Nathan Gibbons
54,David Storey
73,Dustin Tierney
b,r,e,a,k
ELevate,21
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
0,Aidan O'Neill
0,Clara  Mack
0,Hannah Olivares
0,Nate Cinnamon
0,Samantha Swank
0,Tim Clark
0,Shamaul Dilmohamed
1,Will Hsieh
3,Marina Jacobson
5,Winston Cheung
9,Meryl Davis
9,Grace Zucchero
13,Callie Floyd
15,Maggie Johnson
21,Jonathan Schrag
27,Lucas Boyle
78,Tanner Boyle
81,Jake Smith
91,Liz Biggane
b,r,e,a,k
Bird,5
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
0,Carter Petrella
0,Ethan Landgreen
0,Adelaide Mahler
0,Adi Megiddo
0,Isaiah Klepfer
0,James Briscoe
0,Gwendolyn Stender
0,Molly Watson
0,Katherine Schaberg
1,Grace Milhaupt
2,Tyler Wolf Williams
5,Mia Wieben
11,Nora Mitchell
13,Evan Ford
14,Michael Kovash
17,Katie Fan
19,Benjamin Fjetland-Souza
27,Josh Yira
32,Makenna Samuels
33,Jacob Markus
38,Noah Johnson
44,Jonathan Lovagnini
73,Jordan Wright
87,Rachel Katzovitz
b,r,e,a,k
Twist,8
teamInfo,,"Ann Arbor, Michigan",https://www.instagram.com/aatwistultimate,https://www.facebook.com/profile.php?id=100091776499482,
2,Sofia Canoutas-Nadel
3,Croix Jastrow
04,Tyler ODonnell
05,Shane Earley
08,Taylor Engen
10,Macey Malek
11,Jonathan Jackson
12,McKenna Mee
14,Tristan Bowerman
15,Grace Bradley
16,Sophie Stewart
18,Joyce Liang
19,Beth Quisenberry
22,Isaac Plamondon
24,Emma Sutton
27,Samuel Plamondon
28,Matt Hummel
29,Sydney Brew
32,Melissa Herta
35,Jon Gibson
36,Stephan Maxe
43,Andrew Hughes
47,Jillianne  Engen
56,Tait Algayer
73,Maya Grumeretz
b,r,e,a,k
Jabba,17
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,
b,r,e,a,k
Toast!,20
teamInfo,,"Grand Rapids, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
0,Jacob Renkiewicz
0,Christopher O'Brien
0,Jocelyn Richison
0,Michael Ackerman
0,Megan Isherwood
0,Juraj Hurny
0,Kaciana Champlin
03,Matthew VanDyke
05,Meredith Mann
09,Virian Fimmen
10,Shane McGlynn
13,Anniken Holm
20,Avery Smith
24,Tessa Williams
25,Katie Legatzke
33,Quinten Burlew
60,Ryan Fattal
64,Tomokai Timmer
77,Grant Ruschak
b,r,e,a,k
Mastodon,25
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Bella Lopez
0,Nicole Helmholdt
0,Kara Vogel
0,Mia Grimm Ketter
0,Maija Balts
0,Sammy Chandhok
0,Taisuke Miyamoto
0,Sophie Hyman
0,Ryan Wenger
2,Lai Jiang
4,Lindsey Tushman
5,Alex Huml
7,Amzie Yurko
11,Benjamin Dyar
14,Will Hager
14,Qian Pasch
16,Alec Li
17,Grant Dowling
18,Brooke Lewis
99,Kaitlyn Hoang
b,r,e,a,k
Bench,6
teamInfo,,"albany, New York",,,
b,r,e,a,k
Prion,7
teamInfo,,"Champaign, Illinois",www.prionultimate.com,,
0,Alicia Ader
0,Anne Cook
0,Danielle Merrifield
0,Giovi Kelly
0,Eleanor Eck
0,Grace Cook
0,Jeffrey Lefkovitz
0,Michael Mitchaner
0,Shirley Saunders
0,Maya Taylor
2,Jeremy Goodsitt
5,Avery Bandstra
13,Elena Gratton
18,Eleanor Vandel
20,Mukil Guruparan
47,Artemis Andsager
69,Eric Badger
74,Anthony Ruzzo
83,Michael Wang
89,Kimberly Long
99,Maddie Samson
b,r,e,a,k
Mousetrap,18
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
0,Alexander Gravatt
0,Catherine Morita
0,Camille O'Connell
0,Emily Demalis
0,Lily Mae Abels
0,Lily Shu
0,Kevin Hallman
0,Kevin Chung
0,Isabelle Johnson
0,Ezekiel Roth-Reynolds
0,Spencer Olsson
0,Mary Henthorn
0,Ran Huo
0,Nicole Wang
0,olivia abbey
7,Zeke Witter
12,Zach Laubscher
13,Gabriel Driscoll
24,Matthew Mills
25,Abigail Fischer
27,Mary  McKinley
31,Thomas Jungbluth
49,Benjamin Petersen
53,Erik Stewart
b,r,e,a,k
Frostbite,19
teamInfo,,"Milwaukee, Wisconsin",https://linktr.ee/frostbiteult,https://www.facebook.com/FrostbiteUlt/,https://twitter.com/FrostbiteUlt
0,Claire Lo
0,Charlette Peyer
0,Aubrey Motherwell
0,Carly Serketich
0,Grant Wagner
0,Adam Wadlington
0,Jared Peyer
0,Noah Brown
0,Tyler Ignatowski
0,Noah Katz
0,Kristin Pelzel
0,Stephen Giunta
0,Nora Pluth
0,Meghan Zeller
0,Emily Levesque
0,Hayes Barry
0,Claire Fifarek
0,Lauren Gilmartin
0,Taylor Jacobsen
1,Erin Wallisch
2,Oliver Rytman
4,Jason Moens
33,Katelyn Pisellini
56,Ryan Laughlin
69,Andrew Sheehan
99,Riley Johnson
b,r,e,a,k
Columbus Cohesion,26
teamInfo,,"Columbus, Ohio",https://cohesionultimate.com/,,
25,Taylor Britain
27,Alex Hughes
86,Michael Lee
b,r,e,a,k
s,t,a,g,e,s
pools,X PP
pool,Pool A
Chicago Parlay,Stackcats,0,0,"07/11/2026, 09:00",Pool A,Scheduled
Madison United Mixed Ultimate,Pixel,0,0,"07/11/2026, 09:00",Pool A,Scheduled
Chicago Parlay,Pixel,0,0,"07/11/2026, 10:45",Pool A,Scheduled
Madison United Mixed Ultimate,Stackcats,0,0,"07/11/2026, 10:45",Pool A,Scheduled
Chicago Parlay,Madison United Mixed Ultimate,0,0,"07/11/2026, 14:15",Pool A,Scheduled
Stackcats,Pixel,0,0,"07/11/2026, 14:15",Pool A,Scheduled
pool,Pool B
RAMP,Dispatch,0,0,"07/11/2026, 09:00",Pool B,Scheduled
Northern Comfort,Arms Race,0,0,"07/11/2026, 09:00",Pool B,Scheduled
RAMP,Arms Race,0,0,"07/11/2026, 12:30",Pool B,Scheduled
Northern Comfort,Dispatch,0,0,"07/11/2026, 12:30",Pool B,Scheduled
RAMP,Northern Comfort,0,0,"07/11/2026, 14:15",Pool B,Scheduled
Dispatch,Arms Race,0,0,"07/11/2026, 14:15",Pool B,Scheduled
pool,Pool C
CLX,Mad Udderburn,0,0,"07/11/2026, 10:45",Pool C,Scheduled
Queen City Gambit,Skyhawks,0,0,"07/11/2026, 10:45",Pool C,Scheduled
CLX,Skyhawks,0,0,"07/11/2026, 12:30",Pool C,Scheduled
Queen City Gambit,Mad Udderburn,0,0,"07/11/2026, 12:30",Pool C,Scheduled
CLX,Queen City Gambit,0,0,"07/11/2026, 14:15",Pool C,Scheduled
Mad Udderburn,Skyhawks,0,0,"07/11/2026, 14:15",Pool C,Scheduled
pool,Pool D
Spectre,ConSTLation,0,0,"07/11/2026, 09:00",Pool D,Scheduled
Boomtown Pandas,ELevate,0,0,"07/11/2026, 09:00",Pool D,Scheduled
Spectre,ELevate,0,0,"07/11/2026, 10:45",Pool D,Scheduled
Boomtown Pandas,ConSTLation,0,0,"07/11/2026, 10:45",Pool D,Scheduled
Spectre,Boomtown Pandas,0,0,"07/11/2026, 12:30",Pool D,Scheduled
ConSTLation,ELevate,0,0,"07/11/2026, 12:30",Pool D,Scheduled
pool,Pool E
Bird,Mastodon,0,0,"07/11/2026, 09:00",Pool E,Scheduled
Jabba,Toast!,0,0,"07/11/2026, 09:00",Pool E,Scheduled
Bird,Jabba,0,0,"07/11/2026, 10:45",Pool E,Scheduled
Twist,Toast!,0,0,"07/11/2026, 10:45",Pool E,Scheduled
Toast!,Mastodon,0,0,"07/11/2026, 12:30",Pool E,Scheduled
Twist,Jabba,0,0,"07/11/2026, 12:30",Pool E,Scheduled
Bird,Toast!,0,0,"07/11/2026, 14:15",Pool E,Scheduled
Twist,Mastodon,0,0,"07/11/2026, 14:15",Pool E,Scheduled
Bird,Twist,0,0,"07/11/2026, 16:00",Pool E,Scheduled
Jabba,Mastodon,0,0,"07/11/2026, 16:00",Pool E,Scheduled
pool,Pool F
Bench,Columbus Cohesion,0,0,"07/11/2026, 09:00",Pool F,Scheduled
Mousetrap,Frostbite,0,0,"07/11/2026, 09:00",Pool F,Scheduled
Bench,Mousetrap,0,0,"07/11/2026, 10:45",Pool F,Scheduled
Prion,Frostbite,0,0,"07/11/2026, 10:45",Pool F,Scheduled
Frostbite,Columbus Cohesion,0,0,"07/11/2026, 12:30",Pool F,Scheduled
Prion,Mousetrap,0,0,"07/11/2026, 12:30",Pool F,Scheduled
Bench,Frostbite,0,0,"07/11/2026, 14:15",Pool F,Scheduled
Prion,Columbus Cohesion,0,0,"07/11/2026, 14:15",Pool F,Scheduled
Bench,Prion,0,0,"07/11/2026, 16:00",Pool F,Scheduled
Mousetrap,Columbus Cohesion,0,0,"07/11/2026, 16:00",Pool F,Scheduled
b,r,e,a,k
brackets,X BP
bracket,X CHAMPIONSHIP BRACKET
bracket,X 3RD PLACE GAME
bracket,X 5TH PLACE BRACKET
bracket,X 7TH PLACE GAME
b,r,e,a,k
pools,X CONS PP
pool,X BOXER
pool,X BRAWLER
b,r,e,a,k
clusters,X CONS SLUGGER GAMES
b,r,e,a,k
clusters,X CONS PARRY GAMES
b,r,e,a,k
