Northeast Classic 2026,College - Men ,7,3,2026
San Diego,CA,2026-03-07,2026-03-08
https://play.usaultimate.org/events/Gnomageddon-2026/schedule/Women/CollegeWomen/
Amherst,1
0,Terry McGinty
0,Tristan Callow
0,David Levitt
1,Gabriel Rosenberg
1,Aidan Wieners
18,Nolan Smith
24,Ajani Knorr
26,Daniel Nipper
34,Alex Dubow
b,r,e,a,k
Connecticut College,10
teamInfo,Amaltheia,"New London, Connecticut",https://www.instagram.com/cc_amaltheia,,
4,Ava Gebhart
5,Ada Richards
7,Piper Preston
8,Claudia Langsam
9,Bea Shannon
10,Eliza Kahn
12,Lucy Koester
14,Elise Hurley
15,Tess Barker
17,Nicole McCormack
18,Amalia Schillinger
19,Jessie Perryman
b,r,e,a,k
Rensselaer Polytech,11
teamInfo,Strut,"Troy, New York",https://frisbee.union.rpi.edu/,,
0,Audrey Kling
0,Hailey Philbrick
0,Hannah Christensen
0,Katherine Wright
0,Lily Leslie
0,Phoenix Werba
0,Rowan Smith
18,Grace Lowden
21,Jiahui Xiao
31,Meredith Benson
44,Ava Lesser
45,Gabriella Barros
b,r,e,a,k
Hofstra,18
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
0,Jackson Gillespie
0,Kurt Plattel
7,Alexander Cammarata
05,Sullivan Eager
08,Matthew Prendergast
10,Nicholas Staco
11,Ethan Rafuse
14,Connor McNeill
15,Andrew  Saam
18,Michael Coomes III
19,Benjamin Canino
20,Michael Levy
23,John Piszczatowski
24,James  Prendergast
32,James Weilert
33,Jake Kinnicutt
55,Tim Connolly
87,Caden Miata
b,r,e,a,k
Connecticut (B),19
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Christian Ganter
0,Dane Utley
0,Isaiah Fletcher
0,Jack Noymer
0,Jason Chinitz-Mital
0,Justin Bao
0,Kushaan Bahl
0,Liam Walsh
0,Nedim Begovic
0,Peter Calone
0,Peter Renga
0,Roni Shaham
0,Andrew Oliver
0,Benjamin Gitai
0,Sean Hession
0,Sean Egan
0,Yao Xiao
5,Brendan McCluskey
5,Samuel Hilbert
b,r,e,a,k
SUNY-Geneseo,12
teamInfo,Escargot,"Geneseo, New York",,,
0,Abigail Prichard
0,Brynn Westlake
0,Lea Mancarella
0,Molly Thompson
3,Ella Fowler
8,Maggie Smith
10,Kaleighanne Athens
14,Annie Antonucci
15,Lauren Murphy
16,Emma Weglarski
21,Georgia Ross
23,Rebecca Rocco
28,Cory Elder
32,Mitsuki Tabei
42,Addisyn Gangai
b,r,e,a,k
West Chester (B),17
teamInfo,West Chester B,"West Chester, Pennsylvania",,,
0,Aidan Duffy
0,Bryce Thrash
0,Christopher Molina Zavaleta
0,Ian Gonzalez-Rubio
0,Luke Thrash
0,Mason Conti
0,Matt McHugh
0,Michael Gaskins
0,Joe Spina
0,John Hertzog
0,Trevor Gouge
8,Eli Moore
12,Sebastian Ieradi
25,Lucas Kluender
30,Brogan Sullivan
39,Deklan Linthicum
44,Cody Rosier
47,Kevin Pribadi
49,Tate Shortlidge
52,Chase Zemitis
62,Ben Hirshey
91,Thomas Burke
93,Jake Britton
93,Drew Morrow
b,r,e,a,k
Fairfield,20
teamInfo,Fairfield Stags,"Fairfield, Connecticut",https://clubsports.fairfieldstags.com/archives?path=ult,,
0,James Walton
0,Joseph Isidro
0,Joseph Cunningham
0,Joshua Barry
0,Liam Jones
0,Matthew Tully
0,Matthew Horton
0,Zachary Marion-Brown
0,Zackari Kaspar
0,Christopher Fleming
15,Jack Savas
34,Colin Wallace
b,r,e,a,k
Central Connecticut State,13
teamInfo,Yetis,"New Britain , Connecticut",,,
b,r,e,a,k
Stevens Tech,16
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
coaches,Kieran Baguiwet
0,Andy Chen
0,Benjamin Herring
0,Caeleb Chendorain
0,Darren Kluesner
0,Elliott Iwaki
0,Jake Stinton
0,Luke Brevoort
0,Nicholas Valenza
0,Nikhil Marel
0,Noah DeMichele-Roberts
0,Ryder Bowden
7,Stanislav Daaboul
8,Anthony Smoaks
13,Oscar Schlimer
13,Peter Servedio
23,Ryan Breen
25,Samuel Strassburger
27,Aidan Ouckama
28,Jack Morrison
31,William Hines
88,Aidan Beheran
b,r,e,a,k
Siena,21
teamInfo,Siena Saints,"Albany, New York",,,
0,Andrew Sommo
0,John  Velto
04,Conner Whalen
06,Dante Valenti
08,Matthew  Lizzo
10,Ethan Jensen
12,Liam Cunningham
14,Samuel Garno
15,Lilia Collard
17,Angela DeGennaro
25,Hannah Ruddy
33,Owen Grabicki
44,Sean Donnelly
84,Russell Silberger
b,r,e,a,k
Northeastern (C),14
teamInfo,Salty C Dogs,"Boston, Massachusetts",https://web.northeastern.edu/clubsports/ultimate-frisbee-m/,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
0,Arjun Vellimedu
0,Benjamin Seidman
0,Corbin Seidel
0,Kevin Leong
0,Adam Soell
0,Ray Min
0,Zachary Ryan
16,Aidan Hwang
49,Addison Hamn
92,Patrick Baker
b,r,e,a,k
Lehigh (B),15
teamInfo,Lehigh-B,"Bethlehem, Pennsylvania",,,https://twitter.com/BehighUnited
0,Ari Weinstein
0,Elliot Padrick
0,Elliott Kimball
0,Ethan Lesser
0,Jackson Bieber
0,Joe Dupree
0,Matthew Weber
0,Matthew Bergin
0,Nathaniel Finley
0,Noah Helmuth
0,Patrick Tillinghast
0,Will Trend
61,Zachary Treichler
79,Ryan Cleary
88,Nate Goren
92,Jacob Cole
b,r,e,a,k
New Jersey Tech,22
teamInfo,Highlanders,"Newark, New Jersey",,,
03,Keith Anderson
04,Enmanuel  Bueno
07,Mina Akhnoukh
08,Tyler Oberholtzer
16,Jashandeep Jassal
17,Matthew Holland
27,Chris Susnosky
28,Levi Koeppel
42,Aryan Singh
67,Nathan Steinberg
88,Dylan Rajasingham
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Amherst,Villanova,0,0,"03/28/2026, 09:00",Pool A,Scheduled
Skidmore,Dickinson,0,0,"03/28/2026, 09:00",Pool A,Scheduled
Amherst,Skidmore,0,0,"03/28/2026, 10:30",Pool A,Scheduled
Vassar,Dickinson,0,0,"03/28/2026, 10:30",Pool A,Scheduled
Dickinson,Villanova,0,0,"03/28/2026, 12:00",Pool A,Scheduled
Vassar,Skidmore,0,0,"03/28/2026, 12:00",Pool A,Scheduled
Amherst,Dickinson,0,0,"03/28/2026, 13:30",Pool A,Scheduled
Vassar,Villanova,0,0,"03/28/2026, 13:30",Pool A,Scheduled
Amherst,Vassar,0,0,"03/28/2026, 15:00",Pool A,Scheduled
Skidmore,Villanova,0,0,"03/28/2026, 15:00",Pool A,Scheduled
pool,Pool B
SUNY-Cortland,Connecticut College,0,0,"03/28/2026, 09:00",Pool B,Scheduled
Vermont (C),Penn State (B),0,0,"03/28/2026, 09:00",Pool B,Scheduled
SUNY-Cortland,Vermont (C),0,0,"03/28/2026, 10:30",Pool B,Scheduled
Princeton,Penn State (B),0,0,"03/28/2026, 10:30",Pool B,Scheduled
SUNY-Cortland,Princeton,0,0,"03/28/2026, 12:00",Pool B,Scheduled
Vermont (C),Connecticut College,0,0,"03/28/2026, 12:00",Pool B,Scheduled
SUNY-Cortland,Penn State (B),0,0,"03/28/2026, 13:30",Pool B,Scheduled
Princeton,Connecticut College,0,0,"03/28/2026, 13:30",Pool B,Scheduled
Penn State (B),Connecticut College,0,0,"03/28/2026, 15:00",Pool B,Scheduled
Princeton,Vermont (C),0,0,"03/28/2026, 15:00",Pool B,Scheduled
pool,Pool C
Hofstra,Connecticut (B),0,0,"03/28/2026, 09:00",Pool C,Scheduled
Rensselaer Polytech,Connecticut (B),0,0,"03/28/2026, 11:00",Pool C,Scheduled
Rensselaer Polytech,Hofstra,0,0,"03/28/2026, 13:00",Pool C,Scheduled
pool,Pool D
West Chester (B),Fairfield,0,0,"03/28/2026, 09:00",Pool D,Scheduled
SUNY-Geneseo,Fairfield,0,0,"03/28/2026, 11:00",Pool D,Scheduled
SUNY-Geneseo,West Chester (B),0,0,"03/28/2026, 13:00",Pool D,Scheduled
pool,Pool E
Stevens Tech,Siena,0,0,"03/28/2026, 09:00",Pool E,Scheduled
Central Connecticut State,Siena,0,0,"03/28/2026, 11:00",Pool E,Scheduled
Central Connecticut State,Stevens Tech,0,0,"03/28/2026, 13:00",Pool E,Scheduled
pool,Pool F
Lehigh (B),New Jersey Tech,0,0,"03/28/2026, 09:00",Pool F,Scheduled
Northeastern (C),New Jersey Tech,0,0,"03/28/2026, 11:00",Pool F,Scheduled
Northeastern (C),Lehigh (B),0,0,"03/28/2026, 13:00",Pool F,Scheduled
b,r,e,a,k
clusters,Saturday CO
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
bracket,13th Place Bracket
b,r,e,a,k
