East Coast Invite 2026,College - Women ,11,4,2026
42,Alanna Cunningham
55,Helen Roche
60,Alyse Stefancin
69,Cat Turney
77,Brooke Boge
97,Shelby McVety
b,r,e,a,k
SUNY-Binghamton,26
teamInfo,Big Bear,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
01,Ashley Curtiss
04,Katherine Romero
10,Chaya Spokony
13,Livia O'Connell
14,Ava Zuckerman
15,Waverly Milliman
16,Samantha Coulton
17,Madeline Carter
19,Iris Wiedmann
23,Emily Cook
24,Azka Hasan
25,Gwendolyn Zawacki
30,Dasha Ydel Aguila
32,Rebecca Lodespoto
35,Jadyn Schoenberg
37,Violet Abrahamsson
44,Chloe Gillant-Hanusa
47,Jessica Nierman
58,Billie Feigin
b,r,e,a,k
Wisconsin,13
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnaatropa.wordpress.com,,https://www.twitter.com/bdultimate
coaches,Nathan Kleinhans
0,Ellie Sanders
1,Ally Adair
2,Hannah Nygard
3,Elizabeth Innes
4,Eva Eckel
5,Lexi  Menendez
6,Althea Lasseter
7,Nicole Katterhagen
8,Kaiya Tuescher
10,Abigail O'Callaghan
11,Sagarika Sakthivel
12,Sydney French
14,Madison Gatchell
15,Annie Dreyfuss
17,Reilly Wagner
20,Josie Mackenthun
21,Ella Sarles
24,Grace Bao
25,Nora Meyer
26,Genevieve  Dockry
29,Gabriela Stark-Torrentera
36,Lilliana Ruggini
50,Mara Glinberg
71,Adina Klawiter
82,Annie Chalnick
b,r,e,a,k
Columbia,28
teamInfo,Chimera,"New York , New York",,,https://twitter.com/cultimatewomen
coaches,Kaylee Viets
0,Eva Supanc
0,Georgia Langworthy
0,Hughlyn Wong
0,Jenny Yao
0,Lyudmila Pitts
0,Madison Ka Yi Lau
0,Mandy Meliker
0,Nikita Marlin
0,Sam Mezrich
0,Sareena Parikh
0,Sasha Ennis
0,Skye Li
0,Zoe Theriault
4,Marisol Martinez
9,Emma Lian
26,Nina Debry
33,Carolina Bolivar
39,Naomi Miller
b,r,e,a,k
Wesleyan,7
teamInfo,Vicious Circles,"Middletown, Connecticut",,https://www.facebook.com/vishiswhy/,https://twitter.com/divacupzone
coaches,Keith Raynor
0,Annie Wrubel
0,Ava Keller
0,Beatrice Wozniak
0,Cecilia Coughlin
0,Chris Guan
0,Elsa Lawrence
0,Mable Wu
0,Maya Burke
0,Nora Whiteside
0,Sasha Chajet Wides
0,Violet Berube
2,Sofia Canoutas-Nadel
6,Milo Brown
7,Elizabeth Littell
10,Kayla Harrison
13,Alexandra Raskin
15,Chloe Pacetti
16,Leza Rooks
17,Maggie Brown
23,Nola Busansky
27,Scout Noble
31,Rongrong Weng
45,Mackenzie Bunnell
47,Maya Salzman
55,Mae Wrigley
b,r,e,a,k
Williams,18
teamInfo,Nova,"Williamstown, Massachusetts",https://instagram.com/lifewithnovaulti,,https://twitter.com/lifewithnova69
coaches,Garrett Clay
0,Carol Hon
0,Clara Smail
0,Dahlia Miller
0,Emma Sandstrom
0,Hannah Bernhardt
0,Aliza Cotton
0,Maxine George
0,Ndey Touray
0,Sonia Zinkin-Meyers
0,Susanna Boberg
0,Tahlia Gerger
0,Robin Bosworth
2,Tebin Kim
3,Camilla  Lowe
7,Katherine Hanes
8,Ariel Toohey
11,Louisa Weinard
13,Rahma Ibrahim
16,Mila Sorensen
18,Phoebe Young
72,Sienna Woodley
b,r,e,a,k
Haverford-Bryn Mawr,2
teamInfo,,,,,
b,r,e,a,k
Mount Holyoke,21
teamInfo,,,,,
b,r,e,a,k
Pennsylvania,1
teamInfo,,,,,
b,r,e,a,k
SUNY-Buffalo,20
teamInfo,,,,,
b,r,e,a,k
American,10
teamInfo,,,,,
b,r,e,a,k
Cornell,27
teamInfo,,,,,
b,r,e,a,k
NYU,9
teamInfo,,,,,
b,r,e,a,k
Case Western Reserve,25
teamInfo,,,,,
b,r,e,a,k
Yale,14
teamInfo,,,,,
b,r,e,a,k
MIT,29
teamInfo,,,,,
b,r,e,a,k
Ohio State,15
teamInfo,,,,,
b,r,e,a,k
Maryland,31
teamInfo,,,,,
b,r,e,a,k
Liberty,17
teamInfo,,,,,
b,r,e,a,k
Connecticut,32
teamInfo,,,,,
b,r,e,a,k
Rutgers,19
teamInfo,,,,,
b,r,e,a,k
Carnegie Mellon,30
teamInfo,,,,,
b,r,e,a,k
s,t,a,g,e,s
clusters,Swiss Rounds
cluster,Swiss Round 1
Northeastern,Penn State,11,3,"03/28/2026, 11:20",,Final
Notre Dame,McGill,12,5,"03/28/2026, 11:20",,Final
Georgetown,Pittsburgh,12,5,"03/28/2026, 11:20",,Final
Middlebury,Carleton College-Eclipse,10,9,"03/28/2026, 11:20",,Final
Wellesley,Kenyon,9,6,"03/28/2026, 11:20",,Final
Ohio,SUNY-Binghamton,9,6,"03/28/2026, 11:20",,Final
Wisconsin,Columbia,8,7,"03/28/2026, 11:20",,Final
Wesleyan,Williams,7,4,"03/28/2026, 11:20",,Final
Haverford-Bryn Mawr,Mount Holyoke,8,3,"03/28/2026, 11:20",,Final
Pennsylvania,SUNY-Buffalo,9,2,"03/28/2026, 11:20",,Final
American,Cornell,6,9,"03/28/2026, 11:20",,Final
NYU,Case Western Reserve,8,7,"03/28/2026, 11:20",,Final
Yale,MIT,8,6,"03/28/2026, 11:20",,Final
Ohio State,Maryland,9,4,"03/28/2026, 11:20",,Final
Liberty,Connecticut,7,6,"03/28/2026, 11:20",,Final
Rutgers,Carnegie Mellon,8,7,"03/28/2026, 11:20",,Final
cluster,Swiss Round 2
Middlebury,Georgetown,10,9,"03/28/2026, 13:10",,Final
Notre Dame,Ohio State,9,3,"03/28/2026, 13:10",,Final
Pennsylvania,Wellesley,9,4,"03/28/2026, 13:10",,Final
Haverford-Bryn Mawr,Cornell,10,6,"03/28/2026, 13:10",,Final
Ohio,Wesleyan,5,6,"03/28/2026, 13:10",,Final
Yale,Northeastern,4,10,"03/28/2026, 13:10",,Final
Rutgers,Wisconsin,2,11,"03/28/2026, 13:10",,Final
NYU,Liberty,7,9,"03/28/2026, 13:10",,Final
Kenyon,Williams,11,12,"03/28/2026, 13:10",,Final
Carnegie Mellon,Columbia,6,9,"03/28/2026, 13:10",,Final
Connecticut,MIT,5,8,"03/28/2026, 13:10",,Final
SUNY-Binghamton,American,2,10,"03/28/2026, 13:10",,Final
Carleton College-Eclipse,Case Western Reserve,9,6,"03/28/2026, 13:10",,Final
Maryland,Mount Holyoke,7,8,"03/28/2026, 13:10",,Final
McGill,Pittsburgh,6,7,"03/28/2026, 13:10",,Final
SUNY-Buffalo,Penn State,6,8,"03/28/2026, 13:10",,Final
cluster,Swiss Round 3
Columbia,American,10,5,"03/28/2026, 18:25",,Final
Liberty,Middlebury,13,12,"03/28/2026, 18:25",,Final
Pennsylvania,Wisconsin,13,6,"03/28/2026, 18:25",,Final
Georgetown,NYU,13,3,"03/28/2026, 18:25",,Final
Haverford-Bryn Mawr,Wesleyan,10,5,"03/28/2026, 18:25",,Final
Notre Dame,Northeastern,8,9,"03/28/2026, 18:25",,Final
Ohio,MIT,12,7,"03/28/2026, 18:25",,Final
Cornell,Ohio State,8,10,"03/28/2026, 18:25",,Final
Carleton College-Eclipse,Williams,10,6,"03/28/2026, 18:25",,Final
Wellesley,Yale,11,5,"03/28/2026, 18:25",,Final
Mount Holyoke,Penn State,9,12,"03/28/2026, 18:25",,Final
Pittsburgh,Rutgers,13,3,"03/28/2026, 18:25",,Final
Kenyon,Connecticut,10,9,"03/28/2026, 18:25",,Final
Carnegie Mellon,Maryland,9,8,"03/28/2026, 18:25",,Final
Case Western Reserve,SUNY-Buffalo,9,7,"03/28/2026, 18:25",,Final
McGill,SUNY-Binghamton,12,5,"03/28/2026, 18:25",,Final
cluster,Swiss Round 4
Carleton College-Eclipse,Pittsburgh,13,10,"03/28/2026, 20:15",,Final
Haverford-Bryn Mawr,Northeastern,6,12,"03/28/2026, 20:15",,Final
Ohio,Columbia,9,3,"03/28/2026, 20:15",,Final
Notre Dame,Georgetown,8,12,"03/28/2026, 20:15",,Final
Pennsylvania,Liberty,12,8,"03/28/2026, 20:15",,Final
Wellesley,Wisconsin,2,13,"03/28/2026, 20:15",,Final
Middlebury,Ohio State,9,13,"03/28/2026, 20:15",,Final
Wesleyan,Penn State,8,9,"03/28/2026, 20:15",,Final
American,McGill,8,11,"03/28/2026, 20:15",,Final
Case Western Reserve,Cornell,8,6,"03/28/2026, 20:15",,Final
Kenyon,Yale,12,7,"03/28/2026, 20:15",,Final
Carnegie Mellon,NYU,8,10,"03/28/2026, 20:15",,Final
MIT,Rutgers,10,5,"03/28/2026, 20:15",,Final
Williams,Mount Holyoke,6,11,"03/28/2026, 20:15",,Final
Connecticut,SUNY-Buffalo,6,12,"03/28/2026, 20:15",,Final
Maryland,SUNY-Binghamton,10,8,"03/28/2026, 20:15",,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,1st Place
Pennsylvania,Northeastern,10,3,"03/29/2026, 13:30",1st Place,Final
Pennsylvania,Wisconsin,11,10,"03/29/2026, 11:40",1st Place Semis,Final
Northeastern,Georgetown,9,5,"03/29/2026, 11:40",1st Place Semis,Final
bracket,3rd Place
