Cooler Classic 37 (Mixed),Club - Mixed ,15,8,2026
Milwaukee,WI,2026-08-15,2026-08-16
https://play.usaultimate.org/events/Cooler-Classic-37-Mixed/schedule/Mixed/Club-Mixed
Spectre,1
CLX,Pandamonium,12,11,"08/15/2026, 13:00",,Final
Prion,ConSTLation,11,13,"08/15/2026, 13:00",,Final
Madison United Mixed Ultimate,Limbo,15,7,"08/15/2026, 13:00",,Final
Armory,Mousetrap,15,11,"08/15/2026, 13:00",,Final
Stackcats,Boomtown Pandas,10,11,"08/15/2026, 13:00",,Final
Toast!,Melt,15,7,"08/15/2026, 13:00",,Final
Mad Udderburn,Lemonade Ultimate,14,13,"08/15/2026, 13:00",,Final
QCO,Ultraviolet,15,5,"08/15/2026, 13:00",,Final
The Force,The Midwest Goodbye,14,12,"08/15/2026, 13:00",,Final
Risky Business,Jabba,15,7,"08/15/2026, 13:00",,Final
ELevate,Dinosaur Fancy,15,9,"08/15/2026, 13:00",,Final
Skyhawks,Lake Superior Disc,15,6,"08/15/2026, 13:00",,Final
Columbus Chaos,Wellman & the Terribles,15,10,"08/15/2026, 13:00",,Final
Arms Race,NEW Groove,15,12,"08/15/2026, 13:00",,Final
Great Minnesota Get Together,Mastodon,15,7,"08/15/2026, 13:00",,Final
b,r,e,a,k
clusters,Sat 3pm
cluster,Sat Round 4
RAMP,Madison United Mixed Ultimate,15,11,"08/15/2026, 15:00",,Final
Prion,Northern Comfort,10,15,"08/15/2026, 15:00",,Final
Frostbite,Columbus Chaos,11,14,"08/15/2026, 15:00",,Final
The Force,Mousetrap,10,15,"08/15/2026, 15:00",,Final
Boomtown Pandas,Great Minnesota Get Together,15,8,"08/15/2026, 15:00",,Final
Risky Business,Arms Race,15,3,"08/15/2026, 15:00",,Final
Jabba,Mastodon,12,9,"08/15/2026, 15:00",,Final
Lemonade Ultimate,Wellman & the Terribles,15,9,"08/15/2026, 15:00",,Final
b,r,e,a,k
brackets,1st
bracket,1st
Bird,Northern Comfort,0,0,"08/16/2026, 11:00",1st Semis,Scheduled
Fatal Attraction,Spectre,0,0,"08/16/2026, 11:00",1st Semis,Scheduled
Bird,Boomtown Pandas,15,7,"08/16/2026, 09:00",1st Quarters,Final
Northern Comfort,Dispatch,14,12,"08/16/2026, 09:00",1st Quarters,Final
RAMP,Fatal Attraction,12,15,"08/16/2026, 09:00",1st Quarters,Final
Spectre,Armory,12,11,"08/16/2026, 09:00",1st Quarters,Final
bracket,3rd
bracket,5th
Boomtown Pandas,Dispatch,0,0,"08/16/2026, 11:00",5th Semis,Scheduled
RAMP,Armory,0,0,"08/16/2026, 11:00",5th Semis,Scheduled
bracket,7th
b,r,e,a,k
brackets,9th
bracket,9th
Madison United Mixed Ultimate,No Touching!,0,0,"08/16/2026, 11:00",9th Semis,Scheduled
Madison United Mixed Ultimate,Mousetrap,14,8,"08/16/2026, 09:00",9th Quarters,Final
Columbus Chaos,No Touching!,6,15,"08/16/2026, 09:00",9th Quarters,Final
CLX,Pushovers,14,11,"08/16/2026, 09:00",9th Quarters,Final
Risky Business,Prion,8,11,"08/16/2026, 09:00",9th Quarters,Scheduled
bracket,11th
bracket,13th
Mousetrap,Columbus Chaos,0,0,"08/16/2026, 11:00",13th Semis,Scheduled
bracket,15th
b,r,e,a,k
brackets,17th
bracket,17th
ConSTLation,Pandamonium,0,0,"08/16/2026, 09:00",17th Quarters,Scheduled
Stackcats,QCO,9,15,"08/16/2026, 09:00",17th Quarters,Scheduled
ELevate,Toast!,10,15,"08/16/2026, 09:00",17th Quarters,Final
Skyhawks,Lemonade Ultimate,0,0,"08/16/2026, 09:00",17th Quarters,Scheduled
bracket,19th
bracket,21st
bracket,23rd
b,r,e,a,k
brackets,25th
bracket,25th
The Force,Wellman & the Terribles,0,0,"08/16/2026, 11:00",25th Semis,Scheduled
Frostbite,Melt,12,10,"08/16/2026, 09:00",25th Quarters,Final
Jabba,Limbo,0,0,"08/16/2026, 09:00",25th Quarters,Scheduled
Mad Udderburn,The Force,12,13,"08/16/2026, 09:00",25th Quarters,Final
Great Minnesota Get Together,Wellman & the Terribles,12,13,"08/16/2026, 09:00",25th Quarters,Final
bracket,27th
bracket,29th
Mad Udderburn,Great Minnesota Get Together,0,0,"08/16/2026, 11:00",29th Semis,Scheduled
bracket,31st
b,r,e,a,k
pools,33rd Pool
pool,Pool A
Mastodon,Arms Race,0,0,"08/16/2026, 09:00",Pool A,Scheduled
Dinosaur Fancy,Lake Superior Disc,11,13,"08/16/2026, 09:00",Pool A,Final
Mastodon,Dinosaur Fancy,0,0,"08/16/2026, 11:00",Pool A,Scheduled
Arms Race,Lake Superior Disc,0,0,"08/16/2026, 11:00",Pool A,Scheduled
Mastodon,Lake Superior Disc,0,0,"08/16/2026, 13:00",Pool A,Scheduled
Dinosaur Fancy,Arms Race,0,0,"08/16/2026, 13:00",Pool A,Scheduled
b,r,e,a,k
pools,37th Pool
pool,Pool B
NEW Groove,Ultraviolet,0,0,"08/16/2026, 09:00",Pool B,Scheduled
The Midwest Goodbye,Ultraviolet,0,0,"08/16/2026, 11:00",Pool B,Scheduled
The Midwest Goodbye,NEW Groove,0,0,"08/16/2026, 13:00",Pool B,Scheduled
b,r,e,a,k
