HoDown Showdown 2026,Club - Mixed ,8,8,2026
Asheville,NC,2026-08-08,2026-08-09
https://play.usaultimate.org/events/HoDown-Showdown-2026/schedule/Mixed/Club-Mixed
Roma Ultima,1
0,Emma Talton
0,Frances Healy
0,Lillie O'Neill
0,talia DeBenedette
0,Qiuhu Louie
0,Samuel Crosbie
0,Kai Norris
0,Langston Rimmer
0,Savannah Speer
0,Scarlett Johnson
0,Josie Brand
0,Lowe Bibby
4,Julia Zwierzynski
11,Jonah Childs
30,Connor Streifel
37,Mavis MacIver
52,John Wolff
83,Margaret Barry
91,Charis Barry
b,r,e,a,k
Malice in Wonderland,10
teamInfo,,"Raleigh, North Carolina",https://www.instagram.com/ncmaliceinwonderland,,
0,Kyle Cornell
03,Kyle Newman
04,Noah Lennon
08,Alice Wang
09,Andrea Spence
10,Evan Holliday
12,Daniel Benson
13,Alexander Walker
14,Grace Drewry
15,Nicole McGinty
22,Maya Sugg
24,Jericho Barbour
25,Avery Acierno
27,Katie Dai
29,Anthony Bonilla
31,Taylor Williams
36,Kelsea Fitzpatrick-Fonte
41,Dayla Woller
42,Joshua  Krause
47,Brian Maulucci
77,Daniel Fonte
88,Guadalupe Arbelaez Uribe
b,r,e,a,k
Bar None,4
teamInfo,,"Columbia, South Carolina",,,
0,Michael Miller
2,Kayla Fisher
3,Dorothy Weaver
4,William Carmichael
8,Savanna Pierson
10,Colin Sauls
11,Matthew Herbst
13,Ethan Johnson
14,Dylan Geddis
15,Matthew Hogue
17,Catherine Willm
21,Elle Rose
22,Jacob McClary
23,Gavin Russell
25,Gabriella Cruz
27,Joseph  Cammarata
31,Aidan Tomsik
41,Andrell Caldwell
43,Abigail Dawson
44,Shayna Gross
64,Jacob Blackman
72,Brad Thomson
b,r,e,a,k
Brunch Club,9
teamInfo,,"Durham, North Carolina",,,
0,Carinna Kinnaman
0,Aston King
06,Qing (Jenny) Wei
07,Britt Mercadante
08,Heather Zimmerman
09,Audrey Lyman
11,Allan Laviolette
13,Mason Gardner
17,Dylan Shields
18,Kelly Merhar
22,Chelsea Zhu
25,Michael Pannone
27,Toni Gomes
30,Kevin Lee
33,Abigail Lyle
45,Nathan Lyle
72,Nick Longo
77,Cole Osborn
85,Ted Randby
88,Christine Bookhout
93,Emily Vickery
b,r,e,a,k
Spectre,5
teamInfo,,"Indianapolis, Indiana",https://www.instagram.com/indyspectre/,,https://twitter.com/indyspectre
0,Hannah Hainje
2,Jessica Sink
3,Trey  Koch
8,Jonathon Grgat
10,Colby Parker
11,Justin Hess
12,Peter Heneveld
14,Jenna  Parker
17,Randi Lesler
24,Abby Swensen
29,Emily Hess
30,Finley Bray
31,David  Cox
32,Caleb Texeira
55,Rachel Heneveld
69,Connor Ross
b,r,e,a,k
MoonPi,16
teamInfo,,"Chattanooga, Tennessee",https://www.moonpiultimate.com/home,https://www.instagram.com/moonpi_ulti/,
0,ANNIE PADEN
0,Brian Newsom
0,Becca Rackley
0,Jamie Beard
0,Hunter Beard
0,Derek Ziesmer
0,Julie Guthrie
0,Mychael Newsom
0,Mary Kate Sheppard
0,Riley Ottinger
0,Matthew Orquia
2,Anthony Hoenie
3,Nate Barnard
10,Nathaniel Orquia
12,Jordan Quinn
13,Carrie Betts
16,Allyssa Raspa
18,Ellis Thuresson
23,Matthew Smith
28,Nicholas Baldwin
34,Mark Jeremiah
35,Joseph Fisher
56,Sam Wright
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Legion,Magnanimouse,11,5,"08/08/2026, 08:00",Pool A,Final
Catalyst,MCO,11,8,"08/08/2026, 08:00",Pool A,Final
Roma Ultima,MCO,13,4,"08/08/2026, 09:40",Pool A,Final
Catalyst,Legion,11,8,"08/08/2026, 09:40",Pool A,Final
Roma Ultima,Magnanimouse,13,2,"08/08/2026, 11:20",Pool A,Final
MCO,Legion,12,10,"08/08/2026, 11:20",Pool A,Final
Roma Ultima,Legion,13,6,"08/08/2026, 13:00",Pool A,Final
Catalyst,Magnanimouse,13,2,"08/08/2026, 13:00",Pool A,Final
Roma Ultima,Catalyst,13,6,"08/08/2026, 14:40",Pool A,Final
MCO,Magnanimouse,13,6,"08/08/2026, 14:40",Pool A,Final
pool,Pool B
Queen City Gambit,Verdant,10,12,"08/08/2026, 08:00",Pool B,Final
Asheville Parliament,BUMS,13,6,"08/08/2026, 08:00",Pool B,Final
Murmur,BUMS,13,9,"08/08/2026, 09:40",Pool B,Final
Asheville Parliament,Queen City Gambit,13,6,"08/08/2026, 09:40",Pool B,Final
Murmur,Verdant,13,2,"08/08/2026, 11:20",Pool B,Final
BUMS,Queen City Gambit,13,6,"08/08/2026, 11:20",Pool B,Final
Murmur,Queen City Gambit,11,3,"08/08/2026, 13:00",Pool B,Final
Asheville Parliament,Verdant,13,5,"08/08/2026, 13:00",Pool B,Final
Murmur,Asheville Parliament,10,11,"08/08/2026, 14:40",Pool B,Final
BUMS,Verdant,13,2,"08/08/2026, 14:40",Pool B,Final
pool,Pool C
Conspiracy,Malice in Wonderland,15,12,"08/08/2026, 09:00",Pool C,Final
FlyTrap,Blue Ridge Sasquatch,15,10,"08/08/2026, 09:00",Pool C,Final
Conspiracy,Blue Ridge Sasquatch,15,11,"08/08/2026, 11:00",Pool C,Final
FlyTrap,Malice in Wonderland,15,8,"08/08/2026, 11:00",Pool C,Final
Conspiracy,FlyTrap,12,10,"08/08/2026, 13:00",Pool C,Final
Malice in Wonderland,Blue Ridge Sasquatch,8,12,"08/08/2026, 13:00",Pool C,Final
pool,Pool D
Bar None,Brunch Club,15,10,"08/08/2026, 09:00",Pool D,Final
Spectre,MoonPi,15,11,"08/08/2026, 09:00",Pool D,Final
Bar None,MoonPi,15,8,"08/08/2026, 11:00",Pool D,Final
Spectre,Brunch Club,7,15,"08/08/2026, 11:00",Pool D,Final
Bar None,Spectre,15,14,"08/08/2026, 13:00",Pool D,Final
Brunch Club,MoonPi,13,10,"08/08/2026, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
Bar None,Brunch Club,0,0,"08/09/2026, 12:40",Championship,Scheduled
Roma Ultima,Bar None,10,11,"08/09/2026, 10:50",Semifinals,Final
Brunch Club,Asheville Parliament,15,8,"08/09/2026, 10:50",Semifinals,Final
Roma Ultima,Murmur,13,12,"08/09/2026, 09:00",Quarterfinals,Final
Bar None,FlyTrap,14,9,"08/09/2026, 09:00",Quarterfinals,Final
Conspiracy,Brunch Club,13,15,"08/09/2026, 09:00",Quarterfinals,Final
Asheville Parliament,Catalyst,15,11,"08/09/2026, 09:00",Quarterfinals,Final
bracket,3rd Place
Roma Ultima,Asheville Parliament,0,0,"08/09/2026, 12:40",3rd Place,Scheduled
bracket,5th Place
Murmur,Catalyst,0,0,"08/09/2026, 12:40",5th Place,Scheduled
Murmur,FlyTrap,12,9,"08/09/2026, 10:50",5th Place Semifinals,Final
Conspiracy,Catalyst,8,14,"08/09/2026, 10:50",5th Place Semifinals,Final
bracket,7th Place
FlyTrap,Conspiracy,0,0,"08/09/2026, 12:40",7th Place,Scheduled
b,r,e,a,k
brackets,9th Place
bracket,9th Place
Spectre,BUMS,0,0,"08/09/2026, 12:40",9th Place,Scheduled
MCO,Spectre,7,15,"08/09/2026, 10:50",9th Place Semifinals,Final
Blue Ridge Sasquatch,BUMS,5,13,"08/09/2026, 10:50",9th Place Semifinals,Final
MCO,Verdant,15,8,"08/09/2026, 09:00",9th Place Quarterfinals,Final
Spectre,Malice in Wonderland,15,8,"08/09/2026, 09:00",9th Place Quarterfinals,Final
Blue Ridge Sasquatch,MoonPi,11,10,"08/09/2026, 09:00",9th Place Quarterfinals,Final
BUMS,Legion,13,6,"08/09/2026, 09:00",9th Place Quarterfinals,Final
bracket,11th Place
MCO,Blue Ridge Sasquatch,8,7,"08/09/2026, 12:40",11th Place,In Progress
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Malice in Wonderland,Magnanimouse,13,7,"08/09/2026, 10:50",Pool E,Final
Verdant,Magnanimouse,0,0,"08/09/2026, 12:40",Pool E,Scheduled
pool,Pool F
MoonPi,Queen City Gambit,11,9,"08/09/2026, 10:50",Pool F,Final
Legion,Queen City Gambit,0,0,"08/09/2026, 12:40",Pool F,Scheduled
b,r,e,a,k
