Easterns 2026,College - Men ,28,3,2026
Wilmington,NC,2026-03-28,2026-03-29
https://play.usaultimate.org/events/Easterns-2026/schedule/Men/CollegeMen/
Colorado,1
39,Nathan Kallin
45,Quinn Lander
84,Charles Bitler
88,Alden Harcourt
95,Ellis Newhouse
99,Julian Walston
b,r,e,a,k
Oregon State,6
teamInfo,Beavers,"Corvallis, Oregon",,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
0,Andrew Thoennes
0,Erwan Pare
0,Micah Harter
0,Miles Renbarger
0,Samuel Harrington
2,Jack Nelson
3,Seiji Koenigsberg
4,Ben Thoennes
6,Sam Anderson
7,Felix Moren
8,Leo Wolf
9,Challis Holloway
10,Akira Koenigsberg
11,Gus Serff-Roberts
13,Callahan Bosworth
18,Alesh Fremouw
18,Jackson Henry
21,Benjamin Lodahl
22,Ben Brochard
23,Rio Long
26,Forrest Vargyas
27,Elliot Trimbur
27,Ethan Fodor
31,Henry Wayte
37,Quinn O'Connor
42,Collin Kaperick
67,Matt Rix
97,Leo Renzema
99,Owen Poissant
b,r,e,a,k
Massachusetts,11
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
coaches,Sam Losen,Marshall Lian
0,Cameron Levine
0,Daniil Koval
0,Elijah Nathman
0,Fen deNiord
0,Roger Beckel
0,Samuel McCrory
0,Theo Strauss
1,Nima Lhamo
3,Giovanni Gerber
4,Ethan Lieman
6,Roan Dunkerley
7,Ian Buchanan
8,Tomo Liou
10,Wyatt Kellman
11,Charlie Norris
12,Wesley Killough-Hill
15,Jonah Stang-Osborne
21,Mason Stone
21,Maxwell Schneider
22,Tyler Feeney
27,Caelan McSweeney
37,Gavin Abrahamsson
43,Ethan Schiff
63,Jonathan Coombs
88,Griffin Gee
b,r,e,a,k
Penn State,14
teamInfo,Spank,"University Park, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
0,Aaron Crothers
0,Carlo Vanni
0,Evan Dagle
0,Javier Gonzalez-Recober
0,Jeremy Mack
0,Nolan McClintic
0,Oliver Saunders
0,Tyler Baglieri
3,Nathaniel Hodges
4,Zander Sachs
4,Connor Matheson
5,Nicholas Lutz
5,Ryan Connor
6,Enrique Montalvo
10,John Carbone
10,Kelvin Lei
12,Aman Guruacharya
14,Ethan Pigeon
18,Raffi Cannon
21,Evan Lutz
24,Doug Hoyer
27,Logan Piercy
28,Dylan Connor
33,Drew Loughnane
34,Becker Joseph
48,Ethan Dunmire
69,John Williams
81,Nicholas Marinelli
93,CHIN YU LIAO
b,r,e,a,k
Tennessee,19
teamInfo,Big Orange Screw,"Knoxville, Tennessee",https://utk.campuslabs.com/engage/organization/womensultimate,https://www.facebook.com/BosTennesseeUltimate,https://twitter.com/bosultimate?lang=en
b,r,e,a,k
Cal Poly-SLO,4
teamInfo,SLOCORE,"San Luis Obispo, California",https://sites.google.com/view/slocoreultimate25-26/home,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
b,r,e,a,k
North Carolina,5
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
coaches,Andrew Li,Kevin Pignone
0,Addison Carnow
0,Arjun Deshmukh
0,John  Sowinski
0,Matthew Nightingale
0,Matthew Barcellos
0,William Spykerman
2,Elijah Danley
3,Drew Girard
7,Eli Fried
8,Hayden Naylor
11,Asad Pathan
12,Max Goetz
16,Brian Trowbridge
17,Theodore Aspinwall
17,Watkins Parker
18,Jake Schwartz
20,Henry Holland
21,Josh Singleton
23,Daniel Zhang
24,Andrew Fan
25,Min Lim
26,Seth Fried
28,Linwood Ding
29,Andy Chin
40,Alex Tanner
87,Dov Bearman
88,Henry Chen
95,Noah Bush
99,Keller Fraley
b,r,e,a,k
Wisconsin,12
teamInfo,Hodags,"Madison, Wisconsin",http://www.hodaglove.org/,https://www.facebook.com/Wisconsin-Hodags-118125241585256/,https://twitter.com/hodaglove
coaches,Avery Johnson,Ted Schewe
0,Zach Morton
01,Aidan Obregon
02,Isaac Gamble
03,Graeme Alexander
04,Arthur Carne
06,Nicholas Tangwall
07,Logan Derheimer
09,Peyton Winkelman
12,Simon Mednick
13,Max Heirigs
14,Yunha Hur
18,Jacob Sak
20,Samatv Iyer
24,Jude Ogden
25,Kyle West
26,Saul Diaz
30,Ido Ofek
32,Aiden Martinsen
33,Caleb Sanders
34,Aaron Stettner
38,Noah Petersen
41,Leo Kirsch
47,Matteo Meyer
60,Joshua Ho
62,Jacob Ho
73,Seth Flikke
b,r,e,a,k
Vermont,13
teamInfo,Chill,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill
0,Bryce Lublin
0,Jackson Leding
0,James Bell
0,Jordan  Lazer
0,Jovan Strange
0,Krane Davis
0,Luke Tierney-Trevor
0,Max Hemeon
0,Maximilian Fontana
0,Elias Baldwin
0,Walter Hipps
2,Erik Arnold
3,Nico Gabby
4,Wyatt Smith
9,True Hanson
9,Dominic Chiodi
10,Forrest Williams
13,Cale Ellingson
16,Seamus Dailey
18,Casey Thornton
19,Beorn Morrow-Caron
21,Angus Grant
21,Benjamin Wall
23,Kristof Rohaly-Medved
28,Leo Sarandos
43,Vance Mader
82,Declan Kervick
b,r,e,a,k
Georgia,20
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Scott Whitley
0,Samad Chapman
01,Lee Phan
02,Adam Goldstein
03,Morgan Hiers
04,Luke Cranor
05,Galileu Carvalho II
06,Edward Rentz-Baker
07,Gabe Borda
08,Jeremy Sanders
10,William Randall
11,Ernesto Clarke
12,Thomas Keever
13,Sam Beh
14,Gabriel Weber
15,Gaby Elkhoury
16,Drew Wentworth
17,Charles Guerrero
18,Colin Kennedy
23,Jack Krugler
24,Evan King
42,William  Brown
69,Patrick Reuland
83,Billy Wallace
96,Dane Lynch
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Colorado,North Carolina-Wilmington,0,0,"03/28/2026, 09:00",Pool A,Scheduled
Pittsburgh,Northeastern,0,0,"03/28/2026, 09:00",Pool A,Scheduled
Colorado,Pittsburgh,0,0,"03/28/2026, 10:45",Pool A,Scheduled
Western Washington,Northeastern,0,0,"03/28/2026, 10:45",Pool A,Scheduled
Northeastern,North Carolina-Wilmington,0,0,"03/28/2026, 12:30",Pool A,Scheduled
Western Washington,Pittsburgh,0,0,"03/28/2026, 12:30",Pool A,Scheduled
Colorado,Northeastern,0,0,"03/28/2026, 14:15",Pool A,Scheduled
Western Washington,North Carolina-Wilmington,0,0,"03/28/2026, 14:15",Pool A,Scheduled
Colorado,Western Washington,0,0,"03/28/2026, 16:00",Pool A,Scheduled
Pittsburgh,North Carolina-Wilmington,0,0,"03/28/2026, 16:00",Pool A,Scheduled
pool,Pool B
Oregon,North Carolina State,0,0,"03/28/2026, 09:00",Pool B,Scheduled
Georgia Tech,Texas,0,0,"03/28/2026, 09:00",Pool B,Scheduled
Oregon,Georgia Tech,0,0,"03/28/2026, 10:45",Pool B,Scheduled
Brown,Texas,0,0,"03/28/2026, 10:45",Pool B,Scheduled
Texas,North Carolina State,0,0,"03/28/2026, 12:30",Pool B,Scheduled
Brown,Georgia Tech,0,0,"03/28/2026, 12:30",Pool B,Scheduled
Oregon,Texas,0,0,"03/28/2026, 14:15",Pool B,Scheduled
Brown,North Carolina State,0,0,"03/28/2026, 14:15",Pool B,Scheduled
Oregon,Brown,0,0,"03/28/2026, 16:00",Pool B,Scheduled
Georgia Tech,North Carolina State,0,0,"03/28/2026, 16:00",Pool B,Scheduled
pool,Pool C
Carleton College,Tennessee,0,0,"03/28/2026, 09:00",Pool C,Scheduled
Massachusetts,Penn State,0,0,"03/28/2026, 09:00",Pool C,Scheduled
Carleton College,Massachusetts,0,0,"03/28/2026, 10:45",Pool C,Scheduled
Oregon State,Penn State,0,0,"03/28/2026, 10:45",Pool C,Scheduled
Penn State,Tennessee,0,0,"03/28/2026, 12:30",Pool C,Scheduled
Oregon State,Massachusetts,0,0,"03/28/2026, 12:30",Pool C,Scheduled
Carleton College,Penn State,0,0,"03/28/2026, 14:15",Pool C,Scheduled
Oregon State,Tennessee,0,0,"03/28/2026, 14:15",Pool C,Scheduled
Carleton College,Oregon State,0,0,"03/28/2026, 16:00",Pool C,Scheduled
Massachusetts,Tennessee,0,0,"03/28/2026, 16:00",Pool C,Scheduled
pool,Pool D
Cal Poly-SLO,Georgia,0,0,"03/28/2026, 09:00",Pool D,Scheduled
Wisconsin,Vermont,0,0,"03/28/2026, 09:00",Pool D,Scheduled
Cal Poly-SLO,Wisconsin,0,0,"03/28/2026, 10:45",Pool D,Scheduled
North Carolina,Vermont,0,0,"03/28/2026, 10:45",Pool D,Scheduled
Vermont,Georgia,0,0,"03/28/2026, 12:30",Pool D,Scheduled
North Carolina,Wisconsin,0,0,"03/28/2026, 12:30",Pool D,Scheduled
Cal Poly-SLO,Vermont,0,0,"03/28/2026, 14:15",Pool D,Scheduled
North Carolina,Georgia,0,0,"03/28/2026, 14:15",Pool D,Scheduled
Cal Poly-SLO,North Carolina,0,0,"03/28/2026, 16:00",Pool D,Scheduled
Wisconsin,Georgia,0,0,"03/28/2026, 16:00",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place
bracket,5th Place 
bracket,7th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
bracket,11th Place
bracket,13th Place 
bracket,15th Place
b,r,e,a,k
pools,Sunday Consolation Pool
pool,Pool E
b,r,e,a,k
