Southeast D-I College Men's Regionals,College - Men ,25,4,2026
Decatur,AL,2026-04-25,2026-04-26
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Georgia Tech,1
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
0,Benjamin Lemon
0,Cam Nelson
0,Brody  Armstrong
0,David Charlton
0,Cooper Caskey
0,Ian Wise
0,Jett Baker
0,Matthew Nahay
0,Van  Leichner
0,Jacob Allen
00,Shayne Huffman
00,Michael Novarese
00,Jon Arnold
00,Riley Rickstrew
00,Derek Webber
00,Christian Strom
01,Sterling Grant
02,Pryce Bevins
03,Jared Beazley
04,Braden Beebe
08,Christian Spining
09,Landon Kyle
10,Meshach Jones
13,Gabriel Hamm
13,Blake Webber
16,Davis Camp
23,Aiden Holman
33,Charles Wheeler
44,Evan Denny
b,r,e,a,k
Tulane,2
teamInfo,Tucks,"New Orleans, Louisiana",,https://www.facebook.com/TulaneUltimateFrisbee/,https://twitter.com/TUultimate
0,Arjun Modayur
0,Andrew Rubinstein
0,Cooper Bruce
0,Cade Broussard
0,Aiden Lipton
0,Luke Mintzer
0,Quinn Testore
0,Morgan Palumbo
0,Pascal Parsons
0,Miles Estrada
0,Noah Kueny-Lichtman
0,Zach Herendeen
00,Noah Zelkin
00,Robert Edwards
00,Stefan  Luedtke
00,Steiger Dodge
00,Miles Fine
00,Talan Esposito
00,Max Decker
00,Liam Doran
00,Matthew Burris
00,Matthew Paley
00,Max Harnoy
00,Alex Sprung
00,Jonah Yousha
03,Saif Ahmed
04,Levi Smetana
05,Micah Wagner
08,Miles Wachsteter
14,Hudson DeGroff
29,Jeffrey Greenblatt
30,Talon Spears
b,r,e,a,k
Alabama,7
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",http://alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,http://twitter.com/bama_ultimate
0,Eli Melnick
0,Rouan Nandjou Lontsi
2,Peter Williams
00,Benjamin Forton
01,Carson Yoder
03,William Hagan
04,Christopher Sullivan
06,Roman Rizzo
07,Dylan Atakoussok
08,Alex Brown
10,Tanner Roemmich
12,Brady Grogan
13,Jackson Whitlow
14,Jack Libby
15,Liam Enger
16,Keaton Byrd
17,Joshua Scheuer Haeker
19,Thomas Reed
23,John Bryant
24,Thomas Cagle
25,Lachlan Campbell
27,John Prendergast
36,Hudson Winslett
42,Arden Markin
64,Conley Brooks
71,Justin Weaver
95,Zachary Powers
b,r,e,a,k
Georgia State,11
teamInfo,Underground,"Atlanta, Georgia",,www.facebook.com/gsuultimate,https://twitter.com/GSUnderground
0,Andy Tran
0,Alonso Gutierrez Oria
0,Chris Peart
0,Hiram Battle
0,Douglas Flannigan
0,Darrel Udemba
0,Daniel Lopez Martinez
0,Aidan Hanak
0,Lucas Ruffin
0,Thomas Orchanian
0,Jac Colatosti
0,Oluwafemi  Akinkugbe
0,Nicholas Lienhard
0,Riley Chester
00,Mohit Kokane
00,Parker Saetang
00,Andrew Frazer
00,Maxwell Lopez
00,Spencer Pennington
00,William Sales
00,Lennox Whitaker
00,Maverick Earle
00,Eric Frega
00,Conner Crenshaw
00,Farez Parmar
00,DeAngelo Williams
04,Shaheer Khan
22,Sam Johnson
26,Aili Francois
b,r,e,a,k
Miami (Florida),14
teamInfo,Florida) (UMiami Vice,"Coral Gables, Florida",https://miami.campuslabs.com/engage/organization/ultimate-frisbee-club,,
0,Corwin Tilden
0,Carter Gibbs
0,Matthew Thomas
0,Sebastian Bernhard
00,Elliot Danto
00,Jesse Ramos
00,Eric Saba
00,Matthew Wright
00,Ronen Wittenberg
00,Ryan Carrell
00,Oscar Stachelberg
00,Robert Weisberg
00,Nicolas Peralta Hiraldo
00,Sean Sauntry
00,David Ciccarone
00,Andres Bhattacharya
00,David Ganz
03,Brian Metzger
10,Andergley Exilien
13,Karek Walker
15,Evan Hilton
b,r,e,a,k
Tennessee,3
teamInfo,Tennessee,"Knoxville, Tennessee",http://web.utk.edu/~ultimate/,http://facebook.com/TennUltimateM/,https://twitter.com/TennUltimateM
00,David Wilkins
01,Dylan Catton
02,Knox Plewniak
04,Benjamin Sayre
06,Will McAfee
07,Eugene Michael Campos
08,Zeke Plewniak
09,JohnThomas Atema
10,Will McGilvra
11,Marshall  Hodges
13,Jaeden Jenkins
15,Drew Irons
16,Thomas Stevens
17,Tobin Beichler
19,John Smith
22,Will Thompson
24,Andrew Harmon
25,Peter Wilson
27,Mason Myler
42,Kohen Kilburn
48,Jackson Lange
54,Lyle Clanton
55,Samuel Lassiter
67,Will Woodruff
88,Eli Moldenhauer
91,Asher Daniels
b,r,e,a,k
Alabama-Huntsville,6
teamInfo,Nightmares,"Huntsville, Alabama",,https://www.facebook.com/UAHultimatefrisbee/?fref=ts,https://twitter.com/uahultimate
0,Brycen Louis
0,Brooks Russell
0,Cole Romines
0,Sawyer Thacker
0,Rylan Adams
00,Joseph Oeswein
00,Conner Lough
00,Corey Sweet
00,Graham Barrett
00,Jacob Horner
00,Elias  Peebles
00,Jonathan Sillivant
00,Alec Minnicks
00,Alexander DiBenio
00,Brian Bekken
00,Caleb Powers
07,Kolson Johnson
12,Joshua Kolby
67,Reed Leide
99,Colby Bong
b,r,e,a,k
Georgia Southern,15
teamInfo,Eagles,"Statesboro, GA, Georgia",https://gasouthernultimate.wixsite.com/mens,,https://twitter.com/GASo_Ultimate
0,Ethan Brown
0,Corey Nielsen
0,Alexander Lewis
0,Calob Chapman
0,Thomas Clennan
0,Markus German
0,Nate Griesbeck
00,Aaron Wynn
00,Steven Rodriguez
00,James Everly
00,Jacob Markward
00,Christopher Scalzi
00,Charles Salmons
00,Cooper Griffis
00,Ethan Ness
00,Jack Murray
00,Kyle Brewer
00,Josh Tuttle
00,Tyler  Coffman
00,Riley Hughes
00,Ryan Smith
00,Nalynn Pathomkrut
b,r,e,a,k
Auburn,10
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Chase Watson
0,Ethan Noel
0,Ronin Cleary
0,Thomas Green
00,Azim Kanjiyani
00,William Appleby
00,Gray King
00,Ethan Polk
00,Isaac Warren
00,Justin Evans
00,Jared Eudy
00,Ruston Bassett
00,Joshua Reed
04,Hudson James
05,Tyler Riemer
08,Jake Givens
20,Trent Baldwin
25,Kenneth Tyburczy
b,r,e,a,k
Emory,4
teamInfo,Emory Juice,"Atlanta, Georgia",,,https://twitter.com/EmoryJuice
coaches,Matthew Shu
0,Alex Li
0,Justin Davis
0,Avery Hamilton
0,Peyton Hirschberg
0,Nikhil Murari
0,Luka Magdic
0,Siddharth Madapura
00,Theodore (Cisco) Harrison
00,Ricky Davis
00,Krish Patel
00,Sean lin
00,Kai Diez
00,Daniel Monterroso
00,Dean Damon
00,Grayson Stone
00,Reece Davidman
00,Lucas Gunzberg
00,Jason Evans
00,Gabriel Hall
00,Cooper Deschenes-Worboy
14,Toby Fuller
14,Zeyi Liu
20,Ammon Longenecker
22,Warren Chang
23,Gregory Gavi
24,Songjie Pu
26,Jesse Rider
28,Daniel Nickas
b,r,e,a,k
Georgia,5
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Scott Whitley
00,Drew Wentworth
00,Edward Rentz-Baker
00,Samad Chapman
01,Lee Phan
02,Adam Goldstein
03,Morgan Hiers
04,Luke Cranor
05,Galileu Carvalho II
07,Gabe Borda
08,Jeremy Sanders
10,William Randall
11,Ernesto Clarke
12,William  Brown
12,Thomas Keever
13,Sam Beh
14,Gabriel Weber
15,Gaby Elkhoury
17,Charles Guerrero
18,Colin Kennedy
23,Jack Krugler
24,Evan King
69,Patrick Reuland
83,Billy Wallace
96,Dane Lynch
b,r,e,a,k
Florida State,9
teamInfo,DUF,"Tallahassee, Florida",,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
00,London Williams
00,Jack Kelly
00,Evan Thompson
00,Justin Wright
00,Edward Bou
00,Ulysses Ellis
00,Thomas Lewis
04,Evan Baker
05,Dominic Pawlusiak
07,Owen Peronto
08,Nicolai Riekerk
10,Trevor Janik
11,Colton Turner
12,Michael Berg
13,Robert Frost
16,Julian St Esprit
17,Sam Swartz
19,Bodie Cole
25,Keaton Van Nostrand
29,Ransom Staszak
44,Elliott Rodriguez
45,Isaac Stuart
88,Benjamin Watson
b,r,e,a,k
Georgia Tech (B),16
teamInfo,Tribe,"Atlanta, Georgia",,,
0,Akash Singhal
0,Isaac  Hoshide
0,Ethan Rodriguez
0,Dante Santaniello
0,Evan Monaghan
0,Ethan Pickle
0,Luke Tu
0,Nathan Cramer
0,Shivansh Sharma
0,Lawrence Skow
0,Zheng Robert Jia
00,Ryan Schaum
00,Miles Green
00,Thomas Ciaccia
00,Jaemin Park
00,Lucas Pawloski
00,Jack Lam
00,Ishaan Madhivanan
00,Marcus Hawley
00,Jaimin Reddy
00,Kieran Abbott
00,Jonah Wu
00,David Bears
00,Eric Chang
00,Earl Harris
00,Abhay Chauhan
00,Aidan Pietruszka
00,Connor Prather
00,Collin McGee
00,Avery Smith
07,Nathan Lee
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play (16.1.2)
pool,Pool A
Georgia Tech,Tennessee-Chattanooga,15,8,"04/25/2026, 09:00",Pool A,Final
Florida,Mississippi State,15,12,"04/25/2026, 09:00",Pool A,Final
Georgia Tech,Mississippi State,15,8,"04/25/2026, 11:00",Pool A,Final
Florida,Tennessee-Chattanooga,12,13,"04/25/2026, 11:00",Pool A,Final
Georgia Tech,Florida,15,10,"04/25/2026, 13:00",Pool A,Final
Tennessee-Chattanooga,Mississippi State,7,15,"04/25/2026, 13:00",Pool A,Final
pool,Pool B
Tulane,Georgia State,15,13,"04/25/2026, 09:00",Pool B,Final
Alabama,Miami (Florida),15,8,"04/25/2026, 09:00",Pool B,Final
Tulane,Miami (Florida),15,9,"04/25/2026, 11:00",Pool B,Final
Alabama,Georgia State,13,10,"04/25/2026, 11:00",Pool B,Final
Tulane,Alabama,15,13,"04/25/2026, 13:00",Pool B,Final
Georgia State,Miami (Florida),15,8,"04/25/2026, 13:00",Pool B,Final
pool,Pool C
Tennessee,Auburn,15,9,"04/25/2026, 09:00",Pool C,Final
Alabama-Huntsville,Georgia Southern,15,6,"04/25/2026, 09:00",Pool C,Final
Tennessee,Georgia Southern,15,2,"04/25/2026, 11:00",Pool C,Final
Alabama-Huntsville,Auburn,15,10,"04/25/2026, 11:00",Pool C,Final
Tennessee,Alabama-Huntsville,15,10,"04/25/2026, 13:00",Pool C,Final
Auburn,Georgia Southern,7,15,"04/25/2026, 13:00",Pool C,Final
pool,Pool D
Emory,Florida State,15,11,"04/25/2026, 09:00",Pool D,Final
Georgia,Georgia Tech (B),15,8,"04/25/2026, 09:00",Pool D,Final
Emory,Georgia Tech (B),15,5,"04/25/2026, 11:00",Pool D,Final
Georgia,Florida State,15,12,"04/25/2026, 11:00",Pool D,Final
Emory,Georgia,15,5,"04/25/2026, 13:00",Pool D,Final
Florida State,Georgia Tech (B),15,7,"04/25/2026, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play (16.1)
bracket,Championship Bracket
Georgia Tech,Tennessee,15,9,"04/26/2026, 13:00",Game-To-Go,Final
Georgia Tech,Emory,15,8,"04/26/2026, 11:00",Semifinals,Final
Tennessee,Tulane,15,14,"04/26/2026, 11:00",Semifinals,Final
Georgia Tech,Alabama,15,9,"04/26/2026, 09:00",Quarterfinals,Final
Emory,Alabama-Huntsville,15,10,"04/26/2026, 09:00",Quarterfinals,Final
Tennessee,Florida,15,14,"04/26/2026, 09:00",Quarterfinals,Final
Tulane,Florida State,13,10,"04/26/2026, 09:00",Quarterfinals,Final
Alabama,Georgia Southern,15,11,"04/25/2026, 15:00",PreQuarters,Final
Alabama-Huntsville,Georgia State,15,11,"04/25/2026, 15:00",PreQuarters,Final
Georgia,Florida,9,15,"04/25/2026, 15:00",PreQuarters,Final
Mississippi State,Florida State,12,15,"04/25/2026, 15:00",PreQuarters,Final
bracket,3rd Place
Emory,Tulane,11,5,"04/26/2026, 13:00",3rd Place Game,Final
bracket,5th Place
Alabama-Huntsville,Florida State,0,0,"04/26/2026, 13:00",5th Place Game,Cancelled
Alabama,Alabama-Huntsville,12,13,"04/26/2026, 11:00",5th Place Play-Ins,Final
Florida,Florida State,7,11,"04/26/2026, 11:00",5th Place Play-Ins,Final
bracket,7th Place
Alabama,Florida,11,13,"04/26/2026, 13:00",7th Place Game,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,Consolation Championship
Georgia State,Mississippi State,14,12,"04/26/2026, 13:00",9th Place Game,Final
Georgia Southern,Georgia State,8,15,"04/26/2026, 11:00",Consolation Semifinals,Final
Auburn,Mississippi State,8,15,"04/26/2026, 11:00",Consolation Semifinals,Final
Tennessee-Chattanooga,Georgia Southern,12,14,"04/26/2026, 09:00",Consolation Quarterfinals,Final
Georgia Tech (B),Georgia State,6,11,"04/26/2026, 09:00",Consolation Quarterfinals,Final
Auburn,Georgia,14,11,"04/26/2026, 09:00",Consolation Quarterfinals,Final
Miami (Florida),Mississippi State,6,15,"04/26/2026, 09:00",Consolation Quarterfinals,Final
bracket,11th Place
Georgia Southern,Auburn,0,0,"04/26/2026, 13:00",11th Place Game,Cancelled
bracket,13th Place
Georgia Tech (B),Georgia,0,0,"04/26/2026, 13:00",13th Place Game,Cancelled
Tennessee-Chattanooga,Georgia Tech (B),11,15,"04/26/2026, 11:00",13th Place Play-Ins,Final
Georgia,Miami (Florida),15,6,"04/26/2026, 11:00",13th Place Play-Ins,Final
bracket,15th Place
Tennessee-Chattanooga,Miami (Florida),11,15,"04/26/2026, 13:00",15th Place Game,Final
b,r,e,a,k
