Boston Invite 2026,Club - Mixed ,11,7,2026
Devens,MA,2026-07-11,2026-07-12
https://play.usaultimate.org/events/Boston-Invite-2026/schedule/Mixed/Club-Mixed
Grand Army,1
Big Rig,Odyssée,12,10,"07/12/2026, 13:00",semi,Final
Grand Army,Darkwing,11,10,"07/12/2026, 11:00",quarter,Final
Obscure,Zero Strategy,12,13,"07/12/2026, 11:00",quarter,Final
Big Rig,Townies,15,7,"07/12/2026, 11:00",quarter,Final
Odyssée,Jughandle,14,9,"07/12/2026, 11:00",quarter,Final
bracket,3rd place
Zero Strategy,Odyssée,8,13,"07/12/2026, 15:00",3rd,Final
bracket,5th place
Darkwing,Townies,13,10,"07/12/2026, 15:00",5th place,Final
Darkwing,Obscure,13,11,"07/12/2026, 13:00",5mis,Final
Townies,Jughandle,15,8,"07/12/2026, 13:00",5mis,Final
bracket,7th place 
Obscure,Jughandle,14,12,"07/12/2026, 15:00",7th,Final
b,r,e,a,k
pools,pool play
pool,Pool F
Grand Army,T Party,13,11,"07/11/2026, 09:00",Pool F,Final
Jughandle,Scarecrow,13,1,"07/11/2026, 09:00",Pool F,Final
Grand Army,Jughandle,13,7,"07/11/2026, 10:40",Pool F,Final
Funk,Scarecrow,11,6,"07/11/2026, 10:40",Pool F,Final
Scarecrow,T Party,8,11,"07/11/2026, 12:20",Pool F,Final
Funk,Jughandle,9,13,"07/11/2026, 12:20",Pool F,Final
Grand Army,Scarecrow,13,3,"07/11/2026, 14:00",Pool F,Final
Funk,T Party,13,9,"07/11/2026, 14:00",Pool F,Final
Grand Army,Funk,12,7,"07/11/2026, 15:40",Pool F,Final
Jughandle,T Party,13,9,"07/11/2026, 15:40",Pool F,Final
pool,Pool G
Odyssée,Lampshade,13,5,"07/11/2026, 09:00",Pool G,Final
Buffalo Lake Effect,Quahogs,10,11,"07/11/2026, 09:00",Pool G,Final
Odyssée,Buffalo Lake Effect,13,4,"07/11/2026, 10:40",Pool G,Final
Darkwing,Quahogs,9,8,"07/11/2026, 10:40",Pool G,Final
Quahogs,Lampshade,9,12,"07/11/2026, 12:20",Pool G,Final
Darkwing,Buffalo Lake Effect,10,8,"07/11/2026, 12:20",Pool G,Final
Odyssée,Quahogs,13,5,"07/11/2026, 14:00",Pool G,Final
Darkwing,Lampshade,13,5,"07/11/2026, 14:00",Pool G,Final
Odyssée,Darkwing,12,9,"07/11/2026, 15:40",Pool G,Final
Buffalo Lake Effect,Lampshade,9,10,"07/11/2026, 15:40",Pool G,Final
pool,Pool H
Big Rig,Heat Wave,13,11,"07/11/2026, 09:00",Pool H,Final
Obscure,League of Shadows,10,13,"07/11/2026, 09:00",Pool H,Final
Big Rig,Obscure,13,9,"07/11/2026, 10:40",Pool H,Final
Garbage Plates,League of Shadows,13,8,"07/11/2026, 10:40",Pool H,Final
