2026 U.S. Open Youth Club Championships (YCC) D1,Youth Club U-20 - Boys DI,1,8,2026
Aurora,CO,2026-08-01,2026-08-03
https://play.usaultimate.org/events/2026-US-Open-Youth-Club-Championships-YCC/schedule/Boys/youth-club-u-20-boys/di/
Triforce,8
coaches,Ian Hailey,Jacob Fields,Zach Kaylor,Chris Zimmerman,Steven Tong
00,Beckett Hardie
01,James Collins
03,Brian Fisher
05,Lincoln Charpentier
07,Kyle Tong
08,Kai Earley
10,Andrew Enneking
18,Lucas Cox
22,Andrew Schaedig
23,David Contreras
32,Kyle Zimmerman
33,Luke Awtrey
36,Thomas Resig
45,Conner  Tracey
57,Ben Awtrey
65,Eric Obioha
77,Kai Bohlander
95,Charlie Castro
b,r,e,a,k
Utah Swarm U20 Boys,10
teamInfo,,"Salt Lake City, Utah",,,
coaches,Joe Strong,Zane Pew,Everett Saunders,George Shelby
01,Matthew Anderson
02,Jacob Hoffman
03,Blake Holt
04,Riley  Hamilton
05,CJ Strong
10,Keegan Bybee
12,Ari Dowling
13,Heber Chapman
15,Duncan Griffin
16,Gunnar Larsen
20,Cody Eakins
26,Asher Iacob
30,Joseph Robinson
38,Lincoln Bragonje
39,Alex Orgill
42,Matthew Moore
46,Lorenzo  Davis
56,Logan Knudson
57,Landen Bybee
62,Sam Oyler
70,Kirill Rassoul-Agha
82,Ethan Farmer
88,Crosby  Burrows
b,r,e,a,k
Villains,2
teamInfo,,"Nashville, Tennessee",http://nashvilleultimate.com/ycc,,
coaches,Garrett Wilson
0,Beckett Davis
01,Kyle Rockett
04,Landon Bradford
05,Dane Gore
06,Jack Roberts
07,Levi Fender
09,Charles Younger
10,Freeman Plewniak
11,Noah Wiley
12,Anthony Dehnert
13,Andrew  Hodges
14,Dylan Omary
15,Grant Kraemer
17,Tristan  Sulla
19,Samuel Alft
22,Gavriel Wiggins
23,Nathan Rainey
29,Jackson Brockman
33,Aiden Davis
34,Isaiah  Dunk
55,Zach Hamilton
95,Jeremiah Vedders
b,r,e,a,k
Philadelphia SEPDA,7
teamInfo,,"Philadelphia, Pennsylvania",https://www.instagram.com/philly_sepda/,,
coaches,Sam Grossberg,Will Helenski,Max Charles
01,Connor Brennan
02,Nicolas Salamandra
03,Nati Roemer-Block
04,Michael Mcclellan
05,Alex Moragne
09,Jackson Bloom
11,Arman Nejati
12,Misha Swann
13,Dylan Scanlan
14,Benjamin Raynor
16,Jonah Grossberg
18,Will Walker
19,AJ Daniel
20,Lev Weisenberg
22,Jackson Horvat
25,Gus Poons
29,Zachary Black
30,Oliver Kelley
32,James McCarthy
77,Sebastian Becker
95,Christian Lee
b,r,e,a,k
Madison MUFAbots U20B,15
teamInfo,,"Madison, Wisconsin",,,
coaches,Samuel Erickson,Joe Leibforth,Noah Petersen,Zeke Witter,Rachael Kern
00,Atticus Kobs
01,Camden Portman
02,Caleb Avery
03,Emmett Orkowski
05,Mason DePauw
06,Jackson Zerkle
07,Evan Natzke
09,Cayden Niemuth
10,Jack Grimm Ketter
11,Axel Watson
13,Miles Nibbelink
14,Qian Pasch
15,Kai Blanco
17,Jack Landers
19,Michael (Xander) Whitley
21,Warren Brace
22,Russell Hellmer
28,Noah Estrella
31,Lev Tulyaev
45,Samuel Welch
55,Jude Perfetti
66,Solomon Beebe Collum
99,EJ Kahn
b,r,e,a,k
DEVYL U-20 Open,6
teamInfo,,"Westfield, New Jersey",https://www.devylultimate.org/,https://www.facebook.com/devylultimate/,http://@devylulty
coaches,Ryan Belline,Ethan Smith,Donovan Hugel
2,Asher Lorentzen
01,Alex Siener
02,Ryan Stinton
03,Chase Fiory
04,Simon Gunzberg
07,Connor Sherwin
08,Finn Gosselink
10,Jake Donahue
11,Chris Kondak
12,Jack Pachal
14,William Rosenheck
16,Theo Boddeker
18,Julien Taylor
19,Nathaniel Gold
20,Thaddeus (Nate) Cheng
22,Schroeder Kacmar
25,James Dolinac
27,Thomas Cogan-Drew
29,Simon Collins-Siegel
42,Ellis Kohn
51,Michael Grauer
65,Mason Gunn
76,Jashan Singh
97,Riley Lorentzen
b,r,e,a,k
BUDA U20B,3
teamInfo,,"Boston, Massachusetts",http://buda.org/yc,,
coaches,David Pinto,John Rice,Olivia Player,Ram Sundaram
01,Nathan Thompson
02,Arnav Manchala
03,Owen Bogumil
04,Mikey Granfield
05,Russell Herbert
06,Ellis Rubin
08,Luke Li
09,Max Preston
10,Elliott Wyman
11,Zach Phan
12,Max Coe
13,Kolin Broderick
15,Sam Goentzel
22,Zeke Spector
24,Yaotong Zhang
25,Liam Carmody
29,Elijah Staples
33,Leo Chiaverini
42,Jude Martin-Weinbaum
44,Miles Schiefer
66,Nathaniel Goldberg
86,Cooper Whitney
88,Jacob Hesik
b,r,e,a,k
Minnesota Superior U20B,11
teamInfo,,"Blaine, Minnesota",https://minnesotaultimate.org,,
coaches,Roman Pham,Blake Krapfl,Ethan Ode,Becker Mathie,Isaac Van Sistine
0,Phelan Newhouse
01,Luke Hobday
04,Jack Hodgson
05,Odin Bowen
07,Nathan Sanga
08,Niko Flynn Rollin
10,Nolan Manuel
11,Eric Ethen
12,Teddy Rich
14,Arbaaz Iqbal
15,William Seidelmann
17,Cooper Armstrong
19,Benjamin Ribnick
22,Cade Ranua
23,Isaac Boardman
29,Joseph Sexe
33,Julian Glaeser Allen
35,Isaac Schmitz
41,Ever O'Dowd
42,Rowan Flood
47,Noah Abbas
52,Alex Manson
88,Nicholas Beckham Ching
89,Emmitt Kuettner
b,r,e,a,k
Oregon Trainwreck,14
teamInfo,,"Monmouth, Oregon",,,
coaches,Kevin Christian,Eric Rosenfeld
02,Driscoll Strong
03,Benjamin  Ramsey
07,Jacob Jinnah
08,Michael  Bennett
09,Milo Melton
10,Ben Bower
11,Graham Pasciuto-Wood
12,Bryce Lange
15,Everett O'Leary
18,Ian Kramer
20,Justin Yasukawa
21,Levi Rachford
27,Hollis McNeely
42,Quinn Alaeddine
44,Gabriel Hipp
55,Henry Nelson
95,Corey Cohen
97,Grady Perkins
98,Elliot Brandt
99,Will Sinkford
b,r,e,a,k
ATLiens,12
teamInfo,,"Atlanta, Georgia",,,http://@ATLiensYCC
coaches,Zachary Hollis,Gerleen Dineros,John Baggenstoss,Kenni Taylor
0,Grady Richman
01,Sawyer Morgan
02,Oliver Francois Watkins
03,Stephen Marshall
08,Octavian Penescu
11,Hudson Cheng
12,Junot Schlanger
13,Tommy Vento
15,Grant Warner
16,Eli Belkin
20,Ben Sheely
23,Elias Coffey
28,Spencer Shah
36,Nathan Cauthorn
65,Harrison Higgins
69,Cooper Gallagher
77,Matt Eldridge
98,Samuel Shapiro
b,r,e,a,k
Colorado Cutthroat U-20 Boys,4
teamInfo,,"Denver, Colorado",,,
coaches,Hannah Matthys,Cody Johnston,Christopher Ward
01,Evan Carlson
04,Sylas Gulsby
06,Koa Fawkes
08,Dax Chase
10,Ambrose Stevens
11,Xander Lee
12,Henry Berget
13,Marcus  Castleman
14,Liam Taylor
15,Nathan Gonder
16,Alexander Thomas
17,Graham Stover
23,Desmond Roy
24,Simon Blue
25,Quinlan Bobrow
26,Finn Thaler
41,Griffin Knight
44,Finn Spring
45,Owen Gardner
49,Paxton Jung
54,Andrew Geddes
57,Zeca Pockross
66,Tayt Lo
74,Elias Olson
87,Zeppelin Inoue
b,r,e,a,k
Seven Hills U20 Bx,5
teamInfo,,"Seattle, Washington",https://www.sevenhillsultimateclub.com/,,
coaches,Jesse Bolton,Nobi (Masao) Lorenz,Bobby Eleveld
01,Tarek Rifaat
02,William Gaspar
04,Brendan Johnson
05,Graham Goodrum
06,Tanner Monohan
07,Liam Duffy
08,Phong  Hang
09,Jonah Yang
13,Teague Song
14,Kai Sherman
16,Maddox Woo
17,Sam Pak
18,Ellis Gould
22,Eltaes Delaney
23,Griffin Ferris
26,Charlie Lewis
27,Ryan Baker
31,Brigham Stowell
33,Solomon Toledo
34,Alex Muss
48,Jack Lawson
57,Marcus Kwan
b,r,e,a,k
Foggy Bottom Boys,13
teamInfo,,"Washington, District of Columbia",,,https://x.com/foggyboys
coaches,Mina Kim,Marcelo Ruggiero,Sean Mott
02,Sean Stephens
03,Leon Hii
04,Filipe Limao
05,Rohan Rai
08,Sayid Talishkhan
09,Talin Campen
10,Zayn Mufti
11,Samuel Torrecilla
15,Alex Wilcox
17,William Brady
18,Milo Harris
19,Carter Gray
20,Ethan Silverman
28,Luke Tiersky
29,Lev Dienstfrey
30,Finn Farrell
32,Ezra Carr
37,Henry Gould
39,Benjamin Holland
45,Mitchell Lillie
86,Leo Stitziel
91,Simon Baldwin
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
SmOAK,Flying Pig,13,5,"08/01/2026, 09:00",Pool A,Final
Triforce,Texas United,13,11,"08/01/2026, 09:00",Pool A,Final
SmOAK,Texas United,13,6,"08/01/2026, 11:15",Pool A,Final
Triforce,Flying Pig,13,7,"08/01/2026, 11:15",Pool A,Final
SmOAK,Triforce,10,11,"08/01/2026, 14:00",Pool A,Final
Texas United,Flying Pig,13,11,"08/01/2026, 14:00",Pool A,Final
pool,Pool B
Villains,Madison MUFAbots U20B,13,8,"08/01/2026, 09:00",Pool B,Final
Philadelphia SEPDA,Utah Swarm U20 Boys,11,13,"08/01/2026, 09:00",Pool B,Final
Villains,Utah Swarm U20 Boys,10,13,"08/01/2026, 11:15",Pool B,Final
Philadelphia SEPDA,Madison MUFAbots U20B,13,11,"08/01/2026, 11:15",Pool B,Final
Villains,Philadelphia SEPDA,13,11,"08/01/2026, 14:00",Pool B,Final
Utah Swarm U20 Boys,Madison MUFAbots U20B,13,7,"08/01/2026, 14:00",Pool B,Final
pool,Pool C
BUDA U20B,Oregon Trainwreck,13,11,"08/01/2026, 09:00",Pool C,Final
DEVYL U-20 Open,Minnesota Superior U20B,13,9,"08/01/2026, 09:00",Pool C,Final
BUDA U20B,Minnesota Superior U20B,11,12,"08/01/2026, 11:15",Pool C,Final
DEVYL U-20 Open,Oregon Trainwreck,13,12,"08/01/2026, 11:15",Pool C,Final
BUDA U20B,DEVYL U-20 Open,13,11,"08/01/2026, 14:00",Pool C,Final
Minnesota Superior U20B,Oregon Trainwreck,13,12,"08/01/2026, 14:00",Pool C,Final
pool,Pool D
Colorado Cutthroat U-20 Boys,Foggy Bottom Boys,13,9,"08/01/2026, 09:00",Pool D,Final
Seven Hills U20 Bx,ATLiens,11,13,"08/01/2026, 09:00",Pool D,Final
Colorado Cutthroat U-20 Boys,ATLiens,11,13,"08/01/2026, 11:15",Pool D,Final
Seven Hills U20 Bx,Foggy Bottom Boys,13,9,"08/01/2026, 11:15",Pool D,Final
Colorado Cutthroat U-20 Boys,Seven Hills U20 Bx,13,11,"08/01/2026, 14:00",Pool D,Final
ATLiens,Foggy Bottom Boys,13,12,"08/01/2026, 14:00",Pool D,Final
b,r,e,a,k
clusters,2v3 Pool Crossovers into Brackets
cluster,Championship Bracket Play-in
SmOAK,Seven Hills U20 Bx,13,10,"08/02/2026, 10:45",,Final
Villains,Minnesota Superior U20B,11,10,"08/02/2026, 10:45",,Final
BUDA U20B,Philadelphia SEPDA,13,10,"08/02/2026, 10:45",,Final
Colorado Cutthroat U-20 Boys,Texas United,10,12,"08/02/2026, 10:45",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
BUDA U20B,SmOAK,11,15,"08/03/2026, 08:30",1st Place,Final
Triforce,BUDA U20B,10,15,"08/02/2026, 15:45",Semifinals,Final
Texas United,SmOAK,11,15,"08/02/2026, 15:45",Semifinals,Final
Triforce,Villains,11,7,"08/02/2026, 13:30",Quarterfinals,Final
ATLiens,BUDA U20B,9,13,"08/02/2026, 13:30",Quarterfinals,Final
DEVYL U-20 Open,Texas United,11,13,"08/02/2026, 13:30",Quarterfinals,Final
Utah Swarm U20 Boys,SmOAK,11,13,"08/02/2026, 13:30",Quarterfinals,Final
bracket,3rd Place
Triforce,Texas United,13,12,"08/03/2026, 10:45",3rd Place,Final
bracket,5th Place
ATLiens,Utah Swarm U20 Boys,10,13,"08/03/2020, 10:45",5th Place,Final
Villains,ATLiens,11,12,"08/02/2020, 15:45",5th Place Semifinals,Final
DEVYL U-20 Open,Utah Swarm U20 Boys,8,11,"08/02/2020, 15:45",5th Place Semifinals,Final
bracket,7th Place
Villains,DEVYL U-20 Open,8,13,"08/03/2026, 10:45",7th Place,Final
bracket,9th Place
Colorado Cutthroat U-20 Boys,Philadelphia SEPDA,13,7,"08/03/2026, 10:45",9th Place,Final
Colorado Cutthroat U-20 Boys,Seven Hills U20 Bx,12,11,"08/02/2026, 15:45",9th Place Semifinals,Final
Minnesota Superior U20B,Philadelphia SEPDA,11,12,"08/02/2026, 15:45",9th Place Semifinals,Final
Colorado Cutthroat U-20 Boys,Madison MUFAbots U20B,13,7,"08/02/2026, 13:30",9th Place Quarterfinals,Final
Seven Hills U20 Bx,Oregon Trainwreck,13,8,"08/02/2026, 13:30",9th Place Quarterfinals,Final
Minnesota Superior U20B,Foggy Bottom Boys,11,7,"08/02/2026, 13:30",9th Place Quarterfinals,Final
Philadelphia SEPDA,Flying Pig,13,11,"08/02/2026, 13:30",9th Place Quarterfinals,Final
bracket,11th Place
Seven Hills U20 Bx,Minnesota Superior U20B,11,12,"08/03/2026, 08:30",11th Place,Final
bracket,13th Place
Madison MUFAbots U20B,Flying Pig,13,11,"08/03/2026, 08:30",13th Place,Final
Madison MUFAbots U20B,Oregon Trainwreck,13,10,"08/02/2026, 15:45",13th Place Semifinals,Final
Foggy Bottom Boys,Flying Pig,8,9,"08/02/2026, 15:45",13th Place Semifinals,Final
bracket,15th Place
Oregon Trainwreck,Foggy Bottom Boys,13,7,"08/03/2026, 08:30",15th Place,Final
b,r,e,a,k
