2026 Select Flight Invite East,Club - Women ,25,7,2026
Sylvania,OH,2026-07-25,2026-07-26
http://play.usaultimate.org/events/2026-Select-Flight-Invite-East/schedule/Women/Club-Women/
6ixers,1
5,Sarah Grace Spurgin
9,Stephanie Sauer
9,Alice Emch
17,Norah Curry
18,Avery DeOcampo
22,RT Kan
24,Selena Qian
25,Adrienne Goldstein
26,Diana Mazid
37,Krista Schumm
97,Rose Bruns
b,r,e,a,k
Shiver,13
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ShiverUltimate,https://twitter.com/shiverultimate
coaches,Ken Rehder
0,Colleen Milligan
0,Francheska Lalondriz
0,Evie  Bick
0,Cora McIntosh
0,Lauren Wyatt
0,Jennifer Lin
0,Kate Burns
0,Naomi Kantor
0,Keona Burch
0,Madelyn Morrison
7,Allyson Fion
17,Sabrina Talley
19,Renee Tamming
23,Zoe Feil
24,Grace Xiang
26,Georgia Paulig
26,Michelle Landis
28,Amanda English
42,Maya Neal
48,Suzanne Tyler
b,r,e,a,k
Sureshot,18
teamInfo,,"Cincinnati, Ohio",,https://www.facebook.com/sureshotultimate/,https://twitter.com/cincysureshot
03,Kimberly Cooper
04,Nathalie Schickendantz
05,Sara Kula
06,Meredith Eichenlaub
08,Amanda McAuley
11,Stephanie Kramer
14,Holly Kallmeyer
18,Lucy Michel
21,Liz Anderson
22,Julia Lindenschmidt
23,Yelenis Rivera
24,Mary Timmons
27,Emilee Armbruster
31,Amelia Kennedy
44,Laura Madigan
47,Jackie Sapienza
94,Julie Sebastian
b,r,e,a,k
Starling,4
teamInfo,,"Northampton, Massachusetts",https://www.instagram.com/starlingultimate,,
0,Adrienne Wells
0,Anne Silver
0,Danica Vasa
0,Carys Shepard
0,Maia Donald
0,Paige Howell
0,Ruthie Tabatchnick
0,Sarah Thomann
0,Rebecca Foster
0,Meta Learey
0,Miriam Marino
0,Sydney Mager
0,Mickie  Webbeking
0,Jean Tuvilla-Roberts
0,Maureen Dougherty
0,Joanie Cha
