South Central D-I College Men's Regionals,College - Men ,25,4,2026
Colorado Springs,CO,2026-04-25,2026-04-26
https://play.usaultimate.org/events/South-Central-D-I-College-Mens-Regionals-2026/schedule/Men/CollegeMen/
Colorado,1
12,Eddie Zhao
13,Mitchell O'Keefe
14,Jack Wellons
23,Finn Hanson
27,Nico Rose
32,Jake Bender
36,Jakob Ayala
77,Cyrus Beauvais
b,r,e,a,k
Denver,6
teamInfo,Sourdough,"Denver, Colorado",https://denversourdough.wixsite.com/du-sourdough,,
0,Bodhi Tompkins
0,Bo Bershatsky
0,Aiden Burkhart
0,Andrew Ehrig
0,Henry Staats
0,Piers  Mcgowin
0,Nathan Smith
0,Jonah Perlman
0,Zachary Thomas
0,Phillip Wigoda
0,Leo Murrell
0,Travis Herink
00,Jacob Russell
00,Andrew Lukasewycz
01,Justin Blake
04,Lucien Heilman
06,Daniel Meekin
08,Owen Lewis
09,Jack Sanda
12,Cooper Antin
14,Dalton Ward
15,Campbell Willmuth
16,Noam Halpern
22,Arthur Madsen
25,Ian Rosenshine
45,Zac Wise
67,Jude Brumbaugh
82,Daniel Pineiro
95,Noah Alleman
b,r,e,a,k
Texas A&M,7
teamInfo,Dozen,"COLLEGE STATION, Texas",http://dozenultimate.com,https://www.facebook.com/tamuultimate/,https://twitter.com/DozenUltimate/
coaches,Todd Schrader
0,Aidan Forsythe
0,Beau Sherrill
0,Corey Chrudimsky
0,Justin Kutrybala
0,John Tebbetts
0,Jaeden Powell
0,Joshua Wan
0,William DiCarlo
0,Tanner Hawkins
0,Thomas Stephan
0,Thomas Rzasnicki
0,Scott Cricks
0,Michael Besancon
9,Will Zarrouk
00,Tony Cao
00,Noah Loy
00,Mark Henke
00,Maren Monsivais
00,Jonathan Jin
00,Gareth May
00,Ethan Horng
00,Peter Saudale
04,Decker Padgett
23,Garrison Abide
24,Ryan Mohammadian
35,Richard Pena
42,Connor  Wester
b,r,e,a,k
Oklahoma State,16
teamInfo,Ultimato,"Stillwater, Oklahoma",,,
0,Allison Martin
0,Zachary Maron
0,Tate Stewart
0,Seth Ratke
00,Braxton Dillon
00,Nathan Turnbaugh
00,Danielle Athens
00,Jacob Raulie
00,Luke Cradduck
00,William Faust
b,r,e,a,k
Arkansas,9
teamInfo,Ludicrous Speed,"Fayetteville, Arkansas",,,https://twitter.com/uofaultimate?lang=en
0,Adam Donaldson
0,Andrew Nguyen
0,Hayes Ruckstaetter
0,Carter Horton
0,Kirin Agnihotri
0,Jackson VanSyckle
0,Juan Herrera
0,Riley Gilliland
00,Tyson Brown
00,Kele Estes-Beard
00,Matt Markiewicz
00,Joan Garcia
00,Mason Cooper
00,Jayden Morfin
00,Cooper Fulton
00,Cole Peterson
b,r,e,a,k
Texas-San Antonio,12
teamInfo,Siesta,"San Antonio, Texas",,,
0,Isaac Boothe
0,Ian Hahn
0,Soren Watterson
2,Peng-Sim Ang
3,Willie Olivarez
6,Nicholas Squadrito
7,Andrew Ferrufino
9,James Lund
11,Wesley Mitchell
12,Jack Jarboe
14,Jose Marquez
16,Patrick Zertuche
19,Alex Ortiz
22,Andres Duarte Ornelas
25,Colby Vuong
26,Dashyl Lemens
40,Abrar Ahmed
41,Ishaan Mishra
44,Trinity Riley
45,Chase Sherburne
46,Johnnie Thienpont
77,Henry Sandlin
b,r,e,a,k
Texas State,13
teamInfo,Texas State Buckets,"San Marcos, Texas",,,
0,Clark Hewett
0,Elijah Gonzales
0,Landon Boykin
0,Jaylin Webb-Frank
0,Jay Bielamowicz
0,Konrad Sverrisson
0,Santiago De La Garza
0,Robert Simmons
0,William Balfour
0,Tex  Burklund
0,Raymundo Guajardo IV
0,Roy Carney
0,Randall Sosnowski
00,Walker Wardrop
00,Jackson Mead
00,Harris Ewald
00,Matthew Coffelt
00,Joseph Kunz
00,Evan Garces
00,Clay Diercks
00,Evan Walsh
00,Alexander Landa
b,r,e,a,k
Texas-Dallas,14
teamInfo,Woof,"Richardson, Texas",,,https://twitter.com/utd_ultimate
coaches,Matthew Sutton
0,Ben Rhee
0,Peter Ngo
0,Kian Patel
6,Parker Morgan
6,Christian Adusei
9,Ivan Yau
00,Jeffrey Gilbert
00,Arjun Nayak
00,Asher Niedzwiedz
00,Colin Adkins
00,Riley Johnson
00,Ryan Neumann
00,Reid Smith
00,Zachary Caudle
00,Karan Bhavan
00,Lucas Morgan
11,Chris Padgett
17,Owen Hall
23,Andrew Sullivan
25,Braedon Kotko
37,Andy Flathmann
69,Aaditya Pardeshi
87,Connor Harris
88,Ethan Hughes
99,Nikhil Jeeva
99,Josh Nigam
b,r,e,a,k
Baylor,11
teamInfo,Stonewall,"Waco, Texas",https://linktr.ee/baylorultimatefrisbee,,
0,Samuel Taylor
00,Paul Baden
01,Matthew Eubanks
02,Thomas Abel
03,Tyler Jackson
03,Henry Wang
04,Jackson Blake
06,Samuel Jarrett
08,Derrick Jackson
09,Jackson Simpson
10,Benjamin Reyes
15,Jackson Duchesne
19,Owen Rogers
24,Benjamin Moore
26,Jack Henderson
42,Tryston McGuyre
65,Remington Gamblin
88,Brennan Ellis
b,r,e,a,k
Missouri,10
teamInfo,Missouri,"Columbia, Missouri",,https://www.facebook.com/University-of-Missouri-Mens-Ultimate-Frisbee-Club-485959944787244,https://twitter.com/MizClubMFrisbee
0,Charlie Dorsch
0,Brendan  Tucker
0,Cameron Schleeper
0,Leo Bloomer
0,Nathan Thompson
0,Patrick Kramer
0,Reece Alvarado
0,Ollie Adams
0,Wilson Ono
0,Max Angle
00,Spencer Keith
00,Peter Hogan
00,Caleb Dorsch
00,Trent Wetherington
00,Robby Thompson
00,Zachary Gibson
00,Michael Nece
00,Thomas Abbate
00,Siddanth Kuchangi
00,Owen Levins
00,Elliott Eberhahn
00,Isaac Faust
00,Alon Barzilay
00,Dylan Schearf
00,Drew Law
00,Evan Schreiner
00,Eric Wilson
01,Andrew Yakes
b,r,e,a,k
North Texas,15
teamInfo,UNT,"Denton, Texas",,,https://twitter.com/UltimateUnt
0,Kevin Tran
0,Rayhan Haider
0,Nash Giles
01,Kyle Kwezani
04,Oakley Armstrong
08,Michael Ajayi
09,Luca Gutierrez
11,Joseph Fambro
13,Thomas Avery
19,Jude Simons
23,Brayden  Walker
25,Jonathan Leung
25,Spencer Hemberger
34,Kristoff Boor
66,James Novinski
97,Emerson Shar
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,First Place
Colorado,Texas,12,10,"04/26/2026, 11:00",Finals,Final
Colorado,Colorado (B),15,4,"04/25/2026, 15:30",Semifinals,Final
Colorado State,Texas,7,15,"04/25/2026, 15:30",Semifinals,Final
Colorado,Kansas,15,4,"04/25/2026, 11:30",Quarterfinals,Final
Colorado (B),Washington University,15,13,"04/25/2026, 11:30",Quarterfinals,Final
Colorado State,Denver,15,6,"04/25/2026, 11:30",Quarterfinals,Final
Texas A&M,Texas,8,15,"04/25/2026, 11:30",Quarterfinals,Final
Colorado,Oklahoma State,15,0,"04/25/2026, 09:30",Pre-Quarterfinals,Final
Arkansas,Kansas,7,15,"04/25/2026, 09:30",Pre-Quarterfinals,Final
Colorado (B),Texas-San Antonio,15,6,"04/25/2026, 09:30",Pre-Quarterfinals,Final
Texas State,Washington University,7,15,"04/25/2026, 09:30",Pre-Quarterfinals,Final
Colorado State,Texas-Dallas,15,6,"04/25/2026, 09:30",Pre-Quarterfinals,Final
Baylor,Denver,8,15,"04/25/2026, 09:30",Pre-Quarterfinals,Final
Texas A&M,Missouri,15,13,"04/25/2026, 09:30",Pre-Quarterfinals,Final
North Texas,Texas,2,15,"04/25/2026, 09:30",Pre-Quarterfinals,Final
bracket,Game to Go
Texas,Colorado State,15,13,"04/26/2026, 13:00",Second Place,Final
Texas A&M,Colorado State,8,14,"04/26/2026, 11:00",Backdoor Finals,Final
Texas A&M,Colorado (B),11,10,"04/26/2026, 09:00",Backdoor Semis 2,Final
Washington University,Colorado State,9,15,"04/26/2026, 09:00",Backdoor Semis 2,Final
Texas A&M,Denver,10,9,"04/25/2026, 15:30",Backdoor Semis 1,Final
Washington University,Missouri,15,6,"04/25/2026, 15:30",Backdoor Semis 1,Final
Texas A&M,Arkansas,12,7,"04/25/2026, 13:30",Backdoor Quarters 2,Final
Denver,Texas State,15,5,"04/25/2026, 13:30",Backdoor Quarters 2,Final
Washington University,Baylor,15,10,"04/25/2026, 13:30",Backdoor Quarters 2,Final
Kansas,Missouri,8,12,"04/25/2026, 13:30",Backdoor Quarters 2,Final
Oklahoma State,Arkansas,9,15,"04/25/2026, 11:30",Backdoor Quarters 1,Final
Texas-San Antonio,Texas State,10,13,"04/25/2026, 11:30",Backdoor Quarters 1,Final
Texas-Dallas,Baylor,4,15,"04/25/2026, 11:30",Backdoor Quarters 1,Final
Missouri,North Texas,15,5,"04/25/2026, 11:30",Backdoor Quarters 1,Final
bracket,Fifth Place
Colorado (B),Washington University,10,13,"04/26/2026, 11:00",Fifth Place,Final
bracket,Seventh Place
Denver,Missouri,7,15,"04/26/2026, 09:00",Seventh Place,Final
bracket,13th Place
Texas-San Antonio,North Texas,12,7,"04/26/2026, 09:00",13th Place,Final
Oklahoma State,Texas-San Antonio,9,12,"04/25/2026, 13:30",13th Semis,Final
Texas-Dallas,North Texas,11,13,"04/25/2026, 13:30",13th Semis,Final
bracket,15th Place
Oklahoma State,Texas-Dallas,6,11,"04/26/2026, 09:00",15th Place,Final
bracket,9th/11th
Arkansas,Texas State,14,12,"04/26/2026, 09:00",Finals,Final
bracket,9th/11th
Baylor,Kansas,9,15,"04/26/2026, 09:00",Finals,Final
b,r,e,a,k
