Philly Open 2022,Club - Mixed ,6,8,2022
Allentown,PA,2022-08-06,2022-08-07
https://play.usaultimate.org/events/Philly-Open-2022/schedule/Mixed/Club-Mixed
Revival,1
42,Andrew O'Neill
49,Sophie Crochet
66,Aman Chawla
79,Daniel Dresser
99,Rebecca Dorety
b,r,e,a,k
Mashed,26
0,Ancilla Marie Inocencio
0,Brian Erwin
0,Haley Young
0,Jacob Moyer
0,Jeremy Klein
0,Martin Sak
0,Michael Battisti
0,Mira Sherif
0,Natalie Babitzke
0,Paige Elsner
0,Patrick Miles
0,Rory Livingston
0,Samantha Kokjohn
0,Shalin Patel
0,Sophia Welch
b,r,e,a,k
Ant Madness,14
0,Chandler Smith
0,Ry Alexander
02,Josh Weinstock
04,Nicholas Kwan
05,Mariska  Bogaard 
07,Aaron Langley
09,Meaghan McSorley
12,Joanna Greenberg
13,William Strang
14,Jordan Tippitt
15,Fia Hargil
16,Eytan Deener-Agus
17,Donovan Hambley
18,Faith Kean
19,Bridgette Heine
20,Katrien Hinderdael
21,Harper James
24,Adam Shrager
27,Wallis Grant
29,Matthew Dennin
44,Samantha Clough
48,Calli Merron
55,Kylie Auble
91,Erin Doyle
b,r,e,a,k
Weird,3
 ,Adam Vinson
 ,Alexander Guedouar
 ,Alexis Brantly
 ,Andre Bordelon
 ,Carolyn Auchter
 ,Reese Holiday
 ,Scott Sakow
 ,Nick Hunter
 ,Oscar Patterson
 ,Travis Ward
0,Trystan Grzyll
0,Sharon Pederson
0,Therese Doebler
0,Clayton Partlow
0,Harrison Slate
0,Jacob Clary
0,Natasha Bedoya-Ross
0,August Specht
0,Austin Gaines
77,Quentin Voorhees
b,r,e,a,k
Heavy Flow,27
 ,Christian Lund
 ,Margaret Zuelsdorf
 ,Samantha Sesum
0,Lemuel Sun
0,Stephen Nichols
0,Jordan Lewis
0,Justin Chu
0,Meghan Gloyd
0,Paul Versluis
0,Rachel Cawkwell
0,Russell Scrivens
0,Erica Yee
0,Heather Johnson
0,John Brun
0,Andrew Ryan
11,Rachel White
12,Adolfo Rojas
13,Brandon Turnbaugh
15,Marissa Hauser
16,Simeon Lee
29,Anna Abe
40,Grant Bunyard
44,Katie Claggett
64,Jonah Lee
b,r,e,a,k
Eat Lightning,22
 ,Aden Fischer-Brown
 ,Brendan Awerbuch
 ,Cara Brown
 ,Ethan Jones
 ,Hayley Manning
 ,Howard Yuan
 ,Christina Chin
 ,Jean Colangelo
 ,Jonathan Read
 ,Jordan Chow
 ,Stephen Schaffenberger
0,Teddy Le Nguyen
0,Xaver Kandler
0,Xiaorong Wang
0,Julie Paik
0,Stefan Dicker
0,Jeffrey Wang
0,Jessica Hanlon
0,Eliana Simon
0,Celeste Royo
0,Chi Hiu Yim
0,Antonio Brewer
0,Benjamin Tannenwald
0,Bohdi Cooper
20,Will Percival
23,Hy Ha
b,r,e,a,k
Malice in Wonderland,4
 ,Alex Berro
 ,Becky Widmayer
 ,Brenna Murray
 ,Connor Holcombe
 ,Jeffrey Perkins
 ,Julia Hoffmann
 ,Julian Hester
 ,Kavinayan Sivakumar
 ,Kelsea Fitzpatrick
 ,Manhua Zhu
 ,Eric Martin
 ,Mingxuan Zhu
 ,Patrick Limer
0,Clayton Carey
0,Danny Schmitt
12,Jeff Wiltgen
14,Danielle Swales
17,Sam Widmayer
21,Cam Bellando
25,Alexandra (Sasha) Resnick
37,Rebecca Rook
66,Daniel Fonte
81,Michael Ball
99,Alix Robbins
b,r,e,a,k
PS,21
0,Aaron Mos
0,Alyson Brokaw
0,Catherine Spellman
0,Chris Hayen
0,Christopher Low
0,Christopher Horton
0,Emily Polefka
0,Emma Brinton
0,Evan Comisac
0,Jordan Chang
0,Karen Hranek
0,Kimberly Polefka
0,Luke Laubscher
0,Man Nguyen
0,Matthew Mos
0,Matthew Foley
0,MATTHEW CONGDON
0,Mia Allen
0,Nick Wilgruber
0,Patrick Alto
0,Robin Maillard
0,Samuel DeVine
0,Seval Kanik
0,Steven Parker
0,Timothy East
b,r,e,a,k
Unlimited Swipes,28
 ,Allie Hinsberg
 ,Belinda Lam
 ,Benjamin Zhu
 ,Christopher Adams
 ,Jessica Wentling
 ,Julie Ha
 ,Kalvin Thye
 ,Geneva Bloemen
 ,Mitchell Wheatley
 ,Olivia Korostoff-Larsson
0,Jack Rogot
0,Kevin Lai
0,David Wingate
0,Fiona Nugent
0,Benjamin Korman
0,Antonio Valentin
0,Phillip Hou
0,Terence To
0,TJ Dingco
0,Zev Kaufman
10,Asher Woodbury
25,Patrick Sheil
b,r,e,a,k
Townies,13
 ,Armin Golla
 ,Ashley Yao
 ,Brady  Weyble 
 ,Aaron Krupp
 ,Hannah Smalley
 ,Katherine  Arriaga
 ,Maxi Hoffmann 
 ,Tomer Poole-Dayan
0,Emily Mildner
0,Sam Garncarz
0,Katie Mihalenko
0,James Mullmann
0,Kameron Chambliss
0,Anna Goodman
0,David Menard
0,Eli Robinson
0,Ella Crowley
24,Emily Zitek
b,r,e,a,k
Jughandle,5
0,Ayaaz Versi
0,Cara Silvestri
0,Christopher Hranj
0,Colin Cahill
0,Emma Ignaszewski
0,Eric Cooney
0,Jana Graham
0,Jeff Shipkin
0,Jennifer Willemsen
0,Jessep Macfarlane
0,Kelly Skewis
0,Kerianne Coulon
0,Laine Cravotta
0,Marissa Coolidge
0,Mason Compton
0,Maya Karl
0,Otto Gomez
0,Raymond Jia
0,Rebecca Halleran
0,Robert Altieri
0,Ryan Lee
0,San Montagno
0,Scott Pleban
0,Thomas Johnson
0,Tia Esposito
b,r,e,a,k
League of Shadows,12
 ,Ariel Felcan
 ,David Huang
 ,Ellery Koelker-Wolfe
 ,Julia Leung
 ,Kevin O'Brien
 ,Kyle Jannak-Huang
 ,Mukil Guruparan
 ,Rachael Liu
 ,Ram Sundaram
 ,Sam VanNoy
 ,Sophia Thayer
 ,Terren Moore
 ,Yuval Pearl
0,Zoe Honigberg
0,Alison Hill
0,Theodore Bisdikian
0,Meredith Duffy
0,Mina Bozeman
0,Jack Keller
0,Jack Deschler
0,Bianca Champenois
0,Cici Wang
0,Connor Coale
17,Lillian Huang
19,Karissa  Tabtieng
29,Tate Tabtieng
b,r,e,a,k
Brackish,29
0,Tim Slade
01,Ben Slade
02,Michael Wong
03,Shawna Zielstorff
08,James Godwin
12,Elizabeth Bradley
14,Jen Bradley
15,Jacob Slade
16,Isabella Burns
19,Margaret (Peggy) Whitney
20,Jack Whitehead
21,Matthew Taleghani
21,Mae Kemsley-Kirn
23,Spencer Kirn
26,Juliann Pham
27,Paolo Yalung
36,Christophe Snead
48,Abby Herrod
55,Katie Powell
66,Cara Wu
77,Jaime Benites
83,Audrey Kelly
b,r,e,a,k
Buffalo Lake Effect,20
00,Anthony Ceddia
00,Benjamin Goodman
00,Dakota Cross
00,Emma Roberts
00,George Scheibel
00,Jack Puttre
00,James Erb
00,Jeffrey Harvey
00,Katie Bilicki
00,Kelsey Scanlon
00,Loriana Schneider
00,Madeline Haughton
00,Molly Booi
00,Sarah Burns
00,Sarah Bryant
00,Sean Bowers
00,Shane Watts
00,Timothy (TJ) Burns
00,Zachary Flint
b,r,e,a,k
Rat City,6
0,Echo Presgraves
0,Kaitlyn Harper
0,Tanner Marshall
04,Austin Uhl
05,Jack Engle
08,Bridget Gallagher
09,Chloe Frantz
11,Maria Packard
12,Britta Schaffmeyer
14,Amanda Johnson
17,Collin Gillen
22,Carla Tilchin
23,Annette Kukunas
24,Christopher Estes
25,Ian Piper
28,Stacy Lu
31,Christopher Cahoon
32,Brett Youngerman
44,Edgar Kunz
50,Warner Brockman
55,Dylan McDonough
61,Carlos Lalimarmo
88,Selina Cheng
b,r,e,a,k
Cream,11
 ,Benjamin Kammerman
0,Aoife Scannell
0,Dan  McCune
0,Danica Vasa
0,Daniel Vandam
0,Daniel Wang
0,Danielle Callard
0,Davith  Chan
0,Eoin Joyce
0,Erica Stamboulian
0,Florian Kuhn
0,Jason Hughes
0,Jessie Chiello
0,Kaitlyn Clay
0,Kevin Mirabal
0,Martin Bustamante
0,Matthew Montera
0,Miles McKey
0,Patrick Voorhees
0,Paul Sperr
0,Sarah Wegman
22,Bethany Ortquist
b,r,e,a,k
Philly Twist,19
00,Amy Morrison
00,Andrew Baratz
00,Barrett Noone
00,Barrett Doering
00,Charles Harrity
00,David Paisner
00,Ella Rothermel
00,Emily Gallagher
00,Emma Abrams
00,Ethan Daum
00,Jules Burnstein
00,Kate Witzgall
00,Kevin Chao
00,Kristen Mathieson
00,Lauren Feder
00,Leah Boucher
00,Patrick Shannon
00,Ren Yagawara
00,Robert Hanna
00,Theodore kahn
00,Valerie Estela-Pro
00,Zachary Jacobs
b,r,e,a,k
Swampbenders,30
0,Aaron Stone
0,Abraar Ahmad
0,Abraham Cruz
0,Amelia Becker
0,Andrew Deshler
0,Ben Hutchinson
0,Borchueh Wu
0,Carter Lynn
0,Cat Ramsey
0,Chris Keane
0,David Paladin-Fernandez
0,Elnatan Lemma
0,Garrett Carswell
0,Kyle Twadelle
0,Sarah Connelly
0,Tyler Shaw
b,r,e,a,k
HVAC,7
 ,Travis Lynch
0,Alexander Daley
0,Alice Emch
0,John McGrath
0,Josh Levin
0,Joshua Bransford
0,Kyle Williamson
0,Landrum Beard 
0,Maggie Graves
0,Malcom Fox
0,Caitlin Bonner
0,Corinne Barrett
0,Corrie Willson
0,Grace Laudeman
0,Helen Turvene
0,Rebecca Sokol-Snyder
0,Sean Mizoguchi
0,Shannon Sullivan
0,Torrin Stokes
13,Nicole Getter
27,Tyler Coleman
30,Jeremy Neff
81,Ben Frattini
84,Jason Davidson
b,r,e,a,k
Garbage Plates,10
0,Benjamin Kelley
0,Briana Newman
0,Christine Purtell
0,Colin O'Keefe
0,Dudley Loew
0,Jensen Li
0,Jonathan Ballard
0,Ken (KJ) Dziak
0,Kobe Oley
0,Matthew Rybak
0,Matthew Hall
0,Michael Sheldon
0,Nate August
0,Noelle Evans
0,Peter Carter
0,Qingyuan Jia
0,Rui Da Costa
0,Sarah Sheldon
0,Talia Brewer
0,Andrew Gallagher
28,Angela Dana
b,r,e,a,k
Brooklyn Hive,31
0,Abigail Cain
0,Adam Pin
0,Alex Schlegel
0,Anela Layugan
0,Avery Feingold
0,Brett Naul
0,Callie Zane
0,Cara Tinson
0,Carter Hartmann
0,Chris Pliszak
0,Christine Okubo
0,David Gallagher
0,Jeremy Doll
0,Jimmy Chen
0,Jon Schlosberg
0,Jonathan Shapiro
0,Jonathan Lao
0,Laura Kidder
0,Sara Kalet-Schwartz
0,Scott Borgstedt
0,Sophie Lowen
0,Stephanie Caro
0,Tyler Curtis
12,Eri Okuma
89,Zachai Kalet-Schwartz
b,r,e,a,k
Farm Show,18
 ,Bradley Dussinger
0,Christopher Man
0,Andrew Clancy
0,Evan Novacek
0,Hunter Weibley
0,Keith Zuckerman
0,Nicole Singiser
0,Spencer Whitcomb
0,Lauren Hand
0,Melina Mousoupetros
03,Adam Callaghan
09,Kristin Thomas
10,Emily Allbee
11,John Searer
13,Haili McConnell
18,Kerianne Durkin
19,Theresa Diffendal
26,Angela Martin
43,Nicholas Diehl
55,Timothy Brubaker
b,r,e,a,k
Funk,9
 ,Lucas Murphy
0,Matthew Bartell
0,Mattie Drucker
0,Meghan MacEnroe
0,Michael Valdez
0,Robert (Bobby) Owens
0,Vivian Shen
0,Wes Collins
0,Zachary Schiff
0,Allison Case
0,Allyse Fazio
0,Anthony Havens
0,Cheyenne Mallo
0,Christopher Losapio
0,Diane Turner
0,Dillon Cooke
0,Faith Summers
0,Hannah Chang
0,Isaiah Casiano
0,Jake Murray
0,JANE LUCAS
0,Jessica Jolley
0,Jordan Acker
0,Kim Tischler
0,Liam McCarthy
16,Matthew Keegan
b,r,e,a,k
Crucible,17
0,Christopher Turocy
0,Eric Johnson
0,Harry Park
0,Janie DeWoody
0,Jenna Nold
0,Joseph Merante
0,Katelyn Stavinga
0,Lauren McFaden
0,Lily Carley
0,Maggie Lincoln
0,Phil Martone
0,Robert Zhang
0,Ronald Persico
0,Stephanie Clark
0,Svetlana Romanova
0,Taha Udyawar
0,Tony Thomas
0,Tyler Weinberger
0,Zachary Esakof
0,Ashlyn Salvage
31,Brady Zbikowski
b,r,e,a,k
Compost Plates,32
0,Aidan Gangai
0,Anna Kasper
0,Bryce Roman
0,Danielle Shatkin
0,David Brown
0,Ethan Iannicelli
0,Jack Lazenby
0,James Murphy
0,Kyle Savarese
0,Lauren Clarke
0,Madison Lang
0,Maggie MacAdam
0,Mark Behrend
0,Patty Kerwan
0,Piper Van Kerkhove
0,Robert Lindenthaler
0,Ryan Kelly
0,Scott Seyboth
32,Max Kesselring
b,r,e,a,k
8 Bit Heroes,8
 ,Allyson Golightly
 ,Justus Sturtevant
 ,Spencer Santos
0,Tim Lee
0,Tjia Ern Lau
0,Logan Wright
0,Mitchell Lauer
0,Patrick Leavey
0,Francesca Corna
0,John Venezia
0,Rowan Wright
0,Andrew Davis
0,Becca Holdhusen
0,Christopher Patschak
0,Claudia Wang
0,Daniel Kaste
10,Jay Weir
12,Destiny Lim
16,Diana Burke
25,Ethan Krokonko
88,Robert Pratt
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Revival,ColorBomb,12,4,"08/06/2022, 08:30",Pool A,Final
Heat Wave,Espionage,13,4,"08/06/2022, 08:30",Pool A,Final
Revival,Espionage,13,1,"08/06/2022, 10:10",Pool A,Final
Heat Wave,ColorBomb,9,6,"08/06/2022, 10:10",Pool A,Final
Revival,Heat Wave,11,4,"08/06/2022, 11:50",Pool A,Final
ColorBomb,Espionage,8,7,"08/06/2022, 11:50",Pool A,Final
pool,Pool B
Columbus Chaos,FLI,8,12,"08/06/2022, 08:30",Pool B,Final
District Cocktails,Mashed,13,10,"08/06/2022, 08:30",Pool B,Final
Columbus Chaos,Mashed,12,4,"08/06/2022, 10:10",Pool B,Final
District Cocktails,FLI,4,12,"08/06/2022, 10:10",Pool B,Final
Columbus Chaos,District Cocktails,9,5,"08/06/2022, 11:50",Pool B,Final
FLI,Mashed,13,7,"08/06/2022, 11:50",Pool B,Final
pool,Pool C
Weird,Eat Lightning,10,9,"08/06/2022, 08:30",Pool C,Final
Ant Madness,Heavy Flow,10,7,"08/06/2022, 08:30",Pool C,Final
Weird,Heavy Flow,11,6,"08/06/2022, 10:10",Pool C,Final
Ant Madness,Eat Lightning,9,4,"08/06/2022, 10:10",Pool C,Final
Weird,Ant Madness,9,10,"08/06/2022, 11:50",Pool C,Final
Eat Lightning,Heavy Flow,7,10,"08/06/2022, 11:50",Pool C,Final
pool,Pool D
PS,Unlimited Swipes,12,10,"08/06/2022, 08:30",Pool D,Final
Malice in Wonderland,Townies,12,6,"08/06/2022, 10:10",Pool D,Final
Malice in Wonderland,PS,11,7,"08/06/2022, 11:50",Pool D,Final
Townies,Unlimited Swipes,7,11,"08/06/2022, 11:50",Pool D,Final
Malice in Wonderland,Unlimited Swipes,12,7,"08/06/2022, 13:30",Pool D,Final
Townies,PS,9,11,"08/06/2022, 13:30",Pool D,Final
pool,Pool E
Jughandle,Brackish,9,10,"08/06/2022, 08:30",Pool E,Final
League of Shadows,Buffalo Lake Effect,10,4,"08/06/2022, 08:30",Pool E,Final
Jughandle,Buffalo Lake Effect,13,4,"08/06/2022, 10:10",Pool E,Final
League of Shadows,Brackish,10,7,"08/06/2022, 10:10",Pool E,Final
Buffalo Lake Effect,Brackish,6,13,"08/06/2022, 11:50",Pool E,Final
Jughandle,League of Shadows,12,7,"08/06/2022, 13:30",Pool E,Final
pool,Pool F
Rat City,Philly Twist,13,4,"08/06/2022, 08:30",Pool F,Final
Cream,Swampbenders,13,4,"08/06/2022, 08:30",Pool F,Final
Rat City,Swampbenders,13,0,"08/06/2022, 10:10",Pool F,Final
Cream,Philly Twist,13,5,"08/06/2022, 10:10",Pool F,Final
Rat City,Cream,12,6,"08/06/2022, 11:50",Pool F,Final
Philly Twist,Swampbenders,12,5,"08/06/2022, 11:50",Pool F,Final
pool,Pool G
HVAC,Farm Show,9,8,"08/06/2022, 08:30",Pool G,Final
Garbage Plates,Brooklyn Hive,12,6,"08/06/2022, 08:30",Pool G,Final
HVAC,Brooklyn Hive,12,4,"08/06/2022, 10:10",Pool G,Final
Garbage Plates,Farm Show,8,6,"08/06/2022, 10:10",Pool G,Final
HVAC,Garbage Plates,12,8,"08/06/2022, 11:50",Pool G,Final
Farm Show,Brooklyn Hive,8,9,"08/06/2022, 11:50",Pool G,Final
pool,Pool H
8 Bit Heroes,Crucible,8,9,"08/06/2022, 08:30",Pool H,Final
Funk,Compost Plates,13,5,"08/06/2022, 08:30",Pool H,Final
8 Bit Heroes,Compost Plates,4,13,"08/06/2022, 10:10",Pool H,Final
Funk,Crucible,13,3,"08/06/2022, 10:10",Pool H,Final
8 Bit Heroes,Funk,2,13,"08/06/2022, 11:50",Pool H,Final
Crucible,Compost Plates,11,9,"08/06/2022, 11:50",Pool H,Final
b,r,e,a,k
clusters,Saturday Bracket Play
cluster,Saturday Quarters
Revival,Funk,9,10,"08/06/2022, 13:30",,Final
Ant Madness,Rat City,8,9,"08/06/2022, 13:30",,Final
FLI,HVAC,12,7,"08/06/2022, 13:30",,Final
Heat Wave,Crucible,13,6,"08/06/2022, 13:30",,Final
Weird,Cream,8,7,"08/06/2022, 13:30",,Final
Columbus Chaos,Garbage Plates,8,11,"08/06/2022, 13:30",,Final
ColorBomb,Compost Plates,7,9,"08/06/2022, 13:30",,Final
Heavy Flow,Philly Twist,10,8,"08/06/2022, 13:30",,Final
District Cocktails,Brooklyn Hive,7,10,"08/06/2022, 13:30",,Final
Mashed,Farm Show,7,12,"08/06/2022, 13:30",,Final
Espionage,8 Bit Heroes,9,11,"08/06/2022, 13:30",,Final
Eat Lightning,Swampbenders,10,6,"08/06/2022, 13:30",,Final
Malice in Wonderland,Jughandle,9,10,"08/06/2022, 15:10",,Final
Townies,Buffalo Lake Effect,9,10,"08/06/2022, 16:50",,Final
PS,League of Shadows,4,13,"08/06/2022, 16:50",,Final
Unlimited Swipes,Brackish,8,11,"08/06/2022, 16:50",,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship Bracket
Rat City,Jughandle,6,13,"08/07/2022, 10:10",Championship Finals,Final
Funk,Rat City,7,13,"08/07/2022, 08:30",Championship Semis,Final
FLI,Jughandle,2,13,"08/07/2022, 08:30",Championship Semis,Final
bracket,3rd Place
Funk,FLI,13,7,"08/07/2022, 10:10",3rd Place Finals,Final
bracket,5th Place Bracket
Revival,HVAC,10,6,"08/07/2022, 10:10",5th Place Finals,Final
Revival,Ant Madness,12,5,"08/07/2022, 08:30",5th Place Semis,Final
HVAC,Malice in Wonderland,10,7,"08/07/2022, 08:30",5th Place Semis,Final
bracket,7th Place
Ant Madness,Malice in Wonderland,10,11,"08/07/2022, 10:10",7th Place Finals,Final
bracket,9th Place Bracket
Weird,League of Shadows,7,9,"08/07/2022, 10:10",9th Place Finals,Final
Heat Wave,Weird,6,11,"08/07/2022, 08:30",9th Place Semis,Final
League of Shadows,Garbage Plates,9,6,"08/07/2022, 08:30",9th Place Semis,Final
bracket,11th Place
Heat Wave,Garbage Plates,8,10,"08/07/2022, 10:10",11th Place Finals,Final
bracket,13th Place Bracket
Cream,Columbus Chaos,9,8,"08/07/2022, 10:10",13th Place Finals,Final
Crucible,Cream,7,9,"08/07/2022, 08:30",13th Place Semis,Final
PS,Columbus Chaos,6,9,"08/07/2022, 08:30",13th Place Semis,Final
bracket,15th Place
Crucible,PS,7,9,"08/07/2022, 10:10",15th Place Finals,Final
bracket,17th Place Bracket
Heavy Flow,Brackish,8,9,"08/07/2022, 10:10",17th Place Finals,Final
Compost Plates,Heavy Flow,5,12,"08/07/2022, 08:30",17th Place Semis,Final
Brackish,Brooklyn Hive,12,7,"08/07/2022, 08:30",17th Place Semis,Final
bracket,19th Place
Compost Plates,Brooklyn Hive,8,9,"08/07/2022, 10:10",19th Place Finals,Final
bracket,21st Place Bracket
Philly Twist,Unlimited Swipes,10,7,"08/07/2022, 10:10",21st Place Finals,Final
ColorBomb,Philly Twist,2,13,"08/07/2022, 08:30",21st Place Semis,Final
Unlimited Swipes,District Cocktails,10,5,"08/07/2022, 08:30",21st Place Semis,Final
bracket,23rd Place
ColorBomb,District Cocktails,8,5,"08/07/2022, 10:10",23rd Place Finals,Final
bracket,25th Place Bracket
Eat Lightning,Farm Show,6,7,"08/07/2022, 10:10",25th Place Finals,Final
8 Bit Heroes,Eat Lightning,8,9,"08/07/2022, 08:30",25th Place Semis,Final
Buffalo Lake Effect,Farm Show,7,9,"08/07/2022, 08:30",25th Place Semis,Final
bracket,27th Place
8 Bit Heroes,Buffalo Lake Effect,5,8,"08/07/2022, 10:10",27th Place Finals,Final
bracket,29th Place Bracket
Espionage,Townies,6,10,"08/07/2022, 10:10",29th Place Finals,Final
Espionage,Swampbenders,9,7,"08/07/2022, 08:30",29th Place Semis,Final
Townies,Mashed,10,7,"08/07/2022, 08:30",29th Place Semis,Final
bracket,31st Place
Swampbenders,Mashed,8,3,"08/07/2022, 10:10",31st Place Finals,Final
b,r,e,a,k
