Wisconsin Swiss,Club - Mixed ,19,6,2022
https://play.usaultimate.org/events/Wisconsin-Swiss/schedule/Mixed/Club-Mixed
Gene Parmesan,4
0,Stephanie Pieper
0,Taylor Weeden
b,r,e,a,k
Mousetrap,13
 ,Margo Stanger
0,Spencer Olsson
0,Zeke Witter
0,Alex Larsen
0,Alexander Gravatt
0,Andrew Landphier
0,Ben Stanger
0,Benjamin Petersen
0,Benjamin Liska
0,Cadence Sawyer
0,Camille O'Connell
0,Chase O'Brien
0,Danielle Larson
0,ELEANOR KNAUSS
0,Hans Kittleson
0,Henry Fremont
0,Jacob Calbaum
0,Jacob Johnson
0,Jennifer Wu
0,Jocelyn Beleutz
0,Kali Stanger
0,Kelsie Tingle
0,Ken Adams
0,Kevin Selm
0,Lily Mae Abels
36,Catherine Morita
b,r,e,a,k
Pushovers,10
 ,Abigail Skerker
 ,Arthur Harris
 ,Carly Rasmussen
 ,Derek Anderson
 ,Eric Volkmeier
 ,Kendra Anderson
 ,Michael Scharlau
 ,Tyler Wolf Williams
0,Laura Osterlund
0,Katie Sherer
0,Erick Knudson
0,Elizabeth Bixler
0,Devy Weir
0,Donovan ODowd
10,Kyra Anderson
12,Joseph Ling
15,Harper Brooks-Kahn
18,Eleanor Vandel
30,Liv Myers
31,Ross Screaton
34,Madeline Scott
35,Anders Zetterlund
39,Elizabeth Curtiss
62,Marcus Cannon
98,Bryan Kim
b,r,e,a,k
Jabba,16
 ,Rebecca Napoli
0,Rene Quintana
0,Timothy Burnett
0,Trey Taliaferro
0,Abby Jones
0,Aidan Chapman
0,Alex Dudzik
0,Alyssa Bennett
0,Amber Waite
0,Anna Martinello
0,Annalise Paul
0,Benjamin Wallerstedt
0,Bethany DaRin
0,David Benda
0,Elena Dansdill
0,Francesca Rascati
0,Jailene Famania
0,Jessica Fairhurst
0,Joe Leibforth
0,Joseph Cacciatore
0,Josh Cahn
0,Lindsey Waite
0,Marissa Leff
0,Matt Afryl
0,Michel Domenella
0,Mike L'Hommedieu
b,r,e,a,k
Prion,11
 ,LAURA SUTTENFIELD
0,Laurel Shepherd
0,Lovie Garcia
0,"Luisa ""RJ"" Ruge-Jones"
0,Maria Janina Sarol
0,Julia Kasner
0,Kai Tang
0,Katherine Koch
0,Kevin Zhou
0,Nora Schnulle
0,Paul Saunders
0,Rui Yang
0,Ryan Coulson
0,Sam Chen
0,Shirley Saunders
0,Sierra Weber
0,Abbey Mullen
0,Alex Castillo
0,Alli Young
0,Andrew Almeter
0,Angela Gavic
0,Boyd Rinehart
0,Brennen Clark
0,Brittney Gorman
0,Claire Szilagyi
0,Cora Wessman
0,Daniel Sawai
0,David Lindsey
0,Emma Worrell
0,Eric Badger
0,Giovi Kelly
0,Harrison Krebs
0,Jacob Harris
0,Jake Corley
19,Michael Mitchaner
20,Scott Nelson
52,John Wolff
b,r,e,a,k
Pandamonium,9
0,Bryan Soto
0,Carl Nelson
0,Dan Distad
0,Daniel Snyder
0,Eric Vandermolen
0,Erik Bredesen
0,Jeanette Vyhanek
0,Jessie Lambert
0,Julia Clare
0,Karl Rehfuss
0,Katelin Goebel
0,Kelsey Porter
0,Kevin Pochatila
0,Kimberly Nissen
0,Linette Maeder
0,Matt Coogan
0,Meghin Davis
0,Peter Schmitt
0,Raechell Nelson
0,Stephanie O'Connor
b,r,e,a,k
Madison United Mixed Ultimate,12
0,Anna Wozniak
0,Ellie Cahill
0,Emma Cosby
0,Kayleigh Dietz
0,Kaylin Weber
0,Keith McCarthy
0,KYLIE MOYNIHAN
0,Lue Yang
0,Marc Pedone
0,Josh Tull
0,Megan Andrews
0,Sam  Ramer
0,Sarah Guenther
0,William Warren
01,Kara Vogel
03,Jordan Speicher
08,Tim Rushmer
10,James Rosenberger
12,Kevin Scopoline
16,Alec Li
20,Zach Hallum
27,Marta Weber
50,Andrew Taber
79,Amanda Strickland
89,Patrick Kopp
b,r,e,a,k
MadCity Vibes,15
 ,Natalie  Levine
0,Jake Illing
0,Beau Berger
02,Theresa Olson
05,Emily Vosberg
09,Madeline  Johnson
11,Alex Piff
12,Kristi Mousley
13,Kylee Martens
17,Rebecca Rutledge
18,Anna Jenstead
23,Jayd Phelps
27,Ali Kane
30,Aaron Michaud
33,Kendell Gilmore
38,Grant Hallan
42,Bryan Ritter
63,Kevin Lyles
67,Caleb Main
71,Sean Cassidy
b,r,e,a,k
Stackcats,14
0,Abigail Peterson
0,Abigail Moseman
0,Anthony Oplawski
0,Ashley Betke
0,Caden Canavan
0,Clare Roarty
0,Daniel Lore
0,Dennis Gisler
0,Edith Jaucian
0,Elizabeth Thorsell
0,Grant Carlson
0,Haley Davitz
0,Jackson Todd
0,Jonathan Alton
0,Joseph Roarty
0,Madeleine Kindler
0,Mark Valzonis
0,Matthew Mayorga
0,Monica Oplawski
0,Nadia Ermer
0,Rhea Joshi
0,Ryan Kantor
0,Ryan Cunnea
0,Vince Martinez
0,Vincent Curkov
0,Zaray Buenrostro
b,r,e,a,k
Mastodon,20
0,Emily Britt
0,Isaac Griffin-Wiesner
0,Molly De Mars
01,Caitlin Clevenger
03,Kye Hanson
07,David Cann
08,Annalise Ho
09,Sarah Mancina
10,Ansley Williams
11,Ivy Fan
12,Caitlin Hayner-Slattery
13,Daniel Huncosky
15,Tierney Bilstrom
17,Tyler Stiers
22,Geordi Haerr-Hartmann
22,Lauren Kulas
23,Luke Bodnar
24,Veiga Goethel
25,Chris Baker
28,Isaac Fine
30,Kevin Lee
31,Thomas Jungbluth
42,Lily Shu
71,Haoyang Yan
78,Tadhg Young
88,Rachel Coile
99,Jessica Liu
b,r,e,a,k
ELevate,18
 ,Hannah Nickels
 ,Jake Smith
 ,Joel Willison
 ,Jonathan Schrag
 ,Joshua Ludtke
 ,Lauren Brauer
 ,Lauren Miller
 ,Liz Biggane
 ,Mallorie Hsieh
 ,Michael Sundby
 ,Pedrom Rejai
 ,Sam Schenkelberg
 ,Sara Putnam
 ,Shamaul Dilmohamed
 ,Steven Jeka
 ,Will Hsieh
 ,Andrew Maturo
 ,Brendan Eltzroth
 ,Bridget Doherty
 ,Courtney Rachke
 ,Drew Byrne
0,Emily Williams
40,Alex Kowalczuk
b,r,e,a,k
Boomtown Pandas,17
 ,Daniel Seybold
 ,KATIE SILVERIA
 ,Noah Nicol
0,Kaitlin Healy
0,Lisa Clemens Sykes
0,Lydia Westedt
0,Benjamin Brandt
0,Brian Niver
04,Brooke Schoepp
07,Yujia Huo
09,Patrick Wozniak
11,Samantha Farrell Folger
15,Matthew Wykle
17,Adam Throne
18,April Peterson
21,John Schaefer
22,Harry Moore
28,Michael Quintero Bungert
29,Sarah Doege
32,Molly Snow
33,Aidan Boyle
50,Connor Burns
53,Thomas Hotvedt
62,Max Drexler
64,Rachel Martin
77,Catherine Kuecker
84,Vincent Hsu
88,Chris Sykes
94,Derek Weisberg
b,r,e,a,k
Point of No Return,19
 ,Kevin Reimer
 ,Kylie Abel
 ,Nathan Daily
0,Olivia Schilcher
0,Pedro Ivo Saldanha
0,Sam Anderson
0,Serena Goelitz 
0,Brendon Fogelberg
0,Jana Suriano
0,Jarrett Stanke
0,John Blume
0,David Jones
0,Katie Olson
0,Steven Swan
0,Zach Lepak
0,Zackory Runke
02,Tennyson Umlauf
07,Thomas Roltgen
11,Angela Roltgen
17,Katie Daily
22,Kaitlin Woyak
28,Anna Whitford
30,Earl Seliskar
31,Steve Piazza
87,David Horgan
b,r,e,a,k
Frostbite,21
 ,Donna January
0,Elizabeth Milovets
0,Aj John
0,Anna Callahan
0,Caitlin Brownell
0,Carly Serketich
0,Chris Kuecker
0,Daniel Burss
0,Hanna Leight
0,Hayes Barry
0,Jessica Mendez
0,Julia Solberg
0,Katelyn Pisellini
0,Kelsey Evenson
0,Kyle Wolf
0,Mark Hwang
0,Matthew Munson
0,Megan Wetzell
0,Shane Mueller
0,William Vandenberg
30,Tyler Ignatowski
66,Dylan Weigand
99,Erin Koth
b,r,e,a,k
Dinosaur Fancy,22
0,Grace Compton
0,James Sykora
0,Jessica Frommgen
0,Jessie Hsu
0,John Pavek
0,KARL BRENNER
0,Katelyn Hoffman
0,Lani Jensen
0,Logan Campbell
0,Melisa Wittkowske
0,Michael Leung
0,Nathan Kleinhans
0,Nina Nelsestuen
0,Noah Webster
0,Paul Bolanowski
0,Philip Chen
0,Rachel Taylor
0,Robyn Fennig
0,Sara Lazenby
0,Benjamin Hsu
0,Brandon Taitt
0,Caitlin Murphy
0,Cassandra Meixelsperger
0,Charlie Field
0,Derek Lemke
0,Ellen Yu
0,Ellie Daniels
43,Toby Wex
88,Francis Kelley
b,r,e,a,k
s,t,a,g,e,s
brackets,Swiss Bracket
bracket,Swiss 1st
Gene Parmesan,Minnesota Star Power,6,15,"06/19/2022, 13:00",Swiss Championship
RAMP,Gene Parmesan,11,12,"06/19/2022, 11:00",Swiss Semis
Chicago Parlay,Minnesota Star Power,13,14,"06/19/2022, 11:00",Swiss Semis
RAMP,Melt,15,2,"06/19/2022, 09:00",Swiss Quarters
Gene Parmesan,Northern Comfort,14,11,"06/19/2022, 09:00",Swiss Quarters
Chicago Parlay,Mad Udderburn,15,6,"06/19/2022, 09:00",Swiss Quarters
Minnesota Star Power,The Force,15,9,"06/19/2022, 09:00",Swiss Quarters
bracket,Swiss 3rd
RAMP,Chicago Parlay,11,10,"06/19/2022, 13:00",Swiss 3rd
bracket,Swiss 5th
Northern Comfort,Mad Udderburn,15,5,"06/19/2022, 13:00",Swiss 5th
Melt,Northern Comfort,6,15,"06/19/2022, 11:00",Swiss 5th Semis
Mad Udderburn,The Force,13,8,"06/19/2022, 11:00",Swiss 5th Semis
bracket,Swiss 7th
Melt,The Force,11,15,"06/19/2022, 13:00",Swiss 7th
b,r,e,a,k
brackets,Cheddar Bracket
bracket,Cheddar 1st
Mousetrap,Pushovers,11,15,"06/19/2022, 13:00",Cheddar Championship
Jabba,Mousetrap,5,11,"06/19/2022, 11:00",Cheddar Semis
Pushovers,Prion,10,3,"06/19/2022, 11:00",Cheddar Semis
Pandamonium,Jabba,11,15,"06/19/2022, 09:00",Cheddar Quarters
Madison United Mixed Ultimate,Mousetrap,11,12,"06/19/2022, 09:00",Cheddar Quarters
Pushovers,MadCity Vibes,15,3,"06/19/2022, 09:00",Cheddar Quarters
Prion,Stackcats,11,9,"06/19/2022, 09:00",Cheddar Quarters
bracket,Cheddar 3rd
Jabba,Prion,13,6,"06/19/2022, 13:00",Cheddar 3rd
bracket,Cheddar 5th
Pandamonium,Stackcats,13,12,"06/19/2022, 13:00",Cheddar 5th
Pandamonium,Madison United Mixed Ultimate,13,8,"06/19/2022, 11:00",Cheddar 5th Semis
MadCity Vibes,Stackcats,5,15,"06/19/2022, 11:00",Cheddar 5th Semis
bracket,Cheddar 7th
Madison United Mixed Ultimate,MadCity Vibes,15,7,"06/19/2022, 13:00",Cheddar 7th
b,r,e,a,k
brackets,String Bracket
bracket,String 1st
Mastodon,ELevate,4,15,"06/19/2022, 13:00",String Championship
Boomtown Pandas,Mastodon,10,11,"06/19/2022, 11:00",String Semis
Point of No Return,ELevate,9,13,"06/19/2022, 11:00",String Semis
Mastodon,Frostbite,15,6,"06/19/2022, 09:00",String Quarters
Point of No Return,Dinosaur Fancy,12,11,"06/19/2022, 09:00",String Quarters
bracket,String 3rd
Boomtown Pandas,Point of No Return,14,6,"06/19/2022, 13:00",String 3rd
bracket,String 5th
Frostbite,Dinosaur Fancy,5,15,"06/19/2022, 11:00",String 5th
b,r,e,a,k
