2022 USA Ultimate Masters Championships,Grand Masters - Men ,15,7,2022
https://play.usaultimate.org/events/2022-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Johnny Walker,1
00,Michael Freels
01,Ronald Dolen
02,Nicholas Papaefthimiou
03,Jeremy Forrest
09,John King
10,Vinai Charoenwongsawang
11,Peter Farrelly
15,John Thornton
21,Justin Cole
22,Brian Stout
23,Mike Payne
25,Samuel Charles Tsen
27,Alan Armstrong
28,Kevin Stout
33,Jeffrey Hsu
44,Kyle Christoph
48,Steve Thoennes
66,Xi Xia
73,Terry Cussen
b,r,e,a,k
Eldors,5
0,Ian Ranahan
01,Brandon Steets
02,Whit Clark
04,John Pearson
05,Taylor Cascino
06,Idris Nolan
07,Steve Chang
08,Eric Boyd
09,Ryan Yarbrough
11,Kevin Buchanan
13,Mark Miller
16,Jason Seidler
19,Nicholas Fiske
20,Rhett Nichols
22,Justin Safdie
25,Ron Kubalanza
30,Corey Sanford
34,Michael Weems
37,Mike Brown
42,Adam Glimme
57,James (Jimmy) Price
64,Jonathan Hester
83,Greg Husak
b,r,e,a,k
Scor'n,4
0,Tristan McKittrick
02,Edward Kaul
03,Dan Boston
05,Christopher Qualle
06,Patrick Guarasci
08,Kevin DeCoux
09,Grant Zukowski
10,Michael Hixenbaugh
11,Jon Thibedeau
13,Darren Shultz
17,Adam Zingsheim
19,Mike Bevers
20,Thomas Boehm
21,John Schaefer
24,Eric Sherman
25,Dustin Lowery
27,Sam Wood
29,Nate Thibedeau
34,Christopher Olig
35,Scott Sawinski
44,Jadon Scullion
61,John Reynolds
82,Logan Campbell
86,Michael Leung
88,Nathaniel Volkman
b,r,e,a,k
Sick Hammers,16
 ,John Giacalone
 ,Joshua Calhoun
 ,Reagan Mayces
0,Robert Butler
0,Neal Edwards
0,William Gargroetzi
0,Shai Herman
0,Vev Yam
0,Victor Barchers
0,Jose Mora
0,Chris Johnson
0,Dan Wachter
0,Erik Kosobud
0,Adam Tarr
16,Rocky Payne
18,Michael Buratti
21,Joseph Alvarado
26,Mike Welch
29,Chris Mihalyi
37,Jody Ayers
41,Matthew Macdonald
42,Joseph Knize
73,Greg Lopp
74,Wayne Biever
78,Casey Spooner
99,Kevin Khristian Cosgriff Hernandez
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Johnny Walker,8-bit,13,10,"07/15/2022, 10:30",Pool A
Kalakala,Endless Sunset Blue,15,4,"07/15/2022, 10:30",Pool A
Johnny Walker,Endless Sunset Blue,15,4,"07/15/2022, 14:30",Pool A
Kalakala,8-bit,13,7,"07/15/2022, 14:30",Pool A
Johnny Walker,Kalakala,12,8,"07/15/2022, 16:30",Pool A
8-bit,Endless Sunset Blue,15,9,"07/15/2022, 16:30",Pool A
pool,Pool B
Junkyard,Joystick,15,5,"07/15/2022, 10:30",Pool B
Bighorn,Burnt Ends GM,15,3,"07/15/2022, 10:30",Pool B
Junkyard,Burnt Ends GM,15,4,"07/15/2022, 12:30",Pool B
Bighorn,Joystick,15,4,"07/15/2022, 12:30",Pool B
Junkyard,Bighorn,15,10,"07/15/2022, 16:30",Pool B
Joystick,Burnt Ends GM,15,5,"07/15/2022, 16:30",Pool B
pool,Pool C
Endless Sunset,Gravemaker,13,7,"07/15/2022, 10:30",Pool C
Surly GM,Bull,15,7,"07/15/2022, 10:30",Pool C
Endless Sunset,Bull,15,8,"07/15/2022, 14:30",Pool C
Surly GM,Gravemaker,14,8,"07/15/2022, 14:30",Pool C
Endless Sunset,Surly GM,15,9,"07/15/2022, 16:30",Pool C
Gravemaker,Bull,15,5,"07/15/2022, 16:30",Pool C
pool,Pool D
Scor'n,Burnside 40,9,11,"07/15/2022, 10:30",Pool D
Eldors,Sick Hammers,15,5,"07/15/2022, 10:30",Pool D
Scor'n,Sick Hammers,11,10,"07/15/2022, 12:30",Pool D
Eldors,Burnside 40,9,13,"07/15/2022, 12:30",Pool D
Scor'n,Eldors,6,15,"07/15/2022, 16:30",Pool D
Burnside 40,Sick Hammers,14,10,"07/15/2022, 16:30",Pool D
b,r,e,a,k
brackets,Championship
bracket,1st Place
Johnny Walker,Junkyard,9,10,"07/17/2022, 11:00",Finals
Johnny Walker,Burnside 40,12,6,"07/16/2022, 14:30",Semis
Endless Sunset,Junkyard,9,12,"07/16/2022, 14:30",Semis
Johnny Walker,Gravemaker,14,6,"07/16/2022, 10:30",Quarters
Burnside 40,Surly GM,15,9,"07/16/2022, 10:30",Quarters
Endless Sunset,Eldors,12,10,"07/16/2022, 10:30",Quarters
Junkyard,Kalakala,12,10,"07/16/2022, 10:30",Quarters
Bighorn,Gravemaker,9,10,"07/16/2022, 08:30",Pre-Quarters
Surly GM,Joystick,12,9,"07/16/2022, 08:30",Pre-Quarters
8-bit,Eldors,5,15,"07/16/2022, 08:30",Pre-Quarters
Kalakala,Scor'n,13,6,"07/16/2022, 08:30",Pre-Quarters
b,r,e,a,k
brackets,5th Place
bracket,5th Place
Gravemaker,Eldors,12,13,"07/17/2022, 09:00",5th Place
Gravemaker,Surly GM,11,10,"07/16/2022, 14:30",Semis
Eldors,Kalakala,15,8,"07/16/2022, 14:30",Semis
b,r,e,a,k
brackets,9th Place
bracket,9th Place
Endless Sunset Blue,8-bit,7,12,"07/17/2022, 09:00",9th Place
Endless Sunset Blue,Sick Hammers,11,9,"07/16/2022, 14:30",Semis
8-bit,Scor'n,13,10,"07/16/2022, 14:30",Semis
Bighorn,Endless Sunset Blue,10,12,"07/16/2022, 12:30",Quarters
Joystick,Sick Hammers,6,12,"07/16/2022, 12:30",Quarters
8-bit,Bull,13,7,"07/16/2022, 12:30",Quarters
Scor'n,Burnt Ends GM,15,7,"07/16/2022, 12:30",Quarters
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Bighorn,Bull,15,8,"07/17/2022, 09:00",13th Place
Bighorn,Joystick,15,8,"07/16/2022, 14:30",Semis
Bull,Burnt Ends GM,15,6,"07/16/2022, 14:30",Semis
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
Burnside 40,Endless Sunset,15,8,"07/17/2022, 09:00",3rd Place
b,r,e,a,k
brackets,7th Place
bracket,7th Place
Surly GM,Kalakala,12,10,"07/17/2022, 09:00",7th Place
b,r,e,a,k
brackets,11th Place
bracket,11th Place
Sick Hammers,Scor'n,9,8,"07/17/2022, 09:00",11th Place
b,r,e,a,k
brackets,15th Place
bracket,15th Place
Joystick,Burnt Ends GM,8,3,"07/17/2022, 09:00",15th Place
b,r,e,a,k
