2022 North Central Mixed Regional Championship,Club - Mixed ,24,9,2022
Hartland,WI,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-North-Central--Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
0,Micah Peterson-Brandt
0,Mikhail Golben
0,Peter Schmitt
0,Raechell Nelson
0,Sarah Robinson
0,Stephanie O'Connor
b,r,e,a,k
NOISE,2
0,Laura Farolfi
00,Donna Johnston
02,Tyler Williams
03,Kelsen Alexander
05,Rose Glinka
07,Vanessa Cannaday
10,Tom Annen
12,Sydney French
14,Ellen Yu
16,Allison Chmaj
19,Emily Cohen
21,Avery Johnson
24,James Sykora
32,Daniel Garlock
33,Katy Stanton
34,Ben Parrell
42,Ashley Welsh
43,Kevin Cannaday
49,Robyn Fennig
51,Matthew Grinde
54,Dylan DeClerck
75,Nico Ranabhat
77,Jack Kelly
91,Sadie Reding
95,Glenn Poole
99,Caitlin Murphy
b,r,e,a,k
No Touching!,12
 ,Brenna Sund
 ,Jolien Munsterhuis
 ,Tony Michaelson
 ,Tyler McKean
0,Zackary Fleming
0,Patrick Cashman
0,Rebekah Swanson
0,Kathryn Cleveland
0,Katie Godfrey
0,Alison Ling
0,Alyson Gagner
0,Benjamin Nelson
0,Lindsay Trosvig
0,Megan Asturias
0,Brett Sullivan
0,Daniel Collom
0,Jeffrey Trosvig
0,Jenni Konigsburg
0,Jeremiah Gagner
10,Alex Kensgaard
17,Kristina Golling
29,Sam Pepe
32,Rachel Elbing
33,Graham Brayshaw
78,Jeremy Keiser
88,Patrick Jensen
b,r,e,a,k
Mad Udderburn,13
 ,Adam Klopfenstein
 ,Ben Schewe
 ,Grant Hellestad
 ,Hannah Nygard
 ,Joey Knutson
0,Julia Sauerhaft
0,Justin Chenevert
0,Maria Signore Becker
0,Matthew Becker
0,Nicholas Gerber
0,Paige Steinbauer
0,Peter Reinhart
0,Peter Scott
0,Pieran Robert
0,Regina Barcio
0,Jacob Dreves
21,Taylor Grace Zietz
23,Allison Mueting
24,Bo Strauss
27,Clay Schelitzche
30,Carly Siewert
31,Amber Heffernan
32,Amanda Hellestad
41,Molly Schelitzche
b,r,e,a,k
Pushovers,7
00,Donovan ODowd
00,Erick Knudson
00,Erin Marshall
00,Ethan Smith
00,Emma Gautier
01,Derek Anderson
02,Tyler Wolf Williams
03,Carly Rasmussen
04,Arthur Harris
07,Eric Volkmeier
07,Michael Scharlau
09,Abigail Skerker
09,Kendra Anderson
10,Kyra Anderson
12,Joseph Ling
15,Harper Brooks-Kahn
18,Eleanor Vandel
28,Miriam Tibbetts
30,Liv Myers
31,Ross Screaton
34,Madeline Scott
35,Anders Zetterlund
39,Elizabeth Curtiss
47,Sam Berk-Hinckley
62,Marcus Cannon
98,Bryan Kim
b,r,e,a,k
Kansas City United,3
 ,Jessica Tiller
0,Joe Young
0,Joe Wheelock
0,Jordan Eissner
0,Kailee Karr
0,Lauren Wiggins
0,Nadine Rowen
0,Patrick Abeli
0,Peter (PJ) Matulka
0,Ryan Tuschhoff
0,"Sam ""Suds"" Ward"
0,Sowmya Ragothaman
0,Spencer Patterson
0,Stephanie Rupp
0,Taylor Hession
0,Taylor Cauthon
0,Thomas Schreiber
0,Allen Jones
0,Brett Hidaka
0,Caitlin Lisk
0,Christian Simpson
0,Clare Frantz
0,Courtney Walbe
0,Eliza Hutchings
0,Janani Ragothaman
0,Jeffrey Rehm
b,r,e,a,k
Impact,6
 ,Amanda Baker
 ,Dustin Dye
 ,Joey Wickham
 ,Serena Wong
 ,Tanner Lee Gesell
 ,Tim Dinh
0,Kez Gesell
10,Carissa  Slabach
11,Kevin Graham
12,Charity Felton
13,Angela Reimer
14,Kiana Broadley
16,Ellane Bergen
19,Joel Hampton
21,Reid Christensen
22,Isaac Blick
23,Sam Ellison
24,Ryan Dornbusch
25,Shannon Harms
27,Lia Wickham
37,Jake Reimer
42,Westen Gehring
46,Noelle Wickham
51,Isaac Entz
81,Patrick Loganbill
86,Emily Beeson
b,r,e,a,k
Chalice,16
0,Andrew Hilliard
0,Angela Romanelli 
0,Ben Clark
0,Benjamin Emanuel-Prude
0,Brianna Anderson
0,Cameron Freeman
0,Catherine Euliano
0,Charlotte Fleming
0,Christian Piccioni
0,Christopher Ave
0,Claudia Sikora 
0,Dustin Tierney
0,Ian Grochocinski
0,Kate Frauenheim
0,Kiersten Ruff
0,Madeleine Thompson
0,Mary Otten
0,Molly Watson
0,Nathan Gibbons
0,Nicholas Reinders
0,Oscar Gravador 
0,Raiyan Hamilton
0,Sabrina Lavezzi
0,Samuel Bliss
0,Sarah Freymiller
0,Tim Side
b,r,e,a,k
Bird,9
 ,Andrew Johnson
 ,Eva Cornwell
 ,Greta Friedrichs
 ,John Anderson
 ,Katherine Wilmes
 ,Makayla Jones-Klausing
 ,Olivia Peer
10,Adam Egemo
11,Nora Mitchell
12,Aidan Clements
14,Tyler Latham
17,Katie Fan
19,Eva Fischer
20,Eleanor Heberlein
21,Brooks Hidaka
22,Natalie Cooper
23,David Stemper
24,Nathan Phillips
25,Jacob Salzman
27,Leslie Boey
29,Brian Paulus
42,Anna Ruehlow
44,Jonathan Lovagnini
91,Oscar Leinbach
92,Jack Mallmann
99,Sigurd Ostlie-Olson
b,r,e,a,k
The Chad Larson Experience,4
0,Ethan Levine
0,Miah Smith
02,Logan Grothus
03,Nate Cinnamon
04,Cody Rohlf
06,Hannah Youngwirth
07,James Hean
09,Charlie Hubbard
10,Presley Philipp
12,Nicole Johnson
14,Liz Walters
15,Scott Wilson
17,Emily Wilson
18,Haley Johnson
19,Ben Joerger
20,Rebecca Crown
21,Marissa McFadden
22,Nick Culver
23,Sydney Mier
24,Danny Kurz
29,Adam Levine
32,David Dalton
42,Sarah Stoker
44,Chuan Jie Loy
61,Jayna Wanamaker
77,Kayla Anderson
b,r,e,a,k
Northern Comfort,5
 ,Benjy Keren
 ,Drew Chapman
 ,Emily Zalinski
 ,Erika Watson
 ,Grace Zucchero
 ,Greg Maddox
 ,Gretchen Zirgaitis
 ,Jacob Scobey-Polacheck
 ,Jake Leutenegger
 ,Jeffery  Schubert
 ,Joseph Blankenheim
 ,Kaleigh Wurster
 ,Heather Posl
 ,Rozelynn Becker
 ,Sarah Johnson
 ,Todd Miller
 ,Wyatt Meyer
 ,Raleke Hughes
0,Rebecca Rings
0,Alex Ballinger
0,Jacob Wham
0,Matthew Goetsch
12,Mackenzie Carpenter
22,Max Carpenter
44,Hannah Frank
88,Peter Guerin
b,r,e,a,k
The Force,10
0,Albert Wu
0,Alyssa Little
0,Amanda Huber
0,Andrew Little
0,Anna Schmalzel
0,April Strzelczyk Haverstock
0,Austin Lee
0,Brittany Faust
0,Bryan Soto
0,David Shirley
0,Ella Mullin
0,Grace Taylor
0,Graham Sutherland
0,Jeremy Schuetz
0,Jesse Stratton
0,Louis Stein
0,Lucy Berman
0,Matthew Lingam
0,Micheala McCarthy
0,Miriam Delrahim
0,Remy Eisendrath
0,Russell Smith
0,Stephanie Pieper
0,Sydney Pomish
0,Taylor Weeden
0,Tyler Haverstock
b,r,e,a,k
Mousetrap,15
 ,Margo Stanger
0,Spencer Olsson
0,Zeke Witter
0,Alex Larsen
0,Alexander Gravatt
0,Andrew Landphier
0,Anna Lane
0,Ben Stanger
0,Benjamin Liska
0,Benjamin Petersen
0,Cadence Sawyer
0,Camille O'Connell
0,Danielle Larson
0,ELEANOR KNAUSS
0,Elizabeth Ebert
0,Hans Kittleson
0,Henry Fremont
0,Ida Sobotik
0,Jacob Johnson
0,Jay Taves
0,Jennifer Wu
0,Kali Stanger
0,Kelsie Tingle
0,Kevin Selm
0,Lily Mae Abels
36,Catherine Morita
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Drag'n Thrust,Pandamonium,15,1,"09/24/2022, 09:00",Pool A,Final
Minnesota Star Power,Point of No Return,15,12,"09/24/2022, 09:00",Pool A,Final
Drag'n Thrust,Minnesota Star Power,15,3,"09/24/2022, 11:00",Pool A,Final
Point of No Return,Pandamonium,14,12,"09/24/2022, 11:00",Pool A,Final
pool,Pool B
NOISE,Mad Udderburn,15,3,"09/24/2022, 09:00",Pool B,Final
Pushovers,No Touching!,11,15,"09/24/2022, 09:00",Pool B,Final
NOISE,No Touching!,15,10,"09/24/2022, 11:00",Pool B,Final
Pushovers,Mad Udderburn,9,15,"09/24/2022, 11:00",Pool B,Final
pool,Pool C
Kansas City United,Chalice,15,5,"09/24/2022, 09:00",Pool C,Final
Impact,Bird,15,7,"09/24/2022, 09:00",Pool C,Final
Kansas City United,Impact,15,12,"09/24/2022, 11:00",Pool C,Final
Bird,Chalice,8,14,"09/24/2022, 11:00",Pool C,Final
pool,Pool D
The Chad Larson Experience,Mousetrap,15,10,"09/24/2022, 09:00",Pool D,Final
Northern Comfort,The Force,15,7,"09/24/2022, 09:00",Pool D,Final
The Chad Larson Experience,Northern Comfort,15,12,"09/24/2022, 11:00",Pool D,Final
The Force,Mousetrap,15,10,"09/24/2022, 11:00",Pool D,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossovers
Drag'n Thrust,Kansas City United,14,7,"09/24/2022, 13:00",,Final
NOISE,The Chad Larson Experience,15,7,"09/24/2022, 13:00",,Final
Northern Comfort,Mad Udderburn,13,8,"09/24/2022, 13:00",,Final
Impact,Point of No Return,15,7,"09/24/2022, 13:00",,Final
No Touching!,The Force,15,8,"09/24/2022, 13:00",,Final
Minnesota Star Power,Chalice,15,7,"09/24/2022, 13:00",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Drag'n Thrust,NOISE,14,9,"09/25/2022, 11:00",Finals,Final
Drag'n Thrust,The Chad Larson Experience,15,1,"09/25/2022, 09:00",Semis,Final
Kansas City United,NOISE,9,11,"09/25/2022, 09:00",Semis,Final
Drag'n Thrust,No Touching!,15,6,"09/24/2022, 15:00",Quarters,Final
The Chad Larson Experience,Impact,15,12,"09/24/2022, 15:00",Quarters,Final
Kansas City United,Northern Comfort,15,12,"09/24/2022, 15:00",Quarters,Final
NOISE,Minnesota Star Power,15,3,"09/24/2022, 15:00",Quarters,Final
bracket,3rd Place
Impact,The Chad Larson Experience,13,15,"09/25/2022, 13:00",Game to Go,Final
Impact,Kansas City United,12,11,"09/25/2022, 11:00",3rd Place Semis,Final
Northern Comfort,The Chad Larson Experience,7,14,"09/25/2022, 11:00",3rd Place Semis,Final
No Touching!,Impact,10,14,"09/25/2022, 09:00",3rd Place Quarters,Final
Northern Comfort,Minnesota Star Power,14,10,"09/25/2022, 09:00",3rd Place Quarters,Final
bracket,5th Place
Kansas City United,Northern Comfort,4,7,"09/25/2022, 13:00",5th Place,Final
bracket,7th Place
No Touching!,Minnesota Star Power,15,11,"09/25/2022, 11:00",7th Place,Final
bracket,9th Place
Chalice,The Force,11,12,"09/25/2022, 11:00",9th Place,Final
Mad Udderburn,Chalice,11,13,"09/25/2022, 09:00",9th Place Semis,Final
Point of No Return,The Force,11,13,"09/25/2022, 09:00",9th Place Semis,Final
bracket,11th Place
Mad Udderburn,Point of No Return,13,5,"09/25/2022, 11:00",11th Place,Final
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
Pandamonium,Pushovers,7,15,"09/24/2022, 13:00",Pool E,Final
Bird,Mousetrap,9,15,"09/24/2022, 13:00",Pool E,Final
Pandamonium,Bird,13,14,"09/25/2022, 09:00",Pool E,Final
Pushovers,Mousetrap,10,12,"09/25/2022, 09:00",Pool E,Final
Pandamonium,Mousetrap,15,14,"09/25/2022, 11:00",Pool E,Final
Pushovers,Bird,10,8,"09/25/2022, 11:00",Pool E,Final
b,r,e,a,k
