Mixed Easterns 2022,Club - Mixed ,4,6,2022
Devens,MA,2022-06-04,2022-06-05
https://play.usaultimate.org/events/Mixed-Easterns-2022/schedule/Mixed/Club-Mixed
Obscure,9
0,Stephenie Wang
0,Tiffany Tai
0,Zach Finkelstein
0,Zane Friedkin
b,r,e,a,k
Deadweight,7
teamInfo,,"Hartford, Connecticut",,,
coaches,Scott Graber
0,Abigail Baer
0,Alex Grande
0,Alex Morrone
0,Allison Springer
0,Annika Harrington
0,Barb Banz
0,Benjamin Rosenfeld
0,Bobby Elston
0,Brendan Loyot
0,Cameron Johnson
0,Caroline Eldridge
0,Claudia Buchard
0,Garrett Clay
0,Greg Pretak
0,Jacob Dummeldinger
0,Jacob Komenda
0,Joseph Ouellette
0,Justin Badgett
0,Katherine Overstrum
0,Kayla Olson
0,Kenny Harvey
0,Lauren Pisani
0,Logan Edwards
0,Marissa Aldieri
0,Maya Stokes
0,Seho Young
0,Shaylen Harger
0,Sterling Morrone
0,Todd Larese
0,Zach Grappone
33,Kyle Saroka
52,Ryan Strobel
b,r,e,a,k
Molasses Disaster,14
teamInfo,,"Boston, Massachusetts",,,
0,Alejandra Ospina
0,Alejandro Obregon
0,Alex Grintsvayg
0,Bethany Kaplan
0,Bradley Hibberd
0,Chris Palmer
0,Christopher Waite
0,Dan Bush
0,Emily Cho
0,Jeff Smith
0,John Repucci
0,Jonathan Palmer
0,Joshua Dennis
0,Julie Sussman
0,Kaelin Mackey
0,Katherine Dennis
0,Kelley Hibberd
0,Krisztina Finn
0,Lindsay Neubecker
0,Mari Oshiro
0,Matthew Anderson
0,Megan Insco
0,Mike Rozinsky
0,Nathan Kaplan
0,Robert (Bob) Durling
0,Sarah Cook
0,Seth Canetti
0,Shimrit Markette
0,Todd Herman
0,Tyler Kinley
0,William Olli
0,Young Jo Fontaine
b,r,e,a,k
LAB,11
teamInfo,,"Montreal, Quebec CA",,,
 ,CAROLINE CADOTTE
 ,Catherine Carrier
 ,Charles Asselin
 ,Claudie Turcotte
 ,Eric Preseault
 ,ERIC DION
 ,Felix Marceau
 ,FRANCIS BRETON
 ,Geneviève Richard
 ,Gwanaëlle Patenaude
 ,Janick St-Cyr
 ,JULIE BLAIS
 ,Julie Landry
 ,Makalu Green
 ,Maleaume Voirnesson
 ,MARIE-EVE ROBERT
 ,Maude Laniel-Ducharme
 ,Paul Hooley
 ,Philippe Le Bourdais
 ,Thomas Faber
b,r,e,a,k
Wild Card,3
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
 ,Hannah Crowley
 ,Maxwell Rick
0,Mukil Guruparan
0,Natalie Wheeler
0,Ryan Brown
0,Shi-Min Chin
0,Will Burks
0,Yigit Demiralp
0,Adele Kong
0,Alex Hecht
0,Alicia Chang
0,Amanda Lobel
0,Iris Rukshin
0,Jack Simmons
0,Jacob Arwe
0,Jamie Sharken
0,Jason Freedman
0,Jordan Kaufman
0,Kaitlyn Thibault
0,Kevin O'Brien
0,Leo Blooston
0,Arthur Abbate
0,Bethany  Eldridge
0,Caroline Passalacqua
0,Christina Stellwagen
0,Collier Cobb
0,Daniel Butler
0,Edward Tu
0,Ellery Koelker-Wolfe
0,Emma Bushman
0,Hannah Marr
10,Annika Chan
42,Anthony Lamanna
b,r,e,a,k
League of Shadows,6
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
 ,Abby Ritterband
 ,Adele Kong
 ,Alexander Fick
 ,Ariel Felcan
 ,Bethany  Eldridge
 ,Crystal  Zhang 
 ,Daniel Benson
 ,David Lyle
 ,David Huang
 ,Dustin Thai
 ,Edward Tu
 ,Ellery Koelker-Wolfe
 ,Helen Lim
 ,Jacee Cox
 ,Christina Stellwagen
 ,Christopher Losapio
 ,Julia Leung
 ,Kevin O'Brien
 ,Kyle Jannak-Huang
 ,Mukil Guruparan
 ,Rachael Liu
 ,Ram Sundaram
 ,Sam VanNoy
 ,Sean Fallon
 ,Shi-Min Chin
 ,Sophia Thayer
 ,Terren Moore
 ,Yuval Pearl
0,Zoe Honigberg
0,Thomas Barry
0,Meredith Duffy
0,Mina Bozeman
0,Leo Blooston
0,Connor Coale
0,Jack Deschler
0,Jack Keller
0,Emma Bushman
0,Alison Hill
0,Alan Yi
0,Alex Hecht
10,Patricia Neckowicz
17,Lillian Huang
19,Karissa  Tabtieng
21,Charles Marokhovsky
29,Tate Tabtieng
b,r,e,a,k
Eat Lightning,15
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/EatLightningNYC,https://twitter.com/LightningEat
 ,Aden Fischer-Brown
 ,Brendan Awerbuch
 ,Hayley Manning
 ,Jordan Chow
 ,Jean Colangelo
0,Jeffrey Wang
0,Jessica Sacks
0,Julie Paik
0,Matthew Sheehan
0,Miche McCall
0,Noah Gioiosa
0,Sam Masling
0,Xaver Kandler
0,Camille Victoria Delgado
0,Dylan Horowitz
0,Antonio Brewer
0,Ben Pakter
0,Bohdi Cooper
23,Hy Ha
b,r,e,a,k
UNION,4
teamInfo,,"Toronto, Ontario CA",http://union.playwithspirit.com/,https://www.facebook.com/pages/Union-Ultimate/190712307636599,@unionultimate
 ,Brandon Neild
00,CHASE HEINEMANN
00,Hugo Lynch
00,Jenson Lam
02,Daniel Balzerson
03,Jordan Ing-Chen
05,Emma Seaborn
06,Sarah Burke
07,Jacqueline Man
10,Danielle Leung
11,Eric Blanchard
15,Matthew Kishi
24,Jamee Nepom
26,May Nguyen
31,Sarah Lam
33,Emma Thorpe
45,Emmalyne Azucena
64,Jeffrey McClelland
66,Jack Park
71,BRYAN YUE
77,Kathryn Marcelino
87,Ronald Siu
91,Lindsay Musalem
b,r,e,a,k
Darkwing,5
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
 ,Conor Dowling
0,Emet Schwartz
0,James Sabean
0,Joseph Sadok
0,Justinne Guarin
0,Lamia Farah
0,Myles Wagner
0,Olivia Brissette
0,Steven Her
0,Suji Kim
0,Sydney Curran
0,Yigit Demiralp
b,r,e,a,k
Garbage Plates,12
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Anna Purtell
0,Benjamin Kelley
0,Briana Newman
0,Christine Purtell
0,Colin O'Keefe
0,Dudley Loew
0,Emmett Wilson
0,Jensen Li
0,Jonathan Ballard
0,Ken (KJ) Dziak
0,Kobe Oley
0,Madison Lang
0,Marisa Wilson
0,Matthew Rybak
0,Matthew Hall
0,Michael Sheldon
0,Nate August
0,Peter Carter
0,Qingyuan Jia
0,Rui Da Costa
0,Sarah Sheldon
0,Talia Brewer
0,Andrew Gallagher
28,Angela Dana
b,r,e,a,k
Sunken Circus,16
teamInfo,,"Portland , Maine",,,
0,Hayley SooHoo
0,Hudson Carr
0,Jasper Beardslee
0,Katie Abrams
0,Lauren Lindman
0,Lily Barter
0,Lydia Guay
0,Molly Hale
0,Owen Jacobsen
0,Ryan Thompson
0,Stephanie Wood
0,Steven Wilkinson
0,Tim Cardoso
0,Will Savage
0,Amy LeBel
0,Ashley Damboise
0,Camron Currier
0,Chad Mcdonnell
0,Chuck Cantone
0,Francoise Delisle
35,Gunnar Heckler
b,r,e,a,k
Bench,24
teamInfo,,"albany, New York",,,
 ,Beatrice Smith
 ,Asa Mohammed
 ,David Bowers
 ,Dominique Bassallo
 ,Karoline Hart
00,Megan Giamei
00,Peter Hodge
00,Sarah Thomann
00,Evan Creer
00,Forrest Levey
00,Holly Hunt
00,Jack Kirby
00,Jim Biancolo
00,Ava Champitto
00,Billy Daniels
00,Chris Lavery
00,Christopher Hummel
09,Antonia Williams
10,Mathieu Savarit-Cosenza
12,Kathleen Bemis
13,Fritz (Frederick) Howard
15,Diane Dreifuss
74,Ian Daughton
83,Michael Protas
b,r,e,a,k
Lampshade,17
teamInfo,,"Cambridge, Massachusetts",,,
0,Aaron Epstein
0,Adam Alper
0,Bobby Lovitch
0,Dalton Lovins
0,Devany Pitsas
0,Eva McDermott
0,Fernanda Brena
0,Gina Pryciak
0,Gregory Oreste
0,Helen Lim
0,Jaden Busch
0,Jordan Bricknell
0,Karina Cruz
0,Kelly Chen
0,Kevin Murphy
0,Kyle Jannak-Huang
0,Liam Day
0,Liz Anusauskas
0,Lucas Lytel
0,Olive Garst
0,Rachael Liu
0,Rose Gordon
0,Sajani Clerk
0,Sofia Grose
0,Stella Lau
0,Varun Shah
b,r,e,a,k
Face Off,25
teamInfo,,"Portsmouth, New Hampshire",,https://www.facebook.com/faceoffultimate/,
0,Amana Vander-Heyden
0,Andrea Parise
0,Annalise  Keeler
0,Ben Grimes
0,Brad Blais
0,Chris St Pierre
0,Chris Grinley
0,Daniel Zoller
0,David Dwyer
0,Jacob McQuaid
0,Julia Wakeman
0,Kaden Silva
0,Kevin  Heroux
0,Kyle Jacoby
0,Kyle Cayer
0,Lauren Burkhardt
0,Matt Bisler
0,MICHAEL ARNOLDY
31,Kristen  Davis
34,Rob Parise
54,Jacob Schwartz
b,r,e,a,k
Scarecrow,18
teamInfo,,"Manchester, New Hampshire",,modules/common/www.facebook.com/ScarecrowUltimate/,www.twitter.com/ScarecrowMixed
0,Claire Duvallet
0,Colby Jacques
0,Danielle Chancey
0,Elizabeth Menard
0,Gabriella  Palermo
0,Jacee Cox
0,Jason Russo
0,Jay Delani 
0,Jessica Armstrong
0,Meghan Montgomery
0,Michelle Merritt
0,Ryan Benincase
0,Ryan Creamer
0,Sean Murphy
0,Stephanie Esker
0,Teddy Campbell
0,Thomas Stover
0,Timothy Glover
0,Tom Bertrand
0,Trent Linker
0,Tyler Hall
0,Breanna Bozzuto
0,Caitlin Whited
0,Calvin Conant
0,Alex Joseph
0,Andres Ibarra
32,Kaitlin Purdy Murphy
48,Lauren Kraemer
52,Anthony Bevilacqua
99,Christopher Linskey
b,r,e,a,k
Potluck,26
teamInfo,,"Somerville, Massachusetts",,,
0,Brooke Medley
0,Dustin Thai
0,Finn Higgins
0,Hilda Doan
0,James Lehner
0,Kayl Murdough
0,Lily Talerman
0,Lucas Johnson
0,Mary Matthews
0,Pin En Chiu
0,Rachel Dovek
0,Sam Farnsworth
0,Sylvia Gisler
0,Terren Moore
0,Travis McGrath
b,r,e,a,k
Unlimited Swipes,23
teamInfo,,"New York, New York",http://www.swipesultimate.com,https://www.facebook.com/swipesultimate/,https://www.twitter.com/swipesultimate
 ,Amy Orellana
 ,Belinda Lam
 ,Benjamin Zhu
 ,Gabriel Fontes
 ,Geneva Bloemen
 ,Gregory Kleinman
 ,Jessica Wentling
 ,Julie Ha
 ,Kalvin Thye
 ,Maggie Mai
 ,Mitchell Wheatley
 ,Olivia Korostoff-Larsson
0,Phillip Hou
0,Terence To
0,TJ Dingco
0,Zev Kaufman
0,Kevin Lai
0,Lucy Yao
0,Jack Rogot
0,James Zhang
0,Benjamin Korman
0,Brian Oluwo
0,Connor Breen
0,Edward Tang
0,Fiona Nugent
0,Allison Chien
01,Antonio Valentin
03,Allie Hinsberg
10,Asher Woodbury
25,Patrick Sheil
b,r,e,a,k
Spawn,22
teamInfo,,"Fredericton, New Brunswick CA",,,
 ,BECKY CHASSE
 ,Brianna Levenstein
 ,Caitlynn Hanlon
 ,Conor Sexton
 ,Devin Patterson
 ,Emily Hawkins
 ,Emma Plant
 ,Eric Tremblay
 ,Gaelyn Mcmackin
 ,Joel Beck
 ,Jonathan Murray
 ,Kieran Valk
 ,Leland Morehouse
 ,Mark O'Connor
 ,Molly Gallibois
 ,Sam Chambré
 ,Sara Leslie
 ,Sylvie Dupuis
 ,Alex Downing
37,ALEX BROWN
b,r,e,a,k
Rainbow,27
teamInfo,,"Somerville, Massachusetts",https://www.rainbowultimate.com,https://www.instagram.com/rainbowultimate/,
0,Alison Collins
0,Ann Ritchie
0,Daniel Jones
0,Daniel Horrigan
0,Ella White
0,Heather Szczesniak
0,Jane Farrell
0,Jay Turner
0,Joe Rafalak
0,Jonathan Cass
0,Jonathan Kelly
0,Justin Grimaldi
0,Kara Breeden
0,Max Avratin
0,Robert Hsu
0,Timothy Whitworth
b,r,e,a,k
Buffalo Lake Effect,19
teamInfo,,"Buffalo, New York",modules/common/www.nickelcityultimate.com,https://www.facebook.com/groups/50331329455/,
0,Anthony Ceddia
0,Benjamin Goodman
0,Ellen Chapman
0,Emily Porterfield
0,Emma Roberts
0,George Scheibel
0,Jack Puttre
0,James Erb
0,Loriana Schneider
0,Magnus Cleveland
0,Molly Booi
0,Nick Lenhard
0,Sam Sommers-Thaler
0,Sarah Burns
0,Sarah Bryant
0,Sean Bowers
0,Shane Watts
0,Timothy (TJ) Burns
0,Zachary Flint
0,Zoe Barrington
b,r,e,a,k
Red Fox Ultimate,21
teamInfo,,"Sherbrooke, Québec CA",,https://www.facebook.com/profile.php?id=100057325845287,
00,Antoine Lambert
00,Béatrice Couture
00,Cassandre Gervais
00,Charles Lambert
00,Charlotte Christin
00,Elliot Christin
00,Jeandaniel Dubé
00,Judith Ellyson
00,Kevin Guillemette
00,Marianne Fortier
00,Marie Eve Trottier
00,Mathieu Durocher
00,Nicolas Beaulieu
00,Noémie Bérubé
00,Rosalie Damphousse
00,Samuel Dube
00,Sarah Lachance
00,Simon Martin
b,r,e,a,k
Lobrid,20
teamInfo,,"Cambridge, Massachusetts",,,
0,Acer Xu
0,Alexander Velberg
0,Andrew Churchill
0,Axis Sivitz
0,Hao Shen
0,Jane Healy
0,Joshua Murray
0,Lucy Jin
0,Nicolas Arons
0,Noah Anderson
0,Sarah Antilla
b,r,e,a,k
Brooklyn Hive,28
teamInfo,,"New York, New York",https://www.instagram.com/brooklyn_hive_ultimate/,,
 ,Kai Barshack
 ,Kevin Boyce
0,Laura Kidder
0,David Gallagher
0,Jimmy Chen
0,Jon Schlosberg
0,Jonathan Lao
0,Abigail Fournier
0,Abigail Cain
0,Alex Schlegel
0,Anela Layugan
0,Avery Feingold
0,Carter Hartmann
0,Chris Pliszak
0,Christine Okubo
0,Sara Kalet-Schwartz
0,Scott Borgstedt
0,Sophie Krichevsky
12,Eri Okuma
17,Mark Popinchalk
33,Daniel Aronov
89,Zachai Kalet-Schwartz
b,r,e,a,k
s,t,a,g,e,s
pools,Elite Pool
pool,Pool A
Slow,Heat Wave,13,7,"06/04/2022, 09:00",Pool A,Final
Époq,Obscure,10,12,"06/04/2022, 09:00",Pool A,Final
Slow,Obscure,8,9,"06/04/2022, 10:45",Pool A,Final
Époq,Heat Wave,13,7,"06/04/2022, 10:45",Pool A,Final
Slow,Époq,13,9,"06/04/2022, 12:30",Pool A,Final
Obscure,Heat Wave,13,8,"06/04/2022, 12:30",Pool A,Final
pool,Pool B
Sprocket,Molasses Disaster,13,4,"06/04/2022, 10:45",Pool B,Final
Deadweight,Grand Army,9,13,"06/04/2022, 10:45",Pool B,Final
Sprocket,Grand Army,13,6,"06/04/2022, 12:30",Pool B,Final
Deadweight,Molasses Disaster,13,7,"06/04/2022, 12:30",Pool B,Final
Sprocket,Deadweight,13,6,"06/04/2022, 14:15",Pool B,Final
Grand Army,Molasses Disaster,13,9,"06/04/2022, 14:15",Pool B,Final
pool,Pool C
Wild Card,Eat Lightning,13,4,"06/04/2022, 09:00",Pool C,Final
League of Shadows,LAB,8,12,"06/04/2022, 09:00",Pool C,Final
Wild Card,LAB,9,11,"06/04/2022, 10:45",Pool C,Final
League of Shadows,Eat Lightning,13,7,"06/04/2022, 10:45",Pool C,Final
Wild Card,League of Shadows,11,7,"06/04/2022, 12:30",Pool C,Final
LAB,Eat Lightning,13,4,"06/04/2022, 12:30",Pool C,Final
pool,Pool D
UNION,Sunken Circus,13,6,"06/04/2022, 10:45",Pool D,Final
Darkwing,Garbage Plates,10,9,"06/04/2022, 10:45",Pool D,Final
UNION,Garbage Plates,13,9,"06/04/2022, 12:30",Pool D,Final
Darkwing,Sunken Circus,13,6,"06/04/2022, 12:30",Pool D,Final
UNION,Darkwing,11,9,"06/04/2022, 14:15",Pool D,Final
Garbage Plates,Sunken Circus,13,8,"06/04/2022, 14:15",Pool D,Final
b,r,e,a,k
pools,Classic Pool
pool,Pool E
Bench,Face Off,12,6,"06/04/2022, 09:00",Pool E,Final
Lampshade,Face Off,13,8,"06/04/2022, 12:30",Pool E,Final
Lampshade,Bench,8,10,"06/04/2022, 22:45",Pool E,Final
pool,Pool F
Unlimited Swipes,Potluck,11,12,"06/04/2022, 09:00",Pool F,Final
Scarecrow,Potluck,13,4,"06/04/2022, 10:45",Pool F,Final
Scarecrow,Unlimited Swipes,10,8,"06/04/2022, 12:30",Pool F,Final
pool,Pool G
Spawn,Rainbow,13,7,"06/04/2022, 09:00",Pool G,Final
Buffalo Lake Effect,Rainbow,7,12,"06/04/2022, 10:45",Pool G,Final
Buffalo Lake Effect,Spawn,9,12,"06/04/2022, 12:30",Pool G,Final
pool,Pool H
Red Fox Ultimate,Brooklyn Hive,13,4,"06/04/2022, 09:00",Pool H,Final
Lobrid,Brooklyn Hive,10,6,"06/04/2022, 10:45",Pool H,Final
Lobrid,Red Fox Ultimate,5,13,"06/04/2022, 12:30",Pool H,Final
b,r,e,a,k
clusters,Classic Crossover
cluster,Bracket Crossover
Bench,Red Fox Ultimate,6,13,"06/02/2022, 14:15",,Final
Scarecrow,Spawn,4,13,"06/02/2022, 14:15",,Final
Lampshade,Brooklyn Hive,9,10,"06/02/2022, 14:15",,Final
Face Off,Lobrid,5,9,"06/02/2022, 14:15",,Final
Potluck,Buffalo Lake Effect,10,11,"06/02/2022, 14:15",,Final
Unlimited Swipes,Rainbow,8,10,"06/02/2022, 14:15",,Final
b,r,e,a,k
brackets,Elite 1st place
bracket,Elite 1st place
UNION,Sprocket,9,12,"06/05/2022, 12:30",Elite 1st place,Final
Obscure,UNION,10,11,"06/05/2022, 10:45",Round 2,Final
LAB,Sprocket,9,13,"06/05/2022, 10:45",Round 2,Final
Obscure,Grand Army,13,6,"06/05/2022, 09:00",Round 1,Final
UNION,Wild Card,1,0,"06/05/2022, 09:00",Round 1,Final
LAB,Darkwing,12,8,"06/05/2022, 09:00",Round 1,Final
Slow,Sprocket,11,13,"06/05/2022, 09:00",Round 1,Final
bracket,5th place
Grand Army,Slow,6,11,"06/05/2022, 12:30",5th place,Final
Grand Army,Wild Card,10,5,"06/05/2022, 10:45",Round 2b,Final
Darkwing,Slow,6,13,"06/05/2022, 10:45",Round 2b,Final
bracket,3rd place
Obscure,LAB,7,8,"06/05/2022, 12:30",3rd palce,Final
bracket,7th place
Wild Card,Darkwing,8,9,"06/05/2022, 12:30",7th place,Final
b,r,e,a,k
brackets,Classic 1st Place
bracket,Classic 1st Place
Red Fox Ultimate,Spawn,11,10,"06/05/2022, 12:30",Classic 1st Place,Final
Red Fox Ultimate,Scarecrow,11,9,"06/05/2022, 10:45",Round Name,Final
Spawn,Bench,12,8,"06/05/2022, 10:45",Round Name,Final
Red Fox Ultimate,Lobrid,13,12,"06/05/2022, 09:00",Round Name,Final
Scarecrow,Buffalo Lake Effect,10,7,"06/05/2022, 09:00",Round Name,Final
Spawn,Rainbow,13,7,"06/05/2022, 09:00",Round Name,Final
Bench,Brooklyn Hive,1,0,"06/05/2022, 09:00",Round Name,Final
bracket,3rd place
Scarecrow,Bench,10,8,"06/05/2022, 12:30",3rd place,Final
bracket,5th place
Buffalo Lake Effect,Brooklyn Hive,11,6,"06/05/2022, 12:30",5th place,Final
Lobrid,Buffalo Lake Effect,0,1,"06/05/2022, 10:45",Round Name,Final
Rainbow,Brooklyn Hive,0,1,"06/05/2022, 10:45",Round Name,Final
bracket,7th place
Lobrid,Rainbow,1,0,"06/05/2022, 12:30",7th place,Final
b,r,e,a,k
brackets,Elite 9th place Bracket
bracket,9th Place Bracket
Époq,League of Shadows,10,8,"06/05/2022, 12:30",9th Place,Final
Époq,Garbage Plates,12,10,"06/05/2022, 10:45",Round Name,Final
League of Shadows,Deadweight,9,8,"06/05/2022, 10:45",Round Name,Final
Époq,Molasses Disaster,1,0,"06/05/2022, 09:00",Round Name,Final
Garbage Plates,Eat Lightning,13,7,"06/05/2022, 09:00",Round Name,Final
League of Shadows,Sunken Circus,9,8,"06/05/2022, 09:00",Round Name,Final
Deadweight,Heat Wave,10,9,"06/05/2022, 09:00",Round Name,Final
bracket,11th place
Garbage Plates,Deadweight,8,7,"06/05/2022, 12:30",11th place,Final
bracket,13th place
Eat Lightning,Heat Wave,6,11,"06/05/2022, 12:30",13th place,Final
Molasses Disaster,Eat Lightning,0,1,"06/05/2022, 10:45",Round Name,Final
Sunken Circus,Heat Wave,9,10,"06/05/2022, 10:45",Round Name,Final
bracket,15th place
Molasses Disaster,Sunken Circus,9,10,"06/05/2022, 12:30",15th place,Final
b,r,e,a,k
pools,Classic Consolation Play
pool,Pool I
Lampshade,Potluck,13,2,"06/05/2022, 09:00",Pool I,Final
Face Off,Unlimited Swipes,8,11,"06/05/2022, 09:00",Pool I,Final
Lampshade,Unlimited Swipes,11,8,"06/05/2022, 10:45",Pool I,Final
Face Off,Potluck,11,9,"06/05/2022, 10:45",Pool I,Final
Lampshade,Face Off,13,3,"06/05/2022, 12:30",Pool I,Final
Potluck,Unlimited Swipes,L,W,"06/05/2022, 12:30",Pool I,Final
b,r,e,a,k
