Philly Open 2022,Club - Men ,6,8,2022
https://play.usaultimate.org/events/Philly-Open-2022/schedule/Men/Club-Men/
Redwolves,1
0,Jesse Heindel
0,Jon White
0,Josh Miller
0,Josh Heindel
0,Mark Farnham
0,Sean Hermanns
0,Silas Angelino
0,Spencer Grogan
0,Steven Whiteford
0,Tim Hushon
20,Ryan Hushon
b,r,e,a,k
Town Hall Stars,18
 ,Kevin Jiang
0,Ryan Low
0,Steven Whelan
0,Thomas Maloney
0,Vincent Zhong
0,Aaron Lavitsky
0,Aaron Knishkowy
0,Alexander Kerr
0,Daniel Niezelski
0,Daylan Sears
0,Ethan Lay
0,Jacob  Sheedy
0,Jonathan Gong
0,Kaiwen Song
0,Kevin Shen
20,Isaac Kinton
b,r,e,a,k
Queen City Kings,25
0,Chris Palermo
0,Cliff Totherow
0,Daniel Papazian
0,Daniel Eure
0,Emory Blackshir
0,Jack Walsh
0,James Murphy
0,Jonathan Giler
0,Josh Holder
0,Matthew Alexander
0,Michael Hultquist
0,Nathan Silvestri
0,Nicholas Towne
0,Rashaad Saunders
0,Ryan Davis
0,Troy Gagnon
0,Vaibhav Shah
0,Victor  Rodriguez 
0,Zach Smith
b,r,e,a,k
Oakgrove Boys,5
00,Adam Bronstein
00,Adel Al-Awadhi
00,Austin Workman
00,Benji Feidler
00,Charles Stimpson
00,Christopher Selwood
00,Curtis Kim
00,Daniel Bredehorst
00,Daniel Gribbin
00,Daniel Lynch
00,Dennis Maclaine
00,Gunnar Biebighauser
00,Harrison Wolfson
00,Ian Connerney
00,Jared Cooper
00,Joe Novak
00,Joseph Evans
00,Joshua Simpson
00,Kyle Flynn
00,Matthew Radle
00,Mike Vignali
00,Nicholas Gigliotti
00,Nicholas Albright
00,Patrick Vorathiankul
00,Raymond Tann
00,Tommaso Piccorossi
00,Travis Terrell
b,r,e,a,k
Helots,10
00,Camilo Rico
00,Evan Sapirman 
00,Henry Parra
00,Matthew Berdel
00,William Litchholt
01,David Brewster
03,Tyler Mackey
05,Kevin Tam
07,Andres felipe sanchez
12,Thomas Wu
13,Pete Isler
14,Chris Kelly
15,Sean Maxcy
17,Neal Vasireddi
27,Jason Pon
38,TJ Stanton
42,Matt Bartley
43,William Suitt
51,Patrick Callahan
66,Oscar Sucre
70,Robert Patten
75,Edgar  Prieto
80,Stephen Snelson
86,Andres Castrillon
88,Andrzej Porter
98,Kyle Dew
b,r,e,a,k
JAWN,26
 ,Andrew Barczak
 ,Jeremy Fus
0,Joshua Heacock
0,Michael Facinelli
0,Patrick Kelly
0,Robert Walker
0,Sam Gilden-Weiner
0,Vanshil Thakkar
0,William Shutt
0,Zack Eskin
0,Benjamin Cozzolino
0,Christian Sanchez
0,Edward Brakoniecki
0,Evan Kashan
0,Evan Maynard
0,Jack Hewitt
0,Jacob Kesselman
0,Andrew Kelly
0,Andrew Ngo
b,r,e,a,k
MOB Ultimate,17
0,Aidan Thomas
0,Austin Aguilera
0,Benjamin Hagan
0,Christopher Haslbeck
0,Dan King
0,Douglas Trach
0,Ethan Davis
0,Grant Sullivan
0,Jack Mountain
0,James Henderson
0,James Batterden
0,Jeremy Martin
0,Keith Mellendorf
0,Landon Jones
0,Liam Jones
0,Manuel Miranda
0,Mykiah Ashley
0,Na’Shaun Jackson
0,Nate Laws
0,Nicholas Kophengnavong
0,Nick Hamann
0,Richard Forbes
0,SunYoung Kim
0,Viktor Polyak
0,Xavier Stewart
b,r,e,a,k
BAG,16
0,Adam Dahlquist
0,Henry Caron
0,Jesse Levisohn
00,Andrew  Polcari 
01,Asa Thomson
02,Calvin Wardle
03,Christopher Richmond
04,Colin Mclaughlin
05,Cory McCormack
06,Ethan Cardi
07,Evan Hu
08,Jonas von Milczewski
09,Julian Baxandall
10,Kevin Wang
11,Leo Narbonne
12,Matthew Orr
13,Matthew Shapiro
14,Noam Gumerman
15,Roman Short
16,Sam Farnsworth
17,Samson Bienstock
18,William Burke
19,William Campbell
b,r,e,a,k
Colt,6
 ,Clayton Duffy
 ,Daniel Conner
 ,Daniel Percival
 ,Jeremy Bernier
0,Kekeli Afantchao
0,Dong Lam
0,Anthony Iacobacci
0,Jeffy Joshy
0,Remy Gaulin
09,Colin Dunn
10,Nicholas Catrini
13,Ben Chaimberg
15,Holland Florian
24,Nitesh Desai
26,Adam Neu
35,Oren Lieber-Kotz
36,Noah Schulman
44,David Sands
47,Jason Ellis
54,Logan Edwards
77,Jacob Latronica
81,Matthew Kearney
88,Drew Schnaudigel
b,r,e,a,k
Bomb Squad,9
0,Colin Bilyeu
0,Collin Stokes
0,Daniel Feuerberg
0,David Born 
0,Dylan Geraty
0,Dylan Flynn 
0,Erik Henn
0,Ethan Bomhardt
0,Garrick Clemente
0,Jack Fleischer
0,Jason Teng
0,John Reynolds
0,Julian Ching Hei Chow
0,Justin Waltrip
0,Logan Call
0,Mac Cumiskey
0,Michael Hagepanos
0,Nathaniel Weir
0,Paul McDermott
0,Sean McDermott
0,Zachary Cousino
14,Zachary Greaver
b,r,e,a,k
Adelphos,27
 ,Cortize Hicks
 ,Iain Tracton
0,Jacob Arnold
0,Josh McGinnis
0,Logan Hall
0,Luke Jarvis
0,Luke Merrill
0,Max Franklin
0,Michael Teitelman
0,Patrick Oniate
0,Ren Yagawara
0,Ryan Bukovsky
0,Scott Cousens
0,Vincent Fan
0,David Ellis
0,Derek McGraw
0,Evan Steinfield
0,Graham Barton
0,Alan Guzzardo
0,Alex Khater
0,Alex Forde
0,Alexander Vasserman
0,Benjamin Eggler
0,Bryan DelleDonne
0,Chris Senf
b,r,e,a,k
Pittsburgh Stealers,7
 ,Adam Assaad
 ,Alex Mullen
 ,Brandon Rishi
 ,Carter Monroe
 ,Casey Rispoli
 ,Evan Hake
 ,Hassan Saeed
 ,Dylan Staples
 ,Joshua Morton
 ,Kevin Snell
 ,Micah Delattre
 ,Luke Gochis
0,Max Barowski
0,Peter Zaccardi
0,Reid Duncan
0,Spencer Matonis
0,Steven Mogielski
0,Thomas Hansen
0,Wyatt Krisky
0,Wyatt Brooks
0,Lucas Jones
0,Eliot Duncan
0,Ethan Landis
0,Jackson Vlcek
0,Jackson Trone
0,Joe Molder
0,Connor Dickey
0,Alexander  Pierce
0,Andrew Gardner
0,Ben Zhu
b,r,e,a,k
John Doe,8
0,Andre Garcia
0,Austin Pelli
0,Chad Rahtz
0,Clifford Ressel
0,Daniel Slesinski
0,Dusty Rhodes
0,Dylan Deshler
0,Egburonu Uduka
0,James Correnti
0,James Lenox
0,John Recchia
0,Jonathan Phillips
0,Joshua  Krause
0,Justin Fang
0,Leif Hansen
0,Quang Le
0,Robert Silipigni
0,Ryan Coneway
0,Thomas Richards
0,Tyler Byrum
0,Vikas Vannappagari
0,Zachary Hall
0,Zachary Marks
0,Nicholas Roller
17,Matthew Sexton
42,Nick Rinehart
b,r,e,a,k
Ballston Booya,28
0,Amir Devine
0,Ashan Kiridena
0,Chris Mascis
0,Christopher Lopez
0,Christopher Bond
0,Christopher Hahn
0,Geoffrey Cater
0,Jake Nemiroff
0,Joshua Zinger
0,Kiran Devine
0,Luca Christiansen
0,Markus Wolf
0,Mason Johnson
0,Michael Lesmez
0,Phineas Ulmishek-Anderson
0,Richard Boyle
0,Ryan Kelly
0,Skye Grim
0,Will Lefever
0,Wilson Matsuo
b,r,e,a,k
Deepfake,15
 ,Matthew Sheehan
0,Nelson Liu
0,Philip (David) Atwood
0,Raphael Rosen
0,Ryan Schaben
0,Sophie Krichevsky
0,Stephen Meagher
0,William Jaffe
0,Zaj Vidal-Burgie
0,Caleb Kaufman
0,Edward  Wong
0,Emmanuel Abayev
0,Han Zhang
0,Jack Monness
0,Jason Zhou
0,Ken Wei Tan
0,Leon Tan
0,Matthew Chin
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Redwolves,Winc City Fog of War,13,7,"08/06/2022, 15:10",Pool A
Magma Bears,Chimney,12,11,"08/06/2022, 15:10",Pool A
Redwolves,Chimney,13,6,"08/06/2022, 16:50",Pool A
Magma Bears,Winc City Fog of War,10,8,"08/06/2022, 16:50",Pool A
Redwolves,Magma Bears,13,6,"08/06/2022, 18:30",Pool A
Winc City Fog of War,Chimney,13,8,"08/06/2022, 18:30",Pool A
pool,Pool B
Brickhouse,Hazard,13,7,"08/06/2022, 15:10",Pool B
Red Tide,Richmond Floodwall,13,6,"08/06/2022, 15:10",Pool B
Brickhouse,Richmond Floodwall,13,4,"08/06/2022, 16:50",Pool B
Red Tide,Hazard,13,6,"08/06/2022, 16:50",Pool B
Brickhouse,Red Tide,9,11,"08/06/2022, 18:30",Pool B
Hazard,Richmond Floodwall,12,7,"08/06/2022, 18:30",Pool B
pool,Pool C
Rumspringa,Spring Break '93,13,7,"08/06/2022, 15:10",Pool C
Big Wrench,Rebels,13,2,"08/06/2022, 15:10",Pool C
Rumspringa,Rebels,13,5,"08/06/2022, 16:50",Pool C
Big Wrench,Spring Break '93,13,6,"08/06/2022, 16:50",Pool C
Rumspringa,Big Wrench,10,13,"08/06/2022, 18:30",Pool C
Spring Break '93,Rebels,11,9,"08/06/2022, 18:30",Pool C
pool,Pool D
Blueprint,Town Hall Stars,13,4,"08/06/2022, 15:10",Pool D
SUPA FC,Queen City Kings,13,6,"08/06/2022, 15:10",Pool D
Blueprint,Queen City Kings,13,1,"08/06/2022, 16:50",Pool D
SUPA FC,Town Hall Stars,10,6,"08/06/2022, 16:50",Pool D
Blueprint,SUPA FC,13,6,"08/06/2022, 18:30",Pool D
Town Hall Stars,Queen City Kings,13,4,"08/06/2022, 18:30",Pool D
pool,Pool E
Oakgrove Boys,MOB Ultimate,13,6,"08/06/2022, 15:10",Pool E
Helots,JAWN,10,7,"08/06/2022, 15:10",Pool E
Oakgrove Boys,JAWN,13,6,"08/06/2022, 16:50",Pool E
Helots,MOB Ultimate,10,6,"08/06/2022, 16:50",Pool E
Oakgrove Boys,Helots,11,8,"08/06/2022, 18:30",Pool E
MOB Ultimate,JAWN,9,13,"08/06/2022, 18:30",Pool E
pool,Pool F
Colt,BAG,4,13,"08/06/2022, 15:10",Pool F
Bomb Squad,Adelphos,12,5,"08/06/2022, 15:10",Pool F
Colt,Adelphos,10,6,"08/06/2022, 16:50",Pool F
Bomb Squad,BAG,8,9,"08/06/2022, 16:50",Pool F
Colt,Bomb Squad,13,7,"08/06/2022, 18:30",Pool F
BAG,Adelphos,12,3,"08/06/2022, 18:30",Pool F
pool,Pool G
Pittsburgh Stealers,Deepfake,13,2,"08/06/2022, 15:10",Pool G
John Doe,Ballston Booya,13,9,"08/06/2022, 15:10",Pool G
Pittsburgh Stealers,Ballston Booya,13,10,"08/06/2022, 16:50",Pool G
John Doe,Deepfake,13,5,"08/06/2022, 16:50",Pool G
Pittsburgh Stealers,John Doe,13,6,"08/06/2022, 18:30",Pool G
Deepfake,Ballston Booya,6,13,"08/06/2022, 18:30",Pool G
b,r,e,a,k
clusters,Sunday Bracket Play Q
cluster,Sunday Quarters
Redwolves,Brickhouse,13,7,"08/07/2022, 11:50",
Big Wrench,BAG,5,9,"08/07/2022, 11:50",
Blueprint,Oakgrove Boys,11,10,"08/07/2022, 11:50",
Red Tide,Pittsburgh Stealers,12,9,"08/07/2022, 11:50",
Magma Bears,Ballston Booya,12,9,"08/07/2022, 11:50",
Rumspringa,Colt,12,8,"08/07/2022, 11:50",
SUPA FC,Helots,4,13,"08/07/2022, 11:50",
Bomb Squad,John Doe,9,8,"08/07/2022, 11:50",
Winc City Fog of War,Adelphos,7,9,"08/07/2022, 11:50",
Spring Break '93,Chimney,8,13,"08/07/2022, 11:50",
Town Hall Stars,JAWN,8,13,"08/07/2022, 11:50",
Hazard,MOB Ultimate,11,9,"08/07/2022, 11:50",
b,r,e,a,k
brackets,Sunday Bracket Play S&F
bracket,Championship Bracket
Redwolves,Blueprint,6,13,"08/07/2022, 15:10",Championship Finals
Redwolves,BAG,13,5,"08/07/2022, 13:30",Championship Semis
Blueprint,Red Tide,12,9,"08/07/2022, 13:30",Championship Semis
bracket,3rd Place
BAG,Red Tide,1,0,"08/07/2022, 15:10",3rd Place Finals
bracket,5th Place Bracket
Big Wrench,Oakgrove Boys,9,8,"08/07/2022, 15:10",5th Place Finals
Brickhouse,Big Wrench,3,9,"08/07/2022, 13:30",5th Place Semis
Oakgrove Boys,Pittsburgh Stealers,13,10,"08/07/2022, 13:30",5th Place Semis
bracket,7th Place
Brickhouse,Pittsburgh Stealers,4,5,"08/07/2022, 15:10",7th Place Finals
bracket,9th Place Bracket
Rumspringa,Helots,12,6,"08/07/2022, 15:10",9th Place Finals
Magma Bears,Rumspringa,8,12,"08/07/2022, 13:30",9th Place Semis
Helots,Bomb Squad,9,8,"08/07/2022, 13:30",9th Place Semis
bracket,11th Place
Magma Bears,Bomb Squad,11,7,"08/07/2022, 15:10",11th Place Finals
bracket,13th Place Bracket
Colt,John Doe,8,9,"08/07/2022, 15:10",13th Place Finals
Ballston Booya,Colt,8,12,"08/07/2022, 13:30",13th Place Semis
SUPA FC,John Doe,7,13,"08/07/2022, 13:30",13th Place Semis
bracket,15th Place
Ballston Booya,SUPA FC,13,7,"08/07/2022, 15:10",15th Place Finals
bracket,17th Place Bracket
Chimney,Hazard,7,5,"08/07/2022, 15:10",17th Place Finals
Adelphos,Chimney,7,11,"08/07/2022, 13:30",17th Place Semis
JAWN,Hazard,7,8,"08/07/2022, 13:30",17th Place Semis
bracket,19th Place
Adelphos,JAWN,7,8,"08/07/2022, 15:10",19th Place Finals
bracket,21st Place Bracket
Winc City Fog of War,Town Hall Stars,7,11,"08/07/2022, 15:10",21st Place Finals
Winc City Fog of War,Spring Break '93,11,8,"08/07/2022, 13:30",21st Place Semis
Town Hall Stars,MOB Ultimate,11,3,"08/07/2022, 13:30",21st Place Semis
bracket,23rd Place
Spring Break '93,MOB Ultimate,7,12,"08/07/2022, 15:10",23rd Place Finals
b,r,e,a,k
clusters,Sunday 25th Place Round Robin
cluster,Sunday 25th Place Round Robin
Richmond Floodwall,Queen City Kings,8,6,"08/07/2022, 11:50",
Rebels,Deepfake,12,4,"08/07/2022, 11:50",
Richmond Floodwall,Deepfake,11,12,"08/07/2022, 13:30",
Rebels,Queen City Kings,8,10,"08/07/2022, 13:30",
Richmond Floodwall,Rebels,6,9,"08/07/2022, 15:10",
b,r,e,a,k
