Easterns 2022,College - Men ,2,4,2022
Little River,SC,2022-04-02,2022-04-03
https://play.usaultimate.org/events/Easterns-2022/schedule/Men/CollegeMen/
Brown,1
10,Sam Pieper
11,Mark Nelson
14,Simi Fadiran
15,Ethan Barsness
18,Nico Ranabhat
19,Simon Brooks
22,Luke  Youngdahl
24,Stefan Caldararu
25,Andrew Paulson
26,Saul Diaz
28,Noah Nicol
30,Kale Johnson
40,Thomas Walker
44,Derrick Houmey
51,Matthew Grinde
64,Joe Leibforth
66,Ted Schewe
94,Pieran Robert
99,Zane Stein
b,r,e,a,k
North Carolina,2
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
coaches,Matt Gouchoe-Hanas
 ,Andrew Li
 ,Clell Hamm
 ,Jason Manning
 ,Kevin Pignone
 ,Liam Searles-Bohs
 ,Jonathan Su
 ,Max Goetz
 ,Seth Lee
 ,Walker Garrett
0,Thomas Harley
0,Eli Fried
10,Ben Dameron
11,Luke Duan
13,Jack McCleary
14,Bodhi Harmony
15,Rutledge Smith
17,Wesley Britt
19,Frederick Huang
20,Thomas Williams
21,Josh Singleton
25,Jayden Feagans
50,Matthew McKnight
52,Bailey Roberts
61,Brian Trowbridge
80,John McDonnell
87,Aaron Wei
88,Henry Chen
b,r,e,a,k
Maryland,15
teamInfo,Maryland Ultimate,"College Park, Maryland",http://umd.orgsync.com/org/ultimate,,https://twitter.com/umdmensultimate
00,Aaron Lavitsky
00,Aaron Knishkowy
00,Alexander Kerr
00,Andrew Vuong
00,Benjamin Roberts
00,Colin McLaughlin
00,Daniel Niezelski
00,Daniel Friedman-Brown
00,Daniel Oxman
00,David Zimmerman
00,Daylan Sears
00,Frederick Farah
00,Jack Hermann
00,Jacob Mannes
00,Jacob Schwartz
00,Jacob  Sheedy
00,Jeremy Hess
00,Jonathan Gong
00,Joshua Young
00,Kaiwen Song
00,Kevin Shen
00,Koushik Thiyagarajan
00,Luke Pascale
00,Matvey Stepanov
00,Michael Reeve
00,Michael He
00,Miles Grovic
00,Ryan Low
00,Sam Klueter
00,Samar Seth
00,Theodore Kerr
00,Thomas Maloney
00,Vincent Zhong
b,r,e,a,k
Tufts,10
teamInfo,Elephant Men,"Medford, Massachusetts",http://www.tuftsmensultimate.org/,,https://twitter.com/tufts_emen
coaches,Gene Buonaccorsi
 ,Samson Bienstock
0,Samuel Saron
0,Shiv Khanna
0,Talyx Hochstein
0,Toshihiro Nagase
0,William Campbell
0,Zach Singer
0,Zachary Burpee
0,Zak Rizvi
0,Caleb Seamon
0,Colin Mclaughlin
0,Conrad Walsh
0,Elias Benghiat
0,Ethan Schreiber
0,Ethan Cardi
0,Jerry  Wang
0,Matthew Shapiro
0,Michael Shriver
0,Oscar Graff
0,Qijin Chau
0,Roman Short
0,Ryan Cohen
0,Ryan Kadet
0,Sachin Zachariah
0,Sammy Muench
52,Benjamin Kass-Mullet
b,r,e,a,k
Texas,7
teamInfo,TUFF,"Austin, Texas",https://texasultimatefrisbee.weebly.com/,https://www.facebook.com/TexasUltimate,https://twitter.com/texas__tuff/
 ,Calvin Nguyen
00,Jacob Radack
00,Jake Worthington
00,Michael Stinger
00,Noah Powell
00,Peter Ngo
00,Ryan Reinhart
00,Saad Majeed
00,Aaron Barcio
00,Brandon Lemens
00,Cade White
00,Christopher Cassella
00,Elliot Lee
00,Gavin Babbitt
00,Jackson Arnold
00,Zachary Slayton
01,Kolbe Bauer
03,Saaketh Palchuru
06,Jacob Sames
07,Christopher Layden
25,John Clyde
35,Matt Chambers
36,Aly Hirani
b,r,e,a,k
Temple,18
teamInfo,Alert,"Philadelphia, Pennsylvania",,,https://twitter.com/templeultimatem
coaches,Brett Wall
0,Adam Weingast
0,Andrew Seibert
0,Avery Campbell
0,Brad Predmore
0,Brian Klee
0,Cole Salomon
0,Dylan Smith
0,Eli Greenstein
0,Francesco Russo
0,Jack Maynard
0,Jacob Prunes
0,Jeremy Eland
0,Joshua Heacock
0,Nate Little
0,Patrick Kelly
0,Peter  Gerdt
0,Sunvy  Yalamarthy
0,TJ Hamilton
0,Vanshil Thakkar
0,Wilson Dodds
b,r,e,a,k
North Carolina State,11
teamInfo,NC State Alpha,"Raleigh, North Carolina",,https://www.facebook.com/NCSUalpha/,https://twitter.com/ncsualpha
0,Alexander Lerner
0,Alexander Tayyeb
0,Allen MacMillan
0,Ben Hollrah
0,Blake Stratton
0,Brennan Kramling
0,Chris Cole
0,Christopher Nelson
0,Cole Ragsdale
0,Daniel Ferriter
0,Dylan Hawkins
0,Ethan McKee
0,Feliks Ciesielski
0,Hiatt von Alten
0,Isaac King
0,Jacob Green 
0,Jacob Levine
0,John Bradley
0,Justin-Cooper Williams
0,Matthew Klas
0,Matti Lee
0,Nathan Khot
0,Nico Field
0,Phillip Sellers
0,Robert McAllister
0,Sean Wiles
0,Seiji Kakefuda
0,Suhas Madiraju
0,Will Scudder
0,Zac Kuelz
17,John Laney
21,Trevor Lynch
29,Paul James
b,r,e,a,k
Carleton College,14
teamInfo,CUT,"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
 ,Anders Shenholm
 ,Edwin Driver
 ,Michael Walsh
 ,Noah Hanson
 ,Robert Breyer
 ,Tim Jensen
12,Sam McCarty
13,Benjamin Preiss
29,Jace Dean
47,Sawyer  Blair
55,Leo Jordan
71,Horace  Fusco
77,William Fleming
80,Conor Babcock O'Neill
81,Eric Wright
82,Will Troop
83,Colin Brown
84,Clay Haddock
89,Leo Xiao
92,Benjamin Scott-Lewis
96,Cullen Baker
97,Adam Rothman
98,Bobby Eleveld
99,Daniel Chen
b,r,e,a,k
Northeastern,6
teamInfo,Huskies,"Boston, Massachusetts",http://www.ultimate.neu.edu/men,https://www.facebook.com/NUMensUltimate,https://twitter.com/NUMensUltimate
coaches,Dan Hourigan,Angela Zhu
 ,Alexander Abrams
 ,Allen Shen
 ,Andrew Pollis
 ,Colton Sy
 ,Ethan Pusch
0,Peter Boerth
10,Ben Chamis
12,Ramsey Elder
14,Ben Field
16,Colin Leonelli
17,Owen Cordes
20,Zach Wolfe
21,Chris Yang
23,Thomas Griffin
27,Simon Carapella
29,Andrew Nee
32,Gus Norrbom
33,Brendan King
40,Alex Storrer
42,Ethan Cook 
43,Evan McLean
61,Steven Tanguilig
64,Benjamin Centracchio
85,Gabe Vordick
b,r,e,a,k
Cal Poly-SLO,3
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Cody Mills
 ,Matt Miller
0,Peter Lenz
0,Rafael Castillo
0,James Whealan
0,Joseph Thachet
0,Keaton Orser
0,Alex Nelson
0,Anton Orme
0,Bailey Prochaska
0,Carson Crouch
0,Charles Camilli
0,Dodger Middlebrook
0,Emmet Holton
0,Evan Stock
0,Garrett Bush
0,Kyle Lew
0,Leo Lauritzen
0,Sander Fogarty
0,Seamus Robinson
23,Jake Thorne
27,Kenrick Koo
31,Samuel Wedegaertner
42,Keaton Bates
81,Calvin Brown
b,r,e,a,k
Virginia Tech,19
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
 ,Colin Dunn
0,Curtis Kim
0,Daniel Bredehorst
0,Daniel Gribbin
0,David Slade
0,Eli Martin
0,Elliot Limanek
0,Jacob Slade
0,Jacob Schneble
0,John Durham
0,Andrew Holladay
0,Andrew Bickford
0,Christopher Lopez
0,Kiran Devine
0,Marius Orentas
0,Mason Johnson
0,Owen Walkowicz
0,Spencer Paragas
0,Will Reider
0,Wilson Matsuo
0,Max Moore
10,Adam Manes
23,Jon Tiernan
51,Chris Mascis
90,Michael Snead
94,Matthew Malito
b,r,e,a,k
Pittsburgh,4
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",pittultimate.org,,@PittUltimateM
coaches,Christie Lawry,Nick Kaczmarek
0,Adam Ricci
0,Aiden Landis
0,Christopher Ng
0,Dan Nichols
0,Dillon Garrett
0,Harry McNamara
0,Henry Ing
0,Jacky Chung
0,Kevin Tsui
0,Marcel Oliart
0,Maxwell Olesen
0,Michael Sodini
0,Myles Cooper
0,Nicky Troilo
0,Peter Kotz
0,Roger Zeng
0,Ryan Moore
0,Scott Heyman
0,Timothy  Chango Gasset 
0,Tristan Yarter
0,Will Hoffenkamp
0,Will Helenski
0,William Litchholt
0,William McGlynn
b,r,e,a,k
Georgia,12
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Elizabeth Leon,Sam Batson
 ,Aidan Downey
 ,Drew Di Francesco
 ,Jared Bennett
0,Jeremy Sanders
0,Matthew Fazzalaro
0,Isaac Huntington
0,Jack Stephenson
0,Jack Krugler
0,Jacob Peach
0,Jacob Croskey
0,Jake Powell
0,Adam Bell
0,Adam Miller
0,Carter Neuman
0,Carter Rathur
0,Cole Chanler
0,Cole Krucke
0,Matthew Davidorf
0,Ryan Flick
0,Sam Rose
0,Sam Merritt
0,Zach Brennan
11,Matthew Cook
21,Coleman Tappero
27,Hayden Austin-Knab
31,Owen Mork
44,Ryan Hill
b,r,e,a,k
California,5
teamInfo,California-Berkeley,"Berkeley, California",,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate?lang=en
coaches,Daniel Silverstein
 ,Drew Palmer
 ,Evan Kandell
 ,Kushal Khangaonkar
 ,Samuel Laur
0,Robert McCabe
0,Zachary Fletcher
0,Lucas Intagliata
0,Gavin May
0,Hiro Schmidt
0,Julian Baxandall
0,Emery Goulet
0,Eric Johnson
0,Brendan White
0,Camden Mah
0,Dexter Clyburn
16,Andrew Roy
20,Owen Zuidema
28,Donovan Mierlak
29,Vincent Su
32,Evan Magsig
87,Max Williams
88,Nathaniel Burrill
99,Vikram Deepak
b,r,e,a,k
Illinois,13
teamInfo,Rise,"Champaign, Illinois",http://www.illiniultimate.com/#/home,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/Illinois_Rise
 ,Kai Tang
 ,Patrick Driscoll
 ,Timothy Sheehan
 ,Tyler Smiles
0,Eli Artemakis
0,Emil Weisfeld
0,Evan Benjamin
11,Joey Kennedy
13,JT Kirages
19,Dave Kiaupa
20,Evan Driscoll
25,Simon Perez
27,Jack Joshi
28,Andy Kennedy
33,Trevor Scott
42,Kastan Day
43,David Yifan Yao
44,Daniel Sawai
49,Nathan Zock
51,Michael Iarrapino
52,John Wolff
68,Kai Bowen
70,Kevin Zhou
87,Michael Musial
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Brown,North Carolina-Wilmington,13,8,"04/02/2022, 09:00",Pool A,Final
Ohio State,Wisconsin,12,11,"04/02/2022, 09:00",Pool A,Final
Brown,Ohio State,13,7,"04/02/2022, 10:45",Pool A,Final
Michigan,Wisconsin,11,9,"04/02/2022, 10:45",Pool A,Final
Wisconsin,North Carolina-Wilmington,10,12,"04/02/2022, 12:30",Pool A,Final
Michigan,Ohio State,12,9,"04/02/2022, 12:30",Pool A,Final
Brown,Wisconsin,13,8,"04/02/2022, 14:15",Pool A,Final
Michigan,North Carolina-Wilmington,12,11,"04/02/2022, 14:15",Pool A,Final
Brown,Michigan,13,8,"04/02/2022, 16:00",Pool A,Final
Ohio State,North Carolina-Wilmington,12,10,"04/02/2022, 16:00",Pool A,Final
pool,Pool B
North Carolina,Temple,13,6,"04/02/2022, 09:00",Pool B,Final
Tufts,Maryland,11,12,"04/02/2022, 09:00",Pool B,Final
North Carolina,Tufts,13,7,"04/02/2022, 10:45",Pool B,Final
Texas,Maryland,11,12,"04/02/2022, 10:45",Pool B,Final
Maryland,Temple,12,7,"04/02/2022, 12:30",Pool B,Final
Texas,Tufts,6,10,"04/02/2022, 12:30",Pool B,Final
North Carolina,Maryland,13,6,"04/02/2022, 14:15",Pool B,Final
Texas,Temple,12,9,"04/02/2022, 14:15",Pool B,Final
North Carolina,Texas,13,8,"04/02/2022, 16:00",Pool B,Final
Tufts,Temple,13,9,"04/02/2022, 16:00",Pool B,Final
pool,Pool C
Cal Poly-SLO,Virginia Tech,13,10,"04/02/2022, 09:00",Pool C,Final
North Carolina State,Carleton College,11,8,"04/02/2022, 09:00",Pool C,Final
Cal Poly-SLO,North Carolina State,11,13,"04/02/2022, 10:45",Pool C,Final
Northeastern,Carleton College,8,13,"04/02/2022, 10:45",Pool C,Final
Carleton College,Virginia Tech,12,8,"04/02/2022, 12:30",Pool C,Final
Northeastern,North Carolina State,12,11,"04/02/2022, 12:30",Pool C,Final
Cal Poly-SLO,Carleton College,9,12,"04/02/2022, 14:15",Pool C,Final
Northeastern,Virginia Tech,13,5,"04/02/2022, 14:15",Pool C,Final
Cal Poly-SLO,Northeastern,9,13,"04/02/2022, 16:00",Pool C,Final
North Carolina State,Virginia Tech,13,9,"04/02/2022, 16:00",Pool C,Final
pool,Pool D
Pittsburgh,Georgia,11,9,"04/01/2022, 10:00",Pool D,Final
California,Illinois,15,11,"04/01/2022, 10:00",Pool D,Final
Pittsburgh,Illinois,15,7,"04/01/2022, 12:00",Pool D,Final
California,Georgia,9,15,"04/01/2022, 12:00",Pool D,Final
Pittsburgh,California,13,10,"04/01/2022, 14:00",Pool D,Final
Georgia,Illinois,15,11,"04/01/2022, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Brown,Georgia,15,13,"04/03/2022, 13:00",Finals,Final
Brown,Pittsburgh,15,10,"04/03/2022, 11:00",Semifinals,Final
Georgia,North Carolina,15,12,"04/03/2022, 11:00",Semifinals,Final
Brown,Maryland,15,11,"04/03/2022, 09:00",Quarterfinals,Final
Carleton College,Pittsburgh,6,15,"04/03/2022, 09:00",Quarterfinals,Final
North Carolina State,Georgia,8,15,"04/03/2022, 09:00",Quarterfinals,Final
Michigan,North Carolina,10,14,"04/03/2022, 09:00",Quarterfinals,Final
bracket,3rd Place
Pittsburgh,North Carolina,10,11,"04/03/2022, 13:00",3rd Place,Final
bracket,5th Place
Maryland,North Carolina State,1,0,"04/03/2022, 13:00",5th Place,Final
Maryland,Carleton College,10,9,"04/03/2022, 11:00",5th Place Semis,Final
North Carolina State,Temple,13,12,"04/03/2022, 11:00",5th Place Semis,Final
bracket,7th Place
Temple,Carleton College,0,0,"04/03/2022, 13:00",7th Place,Cancelled
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
Cal Poly-SLO,California,14,9,"04/03/2022, 13:00",9th Place,Final
Ohio State,Cal Poly-SLO,11,13,"04/03/2022, 11:00",9th Place Semis,Final
Northeastern,California,12,14,"04/03/2022, 11:00",9th Place Semis,Final
Ohio State,Texas,12,9,"04/03/2022, 09:00",9th Place Quarters,Final
Cal Poly-SLO,Tufts,14,9,"04/03/2022, 09:00",9th Place Quarters,Final
Northeastern,Illinois,15,10,"04/03/2022, 09:00",9th Place Quarters,Final
North Carolina-Wilmington,California,10,13,"04/03/2022, 09:00",9th Place Quarters,Final
bracket,11th Place
Northeastern,Ohio State,11,12,"04/03/2022, 13:00",11th Place,Final
bracket,13th Place
Tufts,Illinois,15,7,"04/03/2022, 13:00",13th Place,Final
North Carolina-Wilmington,Tufts,10,14,"04/03/2022, 11:00",13th Place Semis,Final
Illinois,Texas,15,13,"04/03/2022, 11:00",13th Place Semis,Final
bracket,15th Place
Texas,North Carolina-Wilmington,0,1,"04/03/2022, 13:00",15th Place,Final
b,r,e,a,k
pools,Sunday Pool Play
pool,Pool E
Temple,Virginia Tech,14,9,"04/03/2022, 09:00",Pool E,Final
Wisconsin,Virginia Tech,15,9,"04/03/2022, 11:00",Pool E,Final
Wisconsin,Temple,0,0,"04/03/2022, 13:00",Pool E,Cancelled
b,r,e,a,k
