Easterns Qualifiers 2022,College - Men ,26,2,2022
Little River,SC,2022-02-26,2022-02-27
https://play.usaultimate.org/events/Easterns-Qualifiers-2022/schedule/Men/CollegeMen/
Auburn,1
James Madison,7
teamInfo,Hellfish,"Harrisonburg, Virginia",jmu.edu,,
0,Andrew Farquharson
0,Benjamin Barnett
0,Byron Gilbreath
0,Charles Gaylord
0,Christopher King
0,Harrison Wolfson
0,Jackson Cooper
0,Jonathan Nahmias
0,Kyle Anderson
0,Matt LaBar
0,Matt Krauss
0,Naram Alhasani
0,Patrick Vorathiankul
0,Ryan McGowan
0,Ryan Endries
26,Tommaso Piccorossi
b,r,e,a,k
Carnegie Mellon,10
teamInfo,Mr. Yuk,"Pittsburgh, Pennsylvania",https://www.andrew.cmu.edu/user/ultimate/yuk/,,https://twitter.com/mryukultimate
 ,Alain Saal-Dalma
0,Brendon Gu
0,Jackson Trone
0,Leon Lai
0,Lucas Storm
0,Mahith Edula
0,Myles Winston
0,Peter Zaccardi
0,Adam Assaad
15,Nick Amano
24,Wyatt Brooks
28,Brandon Rishi
29,JJ McMonigal
b,r,e,a,k
William & Mary,3
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Aidan O'Connell
0,Austin Alvarado
0,Benjamin Greenberg
0,Benjamin O'Neill
0,Braxton Breed
0,Bryce Whitney
0,Charles Tai
0,Chris Mize 
0,David Bishop
0,David Lewis
0,Eitan Gerstle
0,Ethan Dewald
0,Ethan Ruh
0,George Hoak
0,Griffin Must
0,Harrison Littel
0,Jack Hayes
0,Jacques Worth
0,Joseph Amsbary
0,Kent Grantz
0,Langston Lee
0,Leif Schuster
0,Lucas Reichert
0,Mark Edwards
0,Myan Indugula
0,Nicholas Monteferrante
0,Patrick Schroeder
0,Ryan Anderson
0,Sam Brothers
0,Theodore Bennett
0,Zackery Johnson
b,r,e,a,k
Virginia,11
teamInfo,Night Train,"Charlottesville, Virginia",,,https://twitter.com/nighttrainatuva
coaches,Franklin Ahrens
0,Jared Hart
01,Nathan Zeichner
02,Jacob Dillard
03,Asher Rosen
04,Andrew Sharpe
07,Gregory Cho
09,Vivaswath Naini
10,Hayden Ratliff
11,Nick Robinson
12,Joseph Burton
14,Aidan Sheahan
15,Kevin Chung
16,Rohan van Heyningen
17,Bart Turney
18,Jack Vietmeyer 
19,Akiva Dienstfrey
21,Nathaniel Stevenson
24,Christopher Letai
25,Ben Kuster
27,Joe Spaeth
30,Amish Madhav
31,Alex Turney
32,Andrew London
33,Owen Solomon
34,Ganesh Nanduru
44,Stephen Dolan
47,Akshay Ganta
52,Zeya Min-Fink
90,Brendan Selby
b,r,e,a,k
Alabama,6
teamInfo,Yellow Hammer,"Tuscaloosa, Alabama",alabamaultimate.wordpress.com,https://www.facebook.com/AlabamaUltimate/,twitter.com/bama_ultimate
0,Addison Wirt
0,Aidan Joyce
0,Ben Anderson
0,Cannon Kvicala
0,Christopher Venturini
0,Devin Kelly
0,Dylan Doherty
0,Foster Palmer 
0,Garrett Murphy
0,Grant Kern
0,Jacob Ham
0,Jeffrey Martin
0,John Norris
0,Josh Van Cleave
0,Joshua Lewis
0,LaNolan Billingsley
0,Nace Allen
0,Scott Landers
0,Steven Ladenberger
0,Thomas Orchanian
0,Trip Crowley
24,Noel Sarver
b,r,e,a,k
Harvard,14
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~disc/,https://www.facebook.com/HarvardUltimate,https://twitter.com/HarvardRedLine
coaches,Chris Bartoli
0,Amy Stoddard
0,Callum Diak
0,Daniel Koenig
0,Elijah Shell
0,Felix Perez Diener
0,Julian Li
0,Matt Pauly
0,Michael Chen
0,Mikel  Davies
02,Adam Park
27,Jordan Lee
b,r,e,a,k
Duke,12
teamInfo,Brimstone,"Durham, North Carolina",,https://www.facebook.com/dukeBrimstoneUltimate/,https://twitter.com/Duke_Brimstone
coaches,Clint McSherry
 ,Albert Yuan
 ,Zachary Burd
0,Alex Whang
0,Chad Kalil
0,Connor Flannery
0,Jack Duhon
0,James Boyd
0,Jerry He
0,John Lee
0,Jonathan Yonke
0,Matthew Herbst
0,Max Fleischer
0,Nicholas Bayer
0,Nick Bos
0,Nolan Prince
0,Ryan Mecca
0,Ryan Zhu
0,Seth Weaver
0,Shaan Narayan
0,Xander Wilcox
24,Matthew Bloom
25,Matthew Wang
38,Alex Zhuang
75,Jason Tran
b,r,e,a,k
Indiana,5
teamInfo,HoosierMama?s,"Bloomington, Indiana",hoosiermamas.org,https://www.facebook.com/HoosierMamas/,https://twitter.com/Hoosier_Mamas?lang=en
 ,Adrian Golay
 ,Andrew Vetne
 ,Lucas Coniaris
0,Nicholas Buoniconti
0,Rowland Sorrick
0,Ryan McDonough
0,Will Quigley
0,Aiden Kern-Kensler
0,Cameron Thatcher
0,Collin Rassel
0,David Woods
0,Achyuta Murli
0,Jack Galle
0,JaJuan Sanders
0,Liam Mulligan
12,Jonathon Mangan
13,Gage Koon
14,Stephen Conner Henderson
18,AJ  Humbert
21,Jeremy Keusch 
33,Andrew Stewart
41,Ethan Benenson
42,Yaakov (Koby) Davis
81,Jacob Fry
b,r,e,a,k
Georgia Tech,13
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.github.io/,https://www.instagram.com/gt_tribe/,https://twitter.com/gttribe
coaches,Andrew Chung,Cate Woodhurst
 ,Carter Tegen
03,Reid Barry
05,Neil Barry
06,Raymond Jia
07,Christopher Zuo
08,Victor Pria
11,Daniel Palladino 
13,Nathan Adair
14,Alden Rosakranse
15,Ryan Longley
16,Kevin Fan
18,Nicholas Huffman
19,Sam Orth
22,Owen Cardwell
23,Christopher Maclin
24,Matthew Mills
26,Keller Smith
28,Eric Shen
37,Owen Hammond-Lee
42,Carl Peterson
76,Jeffrey Minowa
77,Flavius Penescu
88,Peter Gardner
b,r,e,a,k
Virginia Tech,4
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Christopher Lopez
0,Curtis Kim
0,Daniel Bredehorst
0,David Slade
0,Elliot Limanek
0,Jacob Slade
0,John Durham
0,Kiran Devine
0,Marius Orentas
0,Mason Johnson
0,Andrew Holladay
0,Andrew Bickford
0,Owen Walkowicz
0,Spencer Paragas
0,Wilson Matsuo
23,Jon Tiernan
51,Chris Mascis
90,Michael Snead
94,Matthew Malito
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Auburn,North Carolina-Charlotte,14,11,"02/26/2022, 09:00",Pool A,Final
Cincinnati,Clemson,15,6,"02/26/2022, 09:00",Pool A,Final
Auburn,Clemson,15,10,"02/26/2022, 11:00",Pool A,Final
Cincinnati,North Carolina-Charlotte,11,15,"02/26/2022, 11:00",Pool A,Final
Auburn,Cincinnati,15,10,"02/26/2022, 13:00",Pool A,Final
North Carolina-Charlotte,Clemson,15,5,"02/26/2022, 13:00",Pool A,Final
pool,Pool B
Vermont,Carnegie Mellon,15,8,"02/26/2022, 09:00",Pool B,Final
James Madison,South Carolina,14,15,"02/26/2022, 09:00",Pool B,Final
Vermont,South Carolina,15,8,"02/26/2022, 11:00",Pool B,Final
James Madison,Carnegie Mellon,14,13,"02/26/2022, 11:00",Pool B,Final
Vermont,James Madison,15,9,"02/26/2022, 13:00",Pool B,Final
Carnegie Mellon,South Carolina,12,15,"02/26/2022, 13:00",Pool B,Final
pool,Pool C
William & Mary,Virginia,15,10,"02/26/2022, 09:00",Pool C,Final
Alabama,Harvard,13,10,"02/26/2022, 09:00",Pool C,Final
William & Mary,Harvard,15,11,"02/26/2022, 11:00",Pool C,Final
Alabama,Virginia,13,14,"02/26/2022, 11:00",Pool C,Final
William & Mary,Alabama,14,7,"02/26/2022, 13:00",Pool C,Final
Virginia,Harvard,15,12,"02/26/2022, 13:00",Pool C,Final
pool,Pool D
Virginia Tech,Duke,9,15,"02/26/2022, 09:00",Pool D,Final
Indiana,Georgia Tech,14,12,"02/26/2022, 09:00",Pool D,Final
Virginia Tech,Georgia Tech,11,12,"02/26/2022, 11:00",Pool D,Final
Indiana,Duke,11,15,"02/26/2022, 11:00",Pool D,Final
Virginia Tech,Indiana,11,13,"02/26/2022, 13:00",Pool D,Final
Duke,Georgia Tech,14,8,"02/26/2022, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Duke,Vermont,7,15,"02/27/2022, 13:00",Finals,Final
Auburn,Duke,8,15,"02/27/2022, 11:00",Semifinals,Final
William & Mary,Vermont,11,15,"02/27/2022, 11:00",Semifinals,Final
South Carolina,Auburn,12,15,"02/27/2022, 09:00",Quarterfinals,Final
Duke,Virginia,14,11,"02/27/2022, 09:00",Quarterfinals,Final
Cincinnati,William & Mary,9,15,"02/27/2022, 09:00",Quarterfinals,Final
Vermont,North Carolina-Charlotte,15,14,"02/27/2022, 09:00",Quarterfinals,Final
South Carolina,Alabama,13,9,"02/26/2022, 15:00",Prequarters,Final
Virginia,James Madison,15,9,"02/26/2022, 15:00",Prequarters,Final
Cincinnati,Indiana,14,12,"02/26/2022, 15:00",Prequarters,Final
Georgia Tech,North Carolina-Charlotte,10,12,"02/26/2022, 15:00",Prequarters,Final
bracket,3rd Place
William & Mary,Auburn,5,11,"02/27/2022, 13:00",3rd Place,Final
bracket,5th Place
South Carolina,Cincinnati,10,11,"02/27/2022, 13:00",5th Place,Final
South Carolina,North Carolina-Charlotte,13,12,"02/27/2022, 11:00",5th Place Semis,Final
Cincinnati,Virginia,13,12,"02/27/2022, 11:00",5th Place Semis,Final
bracket,7th Place
Virginia,North Carolina-Charlotte,11,5,"02/27/2022, 13:00",7th Place,Final
bracket,9th Place
Georgia Tech,Alabama,13,12,"02/27/2022, 11:00",9th Place,Final
Georgia Tech,James Madison,15,8,"02/27/2022, 09:00",9th Place Semis,Final
Alabama,Indiana,13,12,"02/27/2022, 09:00",9th Place Semis,Final
bracket,11th Place
Indiana,James Madison,10,12,"02/27/2022, 11:00",11th Place,Final
b,r,e,a,k
pools,Sunday Consolation Pool
pool,Pool E
Clemson,Harvard,9,15,"02/27/2022, 09:00",Pool E,Final
Carnegie Mellon,Virginia Tech,15,8,"02/27/2022, 09:00",Pool E,Final
Clemson,Virginia Tech,8,15,"02/27/2022, 11:00",Pool E,Final
Carnegie Mellon,Harvard,13,11,"02/27/2022, 11:00",Pool E,Final
Clemson,Carnegie Mellon,0,0,"02/27/2022, 13:00",Pool E,Cancelled
Harvard,Virginia Tech,14,10,"02/27/2022, 13:00",Pool E,Final
b,r,e,a,k
