2022 Northwest Mixed Regional Championship,Club - Mixed ,24,9,2022
Lacey,WA,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-Northwest-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
BFG,1
0,Lauren Pichard
0,Livia Amorosi
0,Lorenzo Lalimarmo
0,Marlie Somers
0,Meghan Gannon
0,Nathan Narita
0,Peter Frost
0,Ryan Scuderi
0,Samuel Stearns
0,Sarah Hill
0,Stephanie Huang
0,Tess Warner
0,Adam Elder
0,Alexander Zaug
0,Bailey Bonaci
0,Chloe Carothers-Liske
0,Clara Amorosi
0,Connor Dougherty
0,Eric Huynh
0,Goda Tarcijonas
0,Jacqueline Chipkin
0,Jordan Listo
10,Kent Wu
b,r,e,a,k
Seattle Mixtape,2
teamInfo,,"Seattle, Washington",,https://www.facebook.com/206ghettobirds/,https://twitter.com/SeattleMIXtape
0,Alex Nelson
0,Marc Anthony Munoz
01,Kelly Johnson
02,Kieran Kelly
03,Cam Bailey
04,Kat Songer
07,Frances Gellert
08,Kahyee Fong
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
13,Gabriel Ryan
16,Zach Sabin
17,Aimie Kawai
18,Husayn Carnegie
19,Alexa Romersa
21,Jesse Bolton
22,Evan Klein
23,William Katz
27,Dominic Cavalero
58,Paige Kercher
60,Bradley Houser
71,Arianne Lozano
86,Denise Blohowiak
90,Qxhna Titcomb
99,Khalif El-Salaam
b,r,e,a,k
Sego,12
teamInfo,,"Salt Lake City, Utah",,,
 ,Chanel van Ginkel
 ,Logan Radke
 ,Taylor Schmidt
0,Sophia Dellapenta
0,Ben Guthrie
0,Casstique Williams
01,Cullen Landry
03,Taylor Williams
07,Ben Jones
09,Dominic Camperchioli
10,Jacob Jahnke
11,Alex Walker
12,Hayley Devine
16,Caleb Guziak
18,Zachary Nebeker
21,John Kessel
22,Eleanor Wachtel
23,Susan Truong
24,Juliana Landis
25,Aimee Gerold
31,Jenni Ladutko
34,Scott Groux
66,Kaylin Durmick
88,Brad Ellis
89,Alejandro Palomino
90,Liz Bunderson
b,r,e,a,k
Squid Inc.,13
teamInfo,,"Bellingham, Washington",,,
 ,Gabrielle Perl
 ,Paul Goins
 ,Ruben Keane
 ,Zach Schneider
0,Scott Maxa
0,GRACE PIERSTORFF
0,Julia Downing
0,Margo Heffron
0,Neal Schobbe
0,Niko Butt
0,Ali Jensen
0,Brian Roach
0,Brianne Pacey
0,Cameron Houghton
0,Colin Bogar
0,Derrick Hirsch
0,Elizabeth Chiou
0,Erik Bell
15,Delaney Adams
33,Quinn Edgerton
42,Nolan Stoppel
73,Ruby Volker
77,Emma Lindsay
80,Liam Bateman
93,Abigail Tankersley
b,r,e,a,k
Yard Sale,7
teamInfo,,"Salt Lake City, Utah",,,https://twitter.com/UtahYardSale21
02,Jay Kinzel
03,Holly Magnusson
04,Reily Benton
05,Grayson Rettberg
07,Alec Benton
08,Oscar Brown
09,Dallin Opperman
10,Wes Speight
11,Daniel Bozone
12,Jennie Wainer
13,Deanna Bozone
15,Claire Simpson
16,Ryan Martin
19,Abigail Tauraa
20,Ashley Ludack
21,Erin Vincent
22,Caroline McKee
24,Lily Terpstra
29,Ryan McCready
31,Sean Reischel
33,Anne Jensen
40,Bobby Moyer
44,Tyler Foster
45,Kim Doane
50,Henri de St. Germain
88,Christian Berger
b,r,e,a,k
MOONDOG,3
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
00,Catie Carson
01,Lucia Williams
02,Jake Ralston
03,Casey Brandon
06,Demri Horton
07,Scott Glickman
09,Matt Konen
10,Davis Mossman
11,Kyla Crisp
12,Kari Shelkey
13,Albany Jessop
17,Noah Fisher
18,Ethan Yourd
21,Addie Thompson
22,Liz Grimes
24,Lisa Keller
25,Andrew Shanafelt
26,Sam Hines
29,Zach Baumann
32,Ben Perkel
33,Genesea Meha
34,Tara Santi
39,Tyler Albrethsen
42,Kevin Ryder
55,Tyler Honsinger
88,Emily Grimes
b,r,e,a,k
Hive,9
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
 ,Avery Laliberte
0,Azen Jaffe
0,Blake Murray
0,Colleen Nakanishi
0,Devon Graham
0,Ellen Kalenscher
0,Abby VanLeuven
0,Alexander Vencill
0,Annalise Heuser
0,Hal Robinson
0,Jack Carol
0,Jeremy Randolph-Flagg
0,Kelly Marx
0,Kim Dorr
0,Leo Finley
0,Maddy Wagar
0,Nathan Braun
0,Noah Stuart
0,Rosemarie Terner
0,Samuel Adamson
0,Timothy Wood
0,William Beck
12,Sara Spring
21,Jacob Artz
23,Abbe  Domenick 
32,Emily Hays
b,r,e,a,k
Tricerabass,16
teamInfo,,"Seattle, Washington",,,
 ,Hunter Hill
 ,Austin Roha
0,Sam Harkness
69,Scott Wiggins
69,Serene Hastings
69,Timothy Robinson
69,Veronica Tse
69,Wade Bonney
69,Chandler Nova
69,Chris Cheek
69,Daniella Welsh
69,Danielle Osman
69,Genavie Boots
69,Gordon Meyer
69,Jace Barley
69,Joseph Gooden
69,Karl Frazier
69,Kyle Morgan
69,Lauren VanDyken
69,Leah Gooden
69,Marc Soldini
69,Mark Bangcaya
69,Melissa Ostendorf
69,Robby Anderst
69,Robert Van Hassel
69,Ryann Child
b,r,e,a,k
Lights Out,6
teamInfo,,"Seattle, Washington",,https://www.facebook.com/Lights-Out-Ultimate-982520691925825/,https://twitter.com/LightsOutUlti
coaches,Stephen Semmens
0,Cris Hollyfield
0,Maya Kalmus
01,Wade Hankin
02,Patrick Brady
03,Iris Lippert
04,Phillip Young
06,Roy Fang
07,Dharma Khalsa
10,Katherine Speck
14,Jessica Zaslove
16,Lily Zhang
17,Rio Kimura
18,Anna Chute
20,Luke Jesperson
23,Emily Traylor
24,Jacob Cohen
25,Gavin Sing
26,Alex Fussell
31,Anna Pettee
32,Daniel Walton
40,Ky Lewis IV
47,Aakar Mehra
51,Michaela Cushing-Daniels
64,Bryan Bernard
71,Eric Hemphill
77,Emily Beylerian
b,r,e,a,k
Red Flag,4
teamInfo,,"Vancouver, British Columbia CA",https://beultimate.com/products/light-n-knit-replica-2022-jersey-vancouver-red-flag,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
coaches,Jonathan He
 ,Andrew Ling
 ,Julia Zhou
 ,Justin Podnar
 ,Katie Wong
 ,William Vu
0,Koji Suzuki
10,Gagan Chatha
12,Ryan Hoy
13,Kevin Tong
17,Annie Wang
20,Collefas Mot
21,Ellen Au-Yeung
22,Garbo Lee
24,Peter Yu
25,Nicolas Choy
44,Janelle Siwa
48,Zellema Mot
67,Danae Jan
70,Miu Shiraiwa
74,Samuel Creed
79,Zoe Luke
87,Neo Debroux
93,Mika Kurahashi
97,Edward Guo
98,Lauren Szeto-Fung
99,Abeer Lamba
b,r,e,a,k
Oregon Scorch,10
teamInfo,,"Oregon, Oregon",,,
 ,Amir Kaghazwala
 ,Keali Mccarter
 ,Kyle Blaeuer
 ,Scott Radlauer
 ,Todd Brooks
 ,Zoey Hughes
0,Josh Moore
0,Kelly Hansen
0,Bayunt Ollek
10,Chance Bayles
11,Jackie Matonis
12,Danielle Grooms
13,Erik Lindberg
15,Kelsey Salvo
18,Emily Falk
19,Christine Brooks
21,Kevin Christian
22,Brian Stout
23,Rosie Harte
33,Maggie Zhang
44,Megan Mancini
55,Joel  Caswell
88,Rebecca Hamilton
99,Syris Linkfield
b,r,e,a,k
Garage Sale,15
teamInfo,,"Eugene, Oregon",,,
 ,Mario Bundy
 ,Emma Bartlett
0,Paul Kempler
0,Rainier Naylor
0,Shannon Dennehy
0,Thais Thomas
0,Theo Schaid Hefley
0,William Carter
0,Yausi Khajavei
0,Alison Wheeler
0,Amy Turner
0,Archer Gordon
0,Bao Pham
0,Caitlin Winterbottom
0,Caleb Holt
0,Conrad Hock
0,Eliana Norton
0,Grace Whitmore
0,India John
0,Isabella Harker
0,Joshua Sand
0,Justin Carter
0,Kory Northrop
0,Lindsay Hedgecock
0,Lucas Spiegel
65,Eric Rosenfeld
b,r,e,a,k
Birdfruit,5
teamInfo,,"Seattle, Washington",https://seattlebirdfruit.com,https://facebook.com/seattlebirdfruit,https://twitter.com/bird_fruit
 ,Benjamin Ostman
 ,Emma Pua’a
 ,Kelsey Foster
 ,Lauren Pattie
 ,Melanie Lindsey
 ,Nicole Cramer
 ,Sam Landesberg
 ,Taylor Hartman
13,Jacob Lambert
14,Peter Geertz-Larson
15,Derek Mourad
16,Alexander Trautman
17,Molly Wieringa
19,Chris Roach
20,Will Herold
24,Stephen Burkot
29,Michael Buyco
30,Oliver Hirn
32,Souma Yabuki
33,Catherine (Cate) Roscoe
44,Grace Young
53,Arjun Kumar
66,Jennifer Norris
79,Lyda Harris
89,Sophia Scofield-Selby
91,Craig Harkey
b,r,e,a,k
s,t,a,g,e,s
brackets,Pool Bracket A
bracket,Pool Bracket A
BFG,Bullet Train,15,5,"09/24/2022, 11:00",Pool A Finals,Final
BFG,Nebula,15,4,"09/24/2022, 09:00",Pool A Round 1,Final
Bullet Train,Pegasus,14,7,"09/24/2022, 09:00",Pool A Round 1,Final
bracket,Pool A Placement Game
Nebula,Pegasus,11,12,"09/24/2022, 11:00",Pool A Placement Game,Final
b,r,e,a,k
brackets,Pool Bracket B
bracket,Pool Bracket B
Seattle Mixtape,Sego,15,5,"09/24/2022, 11:00",Pool B Finals,Final
Seattle Mixtape,Squid Inc.,15,5,"09/24/2022, 09:00",Pool B Round 1,Final
Yard Sale,Sego,7,15,"09/24/2022, 09:00",Pool B Round 1,Final
bracket,Pool B Placement Game
Squid Inc.,Yard Sale,9,14,"09/24/2022, 11:00",Pool B Placement Game,Final
b,r,e,a,k
brackets,Pool Bracket C
bracket,Pool Bracket C
MOONDOG,Hive,14,9,"09/24/2022, 11:00",Pool C Finals,Final
MOONDOG,Tricerabass,15,6,"09/24/2022, 09:00",Pool C Round 1,Final
Lights Out,Hive,10,13,"09/24/2022, 09:00",Pool C Round 1,Final
bracket,Pool C Placement Game
Tricerabass,Lights Out,11,15,"09/24/2022, 11:00",Pool C Placement Game,Final
b,r,e,a,k
brackets,Pool Bracket D
bracket,Pool Bracket D
Red Flag,Oregon Scorch,13,8,"09/24/2022, 11:00",Pool D Finals,Final
Red Flag,Garage Sale,15,7,"09/24/2022, 09:00",Pool D Round 1,Final
Birdfruit,Oregon Scorch,11,14,"09/24/2022, 09:00",Pool D Round 1,Final
bracket,Pool D Placement Game
Garage Sale,Birdfruit,11,10,"09/24/2022, 11:00",Pool D Placement Game,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossover
BFG,MOONDOG,15,7,"09/24/2022, 13:10",,Final
Seattle Mixtape,Red Flag,15,9,"09/24/2022, 13:10",,Final
Hive,Pegasus,11,12,"09/24/2022, 13:10",,Final
Oregon Scorch,Yard Sale,14,6,"09/24/2022, 13:10",,Final
Bullet Train,Lights Out,12,7,"09/24/2022, 13:10",,Final
Sego,Garage Sale,14,8,"09/24/2022, 13:10",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
BFG,Seattle Mixtape,9,15,"09/25/2022, 11:00",Finals,Final
BFG,Red Flag,15,9,"09/25/2022, 09:00",1st Semis,Final
MOONDOG,Seattle Mixtape,8,15,"09/25/2022, 09:00",1st Semis,Final
BFG,Sego,15,4,"09/24/2022, 15:20",1st Quarters,Final
Pegasus,Red Flag,5,15,"09/24/2022, 15:20",1st Quarters,Final
MOONDOG,Oregon Scorch,13,11,"09/24/2022, 15:20",1st Quarters,Final
Bullet Train,Seattle Mixtape,8,15,"09/24/2022, 15:20",1st Quarters,Final
bracket,3rd Place
MOONDOG,Red Flag,12,14,"09/25/2022, 13:00",Finals,Final
Pegasus,MOONDOG,6,13,"09/25/2022, 11:00",3rd Semis,Final
Red Flag,Oregon Scorch,15,12,"09/25/2022, 11:00",3rd Semis,Final
Sego,Pegasus,7,15,"09/25/2022, 09:00",3rd Quarters,Final
Oregon Scorch,Bullet Train,11,10,"09/25/2022, 09:00",3rd Quarters,Final
bracket,5th Place
Pegasus,Oregon Scorch,12,11,"09/25/2022, 13:00",Finals,Final
bracket,7th Place
Sego,Bullet Train,7,15,"09/25/2022, 11:00",Finals,Final
bracket,9th Place
Hive,Lights Out,15,10,"09/25/2022, 11:00",Finals,Final
Hive,Yard Sale,13,11,"09/25/2022, 09:00",Round Name,Final
Lights Out,Garage Sale,15,8,"09/25/2022, 09:00",Round Name,Final
bracket,11th Place
Yard Sale,Garage Sale,13,10,"09/25/2022, 11:00",Finals,Final
b,r,e,a,k
pools,13th Place Pool
pool,Pool A
Nebula,Tricerabass,9,10,"09/24/2022, 13:10",Pool A,Final
Squid Inc.,Birdfruit,9,13,"09/24/2022, 13:10",Pool A,Final
Nebula,Birdfruit,11,13,"09/25/2022, 09:00",Pool A,Final
Squid Inc.,Tricerabass,14,9,"09/25/2022, 09:00",Pool A,Final
Nebula,Squid Inc.,8,13,"09/25/2022, 11:00",Pool A,Final
Tricerabass,Birdfruit,1,15,"09/25/2022, 11:00",Pool A,Final
b,r,e,a,k
