Cooler Classic 33,Club - Men ,20,8,2022
Hartland,WI,2022-08-20,2022-08-21
https://play.usaultimate.org/events/Cooler-Classic-33/schedule/Men/Club-Men/
Kansas City Smokestack,1
 ,Charles Camilli
 ,Dan Wylie
 ,Ethan Barsness
 ,Ishaan Lukhey
 ,Nate Pascale
 ,Thomas Donahue
0,Timothy Opdahl
0,Paul Liang
0,Peter Helgeson
0,Reese Grailer
0,Theodore McGowan
0,Owen Gin
0,Joseph Quaal
0,Kenji Her
0,Leo Dungan-Seaver
0,Levi Dohman
0,Maximilian Dewberry
0,Evan Ellis
0,Alex Tsvetkov
0,Drew Bonnabeau
12,Jamel Anderson
13,Owen Cloutier
28,Anthony Doan
28,Greg Cepuran
b,r,e,a,k
Beacon,9
04,Trevor Polisuk-Balfour
05,Zachary Turner
08,Eric Kas
13,Branden Martz
16,David LaDuke
23,Christopher Smith
24,Jakob Dabkowski
27,Colin Fremeau
30,Austin Masselink
34,Colin Beauregard
35,Mitchell Savage
46,Anthony Heath
49,Nathan Zock
54,Aaron Schwieterman
61,Caleb Stanish
81,Alec DenBraber
88,Jesse Otten
b,r,e,a,k
Trident II,16
0,Michael Wormley
00,Dexter Straczek
02,Joe Sidrys
03,Shivam Boghra
07,Bill SooHoo
13,Arthur Maiorella
14,Manan Kothari
17,Daniel Grosch
19,Dylan Magahis
21,Jonathan Yu
24,Jacob Ngo
29,Daniel Ferenc
33,Will Setchell
35,Zach Eiden
42,Logan Lambright
44,Siddharth Mehrotra
53,Joe Berry
54,Juan Amador
91,Andrew Gubernick
b,r,e,a,k
Overdrive,17
 ,Bryan Fuglestad
 ,Cesario Velasco
 ,Joshua Kugel
 ,Jesse Laursen
0,Jonas Geere
0,Joshua Friedman
0,Sean Rogers
0,Simon Mulrooney
0,Matt Nelson
0,Nick Marston
0,David Kunau
0,Jackson biggs
0,Jasper Skinner-Sloan
0,Christian Kunau
0,Clayton Rabe
0,Connor Bass
0,Cade Ashland
0,Caleb Griffiths
0,Alejandro (Alex) Perez
0,Alex Lien
0,Blair Koontz
16,Ryan Harvey
22,Noah Johnson
29,Daniel Barnes-Powell
36,Jackson Ferris
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Kansas City Smokestack,Scythe,13,11,"08/20/2022, 10:40",Pool A,Final
DeMo,Knights of Ni,13,12,"08/20/2022, 10:40",Pool A,Final
Kansas City Smokestack,Knights of Ni,11,9,"08/20/2022, 12:20",Pool A,Final
DeMo,Scythe,13,12,"08/20/2022, 12:20",Pool A,Final
Kansas City Smokestack,DeMo,13,12,"08/20/2022, 14:00",Pool A,Final
Scythe,Knights of Ni,9,13,"08/20/2022, 14:00",Pool A,Final
pool,Pool B
Cryptic,Enigma,13,12,"08/20/2022, 09:00",Pool B,Final
MKE,Rubicon Rapids,13,5,"08/20/2022, 09:00",Pool B,Final
Cryptic,Rubicon Rapids,13,5,"08/20/2022, 10:40",Pool B,Final
MKE,Enigma,13,10,"08/20/2022, 10:40",Pool B,Final
Cryptic,MKE,13,10,"08/20/2022, 12:20",Pool B,Final
Enigma,Rubicon Rapids,13,5,"08/20/2022, 12:20",Pool B,Final
pool,Pool C
Nain Rouge,HouSE,9,13,"08/20/2022, 09:00",Pool C,Final
Chimney,Timber,12,13,"08/20/2022, 09:00",Pool C,Final
Nain Rouge,Timber,13,8,"08/20/2022, 12:20",Pool C,Final
Chimney,HouSE,9,13,"08/20/2022, 12:20",Pool C,Final
Nain Rouge,Chimney,13,12,"08/20/2022, 14:00",Pool C,Final
HouSE,Timber,10,13,"08/20/2022, 14:00",Pool C,Final
pool,Pool D
Haymaker,Loaded Panda,13,2,"08/20/2022, 09:00",Pool D,Final
Nomads,THE BODY,13,7,"08/20/2022, 09:00",Pool D,Final
Haymaker,THE BODY,13,5,"08/20/2022, 10:40",Pool D,Final
Nomads,Loaded Panda,13,7,"08/20/2022, 10:40",Pool D,Final
Haymaker,Nomads,13,10,"08/20/2022, 14:00",Pool D,Final
Loaded Panda,THE BODY,13,9,"08/20/2022, 14:00",Pool D,Final
pool,Pool E
Mallard II,Trident II,13,5,"08/20/2022, 10:40",Pool E,Final
Beacon,Overdrive,12,9,"08/20/2022, 10:40",Pool E,Final
Mallard II,Overdrive,13,4,"08/20/2022, 12:20",Pool E,Final
Beacon,Trident II,13,1,"08/20/2022, 12:20",Pool E,Final
Mallard II,Beacon,13,12,"08/20/2022, 14:00",Pool E,Final
Trident II,Overdrive,13,10,"08/20/2022, 14:00",Pool E,Final
b,r,e,a,k
clusters,Men's Crossover
cluster,Crossover
Cryptic,Beacon,13,7,"08/20/2022, 15:40",,Final
HouSE,Nomads,13,9,"08/20/2022, 15:40",,Final
Haymaker,Nain Rouge,13,8,"08/20/2022, 15:40",,Final
Mallard II,MKE,13,11,"08/20/2022, 15:40",,Final
Enigma,Overdrive,13,5,"08/20/2022, 15:40",,Final
Timber,THE BODY,13,6,"08/20/2022, 15:40",,Final
Loaded Panda,Chimney,10,13,"08/20/2022, 15:40",,Final
Trident II,Rubicon Rapids,10,11,"08/20/2022, 15:40",,Final
b,r,e,a,k
brackets,Gold Bracket
bracket,Gold Championship
Scythe,Knights of Ni,13,8,"08/21/2022, 14:00",Gold Finals,Final
Mallard II,Scythe,6,13,"08/21/2022, 12:20",Gold Semi Finals,Final
Knights of Ni,Haymaker,12,11,"08/21/2022, 12:20",Gold Semi Finals,Final
Kansas City Smokestack,Mallard II,12,13,"08/21/2022, 10:40",Gold Quarter Finals,Final
Cryptic,Scythe,6,13,"08/21/2022, 10:40",Gold Quarter Finals,Final
Knights of Ni,HouSE,12,10,"08/21/2022, 10:40",Gold Quarter Finals,Final
Haymaker,DeMo,11,7,"08/21/2022, 10:40",Gold Quarter Finals,Final
bracket,Gold Third Place
Mallard II,Haymaker,10,13,"08/21/2022, 14:00",Gold Third Place,Final
bracket,Gold Fifth Place
Cryptic,DeMo,10,13,"08/21/2022, 14:00",Gold Fifth Place,Final
Kansas City Smokestack,Cryptic,7,8,"08/21/2022, 12:20",Gold Fifth Semis,Final
HouSE,DeMo,6,13,"08/21/2022, 12:20",Gold Fifth Semis,Final
bracket,Gold Seventh Place
Kansas City Smokestack,HouSE,13,7,"08/21/2022, 14:00",Gold Seventh Place,Final
b,r,e,a,k
brackets,Silver Bracket
bracket,Silver Championship
MKE,Nomads,13,7,"08/21/2022, 12:20",Silver Finals,Final
Beacon,MKE,9,13,"08/21/2022, 10:40",Silver Semi Finals,Final
Nain Rouge,Nomads,12,13,"08/21/2022, 10:40",Silver Semi Finals,Final
Beacon,Chimney,13,9,"08/21/2022, 09:00",Silver Quarter Finals,Final
MKE,Timber,13,7,"08/21/2022, 09:00",Silver Quarter Finals,Final
Nain Rouge,Enigma,13,12,"08/21/2022, 09:00",Silver Quarter Finals,Final
Nomads,Rubicon Rapids,13,8,"08/21/2022, 09:00",Silver Quarter Finals,Final
bracket,Silver Third Place
Nain Rouge,Beacon,11,13,"08/21/2022, 12:20",Silver Third Place,Final
bracket,Silver Fifth Place
Chimney,Enigma,5,13,"08/21/2022, 12:20",Silver Fifth Place,Final
Chimney,Timber,13,9,"08/21/2022, 10:40",Silver Fifth Semis,Final
Enigma,Rubicon Rapids,13,11,"08/21/2022, 10:40",Silver Fifth Semis,Final
bracket,Silver Seventh Place
Timber,Rubicon Rapids,13,10,"08/21/2022, 12:20",Silver Seventh Place,Final
b,r,e,a,k
pools,Cheese Pool
pool,Cheese Pool
Trident II,Loaded Panda,13,10,"08/21/2022, 09:00",Cheese Pool,Final
Overdrive,THE BODY,13,6,"08/21/2022, 09:00",Cheese Pool,Final
Trident II,THE BODY,13,2,"08/21/2022, 10:40",Cheese Pool,Final
Overdrive,Loaded Panda,13,7,"08/21/2022, 10:40",Cheese Pool,Final
Trident II,Overdrive,7,11,"08/21/2022, 12:20",Cheese Pool,Final
Loaded Panda,THE BODY,11,9,"08/21/2022, 12:20",Cheese Pool,Final
b,r,e,a,k
