2022 U.S. Open Club Championships,Youth Club U-20 - Boys ,6,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
smOAK,12
12,Spencer Keith
15,Jonah Feinstein
17,Evan Schreiner
18,Lucas Marsh
19,Jackson Hogan
21,Payton Jaggie
23,Joshua Stout
24,Michael  Wise
32,Wade Butler
40,Liam Marsh
44,Tom Dupor
63,Lucas Hanson 
74,Alex Rybak
77,Nick Giannotti
b,r,e,a,k
Metro,26
00,Alexander Valencia Cuadros
00,Andres Huenneke
00,Benjamin Cys
00,Jacob Nicolson
00,Siam Salam
02,William Paxson
03,Mateo Schneider
06,Alex Campbell
09,Kai Rasmussen
17,Kelly Byrne
29,Oliver Kiker
30,Ethan Eyberg
43,George Sprinkel
88,Jadon Eyberg
97,Owen Hall
b,r,e,a,k
Villains,17
0,Pryce Bevins
00,Will McAfee
04,Braden Beebe
05,Samuel Lassiter
06,Andrew Coward
08,Sam Rutledge
09,JohnThomas Atema
10,Zeke Plewniak
11,Marshall  Hodges 
14,Jackson Scarbrough
15,Jack Wellons
16,William Stickles
17,Oliver Entrekin
19,Elliott Rudder
21,Tobin Beichler
22,Colin Perez
27,Addison Baldy
39,Jonathan Stutts
74,Ian Smith
99,Giri Peters
b,r,e,a,k
Flying Pig,16
03,Collin McPhail
04,Anthony Zelinskas
07,Gus Elovitz
08,Jeremy Weese
10,Sean Speidel
11,William Wettengel
13,Jared Stegman
15,Ethan Roeseler
16,George Finn
17,Andrew Gasson
19,Ian Hailey
26,Bradley Caldwell
27,Noah Lin
32,Daniel Wysong
35,Adithya Deepak
43,Miles DiNardo
50,Colin Stevens
99,Samuel Lawler
b,r,e,a,k
Birds Of Play,24
00,Cameron Lay
01,Nima Lhamo
02,Daniel Ruskay-Kidd
06,Alex Cheng
09,Aaron  Magtoto
10,Jack Richman
11,Liam Taylor
12,Christian Graybill
13,Lucas Grey
17,Nico Laurenson
23,Sami Tully-Smith
24,Gabriela  Moreno
42,Kai Bredemann
55,Ethan Schiff
64,Mercer Breitenbach
b,r,e,a,k
Rochester Chill U20B,25
0,Matthew Diebold
05,Jackson Baldwin
06,Paul Besch-Turner
10,Yeshua Alba
17,Jeremiah Callard
19,Jerrett Webber
30,Millenium Schmidt
31,Will Hough
33,Dylan Stagles-Reyome
48,Matthew Jones
50,Parker Ashworth
55,Sam Drew
89,Brice Moncada
99,Eliseo Mercado
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Oregon Trainwreck,smOAK,10,11,"08/06/2022, 12:45",Pool A,Final
Foggy Bottom Boys,smOAK,10,15,"08/06/2022, 15:30",Pool A,Final
Oregon Trainwreck,Foggy Bottom Boys,14,7,"08/06/2022, 17:45",Pool A,Final
pool,Pool B
ATLiens,Rising Tide U20B,13,11,"08/06/2022, 12:45",Pool B,Final
Utah Swarm U20 Boys,Rising Tide U20B,15,10,"08/06/2022, 15:30",Pool B,Final
ATLiens,Utah Swarm U20 Boys,9,15,"08/06/2022, 17:45",Pool B,Final
pool,Pool C
BUDA U20B,DEVYL U-20 Boys,15,5,"08/06/2022, 12:45",Pool C,Final
Seven Hills U20 Open,DEVYL U-20 Boys,15,9,"08/06/2022, 15:30",Pool C,Final
BUDA U20B,Seven Hills U20 Open,11,8,"08/06/2022, 17:45",Pool C,Final
pool,Pool D
Triforce,Minnesota Superior U20B,12,15,"08/06/2022, 12:45",Pool D,Final
Red Dawn,Minnesota Superior U20B,9,14,"08/06/2022, 15:30",Pool D,Final
Triforce,Red Dawn,14,7,"08/06/2022, 17:45",Pool D,Final
pool,Pool E
Colorado Cutthroat: Youth Club U-20 Boys,Connecticut Harpoon,13,4,"08/06/2022, 12:45",Pool E,Final
Madison MUFAbots U20B,Connecticut Harpoon,8,14,"08/06/2022, 15:30",Pool E,Final
Colorado Cutthroat: Youth Club U-20 Boys,Madison MUFAbots U20B,15,3,"08/06/2022, 17:45",Pool E,Final
pool,Pool F
Red Hots - u20,Philadelphia SEPDA (Boys),11,15,"08/06/2022, 10:30",Pool F,Final
Texas United,Carolina Sky,14,5,"08/06/2022, 10:30",Pool F,Final
Red Hots - u20,Carolina Sky,12,5,"08/06/2022, 15:30",Pool F,Final
Texas United,Philadelphia SEPDA (Boys),9,15,"08/06/2022, 15:30",Pool F,Final
