2022 Texas Men's Sectional Championship,Club - Men ,10,9,2022
Round Rock,TX,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-Texas-Mens-Sectional-Championship/schedule/Men/Club-Men/
Doublewide,1
 ,Steven Kelly
0,Trey Wong
0,Vikrant Pendharkar
0,Aaron Barcio
0,James Zuraw
0,Joseph Williams
0,"Gregory Plaia, Jr"
0,Ibrahim El-sayed
0,Brandon Chow
0,Brian Gfroerer
0,Caleb Dixon
0,Chris Brettell
0,Connor Cole
0,Cullen Baker
0,Darrel  Francis III
0,Destin Tate
12,Ismail Kassim
14,Mutahir Ahmad
27,Elliot Sakach
31,Brandon Lin
34,Mitchell Lutz
b,r,e,a,k
Flash Flood,6
 ,Emmanuel Bilolo
 ,Andrew Lord
 ,Ryan Kyle
 ,Ryan Whisenhunt
0,Darius Tse
0,Donovan Gleeson
0,Simon Prushan
0,Tyler Hustad
0,Will Goodwin
0,Aaron Smith
0,Alex Wang
0,Kyle Turner
0,Matthew Smith
0,Nicholas Stambo
0,Peter Ngo
0,Emmanuel Kameri
0,Eric Kleckner
0,Eric VerPloeg
0,Ethan Benenson
0,J.D. Ingendorf
0,Jack Wooldridge
0,James Paterson
0,Julius Hubby
22,Colton Green
32,Kenneth Xuan
34,Samuel Morrall
b,r,e,a,k
Firefly TX,11
 ,Cameron Guillen
 ,Cole Lamkins
 ,Conner Montgomery
 ,Kevin Schmidt
 ,Marcelo Gonzalez
 ,Michael Conlin
 ,Sam  Hill
0,Guadalupe Garcia
14,Michael O'Shea
16,David Waters
17,Quinton Butler
19,Stephen Strack
21,James Huizinga
23,Bryan Kirchmeier
24,Piercen Hoekstra
27,Montrell Watson jr 
33,Andrew Calvert
34,Joshua Romani
51,Joe Wright
63,Justin Shelby
80,Michael Strack
92,Aaron Dunn
95,Mike Ren
97,Daryl Wells
98,Conner Bingham
99,Vance Dicken
b,r,e,a,k
Gamble,4
0,Jon DeAmicis
02,Cade White
04,Oakley Armstrong
06,Thomas Loria
07,Samuel Garza
08,Mason Kelley
09,Trenton Hebert
10,Garrett Wilson
11,Brandon Martin
13,Tyler Reinhardt
14,Caiden Burt
15,Justin Lyons
19,Benjamin Price
21,Connor DeLuna
22,Scott Zachary
25,Alvaro Guzman
26,Sebastien Lauzy
27,Joel Polley
29,Tucker Bankston
31,Thomas Trompeter
45,Samuel Heslep
69,Jake Reinhardt
77,Noah Furrh
87,David Hammer
92,Zachary Wenner
99,Tanner Roberts
b,r,e,a,k
Dallas United Outlaws,12
 ,Christian Parker
 ,Corey Gendron
 ,David Knight
 ,Eian Brent
 ,Fernando Lugo
 ,Ian Ambrose
 ,Jonathan Hill
 ,Jordan Penn-White
 ,Jordyn Armstrong
 ,Joshua Rainey
 ,Luke Sheppard
 ,Mark Hill
 ,Alexander Bacon
 ,Andrew Dorf
 ,Andy Evans
 ,Aramis Dixon
 ,Ben Street
 ,Paul Taylor II
 ,Rickie Stevenson
 ,Samuel Turpen
 ,Tyler Allen
 ,Watson Anderson
 ,Willy Goal
0,William Kreicker
0,BRANDON LOCKLEAR
11,Matthew Sutton
b,r,e,a,k
STUFF,15
 ,Avery Brennen
0,Ben Thollander
0,Cameron Llewellyn
0,Christian Salazar
0,Daniel Ramirez
0,Elliot Lee
0,Joseph Moody
0,Kaushal Patel
0,Michael Stinger
0,Oliver Powers
0,Rushil Randhar
0,Sharan Sethi
0,Soh Nishiyama
0,Steven Nguyen
0,Thomas Plaxton
0,Alex Valdes
0,Aly Hirani
b,r,e,a,k
Adventure Time,16
 ,Ishaan Sharma
0,Jake Abeyta
0,Matt McNaught
0,Matthew Mason
0,Noah Smith
0,Reese Lee
0,Ryan Brack
0,Shawn  Hubler
0,Sidney Arel
0,Vinay Bhasker
0,Aaron Rahman
0,Adam Pomeranz
0,Albert Xia
0,Carson Riggins
0,Chase Skweres
0,Christopher Parma
0,Clay Waldrop
0,Diego Mercado
0,Glenn Bentulan
0,GRADON KAM
b,r,e,a,k
Riverside,5
 ,Adam Croissant
 ,Jackson Helling
 ,Jon Olson
 ,Kade Morris
 ,Maxwell Marion
 ,Michael Clark
 ,Paul Passmore
0,Reid Pannell
0,Rick Artus
0,Sean Leeper
0,Sean Kuylen
0,Trevor Sawatzky
0,Aaron Ogdee
0,Noah Sheets
0,Michael Farrugia
0,Kegan Wakefield
0,Kyle Jasany
0,Lamson Nguyen
0,Lee Whitley
0,Jonathan Zygarlenski
0,Johnathan Roniger
0,Andrew  Lamberson
0,Ethan Swan
0,Ethan Banner
0,Jack Ostrand
31,Paul Lowe
b,r,e,a,k
San Antonio Warhawks,13
 ,Kevin Brown
 ,Matthew Keller
 ,Micah McDew
 ,Joe Valadez
 ,Joseph Cannistraro
10,Ashwin Raman
12,Oscar Rodriguez
21,James Hawk
24,Kenneth Iannello
28,Reese  Gregory
41,Andrew Wyatt
55,Jeremy Siefer
66,Christopher Gomez
73,En Emerson
77,Javier Cartagena
88,Oscar Escalante
97,Brady Hammond
99,Joe Williams
b,r,e,a,k
Shrimp Discs,14
08,Damian Pena
10,Michael  Solis 
10,pierce parmer
11,Tyler Porter
21,Javier Flores
22,Jaren Brooks
23,Andrew DeLeon
27,Endrik Reynoso
30,Jovannie Romero
34,Edgar Camacho
41,Coby McGonagill
42,Juan Ornelas
43,Nicholas Martinez
66,James Reed
69,Sergio Prieto
79,Joseph Torres
88,Chancelor Ginithan
b,r,e,a,k
Riverside Messengers,17
0,Agustin Barajas
0,Aidan Beam
0,Christopher Weathers
0,Eric Blackburn
0,Henry Charbeneau
0,Jason Jenkins
0,Jeremy Boyle
0,Jordan Moore
0,Joseph Mondragon
0,Kameron Liao
0,Landen Muennink
0,Logan Carroll
0,Louis Fausak
0,Michael Duncan
0,Regan Manning
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Doublewide,Harvey Cats,15,7,"09/10/2022, 08:00",Pool A,Final
Doublewide,Alamode,15,1,"09/10/2022, 09:45",Pool A,Final
Alamode,Harvey Cats,14,13,"09/10/2022, 11:30",Pool A,Final
pool,Pool B
H.I.P,Cowtown Cannons,10,15,"09/10/2022, 08:00",Pool B,Final
H.I.P,Foxtrot,15,10,"09/10/2022, 09:45",Pool B,Final
Foxtrot,Cowtown Cannons,13,11,"09/10/2022, 11:30",Pool B,Final
pool,Pool C
Clutch,Firefly TX,15,7,"09/10/2022, 09:45",Pool C,Final
Clutch,Flash Flood,11,8,"09/10/2022, 11:30",Pool C,Final
Flash Flood,Firefly TX,11,8,"09/10/2022, 13:15",Pool C,Final
pool,Pool D
pool,Pool E
b,r,e,a,k
brackets,Pool D & E Bracket Play
bracket,Pool D Bracket
Gamble,Dallas United Outlaws,14,11,"09/10/2022, 09:45",Round 2 D,Final
Gamble,Adventure Time,15,3,"09/10/2022, 08:00",Round 1 D,Final
Dallas United Outlaws,STUFF,14,5,"09/10/2022, 08:00",Round 1 D,Final
bracket,Pool D Loser Bracket
Adventure Time,STUFF,7,14,"09/10/2022, 09:45",Round 2 DL,Final
bracket,Pool E Bracket
Riverside,Shrimp Discs,12,11,"09/10/2022, 09:45",Round 2E,Final
Riverside,Riverside Messengers,15,7,"09/10/2022, 08:00",Round 1E,Final
San Antonio Warhawks,Shrimp Discs,6,15,"09/10/2022, 08:00",Round 1E,Final
bracket,Pool E Losers Bracket
Riverside Messengers,San Antonio Warhawks,9,10,"09/10/2022, 11:30",Round 2 EL,Final
b,r,e,a,k
clusters,Pool D&E Crossover
cluster,Pool D and E Crossover
Gamble,Riverside,14,9,"09/10/2022, 13:15",,Final
Dallas United Outlaws,Shrimp Discs,11,10,"09/10/2022, 13:15",,Final
STUFF,San Antonio Warhawks,F,W,"09/10/2022, 13:15",,Final
Adventure Time,Riverside Messengers,8,13,"09/10/2022, 13:15",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Doublewide,Clutch,15,7,"09/11/2022, 11:30",Championship,Final
Doublewide,Gamble,15,3,"09/11/2022, 08:00",Round 1-C,Final
Cowtown Cannons,Clutch,9,11,"09/11/2022, 08:00",Round 1-C,Final
bracket,2nd and 3rd Place
Clutch,Gamble,14,7,"09/11/2022, 13:15",2nd and 3rd Place,Final
Alamode,Gamble,10,11,"09/11/2022, 11:30",Round 3-2&3,Final
Cowtown Cannons,Alamode,8,13,"09/11/2022, 09:45",Round 2-2&3,Final
H.I.P,Gamble,9,12,"09/11/2022, 09:45",Round 2-2&3,Final
Alamode,Riverside,12,11,"09/11/2022, 08:00",Round 1-2&3,Final
Flash Flood,H.I.P,10,13,"09/11/2022, 08:00",Round 1-2&3,Final
bracket,4th and 5th Place
Alamode,H.I.P,11,15,"09/11/2022, 13:15",4th and 5th Place,Final
H.I.P,Cowtown Cannons,15,10,"09/11/2022, 11:30",Round 1-4&5,Final
bracket,6th and 7th Place
Cowtown Cannons,Flash Flood,11,10,"09/11/2022, 13:15",6th and 7th Place,Final
Flash Flood,Riverside,11,9,"09/11/2022, 11:30",Round 3-6&7,Final
Flash Flood,Dallas United Outlaws,9,8,"09/11/2022, 09:45",Round 2-6&7,Final
Firefly TX,Riverside,5,11,"09/11/2022, 09:45",Round 2-6&7,Final
Harvey Cats,Dallas United Outlaws,7,12,"09/11/2022, 08:00",Round 1-6&7,Final
Firefly TX,Foxtrot,11,8,"09/11/2022, 08:00",Round 1-6&7,Final
bracket,8th and 9th Place
Riverside,Firefly TX,12,8,"09/11/2022, 13:15",8th and 9th Place,Final
Dallas United Outlaws,Firefly TX,10,11,"09/11/2022, 11:30",Round 1-8&9,Final
bracket,10th & 11th Place
Dallas United Outlaws,Harvey Cats,10,11,"09/11/2022, 13:15",10th & 11th Place,Final
Foxtrot,Harvey Cats,9,10,"09/11/2022, 11:30",Round 3-10&11,Final
Foxtrot,Riverside Messengers,13,5,"09/11/2022, 09:45",Round 2-10&11,Final
Shrimp Discs,Harvey Cats,8,11,"09/11/2022, 09:45",Round 2-10&11,Final
Riverside Messengers,San Antonio Warhawks,12,5,"09/11/2022, 08:00",Round 1-10&11,Final
Shrimp Discs,Adventure Time,14,8,"09/11/2022, 08:00",Round 1-10&11,Final
bracket,12th and 13th Place
Foxtrot,Riverside Messengers,15,5,"09/11/2022, 13:15",12 and 13th Place,Final
Shrimp Discs,Riverside Messengers,0,1,"09/11/2022, 11:30",14th Place-L,Final
bracket,15th/16th
San Antonio Warhawks,Adventure Time,14,6,"09/11/2022, 09:45",15th/16th,Final
b,r,e,a,k
