2022 U.S. Open Club Championships,Youth Club U-20 - Mixed ,5,8,2022
Blaine,MN,2022-08-05,2022-08-08
https://play.usaultimate.org/events/2022-US-Open-Club-Championships/schedule/Mixed/youth-club-u-20-mixed/
Pi+,1
coaches,Alexis Planche,Olivia Arellano
02,Michael Johnson
03,"Wes ""Cody"" Riggs"
04,Connor Matheson
07,Gram Sellman
09,Evan Moss
11,Zander Kuebler
12,Brooke Turner
14,Gray Middleton
15,Ellie Cymrot
18,Ellie Ngo
22,Ruby Salisbury
23,Micah Craine
27,Lorelei Dean
31,Rylan Sbitani
32,Phoebe Nichols
36,Carter Anderson
41,Henry Carter
56,Kareem Jaber
b,r,e,a,k
Swing Vote,11
teamInfo,,"Washington, District of Columbia",,,@SwingVoteDC
coaches,Asako Yamamoto,Kathryn Ritzmann
00,Ethan Deal
01,Emmett Brosowsky
02,Benjamin Portner
06,Truman Sandy
07,Koume Matsutori
08,Raphael Epstein
09,Mia Bojadzievski
13,Dashiell  May
15,Eva Turner
16,Virginia Arnold
17,Riley Frey
21,Ammon Longenecker
23,Tamir Hill-Marshall
25,Ezra Tinsky
26,Maddox Kromash
27,Charlton King
28,Claire Lee
29,Min Joo Muskovitz
33,Clara Morton
34,Abigail Freund
81,Anna Salafsky
81,Carly Cameron
86,Camilla Veal
88,Amaia Noursi
99,Guy Cardwell
b,r,e,a,k
MN Superior,3
teamInfo,,"Twin Cities, Minnesota",,,
coaches,Jake McKean,Alicia Ekegren
03,Kiersten Lee
04,Hanna Meinders
05,Sebastian Blue
06,Beau Finley 
07,Amelia Zdechlik
08,Greta Lane
09,Austin Gin
11,Ryan Dusaire
12,Abdulkhani Abdi
15,Liliana Hobday
16,Graham Imholte
21,Danny Shope
22,Lucy Schweiss
23,Debora Tesfamariam
24,Emily Zagaros
27,Lily Monorom
28,Owen Keepers
31,Grace Hoffman
33,Nathan Shannon
35,Eli Schaberg
43,Lauren Thon
55,Max Heirigs
61,Ava Grathwol
64,Lily Weissman
68,Cameron Dolbow
80,Isaiah Curtis 
88,Micah Davis
b,r,e,a,k
Utah Swarm U20 Mixed,15
teamInfo,,"Salt Lake City, Utah",,,
coaches,Joe Strong,Savannah Flanary,David Hoffman
 ,Emma Dial
02,Matthew Ashton
04,Morgan Eppich
05,Bryce Hoffman
06,Clayton Dunford
07,Isabelle Ashton
09,Isabelle  Ogden
11,Seth Wilson
16,Truman Phillips
20,Conner Thackeray
21,Carson Holt
23,Zoe Byde
27,Jadalyn Jensen
