Southwest D-I College Men's Regionals,College - Men ,8,5,2022
Davis,CA,2022-05-07,2022-05-08
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2022/schedule/Men/CollegeMen/
Cal Poly-SLO,1
0,Sean Levine
12,Ethan Gaiser
18,Nicholas Lay
19,Matt Reilly
21,Cole Schmidt
22,Thomas Peters
42,Christopher Sowards
52,Oliver Artus
77,Andy Silver
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship Bracket
bracket,Championship
Cal Poly-SLO,California,13,7,"05/08/2022, 10:00",Finals,Final
Cal Poly-SLO,California-Santa Cruz,13,7,"05/07/2022, 12:00",Semis,Final
UCLA,California,6,13,"05/07/2022, 12:00",Semis,Final
Cal Poly-SLO,California-Santa Barbara,13,6,"05/07/2022, 10:00",Quarters,Final
California-Santa Cruz,Stanford,13,10,"05/07/2022, 10:00",Quarters,Final
UCLA,Santa Clara,13,7,"05/07/2022, 10:00",Quarters,Final
Grand Canyon,California,8,13,"05/07/2022, 10:00",Quarters,Final
Cal Poly-SLO,Nevada-Reno,13,1,"05/07/2022, 08:00",Prequarters,Final
Southern California,California-Santa Barbara,9,10,"05/07/2022, 08:00",Prequarters,Final
California-Santa Cruz,Arizona,13,9,"05/07/2022, 08:00",Prequarters,Final
Cal State-Long Beach,Stanford,8,13,"05/07/2022, 08:00",Prequarters,Final
UCLA,"California State University, Chico",13,8,"05/07/2022, 08:00",Prequarters,Final
Santa Clara,California-San Diego,12,11,"05/07/2022, 08:00",Prequarters,Final
Grand Canyon,California-Davis,12,10,"05/07/2022, 08:00",Prequarters,Final
Arizona State,California,6,13,"05/07/2022, 08:00",Prequarters,Final
b,r,e,a,k
brackets,2nd Place Bracket
bracket,2nd Place Bracket
California,UCLA,13,10,"05/08/2022, 12:00",2nd Place Game to Go,Final
California-Santa Cruz,UCLA,10,11,"05/08/2022, 10:00",Game to Go Semis,Final
Santa Clara,California-Santa Cruz,9,13,"05/08/2022, 08:00",Game to Go Quarters,Final
California-Santa Barbara,UCLA,10,13,"05/08/2022, 08:00",Game to Go Quarters,Final
Grand Canyon,Santa Clara,8,9,"05/07/2022, 14:00",Elimination Rd. 3,Final
Stanford,California-Santa Barbara,12,13,"05/07/2022, 14:00",Elimination Rd. 3,Final
Grand Canyon,Southern California,13,9,"05/07/2022, 12:00",Elimination Rd. 2,Final
Santa Clara,Arizona,13,9,"05/07/2022, 12:00",Elimination Rd. 2,Final
Stanford,California-San Diego,13,10,"05/07/2022, 12:00",Elimination Rd. 2,Final
California-Santa Barbara,California-Davis,13,7,"05/07/2022, 12:00",Elimination Rd. 2,Final
Nevada-Reno,Southern California,8,13,"05/07/2022, 10:00",Elimination Rd. 1,Final
Arizona,Cal State-Long Beach,11,9,"05/07/2022, 10:00",Elimination Rd. 1,Final
"California State University, Chico",California-San Diego,5,13,"05/07/2022, 10:00",Elimination Rd. 1,Final
California-Davis,Arizona State,11,8,"05/07/2022, 10:00",Elimination Rd. 1,Final
b,r,e,a,k
brackets,Consolation 13th - 16th 
bracket,Consolation 13th - 16th 
Cal State-Long Beach,Arizona State,13,5,"05/08/2022, 08:00",13th,Final
Cal State-Long Beach,Nevada-Reno,13,8,"05/07/2022, 12:00",13th Semis,Final
Arizona State,"California State University, Chico",12,8,"05/07/2022, 12:00",13th Semis,Final
bracket,15th
"California State University, Chico",Nevada-Reno,11,6,"05/08/2022, 08:00",15th,Final
b,r,e,a,k
brackets,Consolation 9th - 12th
bracket,Consolation 9th - 12th
California-San Diego,Arizona,0,0,"05/08/2022, 12:00",9th,Final
California-Davis,California-San Diego,7,13,"05/08/2022, 10:00",9th Place Semis,Final
Arizona,Southern California,13,9,"05/08/2022, 10:00",9th Place Semis,Final
bracket,11th
Southern California,California-Davis,0,0,"05/08/2022, 12:00",11th,Final
b,r,e,a,k
brackets,5th Place Consolation
bracket,5th Place
California-Santa Barbara,Santa Clara,11,9,"05/08/2022, 10:00",5th Place,Final
b,r,e,a,k
brackets,7th Place Consolation
bracket,7th Place
Stanford,Grand Canyon,9,13,"05/08/2022, 12:00",7th Place,Final
b,r,e,a,k
