2022 East New England Mixed Sectional Championship,Club - Mixed ,10,9,2022
Devens,MA,2022-09-10,2022-09-11
https://play.usaultimate.org/events/2022-East-New-England-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Slow,1
0,Leo Seidman
0,Lyra Macek
0,Matthew Pacenka
0,Nathan Brumble
0,Oliver Khamky
0,Owen Erickson
0,Preston Tunnell Wilson
0,Qianchen Zeng
0,Scott MacLeish
0,Sophie Jacobson-Carroll
0,Topher Brown
b,r,e,a,k
Sprocket,2
 ,Caroline Collis
 ,Clara Stewart
 ,Felipe Delgado
 ,Nolan Scheemaker
 ,Ryan Flamberg
0,Sara Rudolph
0,Tahlia Quartin
0,Tannor Johnson
0,Wilhelmina Graff
0,Zach Singer
0,Patrick Barron
0,Reuben Philip
0,Ivan Tran
0,Jean Huang
0,Jerry  Wang
0,Amanda Giles
0,Brett Tan
0,Cody McInnis
0,Colette Pellegrini
0,Emma Lowenstein
10,Olivia Goss
18,Hazel Ostrowski
28,Michael Shriver
60,Caitlin Go
88,Kayla Huddell
90,Zachary  Hahn-Du Pont
b,r,e,a,k
The Buoy Association,9
 ,Hannah Henkin
0,Rick Miller
0,Walker Hatchett
0,William Neff
0,Adelle Pitsas
0,Andrew Applegate
0,Andy Schachter
0,Anna Barron
0,Devany Pitsas
0,Elise Counsell
0,Emma Schwartz
0,Eva Fury
0,Joe Newlin
0,Julian Erickson-Watson
0,Katie Miller
0,Landis Hackett
0,Lauren Baecher
0,Mark Lessard
0,Nathan Buck
0,Nicholas Nelsonwood
0,Nicole Wilkinson
0,Olivia Phillips
05,Pearce Kelley
13,Samantha Munson
26,Rachael Westgate
99,Jared Jandreau
b,r,e,a,k
Lobrid,12
 ,Bianca Champenois
0,Candace Adelberg
0,Christopher Haley
0,Devin Malanaphy
0,Gabriel Kaptchuk
0,Haley Olson
0,Hao Shen
0,Ian Cutler
0,Joshua Murray
0,Katherine Connelly
0,Lauren Bertino
0,Lucy Jin
0,Nancy  Jin 
0,Nicolas Arons
0,Noah Anderson
0,Sage McGinley-Smith
0,Sarah Antilla
0,Sean Fallon
0,Victor Qin
0,Acer Xu
0,Alessandro Franceschi
0,Alexander Velberg
0,Andrew Churchill
0,Ashley Wong
0,Ashley Chen
0,Axis Sivitz
b,r,e,a,k
Boston Bean Friends,17
0,Alexis Johnson
0,Ashton Wollett
0,Ben Faust
0,David Kallin
0,David (Salsa) Turell
0,Elana Schwam
0,Elizabeth Sohn
0,Elliott Gould
0,Emily Kallin
0,Jacob Arwe
0,Jacqueline Bourgeois
0,James (Jim) Parinella
0,Johannes Schlechter
0,Laura Deschaines
0,Lauren Sheffels
0,Megan Insco
0,Michael Gastaldo
0,Michael Fife
0,Paul Sohn
0,Paul Batten
0,Pavel Pepeliaev
0,Rana Kannan
0,Yusi Turell
44,Jackie Booth
b,r,e,a,k
Boston Practice Squad,16
 ,Claire Blazewicz
 ,Michael Humbert
0,Misha Herscu
0,Nikki Chang
0,Ryanne Barrett
0,Scott Gatto
0,Sydney Curran
0,Tess Johnson
0,Tracy d'Arbeloff
0,Connor Boyle
0,David Reshef
0,Ian Hanson
0,Jasmine Der
0,Jenny Chan
0,Joseph Sadok
0,Judah Newman
0,Kat Brock
0,Katherine Laemmle
0,Kayl Murdough
0,Kayla Rivard
0,Lucas Johnson
0,Abe Kielar
0,Britney DeRoehn
0,Casey Zhu
b,r,e,a,k
Wild Card,3
 ,Andrew Pillsbury
 ,Connor Fortin
 ,Hannah Crowley
 ,Ian Engler
 ,Maxwell Rick
0,Natalie Wheeler
0,Ryan Brown
0,Samantha Saltzman
0,Jack Simmons
0,Jamie Sharken
0,Jason Freedman
0,Leo Blooston
0,Matthew Heath
0,Conor Kline
0,Edward Tu
0,Emma Bushman
0,Hannah Marr
0,Adrena Seferian
0,Alex Hecht
0,Alexander Curreri
0,Arthur Abbate
0,Caroline Passalacqua
0,Carter Thallon
0,Christina Stellwagen
10,Annika Chan
17,Tamar Austin
b,r,e,a,k
Rainbow,8
0,Alison Collins
0,Ann Ritchie
0,Anna Heavey
0,Ava Harnick
0,Cheni Chadowitz
0,Conor Breeden
0,Daniel Jones
0,Daniel Horrigan
0,Dennis Chau
0,Elle Marcus
0,Erica Salazar
0,Jacob Maynard
0,Jane Farrell
0,Jay Turner
0,Joe Rafalak
0,Jonathan Kelly
0,Jonathan Cass
0,Justin Grimaldi
0,Kara Breeden
0,Lizzie Seibert
0,Melissa DiBerardino
0,Robert Hsu
0,Shayna Wagner
0,Souichi Terada
0,Timothy Whitworth
0,Zhihan Xu
b,r,e,a,k
Face Off,13
 ,Andrea Parise
0,Anna Snarski
0,Annalise  Keeler
0,Ben Grimes
0,Benjamin Reinhold
0,Brad Blais
0,Daniel Zoller
0,Jacob McQuaid
0,James Wickham
0,JOSEPHINE Bouchard
0,Julia Wakeman
0,Kevin  Heroux
0,Kyle Cayer
0,Kyle Jacoby
0,MICHAEL ARNOLDY
0,Sara Edquist
0,Amana Vander-Heyden
31,Kristen  Davis
34,Rob Parise
54,Jacob Schwartz
67,William Peyser
b,r,e,a,k
Darkwing,4
 ,Conor Dowling
0,Elle Burstein
0,Emet Schwartz
0,Eugene L'Heureux
0,James Sabean
0,Jordan Kaufman
0,Alex Jenkins
0,Alexander Donadio
0,Alicia Chang
0,Allegra Donadio
0,Allison Pereira
0,Brian Barrows
0,Chloe de Campos
0,Lamia Farah
0,Loretta Karpinski
0,Mckenzie Finigan
0,Olivia Brissette
0,Patricia Neckowicz
0,Pierre-Yves Lavertu
0,Sophie Shen
0,Steven Her
0,Suji Kim
0,Thomas Barry
0,Yigit Demiralp
06,Justinne Guarin
b,r,e,a,k
Lampshade,7
0,Aaron Epstein
0,Adam Alper
0,Bobby Lovitch
0,Bryan Xian
0,Clare McInerney
0,Eva McDermott
0,Fernanda Brena
0,Gina Pryciak
0,Gregory Oreste
0,Jared Kannel
0,Karina Cruz
0,Kelly Chen
0,Kevin Murphy
0,Lilly Yang-Schmidt
0,Liz Anusauskas
0,Lucas Lytel
0,Matthew Fasano
0,Molly Rockwood
0,Robert Shapiro
0,Rose Gordon
0,Rye Buckley
0,Sajani Clerk
0,Sofia Leav
0,Stella Lau
0,Varun Shah
0,Walton (Yuito) Lee
b,r,e,a,k
Replay,14
 ,Dustin Thai
 ,Payden Carter
 ,Peter Borge
 ,Samuel Nitkin
0,Sarah Rumrill
0,Victoria Zhang
0,Vivek Patel
0,Yi Yang
0,Brennan Cain
0,Deanna DeLuca
0,Ethan Beattie
0,Ethan Chen
0,Isabel Ledsky
0,Kaitlyn West
0,Lacey Agnew
0,Lizzie Kistler
0,Max Shepherd
0,Natalie Carter
0,Nicholas Roth
0,Nikhil Karnane
12,Andrew Ho
b,r,e,a,k
Scarecrow,6
00,Colby Jacques
00,Danielle Chancey
00,Elizabeth Menard
00,Gabriella  Palermo
00,Jacee Cox
00,Jason Russo
00,Jay Delani 
00,Jessica Armstrong
00,Meghan Montgomery
00,Melanie Conn
00,Michelle Merritt
00,Ryan Benincase
00,Ryan Creamer
00,Stephanie Esker
00,Teddy Campbell
00,Thomas Stover
00,Tom Bertrand
00,Trent Linker
00,Tyler Hall
00,Zack Sheehan
00,Alex Joseph
00,Caitlin Whited
00,Calvin Conant
48,Lauren Kraemer
52,Anthony Bevilacqua
99,Christopher Linskey
b,r,e,a,k
League of Shadows,5
 ,Abby Ritterband
 ,Adele Kong
 ,Ariel Felcan
 ,David Huang
 ,David Lyle
 ,Ellery Koelker-Wolfe
 ,Kevin O'Brien
 ,Kyle Jannak-Huang
 ,Mukil Guruparan
 ,Ram Sundaram
 ,Sam VanNoy
 ,Sophia Thayer
 ,Terren Moore
 ,Yuval Pearl
0,Zoe Honigberg
0,Theodore Bisdikian
0,Meredith Duffy
0,Mina Bozeman
0,Cici Wang
0,Connor Coale
0,Jack Deschler
0,Alison Hill
17,Lillian Huang
19,Karissa  Tabtieng
21,Charles Marokhovsky
29,Tate Tabtieng
b,r,e,a,k
Sorted Beans,15
0,Aneesh Gupta
0,Carolina Franco
0,Cody Roy
0,Ethan Murphy
0,Irene Ren
0,Jacob Daitzman
0,James Lehner
0,Jonathan Monderer
0,Joshua  Bricknell
0,Lydia Abbott
0,Maya Franklin
0,Michelle Guerriero
0,Nicole McCullough
0,Phoebe Anderson
0,Quynh-An Vo
0,Rachel Dovek
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Slow,Sunken Circus,15,5,"09/10/2022, 09:00",Pool A,Final
Obscure,Once Upon Stall Nine,15,5,"09/10/2022, 09:00",Pool A,Final
Slow,Once Upon Stall Nine,15,3,"09/10/2022, 11:00",Pool A,Final
Obscure,Sunken Circus,15,5,"09/10/2022, 11:00",Pool A,Final
Slow,Obscure,13,11,"09/10/2022, 13:00",Pool A,Final
Sunken Circus,Once Upon Stall Nine,15,4,"09/10/2022, 13:00",Pool A,Final
pool,Pool B
Sprocket,Lobrid,15,2,"09/10/2022, 09:00",Pool B,Final
The Buoy Association,Boston Bean Friends,15,8,"09/10/2022, 09:00",Pool B,Final
Sprocket,Boston Bean Friends,15,4,"09/10/2022, 11:00",Pool B,Final
The Buoy Association,Lobrid,12,11,"09/10/2022, 11:00",Pool B,Final
Sprocket,The Buoy Association,15,10,"09/10/2022, 13:00",Pool B,Final
Lobrid,Boston Bean Friends,14,10,"09/10/2022, 13:00",Pool B,Final
pool,Pool C
Wild Card,Face Off,15,6,"09/10/2022, 09:00",Pool C,Final
Rainbow,Boston Practice Squad,6,15,"09/10/2022, 09:00",Pool C,Final
Wild Card,Boston Practice Squad,13,14,"09/10/2022, 11:00",Pool C,Final
Rainbow,Face Off,12,10,"09/10/2022, 11:00",Pool C,Final
Wild Card,Rainbow,15,5,"09/10/2022, 13:00",Pool C,Final
Face Off,Boston Practice Squad,8,15,"09/10/2022, 13:00",Pool C,Final
pool,Pool D
Darkwing,Replay,15,1,"09/10/2022, 09:00",Pool D,Final
Darkwing,Lampshade,15,9,"09/10/2022, 11:00",Pool D,Final
Lampshade,Replay,13,8,"09/10/2022, 13:00",Pool D,Final
pool,Pool E
League of Shadows,Sorted Beans,15,0,"09/10/2022, 09:00",Pool E,Final
League of Shadows,Scarecrow,12,14,"09/10/2022, 11:00",Pool E,Final
Scarecrow,Sorted Beans,15,1,"09/10/2022, 13:00",Pool E,Final
b,r,e,a,k
clusters,Pool D-E Crossover
cluster,D-E Crossover
Darkwing,Scarecrow,15,7,"09/10/2022, 15:00",,Final
Lampshade,League of Shadows,12,13,"09/10/2022, 15:00",,Final
Replay,Sorted Beans,15,4,"09/10/2022, 15:00",,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st place
Slow,Sprocket,14,12,"09/11/2022, 11:00",Championship Game,Final
Slow,Darkwing,15,8,"09/11/2022, 09:00",Semi Finals,Final
Sprocket,Boston Practice Squad,15,11,"09/11/2022, 09:00",Semi Finals,Final
bracket,3rd place
Darkwing,Boston Practice Squad,15,11,"09/11/2022, 11:00",3/4 game,Final
b,r,e,a,k
brackets,5th Place Bracket
bracket,5th Place Bracket
Wild Card,League of Shadows,10,13,"09/11/2022, 15:00",5/6 Game,Final
Scarecrow,Wild Card,5,13,"09/11/2022, 13:00",5th place semis,Final
Lampshade,League of Shadows,8,12,"09/11/2022, 13:00",5th place semis,Final
Scarecrow,Rainbow,13,2,"09/11/2022, 11:00",5th place Quarters,Final
The Buoy Association,Wild Card,8,13,"09/11/2022, 11:00",5th place Quarters,Final
Lampshade,Obscure,13,10,"09/11/2022, 11:00",5th place Quarters,Final
Sunken Circus,League of Shadows,4,13,"09/11/2022, 11:00",5th place Quarters,Final
Rainbow,Lobrid,11,8,"09/11/2022, 09:00",Play-In,Final
The Buoy Association,Face Off,13,5,"09/11/2022, 09:00",Play-In,Final
Boston Bean Friends,Wild Card,0,1,"09/11/2022, 09:00",Play-In,Final
Once Upon Stall Nine,Lampshade,8,14,"09/11/2022, 09:00",Play-In,Final
Sorted Beans,Obscure,0,15,"09/11/2022, 09:00",Play-In,Final
Sunken Circus,Replay,13,11,"09/11/2022, 09:00",Play-In,Final
bracket,7th Place
Lampshade,Scarecrow,11,13,"09/11/2022, 15:00",Game to Go!,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place
Rainbow,Obscure,0,1,"09/11/2022, 13:00",9th place semis,Final
The Buoy Association,League of Shadows,0,0,"09/11/2022, 13:00",9th place semis,Scheduled
bracket,13th - 18th placement
Face Off,Boston Bean Friends,1,0,"09/11/2022, 13:00",15th place,Final
Replay,Lobrid,0,1,"09/11/2022, 11:00",16-18th place,Final
Sorted Beans,Face Off,3,13,"09/11/2022, 11:00",16-18th place,Final
Once Upon Stall Nine,Boston Bean Friends,14,15,"09/11/2022, 11:00",16-18th place,Final
b,r,e,a,k
