Dust Bowl  (Cancelled),College - Men ,2,4,2022
Tulsa,OK,2022-04-02,2022-04-03
https://play.usaultimate.org/events/Dust-Bowl/schedule/Men/CollegeMen/
Oklahoma Christian,1
10,Francis  Lasta
24,Kyle Sutherland
75,Samuel Joseph
88,Brayden Blake
98,Justin Gneiting
b,r,e,a,k
Oklahoma,3
teamInfo,Apes of Wrath,"NORMAN, Oklahoma",modules/common/oklahomaultimate.com,https://www.facebook.com/OklahomaUltimate/,@wrathfulapes
0,Alex Sebren
0,Jonathan Zell
0,Jose Saldivar 
0,Luke Terry
0,Jack Herdejurgen
0,Michael  Joseph 
0,Nathan Huffman
0,Omar (Leonel) Arellano
1,Brian McHatton
4,Tyler Van Horn
7,Samuel Crapitto
9,Adam Hanizeski
15,Zachary Wallis
17,Paul Baumann
22,Nolan Armstrong
24,Aidan Callahan
25,Daniel Pfaff
30,Skyler Sprecker
47,Sebastian Puerta
69,Matthew Smith
77,Carter Patton
99,Jacob Meves
b,r,e,a,k
Baylor,6
teamInfo,Stonewall A,"Waco, Texas",,https://www.facebook.com/BaylorUltimate,https://twitter.com/BaylorUltimate
0,Andrew Brown
0,Andrew Williams
0,Bob Zhang
0,Harrison West
0,Joe Berni
0,Kevin  Folbrecht
0,Luke Hammett
0,Micah Krause
0,Oscar Elizondo
0,Travis Pierce
0,Trevor Schonewald
0,William Thomas
0,Zac Benson
4,Judah Voss
10,Timothy Hall
17,Brady Hammond
26,William Kreicker
42,Luke Stipanovic
b,r,e,a,k
John Brown,11
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
0,Alex Marsh
0,Andrew Graham
0,Caleb Schwing
0,Harrison Hunnicutt
0,Luke Fields
1,Ryan Smith
1,Lukas Croson
2,Cole Buckingham
3,David Belvardi
5,Samuel Johnson
05,Aaron Spangler
09,Aaron Devine
11,Corban Samoff
12,Daelyn VonRiesen
13,Alexander Brown
19,Grayson Crawford
33,Jared Frickenstein
47,Jackson Macdonald
50,Jacob Wakefield
81,Joel Stennett
b,r,e,a,k
Missouri State University,14
teamInfo,Missouri State Ultimate,"Springfield, Missouri",,,
0,Brock Beldner
03,Andrew Trimble
08,Cooper Thompson
11,Timothy Duggan
13,Dustin Kohler
22,Ryan Steen
33,Zachary Norris
99,Benjamin Alber
b,r,e,a,k
Creighton,19
teamInfo,Colossus,"Omaha, Nebraska",,,
0,Adam Burr
0,Aidan O'Malley
0,Ben Strougal
0,Charles Brenner
0,John Ackerman
0,Ryan Klenke
0,Stephen Wheadon
0,Tyson Goracke
1,Maxwell Schutze
11,Tristan Kelly
15,Ryan DeCamp
16,Isaac Peterson
28,Nicholas Garcia
42,Nicholas Herrero
69,Zachary Gruber
b,r,e,a,k
Texas State,4
teamInfo,Texas State Buckets,"San Marcos, Texas",,,
0,Alejandro  Valdez
0,Charles Miller
0,Garin Davis
0,Landen Muennink
0,Logan Carroll
0,Mario Bruning
0,Marshall Logwinuk
0,Quintinn Rodriguez
3,Jonathan Zygarlenski
5,Paul Passmore
9,Jackson Potts
45,Kade Morris
88,Reid Pannell
b,r,e,a,k
Arkansas,5
teamInfo,Ludicrous Speed ,"Fayetteville, Arkansas",,,https://twitter.com/uofaultimate?lang=en
coaches,Jody Ayers
0,Cole Peterson
0,David Pojunas
0,Gabe Thomas
0,Luis Acuna
0,Stephen Pierson
3,Dylan Maraist
5,Tanner Thornberry
7,Jake Dahl
9,Ben Morgan
13,William Ayers
16,Roman Bearman
25,Nathan Reynolds
69,Benjamin Rogers
69,Andrew Watson
69,Asa Brown
92,Tommy  Medford
b,r,e,a,k
Denver,12
teamInfo,Sourdough,"Denver, Colorado",,,
0,Dmitri Scal
0,Gabriel Mayer
0,Hiroto Bauer
0,Hyo-Hyang Carty
0,Jason Siegel
0,John Migchelbrink
0,John Jones
0,Khaled  Mahmoud 
0,Luke Britsch
0,Mason Charney
0,Nate Yaeger
0,Aidan Cunningham
0,August Mitchell
0,Avery Fowler
0,Tim Greenwood
0,Travis Martin
0,Will Enterline
0,Zach Braunstein
7,Ori Miller
15,Charles Erickson
b,r,e,a,k
Kansas State,13
teamInfo,Wizards,"Manhattan, Kansas",,,
0,Chance Kurzweil
0,Dylan Higgins
0,Jaryn Halling
0,Spencer Pennington
20,Karl Burg
35,Herman Griese
87,Brandon Cooper
b,r,e,a,k
Nebraska-Omaha,20
teamInfo,UNO,"Omaha, Nebraska",,,
0,Carly Cameron
0,Dylan Keefer
0,Dylan Ethington
0,Huy Nguyen
0,Joseph Wright
0,Kieran Nebel
0,Max Brooks
0,Thomas Silknitter
b,r,e,a,k
Wichita State University,21
teamInfo,Wheaties,"Wichita, Kansas",,https://www.facebook.com/WSUUltimate,https://twitter.com/wheatiesulti
0,Brayden Ruble
0,Everett Kernen
0,Garett Stanley
0,Jonathan Mercer
0,Jontell Russ
0,Kayden  Rawls 
0,Kyle Schluben
0,Logan Langel
08,Kristoffer Broadley
15,Joey Nichols
42,Westen Gehring
82,Noah Hettenbach
b,r,e,a,k
s,t,a,g,e,s
brackets,Sunday Bracket
bracket,Championship Bracket
bracket,9th Place Bracket
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,13th Place
bracket,11th Place
bracket,15th Place
b,r,e,a,k
pools,Saturday Pool Play
pool,Pool A
Oklahoma Christian,Colorado Mesa,0,0,"02/26/2022, 09:00",Pool A,Scheduled
Texas Christian,Arkansas State,0,0,"02/26/2022, 09:00",Pool A,Scheduled
Oklahoma Christian,Texas Christian,0,0,"02/26/2022, 10:30",Pool A,Scheduled
Rice,Arkansas State,0,0,"02/26/2022, 10:30",Pool A,Scheduled
Oklahoma Christian,Arkansas State,0,0,"02/26/2022, 12:00",Pool A,Scheduled
Rice,Colorado Mesa,0,0,"02/26/2022, 12:00",Pool A,Scheduled
Oklahoma Christian,Rice,0,0,"02/26/2022, 13:30",Pool A,Scheduled
Texas Christian,Colorado Mesa,0,0,"02/26/2022, 13:30",Pool A,Scheduled
Arkansas State,Colorado Mesa,0,0,"02/26/2022, 15:00",Pool A,Scheduled
Rice,Texas Christian,0,0,"02/26/2022, 15:00",Pool A,Scheduled
pool,Pool B
Colorado College,Texas-Arlington,0,0,"02/26/2022, 09:00",Pool B,Scheduled
Truman State,Harding,0,0,"02/26/2022, 09:00",Pool B,Scheduled
Colorado College,Truman State,0,0,"02/26/2022, 10:30",Pool B,Scheduled
Colorado (B),Harding,0,0,"02/26/2022, 10:30",Pool B,Scheduled
Colorado College,Harding,0,0,"02/26/2022, 12:00",Pool B,Scheduled
Colorado (B),Texas-Arlington,0,0,"02/26/2022, 12:00",Pool B,Scheduled
Colorado College,Colorado (B),0,0,"02/26/2022, 13:30",Pool B,Scheduled
Truman State,Texas-Arlington,0,0,"02/26/2022, 13:30",Pool B,Scheduled
Harding,Texas-Arlington,0,0,"02/26/2022, 15:00",Pool B,Scheduled
Colorado (B),Truman State,0,0,"02/26/2022, 15:00",Pool B,Scheduled
pool,Pool C
Oklahoma,Creighton,0,0,"02/26/2022, 09:00",Pool C,Scheduled
John Brown,Missouri State University,0,0,"02/26/2022, 09:00",Pool C,Scheduled
Oklahoma,John Brown,0,0,"02/26/2022, 10:30",Pool C,Scheduled
Baylor,Missouri State University,0,0,"02/26/2022, 10:30",Pool C,Scheduled
Oklahoma,Missouri State University,0,0,"02/26/2022, 12:00",Pool C,Scheduled
Baylor,Creighton,0,0,"02/26/2022, 12:00",Pool C,Scheduled
Oklahoma,Baylor,0,0,"02/26/2022, 13:30",Pool C,Scheduled
John Brown,Creighton,0,0,"02/26/2022, 13:30",Pool C,Scheduled
Missouri State University,Creighton,0,0,"02/26/2022, 15:00",Pool C,Scheduled
Baylor,John Brown,0,0,"02/26/2022, 15:00",Pool C,Scheduled
pool,Pool D
Texas State,Denver,0,0,"02/26/2022, 09:00",Pool D,Scheduled
Arkansas,Nebraska-Omaha,0,0,"02/26/2022, 09:00",Pool D,Scheduled
Kansas State,Wichita State University,0,0,"02/26/2022, 09:00",Pool D,Scheduled
Texas State,Wichita State University,0,0,"02/26/2022, 10:30",Pool D,Scheduled
Arkansas,Denver,0,0,"02/26/2022, 10:30",Pool D,Scheduled
Kansas State,Nebraska-Omaha,0,0,"02/26/2022, 10:30",Pool D,Scheduled
Texas State,Kansas State,0,0,"02/26/2022, 12:00",Pool D,Scheduled
Arkansas,Wichita State University,0,0,"02/26/2022, 12:00",Pool D,Scheduled
Denver,Nebraska-Omaha,0,0,"02/26/2022, 12:00",Pool D,Scheduled
Texas State,Arkansas,0,0,"02/26/2022, 13:30",Pool D,Scheduled
Denver,Kansas State,0,0,"02/26/2022, 13:30",Pool D,Scheduled
Nebraska-Omaha,Wichita State University,0,0,"02/26/2022, 13:30",Pool D,Scheduled
Texas State,Nebraska-Omaha,0,0,"02/26/2022, 15:00",Pool D,Scheduled
Arkansas,Kansas State,0,0,"02/26/2022, 15:00",Pool D,Scheduled
Denver,Wichita State University,0,0,"02/26/2022, 15:00",Pool D,Scheduled
b,r,e,a,k
pools,Sunday Pool Play
pool,Pool E
b,r,e,a,k
