TCT Pro-Elite Challenge (Colorado Cup) 2022,Club - Mixed ,9,7,2022
Aurora,CO,2022-07-09,2022-07-10
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-Colorado-Cup-2022/schedule/Mixed/Club-Mixed
BFG,1
0,Caleigh Moore
0,Callie Federer
0,David Ball
0,Elena Arnosky
0,Max Cormier
0,Megan Vanderhooft
0,Nick Storter
0,Rachael Reddin
0,Ryan Meinkoth
0,Sarah Fee
0,Stan Whitcomb
0,Timothy Brady
0,Will Eckert
0,Hannah Paborsky
0,Ian Whitman
0,Jacob Zax
0,Kelsey McClung
14,Matt Slowinski
20,Matt Cornish
24,Kevin Hamilton
34,Ginie Kwan
b,r,e,a,k
Risky Business,18
01,Kendric Harris
03,Payton Alberts
04,Patrick Boyker
07,Lamar Seger
07,Callista Benavides
08,Megan Richter
15,Cole Matthews
17,Jasa Fuller
18,Christina Jones
19,Eric LaPietra
20,Cristina Carreon
21,Blake Abbott
33,Nicolas Ceaser
37,Joshua Curtis
39,Mattina Maloney
49,Michael Wode
58,Jackson Gillenwaters
64,Danielle Edwards
65,Samuel Bondurant
69,Slayter Marwitz
80,Abby Evans
81,Justin Sullins
88,Zoey Clark
96,Austin Gould
b,r,e,a,k
Springs Mixed Greens,17
 ,Rachel Martell
 ,Raymond Palazzo
 ,Shayna Brock
 ,Spencer Norman
 ,Trevor Corsello
0,Paul Norgaard
0,Timothy Elliott
0,Sam Valesano
0,Serena Muser
0,Abigail Mullet
0,Adam Sandstedt
0,Benen Shea
0,Hector Madrigal
0,JULIANNA YAHN
0,Kalvin Fletcher
0,Malia Stephens
12,Matt Helms
18,Olivia Jacobson
22,Patience Russo-Way
37,Matthew Brann
41,Theodore (Teddy) Taggart
42,Benjamin Jelinek
42,Ryan Benitez
43,Gregory  Benavidez
52,Nicholas Battaglino
97,Ryan Plumstead
b,r,e,a,k
The Strangers,19
0,Alexander Nichols
0,Alyssa May
0,Alyssa Strickler
0,Amanda Collen
0,Anthony Verga
0,Catherine Smith
0,Chloe Carlstrom
0,Christian Gentry
0,Colin Campbell
0,Craig Johnson
0,Daniel Schultz
0,Elliot Schaefer
0,Madison Deter
0,Mary Kurzweil
0,Mitch Lindsey
0,Morgan Colacone
0,Randall Waymire
0,Russell Yang
0,Scott Harris
0,Taylor Stamps
0,Tessa O'Donnell
0,Thomas Parry
0,Tiffany Lui
0,Tracy Farrell
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
BFG,Kansas City United,9,12,"07/09/2022, 09:00",Pool A,Final
shame.,Minnesota Star Power,15,5,"07/09/2022, 09:00",Pool A,Final
BFG,Minnesota Star Power,14,6,"07/09/2022, 10:45",Pool A,Final
shame.,Kansas City United,13,10,"07/09/2022, 10:45",Pool A,Final
BFG,shame.,12,7,"07/09/2022, 12:30",Pool A,Final
Kansas City United,Minnesota Star Power,14,5,"07/09/2022, 12:30",Pool A,Final
pool,Pool B
Seattle Mixtape,Toro,12,11,"07/09/2022, 09:00",Pool B,Final
Polar Bears,Flight Club,12,7,"07/09/2022, 09:00",Pool B,Final
Seattle Mixtape,Flight Club,10,11,"07/09/2022, 10:45",Pool B,Final
Polar Bears,Toro,12,8,"07/09/2022, 10:45",Pool B,Final
Seattle Mixtape,Polar Bears,6,10,"07/09/2022, 12:30",Pool B,Final
Toro,Flight Club,9,10,"07/09/2022, 12:30",Pool B,Final
pool,Pool C
Hybrid,MOONDOG,10,9,"07/09/2022, 09:00",Pool C,Final
Lawless,Impact,10,11,"07/09/2022, 09:00",Pool C,Final
Hybrid,Impact,14,4,"07/09/2022, 10:45",Pool C,Final
Lawless,MOONDOG,10,12,"07/09/2022, 10:45",Pool C,Final
Hybrid,Lawless,12,4,"07/09/2022, 12:30",Pool C,Final
MOONDOG,Impact,9,6,"07/09/2022, 12:30",Pool C,Final
pool,Pool D
Love Tractor,Mischief,11,9,"07/09/2022, 09:00",Pool D,Final
'Shine,Sweet Action,14,7,"07/09/2022, 09:00",Pool D,Final
Love Tractor,Sweet Action,15,7,"07/09/2022, 10:45",Pool D,Final
'Shine,Mischief,9,11,"07/09/2022, 10:45",Pool D,Final
Love Tractor,'Shine,11,13,"07/09/2022, 12:30",Pool D,Final
Mischief,Sweet Action,14,7,"07/09/2022, 12:30",Pool D,Final
pool,Pool E
Springs Mixed Greens,The Strangers,11,10,"07/09/2022, 09:00",Pool E,Final
Risky Business,The Strangers,14,4,"07/09/2022, 10:45",Pool E,Final
Springs Mixed Greens,Risky Business,4,13,"07/09/2022, 12:30",Pool E,Final
b,r,e,a,k
brackets,Championship
bracket,Championship
BFG,Hybrid,8,7,"07/10/2022, 13:00",Finals,Final
BFG,Love Tractor,13,9,"07/10/2022, 11:00",Semifinals,Final
Hybrid,Polar Bears,11,8,"07/10/2022, 11:00",Semifinals,Final
BFG,Flight Club,14,11,"07/10/2022, 09:00",Quarterfinals,Final
MOONDOG,Love Tractor,11,13,"07/10/2022, 09:00",Quarterfinals,Final
Hybrid,shame.,15,11,"07/10/2022, 09:00",Quarterfinals,Final
'Shine,Polar Bears,11,15,"07/10/2022, 09:00",Quarterfinals,Final
Flight Club,Impact,12,11,"07/09/2022, 14:15",Pre-Quarterfinals,Final
MOONDOG,Seattle Mixtape,13,8,"07/09/2022, 14:15",Pre-Quarterfinals,Final
Mischief,shame.,7,13,"07/09/2022, 14:15",Pre-Quarterfinals,Final
Kansas City United,'Shine,13,14,"07/09/2022, 14:15",Pre-Quarterfinals,Final
bracket,Third Place
Love Tractor,Polar Bears,11,15,"07/10/2022, 13:00",Third Place,Final
bracket,Fifth Place
shame.,MOONDOG,13,9,"07/10/2022, 13:00",Fifth Place,Final
'Shine,shame.,9,12,"07/10/2022, 11:00",Fifth Place Semi,Final
MOONDOG,Flight Club,10,4,"07/10/2022, 11:00",Fifth Place Semi,Final
bracket,Seventh Place
Flight Club,'Shine,11,13,"07/10/2022, 13:00",Seventh Place,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Ninth Place
Seattle Mixtape,Toro,12,15,"07/10/2022, 13:00",Ninth Place,Final
Impact,Seattle Mixtape,9,14,"07/10/2022, 11:00",Ninth Semis,Final
Toro,Kansas City United,12,7,"07/10/2022, 11:00",Ninth Semis,Final
Impact,Risky Business,14,8,"07/10/2022, 09:00",Ninth Quarters,Final
Minnesota Star Power,Seattle Mixtape,7,12,"07/10/2022, 09:00",Ninth Quarters,Final
Mischief,Toro,8,12,"07/10/2022, 09:00",Ninth Quarters,Final
Lawless,Kansas City United,12,13,"07/10/2022, 09:00",Ninth Quarters,Final
Sweet Action,Risky Business,9,13,"07/09/2022, 14:15",Ninth Pre-Quarters,Final
Toro,The Strangers,15,6,"07/09/2022, 14:15",Ninth Pre-Quarters,Final
Lawless,Springs Mixed Greens,15,4,"07/10/2022, 14:15",Ninth Pre-Quarters,Final
bracket,Eleventh Place
Kansas City United,Impact,15,7,"07/10/2022, 13:00",Eleventh Place,Final
bracket,Thirteenth Place
Minnesota Star Power,Mischief,7,15,"07/10/2022, 13:00",Thirteenth Place,Final
Risky Business,Minnesota Star Power,6,10,"07/10/2022, 11:00",Thirteenth Semis,Final
Mischief,Lawless,10,6,"07/10/2022, 11:00",Thirteenth Semis,Final
bracket,Fifteenth Place
Lawless,Risky Business,15,4,"07/10/2022, 13:00",Fifteenth Place,Final
b,r,e,a,k
pools,17th Place Pool
pool,Pool F
The Strangers,Springs Mixed Greens,9,11,"07/10/2022, 09:00",Pool F,Final
Sweet Action,Springs Mixed Greens,11,10,"07/10/2022, 11:00",Pool F,Final
Sweet Action,The Strangers,15,7,"07/10/2022, 13:00",Pool F,Final
b,r,e,a,k
