TCT Select Flight Invite - East 2022,Club - Mixed ,23,7,2022
Fredericksburg,VA,2022-07-23,2022-07-24
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---East-2022/schedule/Mixed/Club-Mixed
HeyDay,12
 ,Christina Chin
 ,Ethan Jones
 ,Hayley Manning
 ,Howard Yuan
 ,Jordan Chow
 ,Stephen Schaffenberger
 ,Jean Colangelo
0,Jessica Sacks
0,Teddy Le Nguyen
0,Xaver Kandler
0,Xiaorong Wang
0,Marly Relato
0,Miche McCall
0,Sam Masling
0,Stefan Dicker
0,Dylan Horowitz
0,Eliana Simon
0,Celeste Royo
0,Antonio Brewer
0,Benjamin Tannenwald
0,Bohdi Cooper
23,Hy Ha
b,r,e,a,k
Storm,7
 ,Brandon Eng
 ,Kallen Busker
0,Kevin Mateer
0,Matthew May
0,Matthew Cameron
0,Eric Olson
0,Frederick Hennighausen
0,Jocelyn Keung
0,Jonathan Lyle
0,Alexandra Magid
0,Angela Petrus
0,Bridget Johnson
0,Connie Cui
0,Dylan Welchman
0,Philip Hadwiger
0,Robin Lowe-Skillern
0,Romit Patel
0,Savannah Hadwiger
0,Zachary Clark
16,Briana Campbell
33,Abigail Barry
45,Nathan Lyle
49,Jamie Bryson
88,Eliza Rich
91,Charis Barry
b,r,e,a,k
Cleveland Crocs,3
0,Josh Graber
02,Elizabeth Lehman
03,Eliot Alexander
04,Zach Byrnes
05,David Picone
08,Jonathon Grgat
09,Iris Javersak
10,Eric Zarobila
11,Sion Agami Contreras
12,Mitch Cihon
13,Charlie Vukovic
14,Osvaldo Velez-Martinez
16,Anil Driehuys
17,Maxwell Devine
19,AJ Uthe
21,Rachel Mast
23,Chris Graber
24,Rachel Graber
25,Riley Dickson
28,Katherine Hoffman
33,Lexie Thomas
36,Griffin Binkley
38,Meghan Drews
41,Dan Urbanek
88,Madeleine Pletzke
b,r,e,a,k
Revival,10
 ,Catherine Grossman
 ,Griffin Schutte
 ,Matthew Graves
 ,Mimi Tran
 ,Rebekah Forrer
0,Mary Molly Rowland
0,Victoria Davis
0,Jameson Hinkle
0,Joe Spaeth
0,Keys Pattie
0,Caylin Carbonell
0,Chloe Wade
0,Crystal Lowery
0,Griffin Lang
11,Matthew Reynolds
11,Skye Whitlow
12,Tyler Davis
17,Cullen Monahan
21,Kristin Lue Chee Lip
24,Trent Cooper
26,Rachel Shannon
38,Ariel Vogel
47,Billy Harmon
48,Benjamin Broser
91,James Dangler
b,r,e,a,k
HVAC,14
 ,Travis Lynch
0,Rebecca Sokol-Snyder
0,Sean Mizoguchi
0,Shannon Sullivan
0,Torrin Stokes
0,Alexander Daley
0,Alice Emch
0,Caitlin Bonner
0,Conor Tidgewell
0,Corinne Barrett
0,Corrie Willson
0,Jasmine Xie
0,John McGrath
0,Josh Levin
0,Joshua Bransford
0,Julianna Gohman
0,Kyle Williamson
0,Landrum Beard 
0,Lydia Schaar
0,Maggie Graves
0,Malcom Fox
13,Nicole Getter
16,Carolyn Fante
27,Tyler Coleman
81,Ben Frattini
84,Jason Davidson
b,r,e,a,k
Space Force,4
0,Mallory Schmidt
01,Matthew Johnson
03,Sara Mog
04,Susannah Sorrells
05,William Bianca
06,Angel Mobley
07,Abigail Waldron
10,Matthew Radcliffe
11,Elijah Jaime
12,Bradley Fleming
16,Allyssa Raspa
17,Mattea Swegles
18,Grace Liverett
19,Victoria Ellingson
20,Holly Sillivant
21,Jacqueline Bekken
23,Alejandro Guerrero
25,Callahan Diercks
27,Michael Volz
29,Robert Alongi
32,Lauren Bryant
33,Riley Mog
55,Chris Youngblood
58,Jason Eames
69,Michael Mobley
91,Jonathan Sillivant
b,r,e,a,k
Chicago Parlay,8
 ,George Irving
 ,Gina Stees
 ,Hector Rivera
 ,Hindeke Tewodros
 ,Isabel Shapiro
 ,Jessica Louie
 ,Jordan Lange
 ,Kendra Griesman
 ,Kenneth Allen
 ,Laramie Aspegren
 ,Larkin Johnson
 ,Luke Brennan
 ,Nick Longo
 ,Adam Klaus
 ,Benjamin Zhang
 ,Cassandra Singler
 ,Catherine Chen
 ,Claire Schwaba
 ,Elaine Sundberg
 ,Tavis Leighton
 ,WillIam Altschul
0,Emily Muscat
0,Rodrigo Arcibar
b,r,e,a,k
8 Bit Heroes,13
 ,Allyson Golightly
 ,Justus Sturtevant
 ,Spencer Santos
0,Tim Lee
0,Tjia Ern Lau
0,Patrick Leavey
0,Rowan Wright
0,Logan Wright
0,Michael Lipsitz
0,Mitchell Lauer
0,Francesca Corna
0,John Venezia
0,Andrea Beck
0,Andrew Davis
0,Becca Holdhusen
0,Christopher Patschak
0,Claudia Wang
0,Daniel Kaste
10,Jay Weir
12,Destiny Lim
14,Nicole LaDue
16,Diana Burke
24,Jordan Vanasdale
25,Ethan Krokonko
88,Robert Pratt
b,r,e,a,k
Ant Madness,9
0,Ry Alexander
01,Bethany Turner
02,Josh Weinstock
03,Brian Doherty
04,Nicholas Kwan
05,Mariska  Bogaard 
06,Rosy Lin
07,Aaron Langley
09,Meaghan McSorley
12,Joanna Greenberg
14,Jordan Tippitt
15,Fia Hargil
17,Donovan Hambley
18,Faith Kean
19,Bridgette Heine
20,Katrien Hinderdael
21,Harper James
22,Sean McCoy
24,Adam Shrager
27,Wallis Grant
29,Matthew Dennin
33,Henry Kapp
42,Madalyn  Sica
44,Samantha Clough
48,Calli Merron
53,Jackson Gode
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Loco,HeyDay,8,11,"07/23/2022, 08:30",Pool A,Final
Fleet,Dizzy Kitty,14,5,"07/23/2022, 08:30",Pool A,Final
Loco,Dizzy Kitty,8,7,"07/23/2022, 16:00",Pool A,Final
Fleet,HeyDay,9,10,"07/23/2022, 16:00",Pool A,Final
Loco,Fleet,10,8,"07/23/2022, 17:45",Pool A,Final
HeyDay,Dizzy Kitty,12,5,"07/23/2022, 17:45",Pool A,Final
pool,Pool B
Rally,Malice in Wonderland,13,6,"07/23/2022, 08:30",Pool B,Final
Alloy,Eat Lightning,12,4,"07/23/2022, 08:30",Pool B,Final
Rally,Eat Lightning,14,1,"07/23/2022, 16:00",Pool B,Final
Alloy,Malice in Wonderland,7,9,"07/23/2022, 16:00",Pool B,Final
Rally,Alloy,10,6,"07/23/2022, 17:45",Pool B,Final
Malice in Wonderland,Eat Lightning,13,6,"07/23/2022, 17:45",Pool B,Final
pool,Pool C
Cleveland Crocs,Revival,13,12,"07/23/2022, 08:30",Pool C,Final
Storm,HVAC,12,4,"07/23/2022, 08:30",Pool C,Final
Cleveland Crocs,HVAC,13,6,"07/23/2022, 16:00",Pool C,Final
Storm,Revival,11,8,"07/23/2022, 16:00",Pool C,Final
Cleveland Crocs,Storm,6,11,"07/23/2022, 17:45",Pool C,Final
Revival,HVAC,12,10,"07/23/2022, 17:45",Pool C,Final
pool,Pool D
Space Force,Ant Madness,14,6,"07/23/2022, 08:30",Pool D,Final
Chicago Parlay,8 Bit Heroes,10,7,"07/23/2022, 08:30",Pool D,Final
Space Force,8 Bit Heroes,11,0,"07/23/2022, 16:00",Pool D,Final
Chicago Parlay,Ant Madness,11,8,"07/23/2022, 16:00",Pool D,Final
Space Force,Chicago Parlay,12,4,"07/23/2022, 17:45",Pool D,Final
Ant Madness,8 Bit Heroes,7,12,"07/23/2022, 17:45",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Finals
Space Force,Storm,10,5,"07/24/2022, 10:30",Finals,Final
HeyDay,Space Force,7,8,"07/24/2022, 09:00",Semifinals,Final
Storm,Rally,10,6,"07/24/2022, 09:00",Semifinals,Final
HeyDay,Malice in Wonderland,8,7,"07/23/2022, 07:30",Quarterfinals,Final
Space Force,Cleveland Crocs,10,6,"07/24/2022, 07:30",Quarterfinals,Final
Storm,Chicago Parlay,12,6,"07/24/2022, 07:30",Quarterfinals,Final
Rally,Loco,9,6,"07/24/2022, 07:30",Quarterfinals,Final
bracket,Third Place
HeyDay,Rally,6,10,"07/24/2022, 10:30",Third Place,Final
bracket,Fifth Place
Chicago Parlay,Cleveland Crocs,5,8,"07/24/2022, 10:30",Fifth Place,Final
Malice in Wonderland,Chicago Parlay,5,12,"07/24/2022, 09:00",Fifth Place Semis,Final
Cleveland Crocs,Loco,9,7,"07/24/2022, 09:00",Fifth Place Semis,Final
bracket,7th Place
Malice in Wonderland,Loco,3,10,"07/24/2022, 10:30",Finals,Final
b,r,e,a,k
brackets,Ninth Place Bracket
bracket,Ninth Place
HVAC,Revival,7,10,"07/24/2022, 10:30",Ninth Place,Final
Fleet,HVAC,6,11,"07/24/2022, 09:00",Ninth Place Semis,Final
Revival,Dizzy Kitty,13,2,"07/24/2022, 09:00",Ninth Place Semis,Final
Fleet,Eat Lightning,13,0,"07/23/2022, 07:30",Ninth Place Quarters,Final
8 Bit Heroes,HVAC,7,9,"07/23/2022, 07:30",Ninth Place Quarters,Final
Revival,Ant Madness,8,4,"07/23/2022, 07:30",Ninth Place Quarters,Final
Alloy,Dizzy Kitty,6,7,"07/23/2022, 07:30",Ninth Place Quarters,Final
bracket,Eleventh Place
Dizzy Kitty,Fleet,7,11,"07/24/2022, 10:30",Eleventh Place,Final
bracket,Thirteenth Place
Ant Madness,Alloy,7,11,"07/24/2022, 10:30",Thirteenth Place,Final
Eat Lightning,Ant Madness,7,9,"07/24/2022, 09:00",Thirteenth Place Semis,Final
8 Bit Heroes,Alloy,5,7,"07/24/2022, 09:00",Thirteenth Place Semis,Final
bracket,Fifteenth Place
8 Bit Heroes,Eat Lightning,7,5,"07/24/2022, 10:30",Fifteenth Place,Final
b,r,e,a,k
